word,tfidf_score,talk_frequency,global_frequency
non-doing,0.049825,4,6
tanya,0.041202,4,20
apple,0.028983,3,13
plow,0.027451,3,24
rack,0.026976,2,3
embellish,0.026976,2,3
middle,0.026959,10,250
thursday,0.026176,3,18
austerity,0.021385,2,10
dad,0.020601,2,10
available,0.016508,6,235
pursue,0.015258,2,42
co-guiding,0.015252,1,1
ritual,0.013731,2,76
venture,0.013488,1,2
incomplete,0.013488,1,2
abidings,0.013488,1,3
riverbank,0.013488,1,2
exertion,0.013488,1,3
utmost,0.013488,1,2
eat,0.013324,3,142
describe,0.012511,5,289
night,0.012498,3,180
tree,0.011932,3,215
indulgence,0.011724,1,7
attain,0.011482,2,71
vision,0.011246,2,180
pivotal,0.011157,1,5
restriction,0.011157,1,5
fella,0.010693,1,10
radiant,0.010693,1,6
sensual,0.010595,2,126
parent,0.010396,2,82
recluse,0.010300,1,13
wise,0.010284,4,461
andrea,0.009961,1,17
distinction,0.009753,2,102
luxury,0.009661,1,15
asceticism,0.009661,1,21
eight-fold,0.009393,1,19
nail,0.009393,1,12
pierce,0.009393,1,13
grain,0.009150,1,13
rice,0.009150,1,17
indulge,0.009150,1,14
brahmin,0.009150,1,49
crack,0.009150,1,14
lifestyle,0.008929,1,20
endure,0.008929,1,26
blanket,0.008929,1,13
memory,0.008811,2,152
side,0.008658,3,297
nearly,0.008537,1,18
survive,0.008537,1,29
bloom,0.008537,1,16
rise,0.008398,2,134
feature,0.008361,1,23
childhood,0.008361,1,20
pleasurable,0.008361,1,29
pleasure,0.008311,3,727
he'd,0.008197,1,23
recall,0.008043,1,22
waste,0.007897,1,23
scene,0.007897,1,30
shade,0.007897,1,19
sutta,0.007835,2,329
complete,0.007661,2,162
refine,0.007629,1,32
young,0.007604,2,167
teacher,0.007602,4,581
embodiment,0.007505,1,32
child,0.007492,2,216
explore,0.007437,2,205
receptivity,0.007387,1,28
reflection,0.007275,2,215
frequently,0.007273,1,38
majjhima,0.007273,1,30
essentially,0.007273,1,28
due,0.007165,1,33
reflect,0.007119,2,206
wing,0.007061,1,42
extreme,0.007061,1,38
discuss,0.006961,1,35
high,0.006819,2,246
major,0.006773,1,36
generate,0.006773,1,39
companion,0.006684,1,60
hi,0.006597,1,40
unique,0.006433,1,48
master,0.006433,1,55
father,0.006433,1,60
program,0.006205,1,133
pleasant,0.006182,2,354
strive,0.006133,1,89
renunciation,0.006064,1,73
actively,0.005865,1,51
knowledge,0.005803,1,123
sleep,0.005741,1,73
choose,0.005693,2,282
association,0.005681,1,65
nikaya,0.005623,1,69
smell,0.005623,1,82
direct,0.005578,2,281
nice,0.005570,4,579
buddha,0.005321,6,1958
abide,0.005298,1,159
freedom,0.005234,3,691
exactly,0.005142,2,245
mood,0.005102,1,96
painful,0.005102,1,105
tonight,0.005009,1,105
spot,0.004920,1,119
youtube,0.004876,1,88
toward,0.004834,1,154
liberation,0.004669,1,121
imagine,0.004617,3,480
set,0.004488,2,332
sangha,0.004478,1,239
key,0.004478,1,103
you've,0.004458,2,365
protect,0.004405,1,113
easily,0.004335,1,103
busy,0.004266,1,102
impact,0.004232,1,142
soon,0.004199,1,148
content,0.004166,1,175
anymore,0.004134,1,109
authoritative,0.004039,1,85
respond,0.004039,1,164
die,0.004008,1,224
quite,0.003802,4,733
path,0.003748,2,1006
quote,0.003691,1,156
food,0.003664,1,203
concentration,0.003534,1,247
meet,0.003464,2,671
occur,0.003459,1,150
pretty,0.003459,1,183
aware,0.003439,2,671
group,0.003434,1,265
okay,0.003366,3,1205
record,0.003362,1,121
saw,0.003338,1,198
train,0.003268,1,352
oneself,0.003245,1,197
story,0.003220,2,1137
ever,0.003156,1,190
family,0.003134,1,278
field,0.003134,1,281
term,0.003113,1,273
pay,0.003070,1,235
past,0.003070,1,234
leave,0.003055,2,511
comfortable,0.002986,1,217
connection,0.002906,1,230
dharma,0.002896,2,870
watch,0.002886,1,264
teach,0.002886,4,1555
discover,0.002827,1,325
experience,0.002744,10,3247
water,0.002733,1,497
cultivate,0.002696,1,471
certainly,0.002696,1,219
direction,0.002624,1,262
