word,tfidf_score,talk_frequency,global_frequency
volley,0.030906,5,5
arrow,0.025118,9,131
mara,0.018704,6,169
earth,0.014202,8,235
difficulty,0.012868,8,217
lean,0.012789,6,80
life-denying,0.010920,2,3
taunt,0.010920,2,3
myth,0.010537,3,44
army,0.010537,3,42
determination,0.010305,3,20
shoot,0.010305,3,38
doubt,0.009518,5,164
horrific,0.009477,2,5
metabolize,0.009477,2,7
seat,0.009350,5,120
balance,0.009205,6,232
culmination,0.009013,2,7
inspiration,0.008359,4,126
entrance,0.008313,2,9
version,0.008279,4,96
awareness,0.007973,15,1263
hero,0.007790,2,14
mythic,0.007372,2,15
story,0.007177,11,1011
transform,0.006951,3,81
organization,0.006466,2,23
flower,0.006394,3,86
embodiment,0.006235,2,27
appreciatively,0.006181,1,1
pre-story,0.006181,1,1
depersonify,0.006181,1,1
protract,0.006181,1,1
mindful,0.006174,5,273
awake,0.006149,3,81
hindrance,0.006149,3,198
sweep,0.005930,2,40
awaken,0.005785,5,419
yesterday,0.005770,4,160
hamstring,0.005460,1,2
unmoved,0.005460,1,2
combat,0.005460,1,2
image,0.005434,4,210
wisdom,0.005362,6,545
bliss,0.005355,2,64
faculty,0.005355,2,74
program,0.005216,2,101
universal,0.005086,2,54
shame,0.005086,2,46
force,0.005085,4,220
symbolize,0.005038,1,3
fragrance,0.005038,1,10
non-contention,0.005038,1,3
sling,0.005038,1,4
intensely,0.005038,1,3
integrity,0.005024,2,57
mat,0.004739,1,4
buttock,0.004739,1,4
calf,0.004739,1,7
utilize,0.004739,1,4
potentiality,0.004739,1,5
familial,0.004739,1,5
societal,0.004739,1,4
blame,0.004738,2,107
relate,0.004699,5,331
personal,0.004675,3,161
condition,0.004562,6,690
vision,0.004535,2,179
graciously,0.004506,1,5
canonical,0.004506,1,6
continuum,0.004506,1,7
notice,0.004441,10,1214
brow,0.004317,1,8
ankle,0.004317,1,6
in-person,0.004317,1,7
victory,0.004317,1,19
life-giving,0.004317,1,7
horror,0.004317,1,7
wound,0.004317,1,6
journey,0.004263,2,123
draw,0.004221,2,95
growth,0.004180,2,76
mindfulness,0.004144,8,983
buddha,0.004126,11,1874
result,0.004023,2,98
vista,0.004017,1,9
beneath,0.003895,1,12
homework,0.003895,1,9
ill,0.003807,2,142
thigh,0.003785,1,10
convert,0.003785,1,14
pierce,0.003785,1,13
restraint,0.003785,1,18
assignment,0.003785,1,11
action,0.003758,3,341
desire,0.003706,4,743
abundance,0.003686,1,17
soundscape,0.003686,1,18
disgust,0.003595,1,28
perspective,0.003551,2,194
shin,0.003512,1,23
inner,0.003447,4,481
indirectly,0.003435,1,15
unseen,0.003435,1,14
sister,0.003435,1,26
invitation,0.003405,2,133
application,0.003363,1,18
chaplaincy,0.003363,1,176
simplicity,0.003322,2,262
response,0.003322,2,198
evocative,0.003296,1,17
discourage,0.003296,1,20
hell,0.003296,1,59
tree,0.003269,2,202
socket,0.003233,1,19
recall,0.003233,1,22
karmic,0.003233,1,32
flip,0.003233,1,23
shower,0.003174,1,31
silently,0.003117,1,26
sexual,0.003117,1,46
tongue,0.003064,1,27
scan,0.003013,1,36
