word,tfidf_score,talk_frequency,global_frequency
affliction,0.029209,7,19
action,0.026844,20,341
compass,0.021590,4,6
rahula,0.020864,5,18
reflect,0.019939,13,199
speech,0.019035,9,175
reflection,0.015573,10,212
son,0.013970,5,94
vibrancy,0.011699,2,3
lightness,0.010764,4,80
honest,0.010039,4,70
bowl,0.009380,3,56
effect,0.009120,5,163
mirror,0.009101,3,37
inspiration,0.008956,4,126
harm,0.008930,6,462
gradually,0.008844,3,43
afflictive,0.008608,2,10
outwards,0.008382,3,48
paraphrase,0.008111,2,17
notice,0.008088,17,1214
soak,0.007898,2,17
lie,0.007554,5,169
impact,0.007544,4,132
cause,0.007254,7,391
conducive,0.007207,2,21
internal,0.007062,3,89
benefit,0.007022,6,269
purpose,0.007012,5,278
embed,0.006927,2,27
beneficial,0.006652,3,104
fast-forwarding,0.006622,1,1
mid-conversation,0.006622,1,1
finger-wagging,0.006622,1,1
seven-year-old,0.006622,1,1
excess,0.006622,1,1
surya,0.006622,1,1
da,0.006622,1,1
whole-making,0.006622,1,1
action-reflection-action,0.006622,1,1
chronological,0.006622,1,1
honesty,0.006565,2,26
repeat,0.006173,3,81
contemplation,0.006068,2,43
afterwards,0.005980,2,29
outward,0.005896,2,36
castigate,0.005850,1,2
shrug,0.005850,1,2
incidentally,0.005850,1,4
outwardly,0.005850,1,2
priceless,0.005850,1,2
ease,0.005745,7,551
invitation,0.005472,3,133
sharply,0.005398,1,3
sham,0.005398,1,3
self-reflection,0.005398,1,3
harshness,0.005398,1,3
inwardly,0.005398,1,3
shihab,0.005398,1,3
nye,0.005398,1,3
gloss,0.005398,1,3
valence,0.005398,1,4
spiritual,0.005253,4,573
buddha,0.005224,13,1874
conversation,0.005211,3,183
invite,0.005103,4,319
self-aware,0.005077,1,4
beforehand,0.005077,1,4
discover,0.005066,4,310
transform,0.004965,2,81
young,0.004931,3,163
inwards,0.004828,1,7
progressively,0.004828,1,10
pithy,0.004828,1,5
empathize,0.004828,1,6
keen,0.004828,1,5
indirect,0.004828,1,8
harmoniously,0.004828,1,6
spontaneous,0.004625,1,7
neurosis,0.004625,1,7
naomi,0.004625,1,6
growth,0.004478,2,76
behavior,0.004478,2,82
punish,0.004453,1,11
train,0.004399,3,306
empty,0.004392,2,97
stinginess,0.004304,1,21
clinical,0.004304,1,29
reconnect,0.004173,1,10
reflective,0.004173,1,23
mindset,0.004173,1,11
reverse,0.004173,1,9
homework,0.004173,1,9
system,0.004086,3,299
wordless,0.004055,1,14
serf,0.004055,1,11
ethical,0.004007,2,203
chaplain,0.003949,1,131
conditionality,0.003852,1,26
adapt,0.003852,1,14
wisdom,0.003830,4,545
kindness,0.003802,4,545
attunement,0.003763,1,15
summarize,0.003763,1,16
assess,0.003763,1,16
advise,0.003763,1,14
indirectly,0.003680,1,15
precede,0.003680,1,20
lama,0.003680,1,23
professional,0.003680,1,26
echo,0.003680,1,18
majority,0.003680,1,15
ordain,0.003603,1,28
