word,tfidf_score,talk_frequency,global_frequency
successor,0.021056,3,3
lamp,0.019682,4,14
fortify,0.018621,3,4
refuge,0.017065,7,175
island,0.016436,4,32
in-breath,0.015852,6,84
jhana,0.015367,6,276
death,0.014666,7,172
out-breath,0.013496,5,69
final,0.012428,5,72
lifelong,0.012414,2,3
virtue,0.011991,4,106
summarize,0.011543,3,18
summary,0.011543,3,20
immaterial,0.010791,2,5
invite,0.009489,7,330
unbind,0.009480,2,12
inspiration,0.009479,4,128
paraphrase,0.008218,2,21
rare,0.008218,2,15
serve,0.007314,3,123
immerse,0.007268,2,45
demonstrate,0.007022,2,30
unsay,0.007019,1,1
cloister,0.007019,1,1
pointedly,0.007019,1,1
nyanamoli,0.007019,1,1
departure,0.007019,1,1
selflessly,0.007019,1,1
reflect,0.006552,4,206
ethical,0.006392,3,205
speech,0.006338,3,226
aloud,0.006207,1,2
half-day,0.006207,1,3
16th,0.006207,1,2
sal,0.006207,1,2
appoint,0.006207,1,2
parinibbana,0.006207,1,2
knee-deep,0.006207,1,2
understatement,0.006207,1,2
vibrant,0.006207,1,2
outwards,0.005921,2,50
non-contention,0.005732,1,3
self-reflection,0.005732,1,3
soothe,0.005645,2,55
fourth,0.005533,3,166
die,0.005533,3,224
tree,0.005491,3,215
worldwide,0.005395,1,4
expound,0.005395,1,5
release,0.005312,4,320
last,0.005279,9,553
samadhi,0.005235,5,1556
systematically,0.005134,1,7
petal,0.005134,1,6
presumably,0.005134,1,5
digha,0.005134,1,6
split,0.005134,1,5
palpable,0.005134,1,5
peace,0.005109,7,664
meditative,0.005071,2,77
august,0.004921,1,6
beloved,0.004740,1,10
found,0.004740,1,14
beside,0.004740,1,9
yield,0.004740,1,18
relaxation,0.004739,2,70
soften,0.004646,6,572
gracious,0.004584,1,8
visitor,0.004584,1,11
remain,0.004449,2,91
homework,0.004446,1,9
story,0.004445,6,1137
travel,0.004334,2,112
surroundings,0.004322,1,10
glimpse,0.004322,1,17
scent,0.004322,1,24
mindset,0.004322,1,13
ease,0.004312,5,587
liberation,0.004298,2,121
gather,0.004268,3,366
steady,0.004261,2,174
privilege,0.004211,1,13
sangha,0.004121,2,239
brighten,0.004109,1,37
stroke,0.004109,1,20
mythic,0.004109,1,17
myth,0.004015,1,44
scatter,0.004015,1,42
chaplain,0.004015,1,170
bloom,0.003928,1,16
dissolution,0.003928,1,29
contemporary,0.003928,1,28
perspective,0.003926,2,202
lay,0.003895,2,146
groundedness,0.003848,1,24
support,0.003775,8,1043
savor,0.003772,1,26
indeed,0.003772,1,22
nibbana,0.003772,1,42
he'd,0.003772,1,23
benefit,0.003747,3,278
cultivate,0.003722,3,471
simplicity,0.003689,2,268
buddha,0.003673,9,1958
ancient,0.003606,2,166
enter,0.003598,3,384
priority,0.003571,1,25
disciple,0.003571,1,26
storm,0.003571,1,30
hospital,0.003571,1,54
ethically,0.003571,1,26
mess,0.003571,1,26
natural,0.003525,3,354
repeatedly,0.003511,1,26
refine,0.003511,1,32
late,0.003454,3,282
tongue,0.003454,1,30
total,0.003454,1,31
sensation,0.003436,5,907
receptivity,0.003399,1,28
contemplate,0.003399,1,34
reflection,0.003348,2,215
ripple,0.003347,1,33
sincerity,0.003347,1,43
jhanas,0.003347,1,58
nourishment,0.003347,1,44
equanimity,0.003300,2,461
framework,0.003297,1,47
season,0.003297,1,37
old,0.003252,2,202
concentration,0.003252,2,247
surrender,0.003250,1,81
gesture,0.003204,1,44
peaceful,0.003166,4,433
base,0.003161,2,223
promise,0.003076,1,46
accord,0.003036,1,38
equanimous,0.003036,1,75
light,0.003035,3,502
fruit,0.002998,1,52
kindness,0.002994,3,566
teach,0.002988,9,1555
son,0.002960,1,95
inward,0.002960,1,45
corner,0.002960,1,42
access,0.002924,1,48
town,0.002889,1,62
inner,0.002873,3,540
slow,0.002845,2,168
india,0.002823,1,81
speaker,0.002790,1,75
discourse,0.002790,1,95
basis,0.002790,1,59
reminder,0.002759,1,57
steadiness,0.002729,1,111
intentionally,0.002729,1,46
decision,0.002729,1,55
appreciate,0.002727,4,602
greet,0.002699,1,75
inspire,0.002693,2,260
action,0.002674,2,430
honest,0.002670,1,71
touch,0.002645,4,513
liberate,0.002642,1,72
fifth,0.002614,1,54
receptive,0.002588,1,83
brief,0.002588,1,102
nikaya,0.002588,1,69
generous,0.002588,1,97
calm,0.002569,3,853
sati,0.002561,1,113
notice,0.002537,5,1251
internal,0.002536,1,89
online,0.002536,1,61
fullness,0.002486,1,71
unknown,0.002438,1,51
cover,0.002438,1,72
age,0.002415,1,82
flower,0.002415,1,88
cultivation,0.002415,1,110
aliveness,0.002392,1,92
silent,0.002370,1,120
significant,0.002370,1,76
wise,0.002366,2,461
unify,0.002348,1,101
animal,0.002348,1,123
version,0.002348,1,98
order,0.002334,2,252
beneficial,0.002326,1,109
cool,0.002305,1,109
translation,0.002244,1,113
element,0.002224,1,185
contentment,0.002224,1,295
pull,0.002211,2,338
member,0.002205,1,189
near,0.002205,1,116
live,0.002205,6,1316
great,0.002187,5,964
matter,0.002152,2,303
seat,0.002149,1,121
