word,tfidf_score,talk_frequency,global_frequency
realm,0.058345,45,185
hell,0.043211,20,59
ghost,0.040516,13,28
rebirth,0.021770,9,43
cosmology,0.021109,8,23
heaven,0.016634,8,110
prison,0.015124,7,62
hungry,0.012252,6,51
map,0.012040,6,39
merit,0.011285,6,46
cosmos,0.010923,4,18
mansion,0.010784,3,4
scale,0.010594,5,29
compare,0.010581,7,75
manifest,0.010362,6,43
asura,0.009945,3,9
lesson,0.009551,5,50
nisabho,0.009350,3,10
ajahn,0.008777,6,108
reborn,0.008642,4,32
depiction,0.008192,3,10
heavenly,0.008192,3,18
animal,0.008166,6,118
invariance,0.008145,2,2
kamma,0.008145,2,2
peta,0.008145,2,2
xy,0.008145,2,2
niraya,0.008145,2,2
pattern,0.007706,6,129
deva,0.007672,3,28
huge,0.007494,6,99
depict,0.007454,3,15
unpopular,0.007189,2,3
parch,0.007189,2,3
axis,0.007189,2,3
speak,0.007187,12,421
kovilo,0.006630,2,13
temporal,0.006630,2,6
nibbana,0.006615,3,41
buddha,0.006599,26,1769
impossible,0.006356,3,25
interact,0.006046,4,55
dedicate,0.005980,4,55
disenchantment,0.005925,2,10
relative,0.005919,3,27
believe,0.005850,9,320
despair,0.005823,3,52
recollect,0.005674,2,12
recollection,0.005461,2,15
tree,0.005385,5,196
cool,0.005287,4,107
burn,0.005251,3,57
thirst,0.005115,2,14
brahman,0.005115,2,54
pierce,0.004969,2,13
knowledge,0.004747,3,110
law,0.004718,2,46
conditionality,0.004718,2,26
relevant,0.004638,3,51
echo,0.004607,2,17
anger,0.004588,5,346
worth,0.004389,3,74
cessation,0.004321,2,46
pond,0.004321,2,31
water,0.004294,6,484
faith,0.004252,3,172
shade,0.004237,2,18
apply,0.004202,4,165
mountain,0.004124,3,107
asuba,0.004073,1,1
unmetabolized,0.004073,1,1
ida,0.004073,1,1
paccayata,0.004073,1,1
this-that,0.004073,1,1
acknowledgement,0.004073,1,1
concurrent,0.004073,1,1
fractal,0.004073,1,1
mandelbrot,0.004073,1,1
macrocosm,0.004073,1,1
petavatthu,0.004073,1,1
supramundane,0.004073,1,1
jayasaro,0.004073,1,1
tucker,0.004073,1,1
virginia,0.004073,1,1
gati,0.004073,1,1
mahadukkhakkhandha,0.004073,1,1
charcoal,0.004073,1,1
cesspit,0.004073,1,1
scanty,0.004073,1,1
dapple,0.004073,1,1
jetsunma,0.004073,1,1
tenzin,0.004073,1,1
palmo,0.004073,1,1
basement,0.004073,1,1
penthouse,0.004073,1,1
z-axis,0.004073,1,1
oasis,0.004073,1,1
discernible,0.004073,1,1
psychedelically,0.004073,1,1
crescendo,0.004073,1,1
petas,0.004073,1,1
pinhole,0.004073,1,1
lateral,0.004073,1,1
bbc,0.004073,1,1
on-ramp,0.004073,1,1
wife,0.004013,2,39
century,0.003946,2,36
act,0.003913,5,311
husband,0.003882,2,41
dive,0.003821,2,29
fire,0.003817,3,144
cultivate,0.003605,5,447
moral,0.003599,2,72
unacknowledged,0.003595,1,2
luang,0.003595,1,2
por,0.003595,1,2
sumedho,0.003595,1,2
additionally,0.003595,1,2
micro,0.003595,1,2
canki,0.003595,1,2
epistemological,0.003595,1,2
pillar,0.003595,1,2
efficacy,0.003595,1,2
verify,0.003595,1,3
behoove,0.003595,1,2
pit,0.003595,1,2
rack,0.003595,1,3
foliage,0.003595,1,2
lush,0.003595,1,2
reprieve,0.003595,1,2
avici,0.003595,1,2
sustenance,0.003595,1,2
self-deprecating,0.003595,1,2
throe,0.003595,1,2
gluttonous,0.003595,1,2
substantially,0.003595,1,2
freeze,0.003549,2,49
hide,0.003501,2,52
imply,0.003454,2,39
heat,0.003454,2,44
cease,0.003409,2,53
characterize,0.003409,2,39
low,0.003399,3,130
array,0.003315,1,4
berate,0.003315,1,5
metric,0.003315,1,3
flashy,0.003315,1,3
cube,0.003315,1,3
lamentation,0.003315,1,4
esoteric,0.003315,1,3
worship,0.003315,1,10
psychic,0.003315,1,3
titan,0.003315,1,93
initiate,0.003315,1,3
pizza,0.003315,1,3
spoon,0.003315,1,3
kalamas,0.003315,1,6
eon,0.003315,1,11
angel,0.003315,1,3
view,0.003299,5,650
sutta,0.003285,3,307
die,0.003258,3,202
west,0.003241,2,54
parable,0.003117,1,15
inference,0.003117,1,4
accuracy,0.003117,1,5
exclusively,0.003117,1,4
dirty,0.003117,1,6
insect,0.003117,1,4
claustrophobia,0.003117,1,6
stingy,0.003117,1,4
mythology,0.003117,1,11
documentary,0.003117,1,4
contradiction,0.003117,1,6
immense,0.003117,1,5
regain,0.003117,1,4
relevance,0.003117,1,7
subject,0.003092,2,108
simile,0.003092,2,123
invite,0.003084,4,316
truth,0.003061,4,487
sati,0.003057,2,89
child,0.003051,3,202
spread,0.003051,3,233
finally,0.003026,3,148
story,0.002979,7,987
belief,0.002978,3,280
power,0.002978,3,215
edition,0.002963,1,6
snow,0.002963,1,25
twelve,0.002963,1,6
scheme,0.002963,1,5
candle,0.002963,1,8
final,0.002957,2,65
psychological,0.002957,2,69
wisdom,0.002950,5,536
state,0.002931,7,816
basically,0.002895,2,94
someone,0.002859,7,577
causality,0.002837,1,10
day-to-day,0.002837,1,6
enormous,0.002837,1,6
