word,tfidf_score,talk_frequency,global_frequency
puzzle,0.098003,39,50
jigsaw,0.086578,24,24
pieces,0.044012,28,87
puzzles,0.041392,13,16
lien,0.036074,10,10
shutt,0.032467,9,9
choice,0.024359,19,96
piece,0.022856,22,129
picture,0.014612,12,103
missing,0.014023,6,15
cardinal,0.012736,4,5
competitive,0.012736,4,5
bird,0.012186,9,76
yellow,0.012094,5,12
birds,0.011260,6,32
jay,0.011042,4,7
edge,0.010049,7,62
view,0.009777,14,365
fun,0.009550,8,103
nap,0.009349,4,12
girlfriend,0.008809,3,6
dharmic,0.008809,3,5
ken,0.008809,3,5
skillful,0.008356,7,130
lunch,0.007655,4,34
section,0.007367,4,25
blue,0.007235,4,64
nano,0.007215,2,2
sorted,0.007215,2,2
piles,0.007215,2,2
thousand-piece,0.007215,2,2
alzheimer's,0.007215,2,2
colors,0.006603,3,14
motivation,0.006469,4,52
martha,0.006368,2,3
engaging,0.006277,5,74
ones,0.006162,8,188
black,0.005986,3,20
eightfold,0.005961,4,83
sale,0.005873,2,8
perceiving,0.005741,3,25
result,0.005606,4,58
isn't,0.005579,11,390
habitual,0.005525,3,26
yard,0.005521,2,9
heads,0.005426,3,25
jane,0.005249,2,7
pattern,0.005076,3,49
merit,0.004998,3,44
tired,0.004923,3,38
hate,0.004775,4,92
obsessive,0.004674,2,13
karma,0.004651,3,75
buddhism,0.004640,8,503
pile,0.004530,2,15
luck,0.004530,2,31
looking,0.004487,12,491
fit,0.004205,3,58
family,0.004064,5,227
task,0.004017,3,61
box,0.003991,2,25
click,0.003991,2,28
corner,0.003991,2,22
lucky,0.003906,2,21
greedy,0.003906,2,20
chosen,0.003906,2,18
color,0.003827,2,37
dedicate,0.003827,2,20
hatred,0.003816,4,194
attitude,0.003784,4,188
brother,0.003753,2,35
passive,0.003753,2,19
put,0.003745,13,561
anxiety,0.003690,3,85
oh,0.003642,13,1322
naps,0.003607,1,1
kidding,0.003607,1,1
tome,0.003607,1,1
dump,0.003607,1,1
tedious,0.003607,1,1
face-up,0.003607,1,1
discriminating,0.003607,1,1
birch,0.003607,1,1
stripes,0.003607,1,1
beak,0.003607,1,1
puzzle-doing,0.003607,1,1
300-piece,0.003607,1,1
grouping,0.003607,1,1
right-and-wrong,0.003607,1,1
escher,0.003607,1,1
dads,0.003607,1,1
negotiates,0.003607,1,1
purposive,0.003607,1,1
accrued,0.003607,1,1
excitement,0.003555,2,33
finished,0.003495,2,24
satisfying,0.003478,3,111
limited,0.003384,2,41
big,0.003374,8,461
conditions,0.003364,5,359
causes,0.003289,3,92
decide,0.003282,2,53
already,0.003241,5,255
father,0.003234,2,46
obviously,0.003234,2,32
snore,0.003184,1,2
egypt,0.003184,1,2
adopted,0.003184,1,2
bags,0.003184,1,2
darker,0.003184,1,2
ooh,0.003184,1,3
sakkayaditthi,0.003184,1,2
stairs,0.003184,1,2
garage,0.003184,1,2
tape,0.003184,1,3
saran,0.003184,1,3
progressed,0.003184,1,2
parameters,0.003184,1,2
distraction,0.003144,2,41
buy,0.003101,2,46
choices,0.003101,2,51
sure,0.003100,5,247
found,0.003055,5,262
together,0.003054,18,1016
keep,0.003043,9,517
non-harming,0.003019,2,64
yet,0.003012,4,235
action,0.002985,3,173
interpret,0.002981,2,42
liked,0.002981,2,46
front,0.002960,3,114
renunciation,0.002943,2,68
pronouns,0.002936,1,3
sorting,0.002936,1,3
separately,0.002936,1,3
feathers,0.002936,1,3
divert,0.002936,1,4
solidifies,0.002936,1,3
fridge,0.002936,1,5
wiggle,0.002936,1,3
couldn't,0.002935,3,104
sleep,0.002907,2,55
several,0.002907,2,53
simpler,0.002837,2,68
noticing,0.002793,4,329
delusion,0.002792,3,211
forget,0.002771,2,46
nation,0.002761,1,4
retrospect,0.002761,1,4
blurry,0.002761,1,4
gig,0.002761,1,4
workers,0.002761,1,8
she'll,0.002761,1,4
impute,0.002761,1,7
confess,0.002761,1,8
completing,0.002761,1,4
border,0.002761,1,7
origins,0.002761,1,4
interactive,0.002761,1,4
image,0.002746,3,153
here's,0.002702,3,160
realize,0.002671,4,221
ochre,0.002624,1,5
purely,0.002624,1,5
non-greed,0.002624,1,7
volition,0.002624,1,6
passively,0.002624,1,6
trees,0.002620,2,84
control,0.002596,3,243
truths,0.002592,2,119
greed,0.002576,3,238
patterns,0.002564,2,78
dependent,0.002564,2,84
taught,0.002556,3,162
methods,0.002513,1,6
blend,0.002513,1,6
80s,0.002513,1,9
myriad,0.002513,1,6
towards,0.002491,6,469
lack,0.002485,2,83
evaluating,0.002419,1,9
discerning,0.002419,1,9
clicking,0.002419,1,8
papanca,0.002419,1,35
solidify,0.002419,1,10
input,0.002419,1,14
reveal,0.002419,1,11
volitional,0.002419,1,11
worry,0.002411,2,91
got,0.002405,5,534
name,0.002401,3,188
wake,0.002387,2,74
woke,0.002337,1,8
unease,0.002337,1,19
branches,0.002337,1,12
differentiate,0.002337,1,8
processing,0.002337,1,8
goodwill,0.002329,3,427
perspective,0.002297,2,145
you'd,0.002275,2,77
obsessed,0.002265,1,12
joke,0.002265,1,10
fond,0.002265,1,9
confidence,0.002233,2,156
shouldn't,0.002213,2,92
thick,0.002201,1,12
subtlety,0.002201,1,11
inclined,0.002201,1,10
resonates,0.002201,1,11
arms,0.002192,2,78
ah,0.002173,2,109
admit,0.002143,1,16
angle,0.002143,1,11
square,0.002143,1,16
wrap,0.002143,1,16
aware,0.002109,5,589
lately,0.002089,1,13
pandemic,0.002089,1,15
complexity,0.002089,1,17
besides,0.002089,1,15
suggesting,0.002089,1,12
disease,0.002089,1,16
mostly,0.002078,2,95
lived,0.002060,2,115
busy,0.002060,2,91
exchange,0.002041,1,15
forcing,0.002041,1,15
relates,0.002041,1,16
karuna,0.002041,1,33
cruelty,0.002041,1,19
livelihood,0.002041,1,42
working,0.002018,3,282
offered,0.002007,2,103
tiring,0.001995,1,25
brighter,0.001995,1,23
where's,0.001995,1,26
frustrated,0.001995,1,16
rushing,0.001995,1,19
traveling,0.001995,1,19
notes,0.001995,1,19
certainly,0.001989,3,202
noble,0.001973,2,263
moment,0.001963,18,1566
contract,0.001953,1,16
picked,0.001953,1,18
sutta,0.001940,2,307
eventually,0.001924,2,103
start,0.001916,9,869
especially,0.001916,3,202
cat,0.001914,1,33
overwhelming,0.001914,1,22
map,0.001914,1,35
someone,0.001900,5,541
figuring,0.001877,1,22
chant,0.001877,1,24
shy,0.001877,1,20
decisions,0.001877,1,20
drives,0.001877,1,23
case,0.001876,2,134
opportunity,0.001876,2,127
path,0.001866,4,779
choose,0.001861,2,161
teaching,0.001852,4,477
fits,0.001842,1,22
sila,0.001842,1,42
okay,0.001834,7,1126
gave,0.001831,2,129
hungry,0.001809,1,51
classically,0.001809,1,24
interaction,0.001809,1,22
energy,0.001806,3,405
days,0.001793,3,221
designed,0.001777,1,22
took,0.001759,2,151
essentially,0.001748,1,26
personality,0.001748,1,41
interact,0.001748,1,30
aspiration,0.001748,1,52
yesterday,0.001731,2,150
lie,0.001719,1,35
sentence,0.001719,1,27
frame,0.001719,1,27
figure,0.001717,2,169
east,0.001692,1,33
smooth,0.001692,1,30
interacting,0.001692,1,24
waking,0.001692,1,29
give,0.001681,6,593
point,0.001676,7,746
searching,0.001666,1,34
walked,0.001666,1,37
finish,0.001666,1,36
unskillful,0.001666,1,61
likes,0.001666,1,31
though,0.001664,3,233
yes,0.001664,3,378
late,0.001641,1,47
rush,0.001641,1,30
heart's,0.001641,1,35
helpful,0.001628,3,561
excited,0.001617,1,38
categories,0.001617,1,48
red,0.001617,1,42
afterwards,0.001617,1,29
dedication,0.001617,1,35
guys,0.001594,1,52
hi,0.001594,1,36
trained,0.001572,1,41
satisfaction,0.001572,1,36
putting,0.001564,2,168
happens,0.001545,4,406
decided,0.001530,1,42
fresh,0.001530,1,40
ways,0.001496,13,1055
hot,0.001490,1,58
shape,0.001490,1,42
shame,0.001490,1,44
realizing,0.001490,1,43
starts,0.001483,2,188
away,0.001481,10,1000
think,0.001473,18,2108
number,0.001472,2,199
service,0.001472,1,71
goes,0.001471,4,460
upon,0.001461,2,196
monastery,0.001453,1,83
moved,0.001453,1,49
walk,0.001450,2,253
bad,0.001428,2,261
investigate,0.001418,1,71
need,0.001409,7,986
spending,0.001402,1,53
dharma,0.001387,4,823
whenever,0.001385,1,43
whose,0.001385,1,43
eat,0.001385,1,68
main,0.001385,1,59
right,0.001371,15,2043
identify,0.001369,1,72
favorite,0.001369,1,57
share,0.001366,2,244
identity,0.001354,1,122
compassionate,0.001354,1,66
quality,0.001346,2,294
gives,0.001346,2,218
unless,0.001339,1,54
conditioned,0.001339,1,89
dear,0.001339,1,124
drive,0.001339,1,62
mind's,0.001324,1,58
thinking,0.001313,10,1621
