word,tfidf_score,talk_frequency,global_frequency
emotions,0.035022,57,281
outrage,0.028584,13,29
outraged,0.017282,7,13
enrage,0.016969,5,5
tree,0.013129,11,119
emotion,0.012602,11,106
poison,0.012423,6,34
sadness,0.011363,8,59
upright,0.009341,7,63
promising,0.008287,3,7
clark,0.008183,7,285
jim,0.008063,4,30
emotional,0.008003,12,228
toes,0.007863,4,15
fruit,0.007837,5,41
harmed,0.007679,4,19
diana,0.007422,7,338
sad,0.007196,5,52
milestone,0.006788,2,2
hillman,0.006788,2,2
yeah,0.006369,11,767
physical,0.006002,9,223
eyebrows,0.005991,2,4
milieu,0.005991,2,3
jack,0.005759,3,19
media,0.005757,4,60
whoa,0.005525,2,6
hammer,0.005525,2,5
giant,0.005513,3,26
terrible,0.005402,5,120
company,0.005401,3,27
transform,0.005198,3,39
fence,0.005194,2,6
meet,0.005059,9,293
cultural,0.004932,3,36
terror,0.004728,2,10
weren,0.004725,4,77
uncomfortable,0.004680,5,194
audience,0.004564,3,138
grief,0.004537,4,133
anger,0.004518,6,355
james,0.004262,2,12
story,0.004262,9,664
expressed,0.004206,3,48
cut,0.004153,3,47
medicine,0.004153,3,82
scientists,0.004141,2,13
kornfield,0.004141,2,15
avoid,0.004088,4,123
loneliness,0.004032,2,28
expressions,0.003932,2,13
missed,0.003932,2,15
office,0.003840,2,19
member,0.003822,3,132
scientist,0.003754,2,15
consider,0.003708,5,158
country,0.003697,3,70
rage,0.003675,2,23
okay,0.003661,15,1136
experienced,0.003651,5,180
ourself,0.003601,2,21
therapist,0.003531,2,27
fuel,0.003531,2,29
turns,0.003531,4,183
tears,0.003466,2,24
difficulties,0.003437,3,139
source,0.003417,4,274
temporally,0.003394,1,1
unflappable,0.003394,1,1
switzerland,0.003394,1,1
retreatant,0.003394,1,1
gesticulating,0.003394,1,1
outlets,0.003394,1,1
traded,0.003394,1,1
computers,0.003394,1,1
enviable,0.003394,1,1
intellectualizing,0.003394,1,1
rationalizing,0.003394,1,1
timetable,0.003394,1,1
communicates,0.003394,1,1
parasympathetic,0.003394,1,1
frantic,0.003394,1,1
diane,0.003394,1,1
bumper,0.003394,1,1
everybody,0.003390,4,196
meeting,0.003363,4,179
expressing,0.003288,2,25
despair,0.003288,2,46
energy,0.003250,6,428
depression,0.003235,2,32
chance,0.003211,3,86
rid,0.003211,3,124
increase,0.003184,2,41
extend,0.003184,2,29
type,0.003181,3,109
social,0.003181,3,122
turn,0.003178,6,276
stories,0.003165,5,366
somebody,0.003059,4,341
nervous,0.003043,2,53
snippets,0.002996,1,2
compact,0.002996,1,2
borders,0.002996,1,2
flickers,0.002996,1,2
kerfuffle,0.002996,1,2
manufacturing,0.002996,1,2
journeyed,0.002996,1,2
notably,0.002996,1,2
problemness,0.002996,1,3
metabolism,0.002996,1,2
fluttering,0.002996,1,2
breadcrumbs,0.002996,1,2
slumping,0.002996,1,2
fetal,0.002996,1,2
1980s,0.002996,1,2
advocating,0.002996,1,2
sticker,0.002996,1,2
trained,0.002958,2,42
gosh,0.002958,2,38
entirely,0.002958,2,36
ones,0.002877,4,189
humans,0.002857,3,121
comments,0.002832,3,97
wow,0.002791,4,210
disrespected,0.002762,1,3
signatures,0.002762,1,5
agrees,0.002762,1,3
unrelated,0.002762,1,3
rectangular,0.002762,1,3
drained,0.002762,1,3
intellectualization,0.002762,1,3
placement,0.002762,1,3
physiology,0.002762,1,3
timeline,0.002762,1,3
processed,0.002762,1,3
tremendous,0.002738,3,106
rich,0.002669,2,48
comment,0.002637,2,85
acknowledge,0.002637,2,60
oh,0.002611,10,1324
culturally,0.002597,1,4
professions,0.002597,1,4
advertising,0.002597,1,7
publicly,0.002597,1,6
stumble,0.002597,1,4
embarrassed,0.002597,1,4
stale,0.002597,1,8
disrupt,0.002597,1,4
miraculous,0.002597,1,4
constructive,0.002597,1,4
difficult,0.002552,5,332
support,0.002545,8,559
daily,0.002522,3,156
retreats,0.002519,2,72
absolutely,0.002492,2,64
trust,0.002482,3,196
rilke,0.002469,1,8
composite,0.002469,1,5
coloring,0.002469,1,6
perpetuating,0.002469,1,5
19th,0.002469,1,5
wildly,0.002469,1,8
price,0.002469,1,8
press,0.002469,1,13
poisonous,0.002469,1,6
extract,0.002469,1,6
secretly,0.002469,1,5
evolving,0.002469,1,5
disorientation,0.002469,1,9
put,0.002440,9,562
chest,0.002404,3,143
retreat,0.002368,4,317
water,0.002368,4,473
decade,0.002364,1,6
influencing,0.002364,1,7
pockets,0.002364,1,7
entertain,0.002364,1,7
fearless,0.002364,1,8
powerlessness,0.002364,1,9
80s,0.002364,1,9
position,0.002362,2,60
grows,0.002362,2,70
posture,0.002353,8,575
final,0.002338,2,72
particular,0.002325,6,430
loss,0.002314,2,117
problem,0.002294,3,212
respond,0.002291,2,94
fear,0.002282,4,448
friends,0.002277,3,215
lump,0.002276,1,11
gut,0.002276,1,14
determine,0.002276,1,9
movies,0.002276,1,12
striking,0.002276,1,10
collapsed,0.002276,1,11
backrest,0.002276,1,10
tangible,0.002276,1,7
spin,0.002276,1,10
exaggerated,0.002276,1,9
nail,0.002276,1,8
anyway,0.002268,2,71
believe,0.002265,4,279
turned,0.002246,2,83
cool,0.002246,2,100
messy,0.002199,1,9
outline,0.002199,1,8
influences,0.002199,1,8
stock,0.002199,1,13
wounds,0.002199,1,17
closeness,0.002199,1,8
overwhelm,0.002199,1,10
hat,0.002199,1,8
afraid,0.002161,2,103
resistance,0.002161,2,125
work,0.002154,9,850
perspective,0.002141,2,149
impact,0.002141,2,100
dread,0.002131,1,19
tv,0.002131,1,9
era,0.002131,1,11
europe,0.002131,1,10
economy,0.002131,1,10
fabricated,0.002131,1,10
tragedy,0.002131,1,11
worker,0.002131,1,14
evolve,0.002131,1,10
seasons,0.002131,1,10
saying,0.002128,6,653
individual,0.002121,2,68
