word,tfidf_score,talk_frequency,global_frequency
attentional,0.023555,9,47
observing,0.019875,10,62
vipassanā,0.019083,9,121
prefix,0.017945,5,12
sensing,0.015563,14,325
comprehension,0.013953,5,39
knowing,0.013095,24,630
observe,0.011925,6,63
river,0.011316,7,332
faculties,0.011222,5,60
recognition,0.010436,8,206
vs,0.009923,3,15
watching,0.009859,7,109
mindfulness,0.009062,23,1006
anupassanā,0.008709,2,4
anu,0.008709,2,3
aware,0.008584,15,593
cognitive,0.008152,4,59
clear,0.008064,17,544
awareness,0.007979,19,1270
sensations,0.007577,14,713
shore,0.007421,3,101
sampajañña,0.006873,2,14
vi,0.006616,2,10
seeing,0.006599,16,831
welcomes,0.006393,2,13
rooted,0.006361,3,66
established,0.006194,3,43
removed,0.005860,2,15
outdoors,0.005860,2,27
samadhi,0.005805,7,1428
recognizing,0.005734,5,175
waves,0.005619,3,94
washing,0.005457,2,21
directing,0.005457,2,23
wash,0.005457,2,19
visual,0.005133,2,24
understanding,0.005110,9,515
faculty,0.005038,2,24
simple,0.004947,10,581
auasana,0.004933,1,1
present,0.004466,19,1187
simplest,0.004423,2,43
greenery,0.004354,1,2
sajana,0.004354,1,2
leads,0.004225,3,173
emphasis,0.004153,3,106
oscillates,0.004016,1,3
vibrates,0.004016,1,3
bonfire,0.004016,1,3
indistinct,0.004016,1,3
distinctly,0.004016,1,3
actively,0.003975,2,44
thinkers,0.003775,1,7
outdoor,0.003775,1,5
observes,0.003775,1,4
blending,0.003775,1,6
distinguishes,0.003775,1,4
particularities,0.003775,1,4
monitoring,0.003775,1,4
easygoing,0.003775,1,4
aloof,0.003775,1,4
fireplace,0.003775,1,4
nothing,0.003728,7,464
capacities,0.003703,2,57
intimate,0.003703,2,53
play,0.003666,3,169
distinctive,0.003589,1,8
distinguishing,0.003589,1,10
handful,0.003589,1,7
scenery,0.003589,1,5
breathing,0.003583,10,1992
calming,0.003583,2,126
adjust,0.003583,2,51
greater,0.003579,3,216
capacity,0.003546,4,316
fire,0.003507,2,119
physicality,0.003437,1,8
divides,0.003437,1,10
holdings,0.003437,1,6
detached,0.003437,1,9
act,0.003414,3,211
touches,0.003399,2,56
awake,0.003364,2,74
perception,0.003364,2,168
shifts,0.003331,2,81
prepares,0.003308,1,7
steadied,0.003308,1,8
endlessly,0.003308,1,7
translate,0.003297,2,73
supports,0.003259,3,171
figure,0.003234,3,195
senses,0.003233,2,140
tactile,0.003196,1,15
thighs,0.003196,1,8
originally,0.003196,1,12
distinctions,0.003196,1,9
stabilized,0.003196,1,9
bench,0.003196,1,15
corrected,0.003171,2,67
practiced,0.003141,2,80
presence,0.003113,3,208
perspective,0.003112,2,149
differences,0.003098,1,10
coordinated,0.003098,1,24
lends,0.003098,1,9
generalized,0.003098,1,10
discerning,0.003098,1,11
quieter,0.003083,2,95
touching,0.002998,2,88
simply,0.002990,4,299
stiller,0.002930,1,14
