word,tfidf_score,talk_frequency,global_frequency
sīla,0.030025,6,21
lucid,0.016654,3,23
dream,0.015983,4,33
sleeper,0.015939,2,2
suggestible,0.015939,2,2
liars,0.015939,2,2
sila,0.014586,3,21
entails,0.014200,3,18
imperfections,0.014068,2,3
saint,0.014068,2,3
gracefulness,0.012974,2,4
ego,0.012842,4,78
idiosyncratic,0.011595,2,8
measure,0.011210,4,65
owe,0.011103,2,8
moral,0.010565,3,72
reflections,0.009959,4,94
ethical,0.009959,4,192
grieving,0.009467,2,22
evolution,0.009016,2,16
complete,0.008867,4,114
grieve,0.008816,2,21
final,0.008681,3,65
brensilver,0.008588,3,89
matthew,0.008497,3,91
cease,0.008292,2,32
radical,0.008235,3,82
expresses,0.008138,2,22
thread,0.007992,2,45
deaden,0.007969,1,1
caressed,0.007969,1,1
enjoins,0.007969,1,1
autobiographical,0.007969,1,1
asymmetry,0.007969,1,1
unwaveringly,0.007969,1,1
debts,0.007969,1,1
rationalize,0.007969,1,1
justifiable,0.007969,1,1
not-distant,0.007969,1,1
reconfiguration,0.007969,1,1
egregious,0.007969,1,1
incoherence,0.007969,1,1
sampled,0.007969,1,1
brahma-vihārās,0.007969,1,1
constellations,0.007969,1,1
upāya,0.007969,1,1
assimilating,0.007969,1,1
dumb,0.007969,1,1
recklessly,0.007969,1,1
cost-free,0.007969,1,1
dreamlike,0.007969,1,1
theologian,0.007969,1,1
abraham,0.007969,1,1
joshua,0.007969,1,1
heschel,0.007969,1,1
prophet,0.007969,1,1
octave,0.007969,1,1
defy,0.007969,1,1
moralizing,0.007969,1,1
assaulter,0.007969,1,1
derek,0.007969,1,1
parfit,0.007969,1,1
self-conquering,0.007969,1,1
interest,0.007911,3,103
separation,0.007722,2,39
humility,0.007596,2,31
thousand,0.007476,2,32
love,0.007442,16,1462
separated,0.007145,2,32
baited,0.007034,1,2
indivisibility,0.007034,1,3
stagnates,0.007034,1,3
conceivable,0.007034,1,2
steadfast,0.007034,1,2
indispensable,0.007034,1,3
alchemically,0.007034,1,2
improvisational,0.007034,1,2
morally,0.007034,1,2
inject,0.007034,1,2
expect,0.006850,2,37
universal,0.006502,2,54
secluded,0.006487,1,5
trustworthy,0.006487,1,5
paragraphs,0.006487,1,4
revisit,0.006487,1,3
self-discovery,0.006487,1,3
reverberations,0.006487,1,3
complicates,0.006487,1,4
obligations,0.006487,1,3
non-human,0.006487,1,4
animates,0.006487,1,5
rhythms,0.006487,1,3
conscience,0.006487,1,3
grieved,0.006487,1,4
robbed,0.006487,1,4
delusion,0.006167,3,211
dharma,0.006130,8,823
write,0.006121,2,52
