word,tfidf_score,talk_frequency,global_frequency
speak,0.023108,41,509
conversation,0.021786,21,214
speech,0.019896,16,226
track,0.012552,9,99
criterion,0.012392,5,56
mindful,0.011247,14,286
effective,0.010586,6,44
guideline,0.010467,4,17
pause,0.009624,8,201
polite,0.009527,3,8
impulse,0.009330,6,73
timely,0.008688,3,11
beneficial,0.008215,6,109
communicate,0.008131,4,33
questioner,0.007537,5,258
question,0.007523,17,888
relationship,0.007412,14,522
meanness,0.007306,2,4
ask,0.007133,16,723
impact,0.006878,6,142
excuse,0.006794,3,20
communal,0.006351,2,5
useful,0.006332,10,293
social,0.006323,5,136
friendly,0.006092,4,122
mindfulness,0.006062,18,1055
speed,0.005738,3,31
email,0.005738,3,41
cookie,0.005580,2,24
true,0.005508,9,423
hurt,0.005428,5,143
truthful,0.005396,2,9
difficult,0.005170,8,339
potluck,0.005088,2,23
bathroom,0.004957,2,16
artificial,0.004957,2,13
wait,0.004955,6,233
hostile,0.004837,2,16
mutual,0.004726,2,23
operate,0.004717,5,262
fronsdal,0.004635,8,319
truth,0.004626,6,536
gil,0.004586,11,468
dress,0.004440,2,19
create,0.004381,11,566
accept,0.004376,4,151
awkward,0.004278,2,26
you've,0.004226,7,365
justify,0.004203,2,20
silent,0.004184,3,120
silence,0.004181,4,208
goodwill,0.004157,5,540
political,0.004133,2,35
knowledgeable,0.004131,1,1
misread,0.004131,1,1
ambiguous,0.004131,1,1
domineer,0.004131,1,1
contextualize,0.004131,1,1
sly,0.004131,1,1
overshare,0.004131,1,1
kitchen,0.004065,2,55
fast,0.004034,3,97
table,0.004001,2,34
minute,0.003891,7,365
internally,0.003881,2,43
deserve,0.003881,2,35
harsh,0.003825,2,45
anxious,0.003669,2,40
furiously,0.003653,1,2
counterproductive,0.003653,1,2
forfeit,0.003653,1,3
follow-on,0.003653,1,2
situation,0.003651,5,342
critical,0.003574,2,38
family,0.003396,4,278
truthfully,0.003374,1,3
signpost,0.003374,1,3
texting,0.003374,1,3
multi-layered,0.003374,1,3
strategic,0.003374,1,4
unexamined,0.003374,1,7
indication,0.003374,1,3
uncomfortable,0.003333,3,211
emotion,0.003320,5,397
person,0.003302,12,1156
bad,0.003298,5,467
discourse,0.003285,2,95
respond,0.003282,3,164
space,0.003237,7,755
supportive,0.003232,3,140
powerfully,0.003176,1,4
immense,0.003176,1,5
terribly,0.003176,1,6
setup,0.003176,1,5
hostility,0.003110,2,91
tone,0.003110,2,104
welfare,0.003046,2,106
unwelcome,0.003022,1,5
waft,0.003022,1,9
interpersonally,0.003022,1,5
attentive,0.002955,2,58
loud,0.002926,2,65
treat,0.002926,2,67
chance,0.002913,3,164
concord,0.002896,1,21
bus,0.002896,1,13
mutually,0.002896,1,6
checklist,0.002896,1,7
innate,0.002896,1,9
group,0.002790,3,265
cope,0.002790,1,7
ahead,0.002789,2,78
wise,0.002785,4,461
scream,0.002698,1,9
closeness,0.002698,1,8
gracious,0.002698,1,8
affirm,0.002698,1,9
divisiveness,0.002617,1,11
self-understanding,0.002544,1,13
animosity,0.002544,1,14
socially,0.002544,1,11
disrespect,0.002544,1,10
dialogue,0.002544,1,18
memorize,0.002544,1,24
slow,0.002512,3,168
trouble,0.002487,2,94
intent,0.002478,1,19
deal,0.002446,2,115
hook,0.002418,1,27
reason,0.002415,4,296
gentle,0.002377,3,277
they've,0.002367,2,105
pace,0.002363,1,17
foster,0.002363,1,17
issue,0.002329,2,126
fill,0.002329,3,250
clarify,0.002312,1,21
yell,0.002312,1,18
communication,0.002312,1,18
hang,0.002311,2,108
receive,0.002297,3,378
angry,0.002293,2,186
you'll,0.002282,3,238
compose,0.002265,1,51
nuance,0.002265,1,21
unsettle,0.002265,1,31
bar,0.002265,1,24
meantime,0.002265,1,17
examine,0.002220,1,28
agency,0.002220,1,22
benefit,0.002205,3,278
everyone,0.002180,5,480
justice,0.002178,1,23
permission,0.002178,1,21
apply,0.002171,2,168
wonder,0.002171,2,150
door,0.002171,2,157
stop,0.002148,4,480
tremendously,0.002139,1,18
unity,0.002139,1,54
judgment,0.002138,2,187
mess,0.002102,1,26
confident,0.002102,1,27
fine,0.002075,2,153
awful,0.002066,1,37
opposite,0.002059,2,134
hey,0.002033,1,31
listen,0.002006,3,480
knot,0.002001,1,43
alone,0.002000,2,154
translator,0.001970,1,27
aim,0.001970,1,38
protest,0.001970,1,34
smooth,0.001913,1,37
big,0.001901,5,692
quiet,0.001863,4,648
feedback,0.001859,1,42
learn,0.001855,7,831
right,0.001836,20,2321
nervous,0.001834,1,55
there'll,0.001834,1,35
ready,0.001821,2,187
hear,0.001812,5,937
work,0.001800,9,1422
wisely,0.001787,1,34
integrate,0.001764,1,64
witness,0.001764,1,58
inform,0.001764,1,41
nature,0.001762,3,413
shut,0.001742,1,46
complex,0.001742,1,43
softness,0.001742,1,39
phone,0.001721,1,65
loop,0.001721,1,43
dynamic,0.001721,1,56
every,0.001718,4,517
capable,0.001701,1,43
care,0.001655,8,1725
possible,0.001642,4,542
development,0.001642,1,58
quick,0.001642,1,44
trigger,0.001642,1,48
ring,0.001624,1,68
room,0.001622,3,461
friendliness,0.001589,1,178
midst,0.001589,1,56
beautiful,0.001588,3,592
statement,0.001572,1,71
favorite,0.001572,1,59
category,0.001572,1,77
motivation,0.001555,1,76
friendship,0.001555,1,129
motivate,0.001539,1,60
window,0.001539,1,74
fifth,0.001539,1,54
harmful,0.001539,1,87
inside,0.001533,3,459
strong,0.001533,3,477
stay,0.001533,5,872
upset,0.001523,1,54
external,0.001523,1,73
conflict,0.001523,1,324
interact,0.001523,1,59
nice,0.001509,4,579
environment,0.001507,1,65
online,0.001492,1,61
closely,0.001477,1,56
fight,0.001477,1,105
invaluable,0.001477,1,73
lens,0.001463,1,71
final,0.001463,1,72
bless,0.001463,1,121
certainly,0.001460,2,219
healthy,0.001460,2,329
mean,0.001454,11,1547
positive,0.001449,1,84
recently,0.001449,1,63
carefully,0.001449,1,58
didn't,0.001449,3,543
weren't,0.001435,1,80
active,0.001435,1,67
news,0.001421,1,77
school,0.001421,1,104
area,0.001402,2,281
significant,0.001395,1,76
growth,0.001395,1,78
inspiration,0.001395,1,128
constantly,0.001395,1,96
sure,0.001393,2,267
necessary,0.001382,1,68
tie,0.001382,1,77
half,0.001345,1,104
consideration,0.001345,1,69
bell,0.001345,1,116
somewhat,0.001345,1,77
single,0.001333,1,90
translation,0.001321,1,113
sens,0.001321,1,153
expectation,0.001321,1,113
course,0.001314,4,733
doe,0.001312,5,916
kid,0.001309,1,110
pull,0.001301,2,338
topic,0.001301,2,276
people,0.001293,25,3497
agitation,0.001287,1,115
cause,0.001284,2,416
otherwise,0.001276,1,98
stage,0.001276,1,135
usually,0.001275,2,260
sometimes,0.001268,19,1977
pas,0.001265,1,95
hopefully,0.001265,1,88
heal,0.001254,1,120
represent,0.001254,1,111
it'll,0.001254,1,103
leave,0.001241,3,511
voice,0.001233,1,116
huge,0.001233,1,110
culture,0.001233,1,144
yes,0.001224,2,418
set,0.001216,2,332
contribute,0.001213,1,108
wisdom,0.001207,2,556
metta,0.001203,1,461
reality,0.001203,1,126
eat,0.001203,1,142
send,0.001193,1,127
recognize,0.001186,3,700
sound,0.001175,2,508
quietly,0.001174,1,102
depend,0.001174,1,113
expect,0.001165,1,105
background,0.001165,1,124
clean,0.001155,1,151
circle,0.001155,1,159
lay,0.001146,1,146
important,0.001141,5,881
attend,0.001128,1,135
period,0.001128,1,114
express,0.001120,1,154
invitation,0.001111,1,141
warm,0.001102,1,128
authoritative,0.001094,1,85
careful,0.001094,1,134
catch,0.001089,2,488
probably,0.001089,2,360
response,0.001086,1,208
couldn't,0.001077,1,116
plan,0.001077,1,164
warmth,0.001077,1,164
another,0.001070,4,796
obvious,0.001069,1,152
lose,0.001051,2,450
bring,0.001038,6,1269
orient,0.001037,1,223
must,0.001022,1,158
balance,0.001015,1,239
somehow,0.001001,2,340
quote,0.001000,1,156
comment,0.001000,1,200
food,0.000992,1,203
reflection,0.000985,1,215
new,0.000973,2,558
community,0.000971,1,371
reflect,0.000964,1,206
piece,0.000957,1,232
q,0.000957,1,131
list,0.000950,1,287
run,0.000943,1,159
somebody,0.000943,1,363
greed,0.000937,1,263
pretty,0.000937,1,183
approach,0.000937,1,282
opportunity,0.000937,1,180
lot,0.000924,11,1640
imc,0.000924,1,179
high,0.000924,1,246
emphasize,0.000924,1,177
record,0.000910,1,121
context,0.000910,1,209
saw,0.000904,1,198
common,0.000898,1,175
line,0.000898,1,230
interest,0.000892,2,547
break,0.000891,1,206
powerful,0.000891,1,182
ground,0.000885,1,242
well,0.000882,6,1406
oneself,0.000879,1,197
provide,0.000879,1,220
trust,0.000861,1,294
bear,0.000849,1,249
anything,0.000846,4,883
offer,0.000833,3,742
emotional,0.000831,1,232
pressure,0.000831,1,273
attitude,0.000826,1,304
answer,0.000814,1,263
pali,0.000814,1,240
comfortable,0.000809,1,217
continue,0.000803,2,439
ability,0.000798,1,246
invite,0.000798,1,330
value,0.000798,1,242
someone,0.000797,2,675
play,0.000792,1,289
inspire,0.000792,1,260
behind,0.000782,1,202
side,0.000782,1,297
quite,0.000772,3,733
might,0.000769,16,2246
seem,0.000766,2,526
concern,0.000761,1,290
pleasure,0.000750,1,727
look,0.000744,6,1512
rather,0.000742,2,578
water,0.000740,1,497
head,0.000735,1,276
already,0.000735,1,272
translate,0.000730,1,279
tradition,0.000725,1,356
world,0.000724,10,2570
direction,0.000711,1,262
face,0.000711,1,256
want,0.000710,16,3191
either,0.000706,1,238
ago,0.000706,1,279
wrong,0.000696,1,346
need,0.000695,6,1638
natural,0.000692,1,354
able,0.000690,2,658
last,0.000690,2,553
turn,0.000679,2,703
late,0.000678,1,282
back,0.000670,7,1553
consider,0.000664,1,301
long,0.000661,5,987
well-being,0.000655,1,593
fact,0.000651,1,255
body,0.000648,10,3405
develop,0.000646,1,380
capacity,0.000646,1,423
understand,0.000635,3,1281
matter,0.000633,1,303
good,0.000630,17,2632
