word,tfidf_score,talk_frequency,global_frequency
loving-kindness,0.017164,19,185
insufficiency,0.015766,7,15
diana,0.013450,14,353
lovable,0.012464,6,24
clark,0.011610,11,298
navy,0.010914,4,7
poem,0.010748,12,404
metta,0.009937,11,453
puppy,0.009460,5,16
save,0.009247,7,81
questioner,0.009169,8,242
resistance,0.008969,9,123
aversion,0.008467,14,484
uncomfortable,0.008244,10,207
seal,0.008186,3,5
control,0.007763,11,279
warm-heartedness,0.007370,4,50
achieve,0.007185,5,36
attain,0.005793,5,70
goodwill,0.005727,9,504
kitten,0.005527,3,17
yes,0.005142,11,400
adore,0.005036,2,5
unjaded,0.005036,2,5
saccharine,0.005036,2,4
warmheartedness,0.005036,2,6
uncle,0.005036,2,4
giant,0.004943,3,27
ridiculously,0.004736,2,7
lilac,0.004736,2,6
exuberance,0.004736,2,6
inertia,0.004736,2,7
hungry,0.004675,3,51
war,0.004635,4,74
frighten,0.004595,3,30
soil,0.004595,3,48
honor,0.004584,4,82
message,0.004536,4,65
unlovable,0.004505,2,7
converse,0.004505,2,7
daunt,0.004505,2,7
wildly,0.004505,2,8
depend,0.004366,5,111
match,0.004311,3,44
okay,0.004169,18,1161
insufficient,0.004155,2,12
courageous,0.004155,2,14
anyway,0.004140,4,72
warmth,0.004024,5,155
nation,0.004016,2,11
oneself,0.003990,6,190
love,0.003878,27,1743
fix,0.003874,6,284
baby,0.003814,3,68
indifference,0.003784,2,17
inadequacy,0.003784,2,13
briefly,0.003636,3,52
race,0.003594,2,16
regard,0.003554,3,77
foster,0.003511,2,17
cruelty,0.003511,2,19
p,0.003511,2,16
gateway,0.003511,2,23
rosemary,0.003434,2,35
rarely,0.003434,2,17
shoot,0.003434,2,38
turn,0.003424,14,691
familiar,0.003374,5,181
absolutely,0.003366,3,67
importantly,0.003363,2,16
street,0.003331,3,91
seed,0.003331,3,90
couldn't,0.003324,4,108
stumble,0.003295,2,18
wahtola,0.003173,2,30
trommer,0.003173,2,34
disappoint,0.003173,2,25
obvious,0.003143,4,151
snowman,0.003089,1,1
squeaky-clean,0.003089,1,1
robotic,0.003089,1,1
sappy,0.003089,1,1
reprise,0.003089,1,1
terrorist,0.003089,1,1
300th,0.003089,1,1
seriously,0.003063,2,26
shock,0.003063,2,26
monday,0.002990,3,69
selfish,0.002964,2,30
friday,0.002964,2,29
creative,0.002964,2,39
acknowledge,0.002882,3,99
promote,0.002874,2,40
wrap,0.002791,2,42
surprise,0.002782,3,90
respect,0.002760,4,232
fee,0.002752,2,41
wakeup,0.002729,1,2
individuality,0.002729,1,2
unreal,0.002729,1,2
drummer,0.002729,1,4
reciprocate,0.002729,1,2
assassinate,0.002729,1,3
slob,0.002729,1,2
socialize,0.002729,1,2
fear,0.002725,6,506
interaction,0.002677,2,39
freeze,0.002677,2,50
often,0.002659,17,1090
impact,0.002642,3,132
trust,0.002621,4,278
lovely,0.002534,3,119
quadrillion,0.002518,1,3
bazillion,0.002518,1,3
heartbreaking,0.002518,1,3
ooey-gooey,0.002518,1,3
binary,0.002518,1,3
contrive,0.002518,1,3
uniqueness,0.002518,1,5
humanness,0.002518,1,3
frank,0.002518,1,3
portal,0.002518,1,3
excise,0.002518,1,3
neuroplasticity,0.002518,1,3
mechanical,0.002518,1,3
sheepishly,0.002518,1,4
hypothetical,0.002518,1,4
iteration,0.002518,1,3
mixture,0.002518,1,3
girlfriend,0.002518,1,6
switch,0.002512,2,45
soothe,0.002512,2,53
type,0.002493,3,182
demand,0.002482,2,45
towards,0.002456,7,494
gentle,0.002437,4,267
phrase,0.002434,3,184
care,0.002429,15,1613
aren't,0.002414,3,135
kill,0.002396,2,123
among,0.002369,2,62
category,0.002369,2,75
constrain,0.002368,1,4
burbea,0.002368,1,5
reorientation,0.002368,1,11
athlete,0.002368,1,4
speculate,0.002368,1,4
big,0.002341,8,662
stop,0.002338,6,474
teacher,0.002321,6,566
heart,0.002313,20,1680
healthy,0.002268,4,293
ephemeral,0.002252,1,5
adequate,0.002252,1,5
grandchild,0.002252,1,7
radar,0.002252,1,5
mission,0.002252,1,8
tidy,0.002252,1,7
positive,0.002221,2,79
cultivate,0.002204,4,462
plant,0.002198,2,95
upbringing,0.002158,1,11
bos,0.002158,1,6
obsession,0.002158,1,8
completely,0.002157,4,252
actual,0.002111,2,87
meet,0.002089,6,610
person,0.002087,10,1105
generic,0.002077,1,7
overflow,0.002077,1,8
germinate,0.002077,1,10
neat,0.002077,1,10
anger,0.002055,3,354
task,0.002050,2,77
notion,0.002031,2,99
retreat,0.002023,4,401
wish,0.002015,7,583
cute,0.002008,1,16
unrealistic,0.002008,1,8
tuesday,0.002008,1,13
president,0.002008,1,14
single,0.001993,2,87
definitely,0.001993,2,79
immediately,0.001975,2,77
help,0.001966,12,866
beautiful,0.001963,5,559
speech,0.001957,2,184
gross,0.001947,1,12
succeed,0.001947,1,10
sprout,0.001947,1,12
suspend,0.001947,1,10
repeat,0.001921,2,81
confidence,0.001921,2,159
force,0.001909,3,220
matter,0.001897,4,293
generalization,0.001892,1,16
sufficient,0.001892,1,12
cleanse,0.001892,1,20
coach,0.001892,1,16
mentor,0.001892,1,10
pilot,0.001892,1,16
avenue,0.001892,1,10
voice,0.001854,2,113
reality,0.001854,2,120
insubstantial,0.001842,1,26
arc,0.001842,1,30
exaggerate,0.001842,1,16
artificial,0.001842,1,13
march,0.001842,1,20
saturday,0.001842,1,11
helpful,0.001830,4,578
start,0.001816,19,1524
actually,0.001811,12,1098
send,0.001807,2,120
anyone,0.001807,2,120
yep,0.001797,1,22
purification,0.001797,1,33
machine,0.001797,1,19
elaborate,0.001797,1,15
thursday,0.001756,1,18
choose,0.001750,3,259
childhood,0.001717,1,19
underestimate,0.001717,1,19
wednesday,0.001717,1,21
leader,0.001717,1,62
externally,0.001717,1,22
soften,0.001714,5,549
open,0.001709,15,1220
invitation,0.001703,2,133
exception,0.001681,1,15
difference,0.001665,3,233
arm,0.001662,2,122
dismissive,0.001648,1,21
annoy,0.001648,1,28
ultimately,0.001648,1,21
insist,0.001648,1,28
dress,0.001648,1,19
room,0.001641,4,435
always,0.001637,8,742
hear,0.001629,6,864
passive,0.001616,1,19
authoritative,0.001597,2,85
limit,0.001597,2,181
foundation,0.001597,2,165
education,0.001587,1,76
hunger,0.001587,1,19
precisely,0.001587,1,22
joyful,0.001587,1,29
ruminate,0.001587,1,24
restless,0.001587,1,29
frustrate,0.001587,1,20
laugh,0.001587,1,44
order,0.001561,3,240
energetic,0.001558,1,29
prayer,0.001558,1,52
expression,0.001547,2,130
exactly,0.001539,3,239
show,0.001536,4,545
ease,0.001536,4,551
unfold,0.001535,2,170
rob,0.001532,1,36
risk,0.001532,1,25
uncommon,0.001532,1,24
idea,0.001525,13,1638
child,0.001500,2,213
must,0.001500,2,157
wasn't,0.001496,3,293
dry,0.001482,1,39
season,0.001482,1,34
sunday,0.001482,1,28
enough,0.001478,8,750
stuff,0.001466,2,185
inadequate,0.001459,1,32
undermine,0.001459,1,30
deserve,0.001459,1,33
crazy,0.001459,1,29
internally,0.001459,1,42
try,0.001454,14,1286
seem,0.001451,5,500
didn't,0.001447,4,516
unhelpful,0.001437,1,49
smooth,0.001437,1,33
orientation,0.001433,2,204
happen,0.001432,23,2094
gentleness,0.001416,1,37
integral,0.001416,1,31
mix,0.001416,1,29
safe,0.001403,6,430
far,0.001402,3,361
standard,0.001395,1,32
we'd,0.001395,1,36
there'll,0.001395,1,33
somebody,0.001390,2,352
reject,0.001376,1,47
restlessness,0.001376,1,75
train,0.001370,2,306
reason,0.001363,3,277
powerful,0.001360,2,166
poet,0.001357,1,49
irritate,0.001339,1,46
personality,0.001339,1,53
fail,0.001339,1,50
question,0.001330,4,845
notice,0.001326,6,1217
share,0.001324,3,462
contrast,0.001321,1,40
gosh,0.001321,1,43
amount,0.001310,2,172
tell,0.001309,4,580
softness,0.001304,1,38
exact,0.001304,1,39
outwards,0.001304,1,48
pretend,0.001287,1,50
remarkable,0.001287,1,53
hot,0.001287,1,62
sad,0.001287,1,55
inner,0.001286,3,485
expand,0.001282,2,186
every,0.001278,4,493
shame,0.001271,1,46
universal,0.001271,1,54
freely,0.001271,1,56
responsibility,0.001271,1,49
dimension,0.001256,1,57
burden,0.001256,1,46
knee,0.001241,1,73
reminder,0.001241,1,54
wait,0.001236,2,225
realize,0.001231,3,412
number,0.001227,2,218
walk,0.001222,3,552
bright,0.001212,1,68
intentionally,0.001212,1,42
tighten,0.001212,1,60
jaw,0.001212,1,48
instead,0.001204,3,462
dharma,0.001199,4,842
grab,0.001198,1,77
invite,0.001192,2,319
problem,0.001184,2,294
subject,0.001171,1,109
stay,0.001169,5,826
collect,0.001159,1,72
willingness,0.001159,1,72
you'll,0.001150,2,227
mistake,0.001146,1,59
zoom,0.001146,1,81
may,0.001144,15,2204
truth,0.001142,2,525
world,0.001123,20,2405
brief,0.001122,1,102
jump,0.001110,1,62
closely,0.001110,1,53
subtle,0.001102,2,377
fight,0.001099,1,103
woman,0.001099,1,171
worth,0.001088,1,77
differently,0.001088,1,56
different,0.001084,17,1936
weren't,0.001066,1,79
want,0.001058,30,3042
wrong,0.001048,2,333
growth,0.001045,1,76
potential,0.001035,1,85
aspect,0.001026,2,271
version,0.001025,1,97
flavor,0.001006,1,81
relief,0.001006,1,105
wholeness,0.001006,1,155
hate,0.001006,1,95
home,0.000990,2,259
distinction,0.000987,1,99
afraid,0.000987,1,104
element,0.000978,1,183
goal,0.000978,1,131
terrible,0.000978,1,124
toward,0.000969,1,153
position,0.000969,1,86
detail,0.000961,1,106
aside,0.000961,1,112
agitate,0.000961,1,107
peace,0.000959,3,645
heal,0.000952,1,107
naturally,0.000952,1,87
habit,0.000952,1,116
compassion,0.000948,2,676
discussion,0.000944,1,90
specific,0.000944,1,93
highlight,0.000944,1,105
travel,0.000944,1,111
early,0.000942,2,292
connect,0.000936,3,666
culture,0.000935,1,138
others,0.000927,6,1077
shouldn't,0.000927,1,98
ah,0.000927,1,125
recognize,0.000914,3,668
forget,0.000911,1,94
true,0.000908,2,416
continue,0.000907,3,423
judge,0.000903,1,113
kindness,0.000889,2,545
work,0.000884,6,1360
easily,0.000881,1,100
hang,0.000881,1,101
busy,0.000881,1,94
sound,0.000876,2,490
experience,0.000874,16,3121
cushion,0.000873,1,116
expect,0.000873,1,102
isn't,0.000870,2,406
step,0.000870,2,419
chair,0.000866,1,105
lay,0.000859,1,142
night,0.000859,1,174
express,0.000845,1,147
effect,0.000845,1,165
appreciation,0.000838,1,209
nice,0.000835,3,559
whether,0.000833,2,315
practice,0.000830,46,3793
everything,0.000827,4,902
sometimes,0.000825,16,1897
minute,0.000821,2,353
hatred,0.000818,1,198
haven't,0.000818,1,100
tremendous,0.000811,1,112
openness,0.000811,1,140
wouldn't,0.000811,1,131
would,0.000810,10,2002
bring,0.000808,6,1197
die,0.000805,1,217
apply,0.000805,1,166
separate,0.000798,1,144
mine,0.000798,1,232
well,0.000798,7,1348
quite,0.000794,4,701
recognition,0.000792,1,217
relationship,0.000791,2,498
call,0.000787,6,1053
avoid,0.000786,1,173
gift,0.000780,1,147
opposite,0.000780,1,127
quality,0.000774,2,625
everybody,0.000774,1,199
explore,0.000774,1,197
fine,0.000774,1,150
concept,0.000768,1,259
large,0.000756,1,143
comment,0.000756,1,194
power,0.000750,1,219
somehow,0.000745,2,321
top,0.000744,1,180
chance,0.000739,1,153
focus,0.000734,2,607
right,0.000731,10,2158
freedom,0.000729,2,638
mention,0.000727,1,157
course,0.000727,3,696
part,0.000710,12,1621
exist,0.000706,1,164
necessarily,0.000706,1,149
hour,0.000700,1,193
context,0.000700,1,185
pretty,0.000700,1,176
people,0.000700,17,3319
keep,0.000693,4,817
particular,0.000691,2,446
imc,0.000690,1,175
many,0.000681,7,1092
saw,0.000680,1,191
live,0.000678,4,1197
line,0.000675,1,222
record,0.000670,1,119
common,0.000670,1,167
intention,0.000665,1,261
drive,0.000665,1,198
family,0.000646,1,266
yet,0.000641,1,240
pressure,0.000632,1,263
shoulder,0.000627,1,211
upon,0.000618,1,204
sort,0.000618,1,279
possible,0.000614,2,523
answer,0.000614,1,250
someone,0.000609,2,638
doe,0.000602,3,877
play,0.000600,1,275
appreciate,0.000595,2,588
fill,0.000592,1,233
discover,0.000588,1,312
build,0.000588,1,236
life,0.000575,17,2821
direct,0.000567,1,272
middle,0.000563,1,227
clear,0.000561,2,577
happy,0.000560,4,873
already,0.000559,1,259
translate,0.000559,1,258
today,0.000553,4,842
benefit,0.000543,1,270
buddhist,0.000543,2,833
head,0.000539,1,270
whatever,0.000525,6,1202
sure,0.000524,1,256
mindfulness,0.000516,2,990
listen,0.000513,1,392
thank,0.000510,8,1197
natural,0.000509,1,343
forward,0.000506,1,229
describe,0.000502,1,280
real,0.000502,1,233
emotion,0.000499,1,388
without,0.000497,4,982
fact,0.000491,1,245
pull,0.000488,1,326
push,0.000488,1,318
develop,0.000484,1,366
difficult,0.000484,1,329
energy,0.000484,1,443
certain,0.000480,2,631
believe,0.000478,1,337
pain,0.000474,1,514
though,0.000471,1,242
relate,0.000471,1,331
teach,0.000453,3,1458
you've,0.000451,1,357
read,0.000441,1,427
assume,0.000438,1,239
change,0.000438,2,1441
thing,0.000433,24,4908
arise,0.000409,2,1074
make,0.000402,16,2446
path,0.000393,1,849
away,0.000388,3,1020
much,0.000388,12,1676
calm,0.000384,1,810
great,0.000381,2,937
condition,0.000378,1,691
inside,0.000375,1,441
movement,0.000370,1,456
grow,0.000364,1,508
use,0.000362,3,1198
new,0.000356,1,551
breathe,0.000354,2,2491
word,0.000343,4,1369
ask,0.000335,1,679
whole,0.000328,2,1151
bite,0.000324,4,1541
within,0.000320,1,533
moment,0.000319,5,1854
introduction,0.000310,1,280
leave,0.000310,1,488
create,0.000307,1,538
together,0.000302,2,1029
mean,0.000302,3,1471
become,0.000292,6,1773
simple,0.000290,1,721
touch,0.000288,1,497
rather,0.000288,1,543
else,0.000285,1,562
look,0.000282,3,1467
present,0.000277,2,1238
around,0.000272,3,1159
year,0.000262,1,830
rest,0.000262,1,558
sense,0.000259,8,2977
little,0.000238,6,2387
think,0.000233,34,5995
allow,0.000214,2,1528
might,0.000212,6,2167
good,0.000206,7,2501
another,0.000203,1,767
mind,0.000198,11,4578
even,0.000198,13,1894
learn,0.000197,1,781
end,0.000196,3,1107
begin,0.000194,2,1436
lot,0.000191,3,1541
week,0.000189,1,717
put,0.000183,1,810
place,0.000178,2,1599
still,0.000177,1,804
important,0.000175,1,824
need,0.000172,2,1576
link,0.000171,1,522
understand,0.000158,1,1224
attention,0.000156,1,1275
find,0.000150,3,1691
close,0.000135,1,674
sit,0.000132,3,1503
feel,0.000129,47,6274
point,0.000122,1,1149
day,0.000121,1,1006
u,0.000116,12,3385
take,0.000108,6,2267
welcome,0.000106,1,707
long,0.000102,1,943
let,0.000089,4,2733
back,0.000065,1,1504
time,0.000034,5,2880
ai-generated,0.000000,1,383
transcript,0.000000,1,386
auto-generated,0.000000,1,383
subtitle,0.000000,1,384
video,0.000000,1,405
likely,0.000000,1,475
contain,0.000000,1,414
inaccuracy,0.000000,1,383
follow,0.000000,1,724
talk,0.000000,13,2454
give,0.000000,6,1917
insight,0.000000,8,1683
meditation,0.000000,8,3504
center,0.000000,2,1120
redwood,0.000000,1,431
city,0.000000,1,489
california,0.000000,1,443
please,0.000000,1,570
visit,0.000000,1,473
website,0.000000,2,450
www,0.000000,1,398
audiodharma,0.000000,1,398
org,0.000000,1,414
