word,tfidf_score,talk_frequency,global_frequency
carpenter,0.056862,15,21
ship,0.040655,12,17
island,0.035960,13,31
jataka,0.026975,10,141
foolish,0.025953,8,19
devaputta,0.024663,6,8
sugarcane,0.023286,5,5
moha,0.020553,5,8
isle,0.013972,3,3
men,0.012905,6,61
man,0.012576,8,137
perish,0.012332,3,4
hide,0.012010,6,52
dwell,0.011849,6,42
sea,0.011676,5,27
stout,0.011372,3,6
deity,0.011065,4,26
climate,0.010538,4,17
yakkha,0.010164,3,12
vote,0.010164,3,7
shall,0.009883,4,35
moon,0.009691,4,27
storytelling,0.009368,3,31
sujato,0.009368,3,25
southern,0.009368,3,11
aryan,0.009314,2,2
samuddavanija-jataka,0.009314,2,2
sturdy,0.009314,2,2
jambudipa,0.009314,2,2
thus,0.008878,4,34
rice,0.008773,3,15
ignorance,0.008738,4,46
advice,0.008351,4,36
northern,0.008298,3,15
yakkhas,0.008221,2,3
incense,0.008221,2,3
adorn,0.008221,2,3
splendor,0.008221,2,6
meter,0.008221,2,3
avijja,0.008221,2,3
democracy,0.008221,2,3
palm,0.008093,3,17
king,0.008007,4,489
town,0.007900,4,56
cry,0.007796,4,55
community,0.007698,7,352
caravan,0.007582,2,45
benares,0.007582,2,8
naked,0.007582,2,4
non-human,0.007582,2,4
foul,0.007582,2,4
blaze,0.007582,2,4
foolishness,0.007582,2,8
greedy,0.007565,3,20
drink,0.007505,4,62
merchant,0.007128,2,11
commercial,0.007128,2,7
mighty,0.007128,2,5
haunt,0.007128,2,6
vessel,0.007128,2,9
self-interest,0.007128,2,5
ocean,0.007072,4,84
story,0.006813,14,987
persuade,0.006776,2,8
devadatta,0.006776,2,13
relieve,0.006488,2,7
refugee,0.006488,2,8
rise,0.006314,5,130
utter,0.006245,2,12
poise,0.006245,2,9
wild,0.006174,3,47
tree,0.006158,5,196
kid,0.005987,4,101
juice,0.005849,2,19
depart,0.005849,2,10
motif,0.005683,2,12
government,0.005683,2,12
sand,0.005532,2,15
wave,0.005365,4,160
truth,0.005250,6,487
girl,0.005152,2,65
