word,tfidf_score,talk_frequency,global_frequency
listening,0.047110,50,180
listen,0.031601,33,172
rama,0.026644,8,9
nest,0.023694,10,42
listener,0.021028,8,13
audience,0.015684,9,136
walt,0.015094,4,4
devesting,0.015094,4,4
member,0.013514,9,126
boulder,0.012223,5,36
hears,0.011510,5,17
whitman,0.011320,3,3
undeniable,0.011320,3,3
disappear,0.009475,6,48
pillow,0.008663,3,11
imaginary,0.008538,4,18
voice,0.008176,7,102
tracking,0.008172,4,29
poem,0.007607,7,329
sarton,0.007547,2,2
phoebe,0.007547,2,2
petrified,0.007547,2,2
avalokiteshvara,0.007547,2,2
contemplating,0.007108,3,15
weave,0.007108,3,13
hear,0.007053,13,379
searching,0.006971,4,34
pausing,0.006906,3,23
drag,0.006724,3,19
gestating,0.006661,2,5
guanyin,0.006661,2,3
lines,0.006487,4,45
mindful,0.006253,8,255
distraught,0.006143,2,4
companions,0.005889,3,35
track,0.005864,4,55
holds,0.005730,4,51
waiting,0.005540,4,80
abbess,0.005490,2,21
active,0.005422,4,61
contained,0.005257,2,7
closer,0.005253,4,72
master,0.005228,3,37
responding,0.005150,3,37
interference,0.005060,2,8
building,0.004851,4,87
considering,0.004800,3,35
meditator,0.004800,3,45
hour,0.004715,4,114
fronsdal,0.004677,8,265
speak,0.004673,5,181
exercise,0.004618,3,49
monastery,0.004560,3,83
mindfulness,0.004497,14,928
antidote,0.004482,2,17
understood,0.004464,4,100
asks,0.004347,3,63
small,0.004308,8,341
visiting,0.004269,2,19
layer,0.004269,2,17
nearly,0.004269,2,17
bird,0.004249,3,76
creating,0.004235,4,104
fascinating,0.004202,3,52
equal,0.004174,2,22
liking,0.004174,2,23
interfere,0.004174,2,22
learn,0.004086,8,403
mindfully,0.004086,2,20
calling,0.004066,3,57
tremendous,0.004058,4,106
represented,0.004004,2,23
beginner,0.004004,2,25
poems,0.003926,2,64
silence,0.003926,4,188
born,0.003926,4,182
gil,0.003847,9,392
shifts,0.003821,3,81
exclamation,0.003773,1,1
seizing,0.003773,1,1
draughts,0.003773,1,1
proffering,0.003773,1,1
incubating,0.003773,1,1
midwives,0.003773,1,1
ramayana,0.003773,1,1
faintly,0.003773,1,1
museum,0.003773,1,1
half-asleep,0.003773,1,1
pop-psychology,0.003773,1,1
whitman's,0.003773,1,1
receiving,0.003638,3,152
control,0.003621,4,243
immediately,0.003604,3,76
person,0.003494,13,998
tenderness,0.003485,2,56
adjusting,0.003485,2,29
relaxed,0.003441,5,268
held,0.003409,3,98
poet,0.003383,2,43
weird,0.003383,2,40
progress,0.003335,2,40
individuality,0.003330,1,2
burst,0.003330,1,2
hen,0.003330,1,2
gestation,0.003330,1,3
directional,0.003330,1,6
operated,0.003330,1,2
resident,0.003330,1,2
celestial,0.003330,1,3
photograph,0.003330,1,2
kansas,0.003330,1,2
repose,0.003330,1,2
mitigates,0.003330,1,2
unself-consciously,0.003330,1,2
singular,0.003330,1,3
co-creation,0.003330,1,2
obligated,0.003330,1,2
venture,0.003330,1,2
aikido,0.003330,1,3
finishing,0.003330,1,2
eagerness,0.003330,1,2
metaphor,0.003289,3,114
softness,0.003244,2,36
speaking,0.003232,3,130
birth,0.003078,2,58
celebrated,0.003071,1,3
individualistic,0.003071,1,4
cocoon,0.003071,1,4
incubate,0.003071,1,3
navel,0.003071,1,3
unself-conscious,0.003071,1,3
package,0.003071,1,5
alchemy,0.003071,1,3
initiate,0.003071,1,3
reread,0.003071,1,3
distress,0.002967,2,58
warmth,0.002896,3,155
power,0.002896,3,190
mastery,0.002888,1,5
ordain,0.002888,1,5
paragraph,0.002888,1,4
nesting,0.002888,1,8
liken,0.002888,1,4
gestate,0.002888,1,7
yogic,0.002888,1,5
louder,0.002888,1,4
cries,0.002888,1,4
listens,0.002888,1,4
paraphrase,0.002888,1,4
powerfully,0.002888,1,4
confess,0.002888,1,8
wonderful,0.002875,7,475
solid,0.002865,2,69
tune,0.002865,2,62
favorite,0.002865,2,57
changes,0.002850,3,134
ask,0.002836,4,285
reacting,0.002801,2,53
story,0.002754,5,624
self-centered,0.002745,1,8
smallness,0.002745,1,6
eggs,0.002745,1,12
cast,0.002745,1,7
pose,0.002745,1,5
co-created,0.002745,1,6
country,0.002740,2,70
answer,0.002737,3,184
supposed,0.002673,3,137
delightful,0.002654,2,62
big,0.002647,6,461
attainments,0.002628,1,10
adjusted,0.002628,1,6
filters,0.002628,1,8
unsafe,0.002628,1,6
protests,0.002628,1,8
wholeness,0.002573,2,146
build,0.002547,2,66
attainment,0.002530,1,7
statue,0.002530,1,21
maturing,0.002530,1,9
defensive,0.002530,1,7
spirit,0.002497,2,98
judgments,0.002497,2,83
happen,0.002476,7,526
zen,0.002473,2,134
definitely,0.002473,2,76
language,0.002454,3,162
beliefs,0.002449,2,148
well,0.002446,17,1303
faint,0.002445,1,9
transforms,0.002445,1,9
