word,tfidf_score,talk_frequency,global_frequency
dubious,0.040449,14,16
shore,0.037954,23,101
perilous,0.026660,10,15
blame,0.022579,18,107
expanse,0.017554,7,16
dukkha,0.014634,19,410
near,0.012208,12,115
tramer,0.011557,4,6
raft,0.011418,6,40
water,0.010352,18,493
uncomfortableness,0.009755,5,19
crisis,0.009091,5,32
control,0.008968,12,279
validation,0.007998,3,5
duck,0.007523,3,7
simile,0.007443,6,134
rosemary,0.007273,4,35
pain,0.007030,14,514
perfection,0.006979,4,30
difficulty,0.006763,8,219
clark,0.006706,6,298
somebody,0.006626,9,352
row,0.006184,3,13
uncomfortable,0.006110,7,207
diana,0.006104,6,353
discomfort,0.006049,6,133
dang,0.006010,3,17
surround,0.005997,4,35
bruise,0.005778,2,3
chemistry,0.005778,2,3
ionic,0.005778,2,4
chloride,0.005778,2,4
minuscule,0.005778,2,4
buoyancy,0.005778,2,4
journey,0.005644,5,123
attainment,0.005577,3,19
perfect,0.005548,6,128
sodium,0.005332,2,5
expectation,0.005180,5,112
defend,0.005134,3,22
block,0.005133,4,70
acknowledge,0.005087,5,99
unpack,0.005075,4,57
paddle,0.005015,2,5
tumble,0.005015,2,6
target,0.005015,2,5
atom,0.005015,2,7
disperse,0.005015,2,7
hungry,0.004951,3,51
perfectly,0.004854,4,62
medium,0.004854,4,82
sanctuary,0.004770,2,6
poem,0.004742,5,404
okay,0.004660,19,1161
mass,0.004569,2,8
molecule,0.004569,2,8
achieve,0.004565,3,36
smooth,0.004565,3,33
far,0.004455,9,361
noble,0.004436,5,268
unreliable,0.004252,2,11
fail,0.004252,3,50
obvious,0.004161,5,151
terrible,0.004144,4,124
nope,0.004123,2,14
subtle,0.004084,7,377
rearrange,0.004007,2,14
vital,0.004007,2,13
yep,0.003806,2,22
salt,0.003806,2,22
substance,0.003718,2,16
meet,0.003686,10,610
questioner,0.003641,3,242
dissatisfaction,0.003636,2,19
truth,0.003628,6,525
external,0.003564,3,73
b,0.003561,2,22
annoy,0.003489,2,28
bond,0.003489,2,32
dissolve,0.003455,3,83
helpful,0.003391,7,578
suffer,0.003366,13,1695
compel,0.003360,2,23
wrong,0.003330,6,333
behavior,0.003320,3,82
awful,0.003300,2,36
angst,0.003271,1,1
unclear,0.003271,1,1
flat-out,0.003271,1,1
asanka,0.003271,1,1
attainable,0.003271,1,1
three-month-long,0.003271,1,1
perilousness,0.003271,1,1
grumpiness,0.003271,1,1
crankiness,0.003271,1,1
chemist,0.003271,1,1
aggravation,0.003271,1,1
notion,0.003226,3,99
flood,0.003190,2,120
dinner,0.003190,2,26
resistance,0.003166,3,123
translator,0.003139,2,25
sooner,0.003139,2,25
comfortable,0.003134,5,215
turn,0.003108,12,691
sorry,0.003090,2,29
freedom,0.003087,8,638
whether,0.003086,7,315
hike,0.003043,2,51
match,0.003043,2,44
new,0.003017,8,551
mix,0.002998,2,29
range,0.002971,3,97
deal,0.002920,3,110
ferry,0.002889,1,2
immune,0.002889,1,2
not-so-obvious,0.002889,1,2
prevalent,0.002889,1,2
personalize,0.002889,1,2
fitness,0.002889,1,3
addictive,0.002889,1,2
curated,0.002889,1,2
wallow,0.002889,1,2
tiptoe,0.002889,1,2
guess,0.002845,3,121
resentment,0.002798,2,43
amount,0.002775,4,172
isn't,0.002763,6,406
father,0.002761,2,59
navigate,0.002727,2,52
across,0.002684,3,152
carry,0.002676,4,206
wow,0.002676,4,215
peril,0.002666,1,3
rectangular,0.002666,1,3
doom-scrolling,0.002666,1,4
overeat,0.002666,1,3
non-resistance,0.002666,1,3
chase,0.002567,2,63
die,0.002556,3,217
relationship,0.002513,6,498
