word,tfidf_score,talk_frequency,global_frequency
fetter,0.083362,30,71
odors,0.033714,10,11
smell,0.030643,16,38
taste,0.025230,17,99
ox,0.022230,8,12
aromas,0.018655,6,8
sariputta,0.018626,7,30
foods,0.016857,5,7
senses,0.016432,13,139
dependence,0.015965,6,17
bothering,0.015546,5,12
aroma,0.015279,4,4
smells,0.012964,6,23
fetters,0.012374,5,31
reaction,0.010750,6,45
conditioning,0.010640,7,63
tastes,0.010564,5,26
black,0.010564,5,20
mental,0.010144,15,342
spheres,0.009899,4,31
tongue,0.009576,5,26
sound,0.009541,11,243
memories,0.009120,6,55
nose,0.008821,5,30
collar,0.008769,3,8
craving,0.008724,8,242
passion,0.008643,4,28
knot,0.008643,4,23
rise,0.008602,6,72
ear,0.008272,4,26
activity,0.008257,11,308
white,0.007993,5,59
yoke,0.007982,3,8
comfort,0.007895,6,82
potatoes,0.007640,2,2
arises,0.007412,13,349
flavor,0.007168,5,57
monk,0.007011,5,99
3of5,0.006743,2,5
fettered,0.006743,2,4
mouths,0.006743,2,3
nutrition,0.006743,2,4
mashed,0.006743,2,3
odor,0.006743,2,3
food,0.006570,7,182
chah,0.006482,3,25
reactivity,0.006320,5,141
mouth,0.006312,4,48
eating,0.006232,4,45
bothered,0.006218,2,6
complicates,0.006218,2,4
bite,0.006218,2,4
comforting,0.006204,3,22
discomfort,0.006080,5,124
effect,0.006023,5,119
attending,0.005867,4,55
conflate,0.005846,2,5
concluding,0.005846,2,5
untie,0.005846,2,10
conditioned,0.005671,4,89
gm,0.005557,2,10
obstructs,0.005557,2,6
desire,0.005294,7,521
operating,0.005267,5,170
activities,0.005179,5,130
sensing,0.005164,6,324
conceive,0.005122,2,12
eye,0.004911,4,112
reactions,0.004859,3,47
prior,0.004797,2,10
hook,0.004797,2,16
chocolate,0.004797,2,15
assign,0.004797,2,11
evoked,0.004797,2,13
generated,0.004661,2,11
yesterday,0.004582,5,150
spaces,0.004537,2,18
intro,0.004537,2,23
addiction,0.004537,2,16
produces,0.004537,2,18
eat,0.004401,3,68
loud,0.004350,3,54
receptive,0.004206,3,81
ajahn,0.004116,3,108
forms,0.004074,4,128
dependent,0.004073,3,84
sensitivity,0.004073,3,90
blaming,0.004053,2,35
slowly,0.004040,4,106
objects,0.003988,3,88
joined,0.003974,2,19
cultural,0.003900,2,31
fly,0.003830,2,26
drink,0.003830,2,28
courtesies,0.003820,1,1
massager,0.003820,1,1
falconer's,0.003820,1,1
hardwired,0.003820,1,1
beef,0.003820,1,1
barbecue,0.003820,1,1
mushroom,0.003820,1,1
gravy,0.003820,1,1
spuds,0.003820,1,1
raisin,0.003820,1,1
dried,0.003820,1,1
cranberry,0.003820,1,1
raisins,0.003820,1,1
taste-smell,0.003820,1,1
ceanothus,0.003820,1,1
marcel,0.003820,1,1
proust,0.003820,1,1
madeleine,0.003820,1,1
arise,0.003787,7,350
husband,0.003764,2,36
occasionally,0.003764,2,26
single,0.003755,3,84
sounds,0.003725,5,229
pervasive,0.003528,2,35
suttas,0.003514,3,171
lies,0.003475,2,37
weekday,0.003371,1,2
nama,0.003371,1,2
analyzes,0.003371,1,2
perch,0.003371,1,2
disapproval,0.003371,1,4
ingrained,0.003371,1,2
salty,0.003371,1,2
enticing,0.003371,1,2
illuminating,0.003371,1,2
mbsr,0.003371,1,2
buds,0.003371,1,2
receptors,0.003371,1,3
prolongs,0.003371,1,2
swallowed,0.003371,1,2
destroys,0.003371,1,2
foothills,0.003371,1,2
hikes,0.003371,1,2
blame,0.003283,2,64
ended,0.003283,2,38
course,0.003222,10,650
mentioned,0.003160,3,107
appreciation,0.003160,3,203
shame,0.003156,2,44
perceive,0.003116,2,55
sight,0.003116,2,45
exercise,0.003116,2,49
separately,0.003109,1,3
commented,0.003109,1,3
rupa,0.003109,1,3
obstructing,0.003109,1,5
bitter,0.003109,1,3
foul,0.003109,1,4
disgusted,0.003109,1,4
buffet,0.003109,1,3
chew,0.003109,1,3
swallow,0.003109,1,3
characterizes,0.003109,1,3
relating,0.003078,2,46
buddha's,0.002980,3,155
relate,0.002980,3,132
result,0.002968,2,58
avenues,0.002923,1,4
detect,0.002923,1,4
concert,0.002923,1,4
obstacle,0.002923,1,4
climbing,0.002923,1,4
anticipation,0.002923,1,4
rightly,0.002923,1,4
overdone,0.002923,1,4
arena,0.002923,1,7
blooms,0.002923,1,5
lilac,0.002923,1,6
teenager,0.002923,1,5
fiction,0.002923,1,5
memory,0.002835,2,93
judgment,0.002835,2,94
perception,0.002804,2,147
vice,0.002779,1,5
versa,0.002779,1,5
hawk,0.002779,1,25
covid,0.002779,1,8
illnesses,0.002779,1,5
sour,0.002779,1,11
disgust,0.002779,1,15
alcohol,0.002779,1,7
debilitating,0.002779,1,6
liquid,0.002779,1,5
drinks,0.002779,1,5
french,0.002779,1,5
pages,0.002779,1,5
hooks,0.002779,1,6
relationship,0.002726,5,386
stress,0.002706,3,224
attendant,0.002661,1,10
accompanies,0.002661,1,7
reacts,0.002661,1,6
farther,0.002661,1,6
organs,0.002661,1,6
regarded,0.002661,1,10
stomach,0.002661,1,7
instructed,0.002661,1,6
tasted,0.002661,1,7
rains,0.002661,1,8
cookie,0.002661,1,22
perceived,0.002561,1,8
festival,0.002561,1,8
conceiving,0.002561,1,9
citta,0.002561,1,22
shorthand,0.002561,1,7
chewing,0.002561,1,7
references,0.002561,1,8
triggers,0.002561,1,8
pushes,0.002561,1,7
producing,0.002561,1,7
evoking,0.002561,1,7
scent,0.002561,1,16
tendency,0.002528,2,77
happening,0.002521,9,915
hours,0.002503,2,79
complicated,0.002479,2,78
cousin,0.002475,1,11
