word,tfidf_score,talk_frequency,global_frequency
fetter,0.045639,17,107
smoke,0.026808,8,12
sensation,0.023898,56,907
tactile,0.023552,8,14
gratification,0.019132,6,12
danger,0.017862,11,75
pleasure,0.015835,20,727
sphere,0.012760,5,37
escape,0.012714,7,58
possession,0.011286,5,29
bodily,0.011023,7,110
crave,0.009677,8,285
physical,0.009147,10,219
pain,0.008987,13,518
dependence,0.008832,3,18
windpipe,0.008718,2,2
desire,0.008396,13,785
sens,0.008363,6,153
hook,0.007656,3,27
cigarette,0.007121,2,6
skin,0.007012,4,62
lung,0.006896,3,28
arise,0.006803,23,1093
gm,0.006377,2,10
itch,0.006377,2,16
mental,0.006164,8,368
due,0.006144,3,33
activity,0.005852,9,487
obstruct,0.005694,2,13
relationship,0.005587,10,522
teenager,0.005523,2,18
habit,0.005431,4,118
taste,0.005293,4,152
list,0.005014,5,287
nostril,0.004880,2,19
smell,0.004821,3,82
pleasurable,0.004780,2,29
air,0.004689,4,172
accompany,0.004631,3,134
define,0.004617,4,140
attachment,0.004617,4,262
relate,0.004583,7,344
ache,0.004436,2,26
palate,0.004359,1,1
tingly,0.004359,1,1
exhilaration,0.004359,1,1
overcautious,0.004359,1,1
symptomatic,0.004359,1,1
paperback,0.004359,1,1
sublimely,0.004359,1,1
roadblock,0.004359,1,1
biggie,0.004359,1,1
throat,0.004290,2,33
tingle,0.004158,2,30
etc,0.004158,2,34
deepen,0.004038,3,91
cling,0.004009,6,643
overall,0.003979,2,30
everywhere,0.003970,3,101
nama,0.003855,1,2
pulsation,0.003855,1,2
numerous,0.003855,1,2
mindfulness-based,0.003855,1,2
mbsr,0.003855,1,2
paralysis,0.003855,1,2
powerless,0.003855,1,2
technique,0.003771,2,52
wholesome,0.003710,4,435
area,0.003699,5,281
impermanent,0.003677,2,60
exploration,0.003633,2,51
rise,0.003600,3,134
somewhere,0.003572,3,106
parse,0.003560,1,3
array,0.003560,1,4
inflate,0.003560,1,3
receptively,0.003560,1,3
catastrophize,0.003560,1,3
aroma,0.003560,1,12
quit,0.003560,1,5
clothe,0.003506,2,54
warmth,0.003410,3,164
rupa,0.003351,1,4
pathway,0.003351,1,4
invent,0.003351,1,4
stave,0.003351,1,5
imperative,0.003351,1,10
ebb,0.003351,1,7
guilty,0.003351,1,4
investigate,0.003317,2,102
balance,0.003212,3,239
conflate,0.003189,1,6
resent,0.003189,1,5
transient,0.003189,1,7
dukkha,0.003119,3,415
contact,0.003097,3,237
delightful,0.003088,2,64
final,0.003088,2,72
gestalt,0.003056,1,10
pin,0.003056,1,6
confine,0.003056,1,8
direction,0.003000,4,262
shorthand,0.002944,1,7
inquire,0.002944,1,9
tie,0.002916,2,77
painful,0.002916,2,105
touch,0.002874,7,513
enjoy,0.002862,3,198
locate,0.002847,1,9
approve,0.002847,1,10
unrealistic,0.002847,1,8
stress,0.002783,3,312
toward,0.002763,2,154
limb,0.002761,1,15
coolness,0.002761,1,15
gross,0.002761,1,12
vary,0.002761,1,11
revelation,0.002761,1,16
strong,0.002697,5,477
attach,0.002692,2,124
denial,0.002685,1,10
ease,0.002678,5,587
self,0.002673,4,1148
avenue,0.002615,1,11
vague,0.002615,1,13
simply,0.002601,4,322
samadhi,0.002601,4,1556
lead,0.002583,4,549
chronic,0.002552,1,15
reduction,0.002552,1,19
invite,0.002526,3,330
injury,0.002494,1,18
addict,0.002494,1,21
tempt,0.002494,1,15
conceive,0.002494,1,25
body,0.002463,36,3405
precise,0.002440,1,20
onward,0.002440,1,57
pass,0.002439,2,155
course,0.002426,7,733
receive,0.002424,3,378
act,0.002408,3,369
drag,0.002390,1,25
simple,0.002388,6,749
attend,0.002381,2,135
period,0.002381,2,114
especially,0.002375,3,217
lovely,0.002363,2,123
arm,0.002345,2,128
texture,0.002343,1,16
biological,0.002343,1,37
addiction,0.002343,1,29
continuation,0.002343,1,16
sixth,0.002299,1,19
uprightness,0.002299,1,22
every,0.002267,5,517
mine,0.002256,2,236
notice,0.002206,7,1251
appearance,0.002181,1,50
diffuse,0.002181,1,33
pleasantness,0.002181,1,42
opposite,0.002173,2,134
separate,0.002157,2,163
push,0.002117,3,321
knot,0.002111,1,43
identification,0.002111,1,34
temperature,0.002111,1,25
sexual,0.002111,1,54
bad,0.002088,3,467
chest,0.002079,2,151
lip,0.002079,1,33
disturb,0.002079,1,31
obstacle,0.002079,1,37
pull,0.002060,3,338
equanimity,0.002049,2,461
alertness,0.002048,1,26
initially,0.002048,1,28
illness,0.002048,1,34
discernment,0.002048,1,72
develop,0.002046,3,380
difficult,0.002046,3,339
essential,0.002018,1,38
flow,0.001991,3,578
automatically,0.001990,1,34
couch,0.001990,1,33
spectrum,0.001990,1,45
nose,0.001990,1,33
unskillful,0.001990,1,63
grip,0.001990,1,50
neutral,0.001990,1,55
greed,0.001977,2,263
instruction,0.001977,2,221
move,0.001975,6,671
clear,0.001974,5,594
base,0.001963,2,223
bind,0.001962,1,41
outward,0.001962,1,36
generate,0.001936,1,39
gradually,0.001936,1,44
ready,0.001922,2,187
hear,0.001912,5,937
cage,0.001910,1,39
freeze,0.001910,1,50
rib,0.001886,1,40
discern,0.001886,1,40
hop,0.001862,1,38
interaction,0.001862,1,41
unnecessary,0.001862,1,41
progress,0.001862,1,45
familiar,0.001855,2,191
inward,0.001839,1,45
complex,0.001839,1,43
satisfaction,0.001839,1,40
dream,0.001839,1,56
characterize,0.001839,1,40
although,0.001816,1,45
global,0.001816,1,93
ongoing,0.001816,1,42
hot,0.001816,1,63
cold,0.001795,1,54
experiment,0.001795,1,51
expand,0.001792,2,201
add,0.001792,2,300
sense,0.001779,38,3086
integrity,0.001774,1,58
definition,0.001774,1,52
pleasant,0.001767,2,354
tension,0.001760,3,633
knee,0.001753,1,74
cloud,0.001753,1,84
speaker,0.001733,1,75
posture,0.001733,5,664
probably,0.001724,3,360
aversion,0.001695,2,495
reactive,0.001676,1,69
midst,0.001676,1,56
out-breath,0.001676,1,69
recognize,0.001668,4,700
remember,0.001664,3,426
bottom,0.001658,1,59
blame,0.001658,1,109
in-breath,0.001641,1,84
sight,0.001624,1,66
whose,0.001624,1,48
fifth,0.001624,1,54
condition,0.001618,3,702
brief,0.001607,1,102
exercise,0.001607,1,68
vision,0.001607,1,180
title,0.001591,1,56
entire,0.001575,1,68
perceive,0.001575,1,99
subtle,0.001573,2,384
tomorrow,0.001573,2,195
closely,0.001559,1,56
curiosity,0.001559,1,105
belly,0.001552,2,280
healthy,0.001541,2,329
bed,0.001529,1,64
gain,0.001529,1,105
didn't,0.001529,3,543
unknown,0.001514,1,51
actual,0.001514,1,87
floor,0.001514,1,79
cycle,0.001514,1,79
constant,0.001514,1,75
serve,0.001514,1,123
personally,0.001500,1,64
leaf,0.001500,1,67
cultivation,0.001500,1,110
slightly,0.001500,1,65
parent,0.001486,1,82
significant,0.001472,1,76
constantly,0.001472,1,96
narrow,0.001458,1,93
except,0.001458,1,74
particular,0.001453,3,474
afternoon,0.001445,1,72
perception,0.001432,1,212
cool,0.001432,1,109
describe,0.001430,2,289
awake,0.001419,1,92
ignore,0.001419,1,78
flavor,0.001419,1,83
realm,0.001419,1,186
definitely,0.001406,1,81
reactivity,0.001406,1,151
distinction,0.001394,1,102
disappear,0.001394,1,125
result,0.001394,1,104
fire,0.001382,1,147
health,0.001382,1,104
fact,0.001373,2,255
goal,0.001370,1,135
discomfort,0.001346,1,135
useful,0.001336,2,293
grasp,0.001335,1,142
river,0.001335,1,371
shape,0.001335,1,86
text,0.001335,1,135
comfort,0.001335,1,119
pas,0.001335,1,95
state,0.001330,3,872
far,0.001327,2,369
belong,0.001323,1,108
contract,0.001323,1,107
tune,0.001312,1,128
strength,0.001312,1,104
trouble,0.001312,1,94
believe,0.001309,2,355
ill,0.001291,1,164
you've,0.001274,2,365
usual,0.001269,1,113
vast,0.001269,1,128
create,0.001261,3,566
choice,0.001259,1,154
protect,0.001259,1,113
depend,0.001239,1,113
easily,0.001239,1,103
throughout,0.001229,1,112
spend,0.001223,2,309
isn't,0.001223,2,419
strain,0.001219,1,137
tightness,0.001219,1,119
hang,0.001219,1,108
wind,0.001210,1,194
literally,0.001200,1,102
cushion,0.001200,1,167
join,0.001200,1,117
chair,0.001191,1,112
speak,0.001190,2,509
wherever,0.001172,1,105
encourage,0.001172,1,126
warm,0.001163,1,128
remind,0.001163,1,117
whether,0.001157,2,331
authoritative,0.001154,1,85
cannot,0.001154,1,133
fourth,0.001146,1,166
individual,0.001146,1,114
hurt,0.001146,1,143
wake,0.001120,1,138
beautiful,0.001117,2,592
recognition,0.001111,1,222
aren't,0.001111,1,143
often,0.001092,5,1135
delusion,0.001087,1,226
appear,0.001087,1,138
daily,0.001087,1,172
directly,0.001079,1,122
path,0.001071,2,1006
calm,0.001064,2,853
limit,0.001063,1,207
explore,0.001063,1,205
surface,0.001055,1,175
case,0.001055,1,178
food,0.001047,1,203
day,0.001040,6,1063
focus,0.001034,2,624
without,0.001026,6,1027
stick,0.001017,1,196
yesterday,0.001017,1,167
old,0.001010,1,202
occur,0.000989,1,150
aware,0.000983,2,671
include,0.000983,2,477
general,0.000982,1,175
space,0.000976,2,755
emphasize,0.000975,1,177
exist,0.000975,1,172
lie,0.000968,1,189
record,0.000961,1,121
saw,0.000954,1,198
book,0.000954,1,272
line,0.000947,1,230
powerful,0.000941,1,182
drive,0.000941,1,203
provide,0.000928,1,220
story,0.000920,2,1137
effort,0.000908,1,363
clarity,0.000908,1,261
peace,0.000907,2,664
field,0.000896,1,281
term,0.000890,1,273
couple,0.000890,1,181
presence,0.000877,1,245
possible,0.000867,2,542
experience,0.000863,11,3247
outside,0.000859,1,211
comfortable,0.000854,1,217
human,0.000834,2,590
action,0.000830,1,430
happen,0.000825,10,2196
soft,0.000825,1,254
side,0.000825,1,297
behind,0.000825,1,202
fill,0.000819,1,250
wish,0.000815,2,604
many,0.000811,6,1165
seem,0.000809,2,526
back,0.000808,8,1553
already,0.000776,1,272
cultivate,0.000771,1,471
situation,0.000771,1,342
today,0.000768,4,882
face,0.000750,1,256
enter,0.000745,1,384
either,0.000745,1,238
wise,0.000735,1,461
need,0.000733,6,1638
last,0.000729,2,553
fall,0.000725,1,292
order,0.000725,1,252
engage,0.000715,1,353
keep,0.000715,3,854
forward,0.000706,1,238
wasn't,0.000701,1,310
use,0.000693,4,1237
world,0.000688,9,2570
topic,0.000687,1,276
usually,0.000673,1,260
hope,0.000664,1,271
others,0.000662,3,1138
actually,0.000655,3,1129
though,0.000650,1,257
helpful,0.000641,1,597
view,0.000637,1,761
fear,0.000637,1,539
wisdom,0.000637,1,556
change,0.000630,2,1471
share,0.000628,1,488
sound,0.000620,1,508
read,0.000620,1,444
clearly,0.000620,1,423
teach,0.000619,3,1555
always,0.000597,2,759
deep,0.000593,4,1807
person,0.000581,2,1156
instead,0.000571,1,478
stop,0.000567,1,480
away,0.000562,3,1076
mean,0.000558,4,1547
week,0.000554,2,744
show,0.000532,1,572
new,0.000513,1,558
grow,0.000513,1,525
movement,0.000510,1,475
buddha,0.000507,2,1958
freedom,0.000499,1,691
meet,0.000495,1,671
towards,0.000495,1,518
breathe,0.000492,2,2612
quiet,0.000492,1,648
peaceful,0.000492,1,433
important,0.000481,2,881
hand,0.000481,1,511
whatever,0.000480,4,1271
free,0.000476,2,790
ask,0.000470,1,723
question,0.000467,1,888
tell,0.000453,1,647
morning,0.000447,1,426
within,0.000440,1,561
welcome,0.000432,3,751
introduction,0.000430,1,295
meditate,0.000424,1,538
someone,0.000420,1,675
long,0.000419,3,987
take,0.000414,16,2368
mind,0.000407,17,4777
begin,0.000399,3,1493
look,0.000392,3,1512
right,0.000387,4,2321
close,0.000384,2,706
buddhist,0.000382,1,892
present,0.000374,2,1330
rest,0.000373,1,573
year,0.000367,1,868
able,0.000364,1,658
awareness,0.000361,1,1389
would,0.000360,3,2056
turn,0.000358,1,703
different,0.000354,4,1997
part,0.000330,4,1726
safe,0.000324,1,451
okay,0.000321,1,1205
eye,0.000310,1,665
offer,0.000293,1,742
support,0.000293,1,1043
try,0.000292,2,1350
everything,0.000280,1,957
learn,0.000280,1,831
doe,0.000277,1,916
find,0.000274,4,1762
quite,0.000272,1,733
make,0.000267,8,2532
settle,0.000256,1,1552
still,0.000253,1,827
bite,0.000249,2,1589
place,0.000244,2,1656
help,0.000241,1,899
let,0.000237,8,2887
u,0.000234,16,3581
want,0.000234,5,3191
whole,0.000223,1,1332
work,0.000211,1,1422
attention,0.000211,1,1400
love,0.000206,1,1809
happy,0.000199,1,900
little,0.000187,3,2467
life,0.000187,4,3018
bring,0.000183,1,1269
sit,0.000181,3,1592
call,0.000180,1,1115
guide,0.000169,1,955
point,0.000166,1,1189
idea,0.000162,1,1693
heart,0.000157,1,1755
practice,0.000155,6,3987
open,0.000155,1,1295
well,0.000155,1,1406
