word,tfidf_score,talk_frequency,global_frequency
vedana,0.073166,29,153
fetter,0.055636,20,107
unpleasant,0.022052,16,233
pleasant,0.019721,22,351
mental,0.019410,24,344
contact,0.018557,17,224
sphere,0.013909,5,35
spheres-our,0.013659,3,3
wrapper,0.012059,3,4
dukkha,0.011822,11,401
activity,0.011427,16,439
crave,0.011274,9,272
painful,0.010915,7,98
receptive,0.010067,6,81
abandon,0.009091,5,82
sens,0.009081,6,139
arise,0.008896,30,1066
typical,0.008860,3,12
conceive,0.007740,3,25
sukha,0.007740,3,27
attend,0.007580,6,128
5of5,0.007416,2,5
june,0.007416,2,4
valence,0.007416,2,4
complication,0.007261,3,23
direction,0.007226,9,241
relation,0.007121,3,32
worldly,0.007121,3,38
slave,0.006973,2,11
obstacle,0.006864,3,30
onward-leading,0.006746,3,55
gm,0.006630,2,10
kusala,0.006630,2,8
dog,0.006526,3,41
obey,0.006349,2,8
chain,0.006349,2,20
condition,0.006237,11,676
response,0.006211,5,194
weather,0.005810,3,56
chocolate,0.005726,2,15
piece,0.005501,5,218
inherent,0.005326,3,62
elaborate,0.005283,2,15
urgency,0.005283,2,16
tone,0.005205,3,100
proliferation,0.005160,2,29
basic,0.004969,4,130
cessation,0.004840,2,46
neither,0.004774,3,78
judgment,0.004768,4,178
interplay,0.004553,1,1
indoors,0.004553,1,1
unworldly,0.004553,1,1
latent,0.004553,1,1
reactivity,0.004454,3,146
flavor,0.004454,3,80
aversion,0.004449,5,482
knot,0.004351,2,43
text,0.004329,3,123
phenomenon,0.004098,3,104
eat,0.004098,3,131
choice,0.004026,3,148
gloom,0.004020,1,2
grievance,0.004020,1,2
chemistry,0.004020,1,3
fathom-long,0.004020,1,3
variety,0.003980,2,34
inclination,0.003926,2,49
immediate,0.003873,2,45
physical,0.003805,4,208
effect,0.003758,3,162
rabbit,0.003708,1,5
painfulness,0.003708,1,3
describe,0.003704,5,273
sensation,0.003578,8,867
stop,0.003507,6,457
pathway,0.003487,1,4
assist,0.003487,1,4
opaque,0.003487,1,7
systematic,0.003487,1,4
lead,0.003442,5,527
simple,0.003431,8,704
danger,0.003431,2,72
desire,0.003417,5,739
unless,0.003393,2,54
needy,0.003315,1,5
pivotal,0.003315,1,5
gratification,0.003315,1,12
notice,0.003307,10,1190
accompany,0.003284,2,124
positive,0.003284,2,72
every,0.003261,7,489
dependent,0.003250,2,84
negative,0.003216,2,73
carefully,0.003183,2,56
ying,0.003175,1,9
chen,0.003175,1,9
barbara,0.003175,1,12
hedonic,0.003175,1,8
famously,0.003175,1,6
myriad,0.003175,1,6
sunny,0.003056,1,7
papanca,0.003056,1,35
bark,0.003056,1,21
kalyana,0.003056,1,15
train,0.003055,3,299
dharma,0.003053,7,838
perception,0.003027,2,207
skillful,0.003027,2,130
factor,0.002998,2,114
translation,0.002969,2,105
july,0.002953,1,9
engine,0.002953,1,8
merge,0.002953,1,10
unease,0.002953,1,19
simultaneously,0.002953,1,20
denial,0.002953,1,8
realm,0.002913,2,185
hopefully,0.002886,2,81
chew,0.002863,1,11
affective,0.002863,1,10
toward,0.002859,2,152
pay,0.002812,3,215
foggy,0.002782,1,10
bridge,0.002782,1,11
boredom,0.002782,1,20
trouble,0.002732,2,91
adjust,0.002732,2,92
recognize,0.002728,6,653
summer,0.002708,1,13
judgmental,0.002708,1,15
sequence,0.002708,1,25
origination,0.002708,1,17
continually,0.002708,1,17
recondition,0.002708,1,12
everywhere,0.002708,2,99
lately,0.002642,1,13
satipatthana,0.002580,1,16
organ,0.002580,1,18
build,0.002573,3,234
healthy,0.002573,3,267
savor,0.002523,1,20
catch,0.002501,4,427
evaluate,0.002470,1,18
connotation,0.002470,1,16
commonly,0.002470,1,17
conducive,0.002470,1,21
allen,0.002470,1,35
situation,0.002462,3,316
anytime,0.002420,1,18
unconscious,0.002420,1,45
hole,0.002374,1,37
visual,0.002374,1,24
upper,0.002374,1,20
kim,0.002374,1,52
state,0.002368,5,818
avoid,0.002345,2,170
beautiful,0.002338,4,541
charge,0.002330,1,24
habitual,0.002330,1,26
delusion,0.002326,2,215
relationship,0.002320,4,488
remember,0.002320,4,388
wise,0.002288,3,432
ease,0.002268,4,533
unhealthy,0.002249,1,30
injure,0.002249,1,26
pleasantness,0.002249,1,42
power,0.002218,2,216
flood,0.002211,1,120
scan,0.002211,1,36
analyze,0.002211,1,33
bodhi,0.002211,1,29
relative,0.002211,1,27
big,0.002199,5,645
week,0.002181,8,710
santa,0.002175,1,31
discernment,0.002175,1,70
instance,0.002175,1,35
origin,0.002175,1,31
alertness,0.002141,1,25
neutral,0.002141,1,52
accurate,0.002141,1,29
essence,0.002141,1,46
aversive,0.002141,1,34
weak,0.002141,1,36
source,0.002116,2,340
energy,0.002111,3,441
spin,0.002108,1,41
skilled,0.002108,1,32
incline,0.002108,1,32
bhikkhu,0.002108,1,66
context,0.002084,2,177
simply,0.002081,3,302
mix,0.002077,1,29
relate,0.002065,3,328
old,0.002052,2,200
gradually,0.002047,1,42
spring,0.002018,1,37
familiar,0.002006,2,178
wholesome,0.002006,2,349
image,0.002006,2,207
move,0.001984,6,632
drive,0.001976,2,192
complex,0.001963,1,40
zone,0.001963,1,38
resentment,0.001963,1,42
investigation,0.001937,1,64
psychology,0.001937,1,47
exploration,0.001911,1,49
characterize,0.001911,1,39
relatively,0.001911,1,38
attitude,0.001889,2,290
intense,0.001887,1,47
escape,0.001887,1,57
distinguish,0.001863,1,50
pali,0.001861,2,218
trigger,0.001840,1,43
discourse,0.001840,1,89
course,0.001816,5,672
another,0.001798,6,747
play,0.001780,2,271
blame,0.001755,1,106
invite,0.001741,2,316
friendliness,0.001735,1,177
favorite,0.001715,1,58
translate,0.001703,2,243
interact,0.001696,1,55
easeful,0.001660,1,68
gratitude,0.001660,1,99
brief,0.001642,1,102
description,0.001642,1,64
recently,0.001642,1,55
conscious,0.001625,1,66
loud,0.001625,1,61
perceive,0.001608,1,99
delightful,0.001608,1,62
prefer,0.001608,1,59
sensitivity,0.001591,1,95
cycle,0.001575,1,77
track,0.001575,1,90
associate,0.001571,2,234
fantasy,0.001559,1,87
behavior,0.001559,1,77
cultivation,0.001559,1,108
growth,0.001559,1,68
interpret,0.001544,1,79
constantly,0.001544,1,92
tie,0.001544,1,73
either,0.001537,2,228
stream,0.001529,1,107
except,0.001529,1,71
natural,0.001514,2,335
sensitive,0.001485,1,87
spacious,0.001485,1,109
gil,0.001467,3,411
immediately,0.001457,1,76
spaciousness,0.001443,1,214
discomfort,0.001430,1,127
topic,0.001428,2,261
grasp,0.001416,1,134
world,0.001409,17,2334
root,0.001403,1,143
ill,0.001403,1,139
liberation,0.001403,1,113
comfort,0.001403,1,114
tendency,0.001378,1,105
leave,0.001375,3,469
goodness,0.001367,2,474
true,0.001367,2,389
hope,0.001357,2,254
key,0.001354,1,95
possible,0.001353,3,510
decide,0.001342,1,123
samadhi,0.001337,2,1514
judge,0.001319,1,113
metta,0.001319,1,453
step,0.001317,2,394
impact,0.001307,1,127
react,0.001296,1,100
reach,0.001296,1,102
beauty,0.001296,1,166
keep,0.001276,5,806
english,0.001274,1,111
literally,0.001274,1,94
lay,0.001263,1,141
content,0.001253,1,167
define,0.001253,1,125
stability,0.001242,1,169
appreciation,0.001242,1,207
function,0.001232,1,119
sutta,0.001222,1,308
sense,0.001219,26,2910
hear,0.001212,3,844
aren't,0.001202,1,129
door,0.001192,1,153
opposite,0.001182,1,117
probably,0.001178,2,343
foundation,0.001173,1,164
authoritative,0.001163,1,85
job,0.001163,1,194
word,0.001151,9,1319
everybody,0.001145,1,196
beyond,0.001145,1,185
quality,0.001143,2,620
last,0.001140,3,514
buddha,0.001138,4,1777
balance,0.001127,1,231
unfold,0.001127,1,168
surface,0.001118,1,160
freedom,0.001100,2,600
exist,0.001066,1,158
lie,0.001050,1,164
control,0.001050,1,267
stick,0.001050,1,191
run,0.001034,1,152
powerful,0.001034,1,149
operate,0.001026,1,256
anger,0.001018,1,350
stress,0.001011,1,260
form,0.001002,2,443
hand,0.001002,2,474
break,0.000995,1,188
record,0.000980,1,118
everyone,0.000978,2,446
enjoy,0.000973,1,194
help,0.000963,4,853
expand,0.000944,1,183
add,0.000937,1,288
mindful,0.000937,1,257
spiritual,0.000930,1,557
attention,0.000918,4,1261
often,0.000918,4,1064
create,0.000917,2,526
outside,0.000917,1,195
experience,0.000912,11,3049
emotional,0.000910,1,225
teach,0.000907,4,1396
use,0.000905,5,1166
past,0.000896,1,227
watch,0.000890,1,243
ability,0.000890,1,232
seem,0.000887,2,478
choose,0.000883,1,246
object,0.000877,1,302
act,0.000870,1,316
clear,0.000851,2,560
present,0.000841,4,1195
receive,0.000833,1,368
middle,0.000833,1,212
pleasure,0.000827,1,697
today,0.000809,4,831
especially,0.000809,1,203
bring,0.000798,4,1164
awareness,0.000794,2,1247
breathe,0.000791,3,2454
area,0.000785,1,264
right,0.000777,7,2070
call,0.000777,4,1020
order,0.000768,1,236
aspect,0.000752,1,269
cling,0.000741,1,535
bite,0.000738,6,1484
emotion,0.000730,1,385
suffer,0.000726,2,1632
buddhism,0.000725,1,515
develop,0.000719,1,354
difficult,0.000714,1,325
though,0.000709,1,233
useful,0.000699,1,275
helpful,0.000688,1,562
you've,0.000683,1,346
reason,0.000683,1,270
far,0.000683,1,355
speak,0.000673,1,422
deep,0.000672,4,1651
okay,0.000668,2,1128
wisdom,0.000664,1,537
kindness,0.000659,1,538
mind,0.000657,24,4488
isn't,0.000639,1,392
sound,0.000635,1,489
spend,0.000630,1,292
tension,0.000621,1,604
life,0.000616,12,2727
joy,0.000607,1,925
learn,0.000599,2,759
instead,0.000593,1,440
relax,0.000593,2,1230
body,0.000590,8,3238
path,0.000589,1,796
strong,0.000584,1,439
begin,0.000581,4,1414
show,0.000571,1,525
may,0.000555,5,2171
without,0.000551,3,957
point,0.000551,3,1111
include,0.000546,1,384
i'd,0.000537,1,426
guide,0.000535,3,876
towards,0.000525,1,480
meet,0.000521,1,600
hold,0.000516,2,1003
free,0.000516,2,730
new,0.000513,1,550
well,0.000512,3,1325
open,0.000512,3,1195
heart,0.000512,3,1666
need,0.000512,4,1551
soften,0.000505,1,544
nothing,0.000497,1,464
care,0.000487,2,1588
peace,0.000485,1,632
little,0.000482,8,2311
welcome,0.000473,3,692
happen,0.000472,5,2047
meditate,0.000466,1,497
imagine,0.000462,1,456
others,0.000459,2,1054
introduction,0.000458,1,275
mean,0.000458,3,1429
connect,0.000455,1,658
look,0.000421,3,1416
happy,0.000421,2,840
wish,0.000418,1,577
start,0.000413,3,1491
buddhist,0.000408,1,815
place,0.000406,3,1576
different,0.000387,4,1883
mindfulness,0.000383,1,952
away,0.000378,2,1003
posture,0.000377,1,594
moment,0.000369,4,1823
day,0.000357,2,989
practice,0.000356,13,3716
safe,0.000353,1,420
part,0.000350,4,1601
change,0.000328,1,1414
sometimes,0.000313,4,1848
next,0.000312,1,610
everything,0.000309,1,881
let,0.000304,9,2651
long,0.000300,2,932
become,0.000295,4,1735
u,0.000292,20,3291
thank,0.000290,3,1167
many,0.000285,2,1071
lot,0.000276,3,1504
settle,0.000273,1,1501
whatever,0.000266,2,1184
