word,tfidf_score,talk_frequency,global_frequency
ministry,0.069063,29,40
night,0.064438,68,173
chaplaincy,0.037055,20,176
minister,0.033232,15,25
suicide,0.027323,8,8
chaplain,0.026413,13,131
phone,0.023558,16,61
cpe,0.022380,9,32
program,0.021792,15,100
service,0.020709,15,79
street,0.018880,15,86
reverend,0.018308,7,23
local,0.016340,9,24
christian,0.016340,9,33
community,0.016124,20,355
church,0.014222,7,22
found,0.013755,6,14
stewart,0.013662,4,4
lyall,0.013662,4,4
hiv,0.013662,4,4
san,0.013251,9,50
line,0.012789,17,215
francisco,0.012652,8,43
mission,0.010462,4,7
counselor,0.010462,4,9
prayer,0.010298,6,52
trent,0.010246,3,3
thornley,0.010246,3,3
shabbat,0.010246,3,3
ideation,0.010246,3,3
resource,0.010170,7,48
tradition,0.009922,16,330
crisis,0.009677,5,31
jewish,0.009526,4,9
spiritual,0.009072,13,557
chuck,0.009046,3,4
valerie,0.009046,3,5
institution,0.008347,4,17
pastor,0.008344,3,5
unhoused,0.008344,3,5
prevention,0.008344,3,6
photo,0.007846,3,8
collar,0.007846,3,8
lewis,0.007460,3,8
director,0.007460,3,9
hospital,0.007262,4,43
nonprofit,0.007144,3,9
jacket,0.007144,3,15
education,0.007122,4,75
youth,0.006878,3,11
cathedral,0.006878,3,11
nighttime,0.006831,2,2
attendee,0.006831,2,2
passover,0.006831,2,2
saunter,0.006831,2,2
wear,0.006738,5,67
clinical,0.006646,3,29
self-care,0.006646,3,10
question,0.006386,17,835
aid,0.006095,3,17
winter,0.006095,3,14
ward,0.006031,2,5
clergy,0.006031,2,3
executive,0.006031,2,4
congregation,0.006031,2,3
accredit,0.006031,2,3
regular,0.005970,4,32
pray,0.005945,3,24
meal,0.005889,4,42
trauma,0.005806,3,22
holy,0.005806,3,24
existential,0.005678,3,27
fox,0.005563,2,4
queer,0.005563,2,4
walk,0.005504,12,537
board,0.005447,3,25
organization,0.005342,3,23
pastoral,0.005231,2,9
outdoor,0.005231,2,5
premise,0.004973,2,6
interfaith,0.004973,2,11
covid,0.004973,2,8
ought,0.004763,2,7
context,0.004690,6,177
unit,0.004585,2,10
limit,0.004544,5,175
zen,0.004412,4,136
although,0.004302,3,43
worker,0.004295,2,17
access,0.004247,3,47
speaker,0.004193,3,66
answer,0.004064,6,245
model,0.003949,3,75
train,0.003819,5,299
war,0.003818,3,74
professional,0.003785,2,26
leader,0.003785,2,62
component,0.003785,2,18
compassionate,0.003776,3,71
group,0.003762,5,246
anywhere,0.003618,3,62
test,0.003495,2,23
every,0.003495,10,489
hey,0.003433,2,29
jen,0.003415,1,1
slideshow,0.003415,1,1
prohibit,0.003415,1,1
breach,0.003415,1,1
parliamentary,0.003415,1,1
francsico,0.003415,1,1
late-night,0.003415,1,1
hopefulness,0.003415,1,1
denomination,0.003415,1,1
coalition,0.003415,1,1
beckman,0.003415,1,1
mcintyre,0.003415,1,1
doughnut,0.003415,1,1
server,0.003415,1,1
bartender,0.003415,1,1
mandate,0.003415,1,1
runaway,0.003415,1,1
mid-60s,0.003415,1,1
larkin,0.003415,1,1
estrange,0.003415,1,1
stigma,0.003415,1,1
destigmatize,0.003415,1,1
startup,0.003415,1,1
cassock,0.003415,1,1
garb,0.003415,1,1
gel,0.003415,1,1
distribute,0.003415,1,1
844-hope-sf,0.003415,1,1
844-467-3734,0.003415,1,1
contingency,0.003415,1,1
bilingual,0.003415,1,1
sro,0.003415,1,1
usher,0.003415,1,1
lutheran,0.003415,1,1
ucc,0.003415,1,1
mcc,0.003415,1,1
unapologetically,0.003415,1,1
baptism,0.003415,1,1
gay,0.003415,1,1
open-air,0.003415,1,1
hanukkah,0.003415,1,1
well-received,0.003415,1,1
cutting-edge,0.003415,1,1
synagogue,0.003415,1,1
24-hour,0.003415,1,1
re-establishing,0.003415,1,1
suspendable,0.003415,1,1
lurch,0.003415,1,1
sainte,0.003415,1,1
terre,0.003415,1,1
saunterer,0.003415,1,1
hospitably,0.003415,1,1
intrude,0.003415,1,1
cantor,0.003415,1,1
ancillary,0.003415,1,1
relationally,0.003415,1,1
spirituality,0.003374,2,41
introduce,0.003278,3,75
structure,0.003264,2,29
essential,0.003212,2,34
mention,0.003175,4,157
companion,0.003163,2,53
offer,0.003133,13,668
volunteer,0.003116,2,57
care,0.003107,17,1588
approach,0.003079,4,275
bunch,0.003027,2,30
institutional,0.003015,1,2
board-certified,0.003015,1,2
rabbi,0.003015,1,2
fore,0.003015,1,2
community-based,0.003015,1,2
outreach,0.003015,1,2
foray,0.003015,1,2
nationally,0.003015,1,2
kansa,0.003015,1,2
hub,0.003015,1,2
upaya,0.003015,1,2
spanish,0.003015,1,2
civic,0.003015,1,2
marginal,0.003015,1,2
ecumenical,0.003015,1,2
presbyterian,0.003015,1,2
hybrid,0.003015,1,2
vigil,0.003015,1,2
teen,0.003015,1,2
long-standing,0.003015,1,2
medieval,0.003015,1,2
reform,0.003015,1,2
lone,0.003015,1,3
wolf,0.003015,1,2
anyone,0.002993,3,116
anybody,0.002993,3,115
focus,0.002865,7,597
yet,0.002855,4,237
religious,0.002831,2,71
term,0.002812,4,262
sudden,0.002796,2,62
join,0.002795,3,113
proselytize,0.002781,1,3
protestant,0.002781,1,3
sock,0.002781,1,4
worship,0.002781,1,10
episcopalian,0.002781,1,3
memorial,0.002781,1,3
full-time,0.002781,1,3
certification,0.002781,1,5
misguide,0.002781,1,7
de-escalate,0.002781,1,5
pilgrim,0.002781,1,3
warm,0.002772,3,120
boundary,0.002761,2,62
buddhist,0.002752,9,815
believe,0.002718,5,322
partner,0.002633,2,60
arena,0.002615,1,7
firmly,0.002615,1,4
meaning-making,0.002615,1,5
demon,0.002615,1,33
district,0.002615,1,4
pink,0.002615,1,5
partnership,0.002615,1,5
solstice,0.002615,1,6
confirmation,0.002615,1,9
strictly,0.002615,1,4
theological,0.002615,1,4
relationality,0.002615,1,4
whatnot,0.002615,1,4
recruit,0.002615,1,6
sleep,0.002574,2,69
land,0.002556,3,166
power,0.002495,3,216
