word,tfidf_score,talk_frequency,global_frequency
vedana,0.136719,104,152
unpleasant,0.033591,48,233
neutral,0.026162,24,52
arrow,0.023962,23,131
chain,0.023669,14,19
pleasant,0.022834,50,350
craving,0.020389,31,250
tone,0.016957,19,99
choose,0.011391,19,161
mei,0.011343,8,56
toy,0.010671,6,9
canyon,0.010144,6,15
wince,0.009296,4,4
mizu,0.009296,4,4
bell,0.009228,12,109
contact,0.008566,15,219
scan,0.008463,7,31
puzzle,0.008094,5,66
tangle,0.007791,5,23
typically,0.007753,7,38
spectrum,0.007401,7,43
item,0.007297,5,15
cream,0.007114,4,8
decoupled,0.006972,3,3
12-fold,0.006972,3,3
blanche,0.006972,3,3
pleasantness,0.006870,6,42
entanglement,0.006731,5,16
grand,0.006645,6,34
jar,0.006476,4,10
entangled,0.006440,6,37
butter,0.006233,4,11
hit,0.006162,6,56
unentangled,0.006154,3,4
nut,0.006154,3,4
optional,0.006023,4,15
aversion,0.005849,13,480
hooked,0.005675,3,5
fridge,0.005675,3,5
fixated,0.005671,4,18
task,0.005547,7,71
ice,0.005521,4,26
slightly,0.005491,7,64
dukkha,0.005445,10,401
sens,0.005383,7,139
gotama,0.005335,3,8
abbess,0.005072,3,21
register,0.004932,4,24
embedded,0.004932,4,26
neither,0.004904,6,77
impermanent,0.004863,5,58
inevitable,0.004857,3,8
decouple,0.004648,2,2
untaught,0.004648,2,2
instrumentalist,0.004648,2,2
mallet,0.004648,2,2
doan,0.004648,2,2
x-type,0.004648,2,2
fever-pitch,0.004648,2,2
zen,0.004569,6,134
note,0.004569,5,68
enlightenment,0.004569,5,67
noticing,0.004499,10,329
wanting,0.004484,12,391
rid,0.004397,6,123
elliott,0.004254,3,42
pace,0.004254,3,14
break,0.004199,6,90
sensing,0.004189,8,324
finish,0.004167,4,38
soundscape,0.004141,3,18
dependent,0.004130,5,84
acceptance,0.004108,4,65
knee-jerk,0.004102,2,3
snack,0.004102,2,3
lament,0.004102,2,3
limp,0.004102,2,4
hogen,0.004102,2,3
object,0.004049,9,293
chase,0.004038,3,16
gate,0.003944,3,33
ceremony,0.003944,3,26
instrument,0.003944,3,19
grieve,0.003856,3,21
suffering,0.003826,19,1427
untrained,0.003783,2,4
worldling,0.003783,2,4
vow,0.003775,3,29
knee,0.003745,4,72
sound,0.003594,11,472
mention,0.003570,4,46
assembly,0.003557,2,6
sight,0.003489,4,63
untangle,0.003381,2,8
musician,0.003381,2,6
pronounced,0.003381,2,7
poem,0.003346,5,393
source,0.003345,6,307
fixed,0.003339,4,90
pain,0.003193,9,502
hitting,0.003116,2,11
consistent,0.003116,2,9
non-suffering,0.003116,2,14
missing,0.003011,2,15
glance,0.003011,2,11
phone,0.002997,3,61
foundation,0.002973,5,164
we'll,0.002941,15,557
obsessed,0.002919,2,12
fish,0.002919,2,15
notice,0.002881,13,736
mouth,0.002844,3,51
hears,0.002836,2,17
clarify,0.002836,2,13
origination,0.002761,2,17
training,0.002654,4,191
extra,0.002631,4,179
relates,0.002629,2,16
forehead,0.002629,2,21
gateway,0.002629,2,23
bay,0.002629,2,16
rejecting,0.002571,2,19
noting,0.002571,2,27
passing,0.002531,3,86
shop,0.002517,2,21
sensation,0.002500,11,863
taste,0.002478,3,125
to-do,0.002466,2,18
interesting,0.002433,6,278
