word,tfidf_score,talk_frequency,global_frequency
monkey,0.060008,24,51
restlessness,0.026706,14,80
monkeys,0.021982,7,17
quail,0.018042,6,54
foolishness,0.017569,5,8
continually,0.015384,6,17
dull,0.015035,5,10
grabs,0.012028,4,9
similes,0.011020,5,54
animal,0.010983,6,70
discontent,0.010635,5,34
tar,0.010541,3,9
swinging,0.010541,3,6
toward,0.007943,6,156
branch,0.007630,4,39
paw,0.007620,2,3
balance,0.007459,6,153
flow,0.007409,9,354
proliferation,0.007325,3,33
grabbing,0.007163,3,23
investigation,0.007043,4,71
simile,0.007043,4,74
restless,0.006737,3,28
portrayed,0.006607,2,11
leaping,0.006607,2,5
nikaya,0.006381,3,53
features,0.006281,2,9
etc,0.006074,3,33
foundations,0.005981,3,44
dhammapada,0.005891,3,67
potential,0.005888,4,80
emotion,0.005828,4,106
hindrances,0.005828,4,165
mara,0.005789,2,43
triggers,0.005789,2,9
stick,0.005643,3,56
bicycle,0.005593,2,22
tasks,0.005421,2,10
ceases,0.005421,2,11
inward,0.005350,3,45
samyutta,0.005267,2,24
verse,0.005217,3,70
continuing,0.005153,4,76
unable,0.005128,2,14
sutta,0.004978,5,434
stuck,0.004887,4,122
ideal,0.004884,2,15
scale,0.004775,2,27
consciousness,0.004682,4,187
forces,0.004652,3,83
corrections,0.004317,1,1
progresses,0.004317,1,1
uninstructed,0.004317,1,1
dispassionate,0.004317,1,1
snare,0.004317,1,1
nikayas,0.004317,1,1
weak,0.004254,2,30
teacher,0.004184,7,421
stay,0.004160,9,561
caught,0.004073,6,363
tendency,0.004046,3,86
contentment,0.004046,3,289
inviting,0.004008,3,118
apparently,0.003987,2,39
technique,0.003815,2,40
seeking,0.003815,2,43
uninterested,0.003810,1,2
disinterest,0.003810,1,4
jumpy,0.003810,1,2
validating,0.003810,1,2
unprotected,0.003810,1,3
visceral,0.003810,1,2
pit,0.003810,1,2
attract,0.003810,1,2
nominally,0.003810,1,2
appropriated,0.003810,1,2
glamorous,0.003810,1,2
duca,0.003810,1,2
content,0.003796,3,140
addition,0.003762,2,32
lets,0.003711,2,34
watch,0.003697,3,115
invitation,0.003665,3,124
relatively,0.003661,2,37
humans,0.003633,3,121
represents,0.003567,2,46
places,0.003522,5,241
foot,0.003522,2,53
drowsy,0.003514,1,3
identical,0.003514,1,3
grasped,0.003514,1,3
seeks,0.003514,1,3
capability,0.003514,1,4
discontentment,0.003514,1,5
samuta,0.003514,1,3
observe,0.003478,2,63
distraction,0.003436,2,54
willing,0.003424,3,148
whereas,0.003395,2,46
investigate,0.003354,2,72
slight,0.003315,2,49
discontented,0.003303,1,4
intellect,0.003303,1,7
prose,0.003303,1,7
desire,0.003244,4,555
level,0.003220,4,258
gets,0.003210,7,445
identify,0.003204,2,75
via,0.003140,1,6
weakness,0.003140,1,5
contexts,0.003140,1,8
disenchantment,0.003140,1,10
randomly,0.003140,1,6
stepping,0.003135,2,78
mindfulness,0.003103,9,1006
looking,0.003081,7,501
lay,0.003068,2,95
patterns,0.003068,2,78
moving,0.003057,4,220
cheek,0.003007,1,14
ancestral,0.003007,1,15
