word,tfidf_score,talk_frequency,global_frequency
shore,0.037502,22,101
expanse,0.015610,6,16
far,0.011885,16,220
raft,0.011815,6,38
seeking,0.010516,7,42
simile,0.010325,8,123
nibbana,0.009204,5,41
near,0.007798,7,107
adding,0.007656,6,71
turbulent,0.007420,3,7
oh,0.007393,28,1322
journey,0.007249,6,118
experienced,0.006789,9,172
extra,0.006735,7,179
non-clinging,0.006700,4,54
diana,0.006373,6,331
arises,0.006090,12,349
dubious,0.006001,2,16
self-acceptance,0.006001,2,6
spontaneously,0.005908,3,21
clark,0.005855,5,281
sadness,0.005691,4,59
dukkha,0.005576,7,401
arose,0.005547,4,49
perilous,0.005535,2,15
pass,0.005522,3,23
unity,0.005522,3,51
water,0.005377,9,467
river,0.005261,5,347
meaningful,0.005261,5,88
unknowingly,0.005203,2,7
absence,0.005104,4,96
hawk,0.004946,2,26
soaring,0.004946,2,6
frustration,0.004941,3,35
description,0.004885,4,64
freedom,0.004883,12,597
clinging,0.004780,8,428
complete,0.004729,5,114
irritation,0.004710,3,38
radical,0.004684,4,82
side,0.004676,7,271
permanent,0.004640,3,40
trap,0.004572,3,47
solidify,0.004559,2,10
problem,0.004505,7,292
okay,0.004445,18,1126
gosh,0.004444,3,38
bliss,0.004444,3,61
concept,0.004314,5,242
spaciousness,0.004289,4,214
meanwhile,0.004270,2,10
cruel,0.004270,2,11
label,0.004268,3,75
slap,0.004148,2,13
swept,0.003938,2,19
blank,0.003938,2,24
questioner,0.003872,3,228
consciousness,0.003828,3,129
existential,0.003761,2,27
self,0.003715,7,1124
fix,0.003687,4,149
critic,0.003607,2,52
idea,0.003607,27,1572
instead,0.003517,8,439
relationship,0.003490,8,484
turned,0.003478,3,80
rumination,0.003409,2,45
alagaddupama,0.003400,1,1
scooper,0.003400,1,1
scooping,0.003400,1,1
outrun,0.003400,1,1
half-comatose,0.003400,1,1
unbothered,0.003400,1,1
wreaks,0.003400,1,1
havoc,0.003400,1,1
weirder,0.003400,1,1
cul-de-sac,0.003400,1,1
erroneous,0.003400,1,1
residual,0.003400,1,1
non-seeking,0.003400,1,1
evasive,0.003400,1,1
omitted,0.003400,1,1
wincing,0.003400,1,1
here's,0.003396,4,160
understand,0.003357,11,567
overwhelmed,0.003350,2,25
isn't,0.003346,7,390
noticing,0.003291,5,329
satisfying,0.003278,3,111
awakening,0.003211,4,283
expecting,0.003189,2,28
pushed,0.003093,2,38
weird,0.003048,2,40
stable,0.003016,3,105
narrative,0.003005,2,46
ferry,0.003001,1,2
scoop,0.003001,1,2
chilled,0.003001,1,2
merged,0.003001,1,2
non-grasping,0.003001,1,3
self-project,0.003001,1,2
winced,0.003001,1,2
jump,0.002963,2,39
interaction,0.002922,2,39
sad,0.002883,2,52
uncomfortable,0.002813,3,194
realizing,0.002809,2,43
stick,0.002774,2,66
peril,0.002767,1,3
paddling,0.002767,1,4
willpower,0.002767,1,3
never-ending,0.002767,1,3
misconception,0.002767,1,5
nirvana,0.002767,1,3
non-delusion,0.002767,1,8
non-hatred,0.002767,1,3
turbulence,0.002767,1,3
empowering,0.002767,1,3
assigned,0.002767,1,3
abandonment,0.002767,1,3
metric,0.002767,1,3
bursting,0.002767,1,3
apologized,0.002767,1,3
sutta,0.002742,3,307
outside,0.002713,4,195
haven't,0.002697,3,98
helped,0.002673,2,46
talking,0.002653,7,445
leave,0.002652,4,191
fundamental,0.002642,2,49
everybody,0.002631,3,181
insecurity,0.002602,1,4
impressed,0.002602,1,5
stop,0.002575,5,343
happens,0.002548,7,406
perfectly,0.002524,2,61
certainly,0.002499,4,202
absolutely,0.002496,2,64
subtle,0.002480,4,350
well-known,0.002473,1,5
snake,0.002473,1,13
sanctuary,0.002473,1,6
lifespan,0.002473,1,12
avoided,0.002473,1,5
guaranteed,0.002473,1,7
non-greed,0.002473,1,7
attributed,0.002473,1,6
adequate,0.002473,1,5
legitimate,0.002473,1,5
unbinding,0.002473,1,9
blob,0.002473,1,7
pivot,0.002473,1,5
defending,0.002473,1,5
reach,0.002469,2,62
turn,0.002442,6,457
stuff,0.002428,3,178
person,0.002421,10,1004
meditative,0.002416,2,76
constant,0.002391,2,70
completely,0.002372,4,248
twig,0.002368,1,7
serene,0.002368,1,7
dismissed,0.002368,1,6
bolster,0.002368,1,6
transcendent,0.002368,1,10
messed,0.002368,1,6
except,0.002318,2,65
leading,0.002318,2,105
gross,0.002279,1,10
creek,0.002279,1,11
reify,0.002279,1,9
collectedness,0.002279,1,8
flap,0.002279,1,13
flight,0.002279,1,13
event,0.002250,2,83
notion,0.002250,2,96
perception,0.002250,2,207
fun,0.002250,2,103
disturbing,0.002203,1,11
chaos,0.002203,1,11
preventing,0.002203,1,12
portion,0.002203,1,9
teacher's,0.002203,1,10
ease,0.002182,5,509
using,0.002170,4,270
terrible,0.002165,2,120
range,0.002144,2,91
endless,0.002135,1,13
constancy,0.002135,1,14
bucket,0.002135,1,23
passivity,0.002135,1,15
sufficient,0.002135,1,11
flexibility,0.002135,1,10
yet,0.002129,3,235
quieter,0.002124,2,95
looking,0.002114,6,491
changed,0.002105,2,99
arrives,0.002074,1,12
bridge,0.002074,1,11
diagnosis,0.002074,1,13
suggests,0.002074,1,11
inadequacy,0.002074,1,13
uncomfortableness,0.002074,1,18
exist,0.002066,2,91
number,0.002034,3,213
dominant,0.002019,1,19
warm-heartedness,0.002019,1,50
valley,0.002019,1,13
experience,0.002009,28,2694
guess,0.001993,2,114
remember,0.001985,4,306
introduced,0.001969,1,14
cross,0.001969,1,29
identifying,0.001969,1,19
communicate,0.001969,1,20
measuring,0.001969,1,16
defend,0.001969,1,15
perfect,0.001958,2,122
clearly,0.001955,4,386
course,0.001936,7,662
longer,0.001926,4,290
behaving,0.001923,1,15
thin,0.001923,1,17
talked,0.001916,3,233
mild,0.001880,1,17
failure,0.001880,1,26
embracing,0.001880,1,32
rejection,0.001880,1,16
disappointment,0.001880,1,18
type,0.001859,2,176
triggered,0.001841,1,17
dismissive,0.001841,1,20
somewhere,0.001813,2,104
rest,0.001806,5,382
