word,tfidf_score,talk_frequency,global_frequency
cow,0.086222,27,60
shore,0.035993,13,101
cowherd,0.033946,7,10
across,0.019496,13,152
gang,0.019398,4,5
safely,0.019170,5,12
cross,0.019023,8,106
river,0.016907,10,349
breast,0.016835,4,8
calf,0.016835,4,7
ford,0.016470,3,3
flood,0.016057,6,120
animal,0.014706,8,119
bull,0.012626,3,13
nine-night,0.010980,2,2
wholesomeness,0.010885,4,31
trust,0.010542,9,277
far,0.009945,12,361
guidance,0.009512,4,40
monkey,0.008962,3,69
instruction,0.008901,7,214
liken,0.008783,3,23
stray,0.008418,2,9
simile,0.008323,4,134
listen,0.008246,9,389
sangha,0.008020,5,237
reach,0.007817,5,104
group,0.007348,6,246
wise,0.007330,8,454
stream,0.007282,4,109
herd,0.007136,2,47
daylong,0.006919,2,12
retreat,0.006323,7,393
path,0.006308,9,820
mother,0.006107,3,96
leader,0.006102,2,62
drive,0.005944,5,197
journey,0.005679,3,123
mindfulness,0.005520,12,983
beneficial,0.005515,3,104
algorithm,0.005490,1,1
bullock,0.005490,1,1
heifer,0.005490,1,1
swimmer,0.005490,1,1
self-deprecation,0.005490,1,1
fondness,0.005490,1,1
dharma,0.005307,10,842
humility,0.005266,2,31
internally,0.005184,2,42
weak,0.005184,2,36
toward,0.005164,3,153
near,0.005164,3,114
various,0.005118,3,91
suttas,0.005072,3,172
trickle,0.004849,1,3
touchstone,0.004849,1,2
harmlessness,0.004849,1,2
mindlessness,0.004849,1,2
agricultural,0.004849,1,2
hall,0.004821,2,47
line,0.004790,4,222
rule,0.004756,2,58
low,0.004499,3,139
april,0.004475,1,3
exclusive,0.004475,1,3
blindly,0.004475,1,3
intractable,0.004475,1,4
manage,0.004256,2,50
sutta,0.004252,3,324
cattle,0.004209,1,6
everybody,0.004120,3,199
investigate,0.004116,2,102
analogy,0.004028,2,59
weaken,0.004003,1,8
arahants,0.004003,1,5
cheer,0.004003,1,7
modern-day,0.004003,1,5
worth,0.003903,2,76
quail,0.003834,1,55
unwise,0.003834,1,6
in-person,0.003834,1,7
step-by-step,0.003834,1,9
gain,0.003824,2,103
area,0.003771,4,268
acknowledgment,0.003692,1,8
countless,0.003692,1,7
millennium,0.003692,1,8
residential,0.003692,1,12
schedule,0.003692,1,8
distraction,0.003676,2,73
walk,0.003636,5,549
image,0.003620,3,210
globe,0.003568,1,21
pot,0.003568,1,19
brace,0.003459,1,11
static,0.003459,1,11
prompt,0.003459,1,11
nonetheless,0.003362,1,15
pandemic,0.003193,1,15
invite,0.003173,3,319
present-moment,0.003119,1,24
arrange,0.003119,1,14
isn't,0.003084,4,406
simple,0.003081,6,721
majority,0.003051,1,15
soften,0.003036,5,549
invitation,0.003024,2,133
example,0.002995,4,377
exception,0.002987,1,15
eventually,0.002951,2,104
mindfully,0.002928,1,21
smart,0.002928,1,21
socket,0.002871,1,19
blade,0.002871,1,21
complexity,0.002871,1,26
likewise,0.002871,1,29
small,0.002866,4,392
orient,0.002834,2,199
confident,0.002769,1,27
fully,0.002769,3,297
teacher,0.002762,4,560
strong,0.002742,4,451
young,0.002725,2,163
ease,0.002721,4,551
case,0.002704,2,171
continue,0.002697,5,422
real,0.002690,3,232
appropriate,0.002662,2,172
study,0.002662,2,175
discus,0.002633,1,28
claim,0.002633,1,34
structure,0.002633,1,29
illness,0.002592,1,31
sick,0.002592,1,36
humble,0.002592,1,24
swim,0.002553,1,40
dhammapada,0.002515,1,41
discovery,0.002479,1,56
hip,0.002444,1,31
urge,0.002444,1,44
literal,0.002444,1,33
fell,0.002410,1,33
regular,0.002410,1,32
together,0.002393,9,1029
intention,0.002377,2,260
hundred,0.002347,1,37
tool,0.002347,1,65
although,0.002316,1,43
ongoing,0.002316,1,40
add,0.002291,2,288
gather,0.002291,2,330
eightfold,0.002287,1,83
navigate,0.002287,1,52
baby,0.002258,1,68
speaker,0.002231,1,68
slide,0.002231,1,81
shoulder,0.002225,2,211
value,0.002209,2,226
physically,0.002204,1,47
demand,0.002204,1,45
lightly,0.002204,1,47
tiny,0.002204,1,50
neck,0.002178,1,55
intentionally,0.002178,1,41
basis,0.002178,1,56
drop,0.002177,2,274
keep,0.002163,7,816
jaw,0.002153,1,48
degree,0.002146,2,230
inspire,0.002146,2,239
watch,0.002131,2,247
out-breath,0.002128,1,66
overwhelm,0.002128,1,57
fill,0.002100,2,233
tone,0.002081,1,101
choose,0.002070,2,259
awaken,0.002055,2,419
online,0.002014,1,58
brief,0.001993,1,102
ear,0.001993,1,68
tradition,0.001969,2,339
modern,0.001952,1,77
student,0.001952,1,164
freedom,0.001951,3,635
identity,0.001932,1,156
weren't,0.001912,1,78
carefully,0.001912,1,57
unknown,0.001893,1,50
face,0.001859,2,251
ahead,0.001856,1,76
fantasy,0.001856,1,89
mood,0.001856,1,92
inspiration,0.001856,1,126
observe,0.001838,1,123
aspect,0.001819,2,271
extend,0.001786,1,77
realm,0.001770,1,185
speech,0.001753,1,175
element,0.001737,1,183
position,0.001721,1,86
pattern,0.001721,1,133
certain,0.001714,4,630
complicate,0.001706,1,88
confidence,0.001706,1,159
aside,0.001706,1,112
great,0.001701,5,933
society,0.001691,1,135
strength,0.001676,1,99
grasp,0.001676,1,139
range,0.001676,1,96
flow,0.001670,2,570
surprise,0.001661,1,89
seat,0.001661,1,120
it'll,0.001661,1,100
otherwise,0.001661,1,98
deal,0.001646,1,108
reality,0.001646,1,120
helpful,0.001634,2,577
safety,0.001632,1,118
trouble,0.001632,1,93
attune,0.001604,1,117
protect,0.001604,1,107
send,0.001604,1,120
memory,0.001577,1,149
they've,0.001577,1,99
clearly,0.001565,2,403
leg,0.001563,1,106
sound,0.001553,2,490
since,0.001550,1,96
cushion,0.001550,1,116
dharmette,0.001541,3,323
effect,0.001512,1,163
arm,0.001487,1,121
hatred,0.001452,1,198
difficulty,0.001429,1,217
aren't,0.001429,1,135
remember,0.001423,2,390
authoritative,0.001417,1,85
understand,0.001411,5,1220
obvious,0.001406,1,150
learn,0.001403,4,777
delusion,0.001395,1,219
expression,0.001384,1,128
finally,0.001363,1,153
directly,0.001363,1,116
comment,0.001352,1,193
large,0.001352,1,142
condition,0.001351,2,690
posture,0.001344,3,608
alone,0.001342,1,146
buddha,0.001333,4,1874
won't,0.001331,1,135
work,0.001313,5,1356
chest,0.001311,1,144
arrive,0.001301,1,158
use,0.001292,6,1194
greed,0.001291,1,247
reflection,0.001291,1,212
yesterday,0.001281,1,160
reflect,0.001272,1,199
lie,0.001252,1,169
old,0.001252,1,200
approach,0.001243,1,276
somebody,0.001234,1,352
practitioner,0.001225,1,200
move,0.001217,3,640
eye,0.001206,3,634
bring,0.001201,5,1196
record,0.001189,1,119
oneself,0.001189,1,186
everyone,0.001186,2,453
notice,0.001183,3,1214
figure,0.001180,1,219
bear,0.001171,1,235
call,0.001170,5,1048
amount,0.001163,1,172
yet,0.001146,1,239
clarity,0.001146,1,255
ever,0.001137,1,181
carry,0.001129,1,203
force,0.001129,1,220
support,0.001128,3,955
action,0.001113,1,341
wide,0.001105,1,258
slow,0.001097,1,164
outside,0.001097,1,199
meditate,0.001096,2,514
create,0.001096,2,536
object,0.001073,1,302
