word,tfidf_score,talk_frequency,global_frequency
anger,0.049678,28,344
profligate,0.031495,4,4
vandalism,0.031495,4,4
moral,0.027835,8,72
agape,0.020849,3,4
leg,0.018242,4,20
expressing,0.016080,4,22
glowingly,0.015748,2,2
honeyed,0.015748,2,2
argues,0.015748,2,2
interest,0.015633,6,103
destroy,0.014411,3,18
compounds,0.013899,2,3
sentimental,0.013899,2,3
poisoned,0.012818,2,4
kicking,0.012818,2,4
envision,0.012051,2,5
balls,0.011456,2,9
extract,0.011456,2,6
untangle,0.011456,2,8
killing,0.011443,3,43
causality,0.010970,2,10
affectionate,0.010970,2,8
grief,0.010631,4,132
king,0.010589,3,456
york,0.010559,2,11
aggression,0.010559,2,11
energy,0.010511,8,405
july,0.010202,2,9
outrage,0.010202,2,29
biography,0.009888,2,13
passivity,0.009888,2,15
fight,0.009885,3,44
w,0.009607,2,22
office,0.008908,2,19
tip,0.008710,2,18
brensilver,0.008485,3,89
god,0.008395,3,79
loves,0.008040,2,25
wisdom,0.007985,7,535
fifty,0.007874,1,1
submerged,0.007874,1,1
vicaya,0.007874,1,1
extracting,0.007874,1,1
9th,0.007874,1,1
bodyworker,0.007874,1,1
fight-flight-freeze,0.007874,1,1
bedrock,0.007874,1,1
disown,0.007874,1,1
pillars,0.007874,1,1
aggrieved,0.007874,1,1
angered,0.007874,1,1
wanton,0.007874,1,1
coexists,0.007874,1,1
pulitzer,0.007874,1,1
superb,0.007874,1,1
jonathan,0.007874,1,1
eig,0.007874,1,1
sanitized,0.007874,1,1
self-indulgent,0.007874,1,1
rattles,0.007874,1,1
inactivity,0.007874,1,1
discharge,0.007874,1,1
persuasiveness,0.007874,1,1
unmitigated,0.007874,1,1
nonsense,0.007874,1,1
oppressors,0.007874,1,1
philia,0.007874,1,1
redeeming,0.007874,1,1
movement,0.006999,6,356
29th,0.006950,1,2
manipulating,0.006950,1,2
disavow,0.006950,1,2
bouquet,0.006950,1,2
slain,0.006950,1,2
inflicting,0.006950,1,2
occluded,0.006950,1,2
reverberation,0.006950,1,2
self-involved,0.006950,1,2
cleanly,0.006950,1,2
discharged,0.006950,1,2
rattle,0.006950,1,2
alchemically,0.006950,1,2
paradoxical,0.006950,1,2
oppose,0.006950,1,2
eros,0.006950,1,2
root,0.006862,2,40
sort,0.006777,4,241
expressed,0.006678,2,44
love,0.006434,14,1462
ping-pong,0.006409,1,5
subterranean,0.006409,1,3
hardened,0.006409,1,4
o,0.006409,1,7
approve,0.006409,1,3
pivoting,0.006409,1,3
heartache,0.006409,1,3
heroes,0.006409,1,3
polished,0.006409,1,3
melodramatic,0.006409,1,5
persuasive,0.006409,1,4
seeks,0.006409,1,3
air,0.006351,3,167
delusion,0.006093,3,211
suppress,0.006025,1,4
appendage,0.006025,1,4
taboo,0.006025,1,4
armor,0.006025,1,8
wellsprings,0.006025,1,4
gotama,0.006025,1,8
trash,0.006025,1,6
impoverished,0.006025,1,4
mistaken,0.006025,1,6
nonviolence,0.006025,1,6
legacy,0.006025,1,4
distort,0.006025,1,6
channeled,0.006025,1,6
mastered,0.006025,1,5
overflowing,0.006025,1,4
appeal,0.006025,1,4
theological,0.006025,1,4
animated,0.005728,1,5
wednesdays,0.005728,1,7
completed,0.005728,1,7
aggressive,0.005728,1,5
uprooting,0.005728,1,8
thorough,0.005728,1,5
february,0.005728,1,7
bartering,0.005485,1,6
forcefully,0.005485,1,6
okay-ness,0.005485,1,10
fearless,0.005485,1,8
sideways,0.005485,1,6
radical,0.005424,2,82
relinquish,0.005279,1,7
defense,0.005279,1,7
president,0.005279,1,7
greek,0.005279,1,33
nectar,0.005101,1,11
somatic,0.005101,1,18
afflictive,0.005101,1,10
protects,0.005101,1,8
distorted,0.005101,1,17
societies,0.005101,1,11
won,0.005101,1,10
king's,0.005101,1,11
aversion,0.005083,3,438
pain,0.004990,4,489
