word,tfidf_score,talk_frequency,global_frequency
mara,0.070652,29,141
buddha-to-be,0.049601,12,22
knowledge,0.032752,18,110
siddhattha,0.023415,5,5
victory,0.019573,6,19
mara's,0.018840,6,12
dominion,0.018732,4,4
witness,0.018459,8,39
buddhacarita,0.016534,4,8
army,0.015894,6,41
padana,0.014049,3,3
vessantara,0.014049,3,3
participant,0.013245,5,38
nidanakatha,0.012400,3,8
function,0.012245,9,105
bodhisattva,0.011126,4,21
deity,0.011126,4,26
diana,0.010241,7,331
sutta,0.010074,8,307
seven-hundredfold,0.009366,2,2
resounded,0.009366,2,2
hyperbole,0.009366,2,2
quest,0.008571,3,15
existence,0.008397,4,46
battle,0.008344,3,33
textual,0.008267,2,5
taint,0.008267,2,3
devaputta,0.008267,2,8
testify,0.008267,2,3
awakened,0.008234,5,92
myth,0.007947,3,44
epic,0.007624,2,5
ridge,0.007624,2,5
diverse,0.007624,2,4
tornado,0.007624,2,4
defilement,0.007453,3,29
perfection,0.007453,3,30
stood,0.007173,3,35
charity,0.007167,2,9
review,0.006922,3,31
destruction,0.006814,2,11
earth,0.006743,5,229
origin,0.006695,3,31
he's,0.006688,6,305
represent,0.006488,3,28
previous,0.006298,3,36
recollection,0.006280,2,15
southern,0.006280,2,11
supreme,0.006280,2,13
heavenly,0.006280,2,18
overwhelm,0.006280,2,9
typical,0.006068,2,12
prince,0.006068,2,60
seat,0.006021,4,105
deed,0.005881,2,13
symbolic,0.005881,2,16
weapon,0.005881,2,15
follower,0.005881,2,26
stretched,0.005881,2,13
religion,0.005731,3,91
ethic,0.005731,3,140
compare,0.005563,2,19
strive,0.005563,2,24
northern,0.005563,2,15
parami,0.005563,2,28
advanced,0.005563,2,14
origination,0.005563,2,17
great,0.005323,13,666
craving,0.005301,4,250
p,0.005298,2,16
determination,0.005180,2,20
robe,0.005180,2,33
blade,0.005071,2,19
alms,0.005071,2,22
divine,0.005071,2,25
hell,0.004969,2,59
cessation,0.004969,2,46
singing,0.004969,2,22
equal,0.004969,2,24
commentary,0.004941,3,86
story,0.004894,10,985
grass,0.004873,2,42
account,0.004873,2,26
clark,0.004839,3,281
pali,0.004777,5,216
poetry,0.004696,2,93
ascended,0.004683,1,1
clockwise,0.004683,1,1
forsaken,0.004683,1,1
sprang,0.004683,1,1
cubit,0.004683,1,1
ablest,0.004683,1,1
sculptor,0.004683,1,1
girimekhala,0.004683,1,1
yojanas,0.004683,1,1
yojana,0.004683,1,1
guise,0.004683,1,1
beholding,0.004683,1,1
hem,0.004683,1,1
hurl,0.004683,1,1
disc,0.004683,1,1
canopy,0.004683,1,1
sub-perfections,0.004683,1,1
non-sentient,0.004683,1,1
extricating,0.004683,1,1
triumphed,0.004683,1,1
illustrious,0.004683,1,1
penetrative,0.004683,1,1
rhetorical,0.004683,1,1
competing,0.004683,1,1
religion's,0.004683,1,1
jive,0.004683,1,1
steadfastness,0.004683,1,1
saboteur,0.004683,1,1
vanquished,0.004683,1,1
itivuttaka,0.004683,1,1
flounder,0.004683,1,1
bodhi,0.004615,2,26
wife,0.004615,2,39
entered,0.004537,2,32
canon,0.004464,2,53
sacrifice,0.004464,2,42
awakening,0.004423,4,283
ignorance,0.004393,2,46
resolve,0.004393,2,40
samsara,0.004326,2,41
sits,0.004261,2,33
mirror,0.004261,2,36
force,0.004221,4,190
raised,0.004199,2,36
journeyed,0.004133,1,2
bodh,0.004133,1,2
gaya,0.004133,1,2
confronted,0.004133,1,2
000-foot,0.004133,1,2
bhayabherava,0.004133,1,3
reappearance,0.004133,1,2
asava,0.004133,1,4
veda,0.004133,1,2
buddhism's,0.004133,1,2
avici,0.004133,1,2
painter,0.004133,1,3
sinew,0.004133,1,2
armed,0.004133,1,2
swooping,0.004133,1,2
rainfall,0.004133,1,2
gloom,0.004133,1,2
mudra,0.004133,1,2
omniscient,0.004133,1,2
omniscience,0.004133,1,3
explanatory,0.004133,1,2
cosmological,0.004133,1,3
sociocultural,0.004133,1,2
establishes,0.004133,1,2
explores,0.004133,1,2
unacknowledged,0.004133,1,2
praise,0.004081,2,48
faculty,0.004025,2,74
remain,0.004025,2,35
watch,0.003942,3,121
night,0.003908,3,170
generosity,0.003875,3,206
universe,0.003821,2,65
birth,0.003821,2,58
overcomes,0.003812,1,3
wieldy,0.003812,1,5
marched,0.003812,1,4
mounted,0.003812,1,4
dagger,0.003812,1,7
earth-touching,0.003812,1,3
claiming,0.003812,1,5
christianity,0.003812,1,3
all-powerful,0.003812,1,3
seeker,0.003812,1,3
slipped,0.003812,1,4
honor,0.003773,2,56
conflict,0.003683,2,311
enlightenment,0.003683,2,67
side,0.003681,4,271
past,0.003654,4,227
whose,0.003597,2,43
brahmanism,0.003584,1,5
elephant,0.003584,1,42
garland,0.003584,1,5
defeated,0.003584,1,5
defeat,0.003584,1,9
supposedly,0.003584,1,4
archetype,0.003584,1,8
theological,0.003584,1,4
wounded,0.003584,1,4
concluding,0.003584,1,5
faded,0.003584,1,5
willingness,0.003515,2,70
sensual,0.003476,2,104
thousand,0.003438,2,67
refresh,0.003407,1,5
drowsiness,0.003407,1,7
destination,0.003407,1,9
eastern,0.003407,1,5
announced,0.003407,1,6
latest,0.003407,1,6
adolescent,0.003407,1,6
psyche,0.003407,1,5
reinforces,0.003407,1,6
yearning,0.003407,1,8
sensuality,0.003407,1,8
well-developed,0.003407,1,5
final,0.003401,2,65
psychological,0.003401,2,69
wisdom,0.003392,5,536
nikaya,0.003364,2,69
inner,0.003342,5,447
dependent,0.003329,2,84
unquote,0.003262,1,7
stated,0.003262,1,6
superior,0.003262,1,9
upward,0.003262,1,7
design,0.003262,1,9
height,0.003262,1,8
cosmic,0.003262,1,9
limb,0.003262,1,8
day-to-day,0.003262,1,6
grandiose,0.003262,1,7
mount,0.003262,1,10
cast,0.003262,1,8
exploring,0.003226,2,78
ate,0.003140,1,8
depiction,0.003140,1,10
platform,0.003140,1,9
sank,0.003140,1,13
dryness,0.003140,1,14
sentient,0.003140,1,12
fold,0.003140,1,8
supernatural,0.003140,1,11
exaggerated,0.003140,1,9
entertaining,0.003140,1,8
panna,0.003140,1,10
class,0.003130,2,113
location,0.003099,2,85
event,0.003099,2,83
happened,0.003046,3,196
practiced,0.003039,2,77
flavor,0.003039,2,80
malleable,0.003034,1,11
shook,0.003034,1,8
truthfulness,0.003034,1,20
sword,0.003034,1,23
cried,0.003034,1,10
won,0.003034,1,10
era,0.003034,1,9
realm,0.002982,2,185
afraid,0.002982,2,103
inspiring,0.002954,2,87
text,0.002954,2,123
buddha,0.002950,10,1614
thirst,0.002941,1,14
dread,0.002941,1,18
biography,0.002941,1,13
deva,0.002941,1,28
depicted,0.002941,1,13
purified,0.002941,1,11
explains,0.002941,1,12
fish,0.002941,1,15
element,0.002926,2,183
doubt,0.002872,2,161
suttas,0.002872,2,171
arc,0.002857,1,29
destroy,0.002857,1,18
sphere,0.002857,1,35
echo,0.002857,1,13
gained,0.002857,1,10
justify,0.002857,1,10
upon,0.002845,3,196
dullness,0.002781,1,23
rebirth,0.002781,1,43
explored,0.002781,1,13
dominant,0.002781,1,19
flesh,0.002781,1,11
majesty,0.002781,1,16
jealousy,0.002781,1,36
kingdom,0.002781,1,29
vocabulary,0.002781,1,16
leave,0.002740,3,191
composed,0.002712,1,27
jataka,0.002712,1,141
facing,0.002712,1,14
attainment,0.002712,1,17
placed,0.002712,1,14
fulfilled,0.002712,1,12
tale,0.002649,1,30
appeared,0.002649,1,14
mile,0.002649,1,15
attack,0.002649,1,18
shake,0.002649,1,16
organ,0.002649,1,18
beat,0.002649,1,21
providing,0.002649,1,23
samyutta,0.002649,1,18
representation,0.002590,1,27
manner,0.002590,1,16
answered,0.002590,1,17
groundedness,0.002590,1,23
knew,0.002583,2,105
type,0.002561,2,176
fourth,0.002540,2,153
literature,0.002536,1,25
dismissive,0.002536,1,20
discontent,0.002536,1,29
sunlight,0.002536,1,19
device,0.002536,1,22
dawn,0.002484,1,28
reborn,0.002484,1,32
tree,0.002477,2,196
told,0.002456,2,136
meant,0.002456,2,127
saying,0.002447,5,651
buddha's,0.002436,2,155
suffering,0.002435,6,1427
hunger,0.002391,1,19
reached,0.002391,1,20
blood,0.002391,1,30
map,0.002391,1,37
whoever,0.002391,1,25
gave,0.002377,2,129
dry,0.002348,1,35
sea,0.002348,1,27
shore,0.002348,1,101
child,0.002339,2,200
low,0.002307,1,33
tip,0.002307,1,26
extent,0.002307,1,21
stayed,0.002307,1,23
risk,0.002307,1,24
reminds,0.002307,1,20
alone,0.002283,2,141
evil,0.002269,1,54
stretch,0.002269,1,27
finished,0.002269,1,24
liberated,0.002269,1,29
concentration,0.002265,2,223
turn,0.002242,4,457
attain,0.002232,1,30
control,0.002229,2,245
majjhima,0.002197,1,30
western,0.002197,1,44
men,0.002197,1,57
absolute,0.002197,1,29
sake,0.002197,1,45
accurate,0.002197,1,29
verse,0.002197,1,78
scholar,0.002163,1,38
navigate,0.002163,1,33
one's,0.002160,2,187
page,0.002130,1,31
boy,0.002130,1,42
transformation,0.002130,1,54
dhammapada,0.002130,1,41
shine,0.002130,1,61
cease,0.002099,1,43
north,0.002099,1,35
song,0.002099,1,49
authority,0.002099,1,35
last,0.002084,5,470
practitioner,0.002078,2,195
approaching,0.002069,1,59
continued,0.002069,1,35
written,0.002069,1,40
narrative,0.002069,1,46
throw,0.002069,1,49
according,0.002041,1,34
fighting,0.002041,1,56
unique,0.002041,1,42
represents,0.002041,1,41
speaks,0.002041,1,40
language,0.002031,2,165
effort,0.002015,2,326
screen,0.002013,1,55
karma,0.002013,1,75
ended,0.002013,1,38
hundred,0.001986,1,37
introduce,0.001960,1,38
virtue,0.001960,1,106
yet,0.001955,2,235
brings,0.001940,2,190
religious,0.001935,1,71
striving,0.001910,1,64
renunciation,0.001910,1,68
confused,0.001910,1,43
conceit,0.001910,1,58
bear,0.001910,1,39
heavy,0.001887,1,50
relating,0.001887,1,46
sun,0.001887,1,66
foot,0.001882,2,221
deepest,0.001864,1,58
skin,0.001864,1,61
bad,0.001854,2,261
category,0.001841,1,72
