word,tfidf_score,talk_frequency,global_frequency
equanimity,0.032878,47,458
understands,0.020910,12,27
aversion,0.020548,31,438
conflict,0.018849,15,302
confusion,0.015415,11,52
reactivity,0.015290,15,141
conditions,0.013788,24,359
conditioning,0.013485,11,63
action,0.012744,15,173
conditioned,0.012577,11,89
resistance,0.012113,12,119
acting,0.011382,8,47
skillful,0.011213,11,130
accountable,0.011205,5,10
greed,0.010998,15,238
acceptance,0.010890,8,65
fighting,0.010738,8,56
wisdom,0.009818,22,535
lawfully,0.009242,3,3
internally,0.008809,6,41
refraining,0.008262,4,30
drawbacks,0.008157,3,7
explore,0.007997,8,101
allowing,0.007549,20,465
lawful,0.007522,3,6
state,0.007304,14,483
receiving,0.006931,7,152
liking,0.006815,4,23
arising,0.006692,12,284
minds,0.006578,10,203
recognizing,0.006547,9,172
unpleasant,0.006493,7,233
non-harming,0.006446,5,64
wanting,0.006439,13,391
happening,0.006326,28,915
tools,0.006291,4,29
resisting,0.006283,5,46
piece,0.006210,7,129
puts,0.006205,5,59
clear-eyed,0.006161,2,2
aversion's,0.006161,2,2
conducts,0.006161,2,2
alleviate,0.005987,3,18
cultivate,0.005820,8,201
act,0.005820,8,204
contemplating,0.005803,3,15
compassion,0.005685,12,634
friendly,0.005654,5,117
delusion,0.005563,7,211
hearts,0.005510,8,185
weaken,0.005438,2,3
vexation,0.005438,2,4
karma,0.005296,4,75
creates,0.005277,6,106
understanding,0.005219,13,476
quality,0.005171,9,294
rabbit,0.005015,2,5
redirecting,0.005015,2,4
impartiality,0.005015,2,5
recognize,0.004800,11,404
balanced,0.004788,4,73
non-conflict,0.004715,2,14
laws,0.004715,2,6
inertia,0.004715,2,7
space,0.004682,13,680
actions,0.004596,5,145
balance,0.004555,5,143
whirlpool,0.004482,2,6
beset,0.004482,2,11
committing,0.004482,2,8
grounded,0.004475,5,115
dependence,0.004292,2,17
scenes,0.004292,2,7
contrary,0.004292,2,7
fever,0.004292,2,8
billion,0.004292,2,12
accepting,0.004268,3,37
condition,0.004107,5,160
cultivating,0.004039,5,187
stepped,0.003992,2,12
ideals,0.003992,2,9
imply,0.003992,2,10
challenging,0.003960,4,81
perspective,0.003923,4,145
disagreement,0.003869,2,12
ethical,0.003850,4,192
hole,0.003659,2,28
friend,0.003605,6,310
constriction,0.003569,2,16
led,0.003549,3,58
based,0.003518,4,136
web,0.003485,2,20
anger,0.003471,5,344
flavor,0.003469,3,57
rise,0.003469,3,72
situation,0.003365,5,230
overwhelming,0.003268,2,22
hatred,0.003258,4,194
receive,0.003205,4,141
possibility,0.003205,4,132
transform,0.003146,2,39
unpleasantness,0.003089,2,26
accept,0.003088,3,85
overwhelms,0.003081,1,1
unplanned,0.003081,1,1
coordinate,0.003081,1,1
synonymously,0.003081,1,1
genetics,0.003081,1,1
motivators,0.003081,1,1
weakening,0.003081,1,1
redirection,0.003081,1,1
deluding,0.003081,1,1
relationship,0.003077,7,386
intention,0.003028,4,190
despair,0.002985,2,46
reflection,0.002942,3,118
drawn,0.002936,2,29
tends,0.002887,3,83
reality,0.002834,3,115
strong,0.002821,6,340
consciously,0.002803,2,29
motivated,0.002803,2,34
something's,0.002803,2,29
connect,0.002777,4,181
already,0.002768,5,255
gravitate,0.002719,1,2
thinner,0.002719,1,2
similarities,0.002719,1,2
traction,0.002719,1,4
multiply,0.002719,1,3
multiplied,0.002719,1,2
fantasies,0.002685,2,50
nature,0.002658,6,388
fully,0.002647,5,284
yeah,0.002628,5,767
arise,0.002618,6,350
equanimous,0.002613,2,75
exploration,0.002578,2,49
habits,0.002545,2,54
disconnected,0.002513,2,57
ethics,0.002513,2,138
binding,0.002507,1,3
conflicted,0.002507,1,4
non-action,0.002507,1,4
accepts,0.002507,1,3
contemplated,0.002507,1,3
junk,0.002507,1,4
daishin,0.002507,1,5
exposition,0.002507,1,3
basis,0.002482,2,53
recognition,0.002444,3,202
friendliness,0.002422,2,163
past,0.002421,4,226
war,0.002394,2,63
moment's,0.002357,1,4
redirect,0.002357,1,4
upekkha,0.002357,1,7
fathom,0.002357,1,5
morgan,0.002357,1,9
opposition,0.002357,1,6
leak,0.002357,1,5
startled,0.002357,1,4
paragraph,0.002357,1,4
meeting,0.002308,3,178
ground,0.002308,3,148
tend,0.002271,3,129
parenting,0.002241,1,6
physics,0.002241,1,5
basing,0.002241,1,5
agreeing,0.002241,1,6
pulling,0.002237,2,65
clearly,0.002215,5,386
attention,0.002215,14,1243
capacity,0.002214,4,316
judging,0.002213,2,61
