word,tfidf_score,talk_frequency,global_frequency
river,0.106600,59,330
boulder,0.053584,15,36
ice,0.029475,9,26
changing,0.029472,26,378
flowing,0.025407,16,144
change,0.023208,36,798
flow,0.019980,19,352
solid,0.018839,9,69
flows,0.016940,8,61
rapids,0.016878,4,8
constantly,0.013028,7,92
melts,0.012033,3,7
tassajara,0.011523,3,11
boulders,0.011523,3,18
impermanence,0.011056,6,144
unsui,0.011028,2,2
waterfalls,0.011028,2,2
chaotic,0.010717,3,14
harmony,0.010712,5,111
twice,0.009887,4,33
sufi,0.009733,2,4
water,0.009690,10,462
grows,0.009595,5,70
shifting,0.008455,5,137
ring,0.008150,3,43
harmoniously,0.008022,2,6
noisy,0.008022,2,6
mountains,0.007525,3,35
bucket,0.007145,2,20
other's,0.007145,2,9
resisting,0.006747,3,46
traditions,0.006664,3,63
lowest,0.006550,2,20
nature,0.006343,8,388
watching,0.006296,4,109
waves,0.006280,3,94
central,0.006209,3,70
wise,0.006124,6,383
perception,0.006072,3,147
stepping,0.006006,3,78
constant,0.005817,3,70
companions,0.005737,2,35
melt,0.005630,2,22
cloud,0.005630,2,42
current,0.005528,3,113
monterey,0.005514,1,1
sayings,0.005514,1,1
glacier,0.005514,1,1
inscribe,0.005514,1,1
inscribed,0.005514,1,1
despondent,0.005514,1,1
reforming,0.005514,1,1
reshaping,0.005514,1,1
contended,0.005514,1,1
zen,0.005420,3,134
buddhism,0.005320,6,503
master,0.005093,2,37
sur,0.004867,1,2
heraclitus,0.004867,1,2
roar,0.004867,1,2
blockages,0.004867,1,2
tumbling,0.004867,1,3
sensations,0.004839,8,712
unique,0.004805,2,42
dissolve,0.004740,2,40
require,0.004740,2,42
contracted,0.004556,2,50
pull,0.004524,3,131
eddy,0.004488,1,14
stagnant,0.004488,1,3
bend,0.004488,1,3
bitter,0.004488,1,3
waterfall,0.004488,1,3
haven't,0.004374,3,98
step,0.004334,4,231
cannot,0.004302,3,129
novice,0.004219,1,4
non-attachment,0.004219,1,8
banging,0.004219,1,4
breaths,0.004175,4,181
stream,0.004093,2,85
monk,0.004048,2,99
well-known,0.004011,1,5
joins,0.004011,1,6
whirlpool,0.004011,1,6
ripens,0.004011,1,5
poverty,0.004011,1,14
wisdom,0.003994,5,535
middle,0.003993,4,212
silent,0.003878,2,110
big,0.003868,6,461
foolish,0.003841,1,19
plains,0.003841,1,8
made,0.003818,5,315
except,0.003760,2,65
man,0.003760,2,125
variation,0.003697,1,7
lap,0.003697,1,8
matures,0.003697,1,10
japanese,0.003697,1,20
creek,0.003697,1,10
accept,0.003685,2,85
ripples,0.003572,1,9
propose,0.003572,1,10
emphasize,0.003478,2,78
life's,0.003462,1,12
celebration,0.003462,1,11
pick,0.003413,2,79
every,0.003401,6,478
gentle,0.003401,3,244
recede,0.003364,1,12
nothing's,0.003364,1,10
rocks,0.003364,1,12
allowed,0.003351,2,108
held,0.003321,2,98
sand,0.003275,1,15
disappearing,0.003275,1,19
characters,0.003275,1,12
exception,0.003275,1,11
growing,0.003261,2,104
high,0.003232,2,109
metaphor,0.003204,2,114
grounded,0.003204,2,115
emphasizes,0.003194,1,12
freeze,0.003194,1,15
contemplate,0.003194,1,15
quote,0.003148,2,111
training,0.003148,2,186
dissolving,0.003119,1,21
softening,0.003108,3,223
beach,0.003050,1,22
obstacles,0.003050,1,25
unnecessarily,0.003050,1,16
certainly,0.003039,3,202
block,0.002985,1,28
appearing,0.002985,1,15
faster,0.002985,1,23
tight,0.002965,2,128
moving,0.002929,3,217
slowly,0.002916,2,106
returned,0.002868,1,17
always,0.002868,8,716
breathing,0.002858,7,1983
series,0.002843,3,247
wear,0.002815,1,30
tears,0.002815,1,24
silently,0.002815,1,25
image,0.002799,2,153
changes,0.002776,2,134
referred,0.002765,1,20
clouds,0.002765,1,36
harmonious,0.002765,1,23
wealth,0.002717,1,42
fluid,0.002717,1,28
pushing,0.002710,2,139
skill,0.002671,1,33
freedom,0.002640,4,596
gazing,0.002628,1,33
internally,0.002628,1,41
caring,0.002625,2,210
everything,0.002588,7,836
appreciate,0.002579,4,409
emphasizing,0.002547,1,27
adjusting,0.002547,1,29
ordinary,0.002544,2,175
disappears,0.002508,1,42
stays,0.002508,1,35
inconstancy,0.002472,1,74
wiser,0.002472,1,48
direct,0.002447,2,199
wisely,0.002437,1,31
written,0.002437,1,40
fell,0.002403,1,33
fighting,0.002403,1,56
everyday,0.002403,1,38
peace,0.002400,4,619
everything's,0.002370,1,43
