word,tfidf_score,talk_frequency,global_frequency
tarry,0.040478,12,21
shore,0.033304,16,101
flood,0.028160,14,120
audience,0.026452,14,137
speaker,0.025427,15,66
hurry,0.023732,14,81
cross,0.019912,11,105
member,0.019091,14,171
trial,0.015859,5,12
error,0.015859,5,10
difficulty,0.013118,12,212
extreme,0.011687,6,36
instruction,0.011552,12,212
stew,0.010971,3,4
doubt,0.010122,8,164
diligence,0.010120,3,5
equanimity,0.009479,10,459
faith,0.008686,6,172
sensitive,0.008103,6,87
near,0.007876,6,112
picture,0.007803,6,118
narrative,0.007342,4,46
compost,0.007314,2,3
metaphor,0.006895,6,146
uncomfortable,0.006837,6,195
habitual,0.006358,3,26
storm,0.006358,3,29
tough,0.006358,3,27
familial,0.006344,2,5
willingness,0.006173,4,72
sweep,0.006034,3,38
powerlessness,0.005776,2,9
ski,0.005776,2,8
far,0.005596,9,355
heartfelt,0.005561,2,11
instead,0.005398,10,440
situation,0.005226,7,316
goldstein,0.005209,2,11
balance,0.005124,5,231
minute,0.004969,9,343
abandon,0.004962,3,82
sand,0.004928,2,15
sink,0.004845,3,54
joseph,0.004806,2,14
stick,0.004776,5,191
professional,0.004590,2,26
trust,0.004459,5,253
amount,0.004426,5,165
noise,0.004404,2,25
helpful,0.004384,7,562
restless,0.004319,2,28
clark,0.004299,3,281
struggle,0.004299,3,67
exactly,0.004194,6,230
dawdle,0.004142,1,1
ostriched,0.004142,1,1
off-balance,0.004142,1,1
deluge,0.004142,1,1
unchanged,0.004142,1,1
delineation,0.004142,1,1
well-ingrained,0.004142,1,1
retrospectively,0.004142,1,1
instructor,0.004142,1,1
scribble,0.004142,1,1
ask,0.004100,9,667
uncommon,0.004091,2,24
rumination,0.004091,2,46
diana,0.003902,3,333
pattern,0.003902,3,130
confidence,0.003866,3,156
room,0.003865,7,414
smooth,0.003836,2,33
moderate,0.003657,1,2
mellow,0.003657,1,2
yank,0.003657,1,2
falter,0.003657,1,2
hail,0.003657,1,2
usual,0.003630,3,108
anybody,0.003630,3,115
head,0.003625,5,267
loosen,0.003620,2,41
guidance,0.003571,2,40
tool,0.003571,2,64
figure,0.003541,4,218
hang,0.003537,3,98
ago,0.003495,5,265
mixture,0.003373,1,3
co-create,0.003373,1,3
dilemma,0.003373,1,4
outside,0.003335,4,195
meet,0.003317,7,600
certain,0.003274,10,610
impulse,0.003269,2,65
side,0.003214,4,275
overwhelm,0.003193,2,57
glom,0.003172,1,5
acutely,0.003172,1,6
life-changing,0.003172,1,4
jay,0.003172,1,7
explore,0.003124,3,195
bodily,0.003087,2,100
mistake,0.003053,2,59
fade,0.003053,2,64
probe,0.003016,1,8
turbulent,0.003016,1,7
furniture,0.003016,1,5
chance,0.003003,3,150
recently,0.002988,2,55
prefer,0.002925,2,59
necessarily,0.002910,3,144
underneath,0.002895,2,86
masquerade,0.002888,1,10
general,0.002822,3,168
interpret,0.002809,2,79
god,0.002809,2,190
big,0.002801,7,645
