word,tfidf_score,talk_frequency,global_frequency
students,0.064109,58,103
education,0.052592,41,75
stanford,0.041350,19,21
chaplaincy,0.040914,30,174
higher,0.030793,31,92
chaplain,0.028582,19,81
campus,0.025764,15,22
clinical,0.020767,13,29
chaplains,0.019839,12,49
ananda,0.017031,11,26
ai,0.012556,7,14
student,0.012547,12,59
barclay,0.012329,5,5
graduate,0.010530,7,22
team,0.010262,8,66
undergraduate,0.010035,5,8
adolescence,0.009863,4,4
military,0.009863,4,4
centro,0.009863,4,4
impacting,0.009863,4,4
humanities,0.009863,4,4
administration,0.009434,5,9
injury,0.009290,6,14
cpe,0.008969,5,32
moral,0.008717,8,72
academy,0.008705,4,5
requirements,0.008705,4,5
stem,0.008588,5,11
tech,0.008266,5,15
spiritual,0.008110,16,555
value,0.008069,13,145
el,0.008028,4,6
interdisciplinary,0.008028,4,11
annanda,0.007397,3,3
phds,0.007397,3,3
admins,0.007397,3,3
3x,0.007397,3,3
office,0.006974,5,19
hospital,0.006819,5,35
therapist,0.006819,5,22
huge,0.006805,9,99
pursuit,0.006613,4,14
african-american,0.006529,3,4
training,0.006335,9,186
technology,0.006193,4,14
helicopter,0.006021,3,9
harvard,0.006021,3,5
pursue,0.006017,4,17
folks,0.005834,8,118
pandemic,0.005713,4,15
program,0.005694,5,80
significantly,0.005661,3,6
excited,0.005527,5,38
across,0.005440,8,148
union,0.005381,3,8
bless,0.005381,3,7
international,0.005153,3,9
particular,0.005067,18,429
grief,0.004994,6,132
quarter,0.004960,3,10
advancement,0.004931,2,2
non-clinical,0.004931,2,2
dean,0.004931,2,2
late-stage,0.004931,2,2
undergraduates,0.004931,2,2
psych,0.004931,2,2
clinician,0.004931,2,2
non-clinically,0.004931,2,2
latina,0.004931,2,2
campuses,0.004931,2,2
peers,0.004931,2,2
roi,0.004931,2,2
stanford's,0.004931,2,2
mit,0.004931,2,2
studies,0.004860,4,31
honest,0.004734,5,65
colleague,0.004645,3,13
university,0.004645,3,14
crucial,0.004645,3,13
accessible,0.004626,4,31
finish,0.004555,4,36
reduction,0.004513,3,17
schools,0.004393,3,18
fields,0.004393,3,16
class,0.004381,5,96
community,0.004380,7,310
fellowship,0.004353,2,3
psychedelic,0.004353,2,3
y'all,0.004353,2,3
crash,0.004353,2,4
thesis,0.004353,2,3
bereavement,0.004353,2,3
legible,0.004353,2,3
shannon,0.004353,2,4
innovation,0.004353,2,3
loss,0.004336,5,111
unique,0.004298,4,42
crisis,0.004284,3,30
faculty,0.004184,3,18
relates,0.004184,3,16
providing,0.004184,3,23
group,0.004108,7,186
culture,0.004080,5,112
necessarily,0.004044,7,142
speaker,0.004023,4,66
service,0.004023,4,71
medical,0.004005,3,41
sessions,0.003924,3,21
development,0.003878,4,56
relational,0.003848,3,33
acutely,0.003774,2,6
institution,0.003774,2,7
dramas,0.003774,2,7
therapists,0.003774,2,6
signing,0.003774,2,5
death,0.003712,5,160
long-term,0.003587,2,32
schedule,0.003587,2,6
adolescent,0.003587,2,6
teenagers,0.003587,2,9
paul,0.003587,2,6
biggest,0.003525,3,32
loved,0.003489,5,110
increase,0.003470,3,41
academic,0.003435,2,8
acute,0.003435,2,7
sexuality,0.003435,2,17
standards,0.003435,2,7
partner,0.003416,3,37
