word,tfidf_score,talk_frequency,global_frequency
element,0.056213,29,185
earth,0.040965,23,244
lightness,0.020144,8,80
contemplation,0.016990,6,43
sayadaw,0.012864,3,11
heaviness,0.012238,4,41
myanmar,0.012233,2,2
framework,0.011494,4,47
mahasi,0.010818,2,3
intro,0.010742,3,26
anatta,0.010059,3,40
roughness,0.009991,2,4
skin,0.009839,4,62
dawn,0.009178,3,46
neal,0.008576,2,16
hardness,0.008576,2,8
embody,0.008353,5,173
density,0.008261,2,10
smoothness,0.008261,2,9
air,0.008224,5,172
material,0.007837,3,54
water,0.007671,7,497
beneath,0.007533,2,13
notice,0.007516,17,1251
integrity,0.007465,3,58
quantum,0.007339,2,15
discourse,0.007295,3,95
myth,0.006998,2,44
weight,0.006953,4,159
contemporary,0.006847,2,28
rough,0.006706,2,18
forefront,0.006334,2,19
pour,0.006334,2,27
aliveness,0.006253,3,92
inspiration,0.006195,3,128
cultural,0.006119,2,33
pardon,0.006116,1,1
unearth,0.006116,1,1
janaka,0.006116,1,1
toss-away,0.006116,1,1
comprise,0.006116,1,1
pre-hindu,0.006116,1,1
pre-brahmanical,0.006116,1,1
brahmana,0.006116,1,1
interoception,0.006116,1,1
decentering,0.006116,1,1
kaya,0.006116,1,1
mythopoetic,0.006116,1,1
assail,0.006116,1,1
skeleton,0.006116,1,1
wiki,0.006116,1,1
informally,0.006116,1,1
unfold,0.005878,4,190
grind,0.005751,4,172
tibetan,0.005663,2,48
inconstancy,0.005432,2,76
periodic,0.005409,1,2
elemental,0.005409,1,2
pun,0.005409,1,2
selflessness,0.005409,1,2
amp,0.005409,1,2
lifeless,0.005409,1,2
disidentification,0.005409,1,3
life-denying,0.005409,1,3
mudra,0.005409,1,2
patacara,0.005409,1,2
wick,0.005409,1,2
sensation,0.005389,9,907
poem,0.005300,3,411
witness,0.005224,2,58
softness,0.005160,2,39
perspective,0.005132,3,202
earth-touching,0.004995,1,3
dimension,0.004977,2,58
clothe,0.004919,2,54
warm,0.004896,3,128
function,0.004785,3,135
sediment,0.004702,1,4
imaginative,0.004702,1,5
prime,0.004702,1,4
pandita,0.004702,1,5
upanishad,0.004702,1,5
non-separation,0.004702,1,10
harvest,0.004702,1,5
exercise,0.004510,2,68
virtually,0.004474,1,5
intrinsically,0.004474,1,6
mat,0.004474,1,5
anecdote,0.004474,1,6
apparent,0.004474,1,5
shortly,0.004474,1,6
perceptual,0.004474,1,8
physic,0.004474,1,5
therigatha,0.004474,1,6
explore,0.004474,3,205
settledness,0.004464,2,82
meditative,0.004419,2,77
classic,0.004419,2,62
seed,0.004375,2,92
belly,0.004354,4,280
central,0.004290,2,83
sub,0.004288,1,9
burmese,0.004288,1,9
soup,0.004288,1,6
beg,0.004288,1,8
lamp,0.004288,1,14
yield,0.004131,1,18
proliferate,0.004131,1,12
downhill,0.004131,1,9
version,0.004092,2,98
notion,0.004054,2,103
dryness,0.003994,1,15
reconnecting,0.003994,1,9
one-on-one,0.003994,1,11
organic,0.003994,1,11
impersonal,0.003994,1,11
flame,0.003994,1,17
skillful,0.003911,2,151
fire,0.003877,2,147
moisture,0.003874,1,16
chill,0.003874,1,10
abdomen,0.003874,1,15
statue,0.003874,1,25
rahula,0.003874,1,18
teeth,0.003874,1,16
hut,0.003874,1,13
homework,0.003874,1,9
spaciousness,0.003810,2,220
classical,0.003767,1,10
cast,0.003767,1,12
bronze,0.003767,1,14
nail,0.003767,1,12
assignment,0.003767,1,11
text,0.003745,2,135
belong,0.003713,2,108
downward,0.003669,1,12
poetic,0.003669,1,13
nod,0.003669,1,13
root,0.003652,2,151
ill,0.003621,2,164
mythic,0.003581,1,17
attune,0.003562,2,120
change,0.003537,8,1471
level,0.003520,3,291
firm,0.003499,1,14
advise,0.003499,1,14
samyutta,0.003499,1,18
nature,0.003479,4,413
nostril,0.003423,1,19
farmer,0.003423,1,42
awaken,0.003378,3,447
sophisticate,0.003353,1,19
compose,0.003353,1,51
observation,0.003353,1,18
attribute,0.003353,1,23
chair,0.003341,2,112
attend,0.003341,2,135
invitation,0.003290,2,141
texture,0.003287,1,16
method,0.003287,1,20
contemplative,0.003287,1,43
solidity,0.003287,1,26
liken,0.003287,1,23
shift,0.003269,4,471
tradition,0.003221,3,356
foundation,0.003215,2,166
buddha,0.003201,9,1958
warmth,0.003190,2,164
burma,0.003167,1,22
hair,0.003112,1,29
mara,0.003112,1,169
gil,0.003086,5,468
conversation,0.003072,2,214
trip,0.003059,1,31
soil,0.003059,1,48
late,0.003010,3,282
table,0.002962,1,34
consider,0.002950,3,301
lip,0.002917,1,33
sincerity,0.002917,1,43
essentially,0.002917,1,28
settle,0.002874,8,1552
diaphragm,0.002873,1,34
experiential,0.002873,1,29
stuff,0.002855,2,194
smooth,0.002832,1,37
projection,0.002832,1,33
tip,0.002792,1,37
nose,0.002792,1,33
group,0.002754,2,265
wrap,0.002753,1,44
afterwards,0.002753,1,30
shake,0.002753,1,36
vacation,0.002716,1,53
hip,0.002716,1,32
there'll,0.002716,1,35
form,0.002699,4,472
heat,0.002646,1,44
accord,0.002646,1,38
ground,0.002621,2,242
progress,0.002612,1,45
unnecessary,0.002612,1,41
meal,0.002612,1,46
formal,0.002612,1,43
inward,0.002580,1,45
outwards,0.002580,1,50
son,0.002580,1,95
force,0.002567,2,222
wash,0.002548,1,52
cold,0.002518,1,54
practical,0.002518,1,44
anchor,0.002488,1,77
frame,0.002488,1,53
foundational,0.002488,1,50
sort,0.002479,2,289
within,0.002469,4,561
number,0.002462,2,222
basis,0.002432,1,59
foot,0.002379,2,252
among,0.002378,1,62
greet,0.002352,1,75
out-breath,0.002352,1,69
fundamental,0.002327,1,55
quality,0.002319,3,647
soft,0.002315,2,254
relevant,0.002302,1,55
sleep,0.002302,1,73
gravity,0.002278,1,54
not-self,0.002255,1,162
nikaya,0.002255,1,69
imagination,0.002232,1,99
especially,0.002222,2,217
internal,0.002210,1,89
online,0.002210,1,61
bone,0.002210,1,66
tomorrow,0.002207,2,195
commentary,0.002188,1,87
plant,0.002166,1,97
cut,0.002145,1,65
sky,0.002145,1,90
bed,0.002145,1,64
movement,0.002145,3,475
cover,0.002124,1,72
differently,0.002124,1,59
serve,0.002124,1,123
slight,0.002104,1,65
age,0.002104,1,82
cultivation,0.002104,1,110
finish,0.002084,1,76
draw,0.002084,1,97
mountain,0.002046,1,137
increase,0.002046,1,93
name,0.002034,2,325
distraction,0.002027,1,76
cool,0.002009,1,109
perception,0.002009,1,212
awake,0.001991,1,92
week,0.001943,5,744
remain,0.001938,1,91
story,0.001937,3,1137
topic,0.001927,2,276
develop,0.001914,2,380
deepen,0.001889,1,91
introduce,0.001873,1,86
shape,0.001873,1,86
river,0.001873,1,371
doubt,0.001873,1,169
flow,0.001862,2,578
discussion,0.001857,1,94
tune,0.001841,1,128
strength,0.001841,1,104
onto,0.001826,1,97
introduction,0.001810,3,295
sangha,0.001796,1,239
folk,0.001781,1,127
reality,0.001781,1,126
touch,0.001728,3,513
lay,0.001697,1,146
cushion,0.001684,1,167
appreciation,0.001684,1,210
basic,0.001684,1,133
night,0.001671,1,180
anymore,0.001658,1,109
low,0.001658,1,143
experience,0.001651,15,3247
support,0.001645,4,1043
authoritative,0.001620,1,85
gaze,0.001620,1,165
accept,0.001620,1,151
buddhist,0.001610,3,892
haven't,0.001607,1,105
ancient,0.001571,1,166
wake,0.001571,1,138
pick,0.001559,1,129
body,0.001536,16,3405
small,0.001535,2,417
involve,0.001535,2,448
teacher,0.001524,2,581
inside,0.001514,2,459
mindfulness,0.001496,3,1055
top,0.001491,1,183
surface,0.001480,1,175
case,0.001480,1,178
quote,0.001480,1,156
power,0.001469,1,227
food,0.001469,1,203
chest,0.001459,1,151
mention,0.001459,1,160
dukkha,0.001459,1,415
contact,0.001448,1,237
meet,0.001389,2,671
instruction,0.001387,1,221
hold,0.001379,4,1072
peaceful,0.001379,2,433
orientation,0.001377,1,245
necessarily,0.001377,1,157
base,0.001377,1,223
record,0.001348,1,121
context,0.001348,1,209
practitioner,0.001339,1,211
line,0.001329,1,230
every,0.001272,2,517
field,0.001257,1,281
purpose,0.001257,1,311
bear,0.001257,1,249
morning,0.001253,2,426
