word,tfidf_score,talk_frequency,global_frequency
equanimity,0.035484,36,460
workshop,0.013131,4,8
reactive,0.011898,7,64
equanimous,0.010987,6,75
confidence,0.010654,8,159
levine,0.010470,3,7
alleviate,0.010216,4,23
inner,0.009508,16,485
balance,0.009502,9,233
overview,0.009322,4,23
challenge,0.008832,11,307
snappy,0.008563,2,2
reactivity,0.008446,6,146
stephen,0.008350,3,56
picture,0.008063,6,120
angry,0.007386,6,177
everyday,0.007325,4,40
response,0.006912,6,198
die,0.006693,6,217
blame,0.006568,4,107
unkind,0.006566,2,6
prone,0.005981,2,7
attack,0.005976,3,36
ordinary,0.005782,6,192
saddha,0.005397,2,25
agitate,0.005327,4,107
hospice,0.005245,2,24
root,0.005186,4,146
church,0.005108,2,22
death,0.005096,4,167
banner,0.004983,2,16
background,0.004924,4,114
discover,0.004887,6,312
war,0.004818,3,74
questioner,0.004766,3,242
develop,0.004701,7,366
compassionate,0.004666,3,75
someone,0.004646,11,638
distress,0.004617,3,86
situation,0.004615,6,322
compassion,0.004601,7,676
grant,0.004568,2,22
reaction,0.004523,3,95
insightful,0.004282,1,1
well-balanced,0.004282,1,1
street-smart,0.004282,1,1
40-year,0.004282,1,1
pane,0.004282,1,1
iii,0.004282,1,1
deck,0.004282,1,1
titanic,0.004282,1,1
quaker,0.004282,1,1
emotionally,0.004246,2,27
weekend,0.004176,2,25
gil,0.004051,9,437
person,0.004050,14,1105
automatic,0.003925,2,43
automatically,0.003925,2,33
operate,0.003884,4,257
harm,0.003826,4,466
anger,0.003798,4,354
nationally,0.003782,1,2
internationally,0.003782,1,2
go-to,0.003782,1,3
irritable,0.003782,1,2
checkout,0.003782,1,2
pioneer,0.003782,1,2
mill,0.003782,1,2
harmlessly,0.003782,1,2
brink,0.003782,1,2
fronsdal,0.003778,6,294
dharma,0.003740,9,842
strong,0.003726,7,454
effective,0.003711,2,42
wisdom,0.003697,6,546
react,0.003693,3,100
remarkable,0.003569,2,53
stability,0.003542,3,169
admonition,0.003490,1,3
offensive,0.003490,1,3
critically,0.003490,1,3
thoughtful,0.003490,1,3
chemical,0.003490,1,3
equanimously,0.003490,1,3
bandwagon,0.003490,1,3
baseball,0.003490,1,4
citizen,0.003490,1,3
ecology,0.003490,1,3
cling,0.003455,5,559
action,0.003452,4,346
quick,0.003440,2,42
mindful,0.003402,4,274
conceit,0.003400,2,70
hostility,0.003360,2,72
so-and-so,0.003283,1,5
courtyard,0.003283,1,6
inadvertently,0.003283,1,4
accidentally,0.003283,1,4
immigrant,0.003283,1,4
happiness,0.003265,6,860
big,0.003244,8,662
depth,0.003212,2,58
praise,0.003212,2,75
neighbor,0.003212,2,63
intentional,0.003177,2,58
dedicate,0.003177,2,55
window,0.003177,2,72
absence,0.003144,2,109
locally,0.003122,1,5
marin,0.003122,1,10
considerate,0.003122,1,5
blamelessness,0.003122,1,8
culmination,0.003122,1,7
troop,0.003122,1,8
gentleman,0.003122,1,5
mission,0.003122,1,8
flag,0.002991,1,13
refugee,0.002991,1,8
circumstance,0.002985,2,88
personally,0.002955,2,61
faith,0.002926,2,183
support,0.002921,10,960
self-righteous,0.002880,1,7
cope,0.002880,1,7
psychologically,0.002880,1,7
indicate,0.002880,1,8
condemn,0.002880,1,7
seem,0.002816,7,500
line,0.002806,3,222
factor,0.002789,2,120
barely,0.002783,1,9
compound,0.002783,1,10
malleable,0.002783,1,11
announce,0.002783,1,10
reconcile,0.002783,1,8
well-being,0.002764,4,574
involve,0.002741,5,423
immediately,0.002737,2,77
social,0.002737,2,124
push,0.002706,4,318
minimum,0.002699,1,11
byproduct,0.002699,1,9
offend,0.002699,1,10
curtain,0.002699,1,31
worker,0.002699,1,17
suppose,0.002666,3,177
calm,0.002661,5,810
market,0.002623,1,11
rootedness,0.002623,1,12
pilot,0.002623,1,16
newspaper,0.002623,1,16
