word,tfidf_score,talk_frequency,global_frequency
straatman,0.059196,20,49
maria,0.040153,20,75
audience,0.029671,16,137
member,0.021413,16,171
station,0.019842,7,16
spiritual,0.016612,20,557
distress,0.015958,11,86
cup,0.013819,7,50
knee,0.013146,8,72
cacophony,0.012196,3,3
asleep,0.011653,6,32
newsletter,0.009932,3,7
ebb,0.009339,3,7
perfect,0.009337,8,123
existence,0.009137,5,46
resistant,0.008504,3,10
priority,0.008477,4,23
misstep,0.008130,2,2
obedience,0.008130,2,2
distressful,0.008130,2,2
unyielding,0.008130,2,2
hirschfield,0.008130,2,2
haydarpasa,0.008130,2,2
fig,0.008130,2,2
inhabit,0.007769,4,31
husband,0.007769,4,41
tin,0.007178,2,4
walk,0.007098,13,537
rigid,0.006911,3,19
efforting,0.006621,2,5
quantity,0.006621,2,4
perfection,0.006483,3,30
expectation,0.006442,5,106
clay,0.006226,2,6
risky,0.006226,2,5
cliff,0.006226,2,6
jane,0.005920,2,7
totally,0.005865,4,92
harden,0.005669,2,9
hmm,0.005457,2,11
fall,0.005370,8,279
celebrate,0.005330,3,59
intention,0.005213,6,260
art,0.004922,4,139
primary,0.004912,5,158
abandon,0.004870,3,82
stuff,0.004835,5,183
trap,0.004755,3,74
train,0.004546,5,299
edge,0.004327,4,173
floor,0.004307,3,75
set,0.004303,7,310
journey,0.004263,3,120
else,0.004213,11,545
okay,0.004174,14,1128
constantly,0.004135,3,92
nun,0.004086,2,65
extremely,0.004086,2,23
suggestion,0.004086,2,22
ceramic,0.004065,1,1
oriental,0.004065,1,1
pyramid-like,0.004065,1,1
kina,0.004065,1,1
yang,0.004065,1,1
hobbyist,0.004065,1,1
ceramicist,0.004065,1,1
nice-looking,0.004065,1,1
alan,0.004065,1,1
watt,0.004065,1,1
payoff,0.004065,1,1
istanbul,0.004065,1,1
low-windowed,0.004065,1,1
slat-shingled,0.004065,1,1
rivet,0.004065,1,1
ruby,0.004065,1,1
triangulation,0.004065,1,1
quantify,0.004065,1,1
tonight,0.003976,3,103
beginner,0.003948,2,38
piece,0.003929,4,218
grand,0.003823,2,37
path,0.003681,7,796
eat,0.003659,3,131
remember,0.003626,7,388
technique,0.003603,2,48
chastity,0.003589,1,2
exhibit,0.003589,1,2
glaze,0.003589,1,2
afterward,0.003589,1,2
jitteriness,0.003589,1,2
anybody,0.003563,3,115
accomplish,0.003553,2,44
poem,0.003532,3,393
extra,0.003471,3,179
frame,0.003458,2,43
sad,0.003413,2,54
mindful,0.003347,4,257
didn't,0.003332,7,507
enter,0.003332,5,375
cold,0.003327,2,53
palo,0.003311,1,4
wart,0.003311,1,3
predetermine,0.003311,1,3
parade,0.003311,1,3
wall,0.003208,2,60
energy,0.003142,5,441
pain,0.003119,5,503
imperfect,0.003113,1,6
alto,0.003113,1,5
teacup,0.003113,1,4
exquisite,0.003113,1,4
shelf,0.003113,1,4
gear,0.003113,1,4
cheese,0.003113,1,5
bandage,0.003113,1,4
zafu,0.003113,1,5
relevant,0.003098,2,51
generous,0.003063,2,92
sleep,0.003063,2,69
show,0.003061,6,525
comment,0.003042,3,190
unfold,0.003018,3,168
central,0.002996,2,73
blossom,0.002960,1,5
poverty,0.002960,1,14
clash,0.002960,1,5
empathize,0.002960,1,6
notice,0.002953,10,1190
discard,0.002835,1,7
treatment,0.002835,1,6
approve,0.002835,1,7
ecstatic,0.002835,1,8
hurtful,0.002835,1,6
tunnel,0.002835,1,8
blah,0.002835,1,19
correctly,0.002835,1,6
struggle,0.002813,2,67
painful,0.002784,2,98
doe,0.002730,10,839
essay,0.002729,1,7
yellow,0.002729,1,12
leak,0.002729,1,13
dr,0.002729,1,8
salzberg,0.002729,1,10
small,0.002649,5,387
tell,0.002641,6,560
evaporate,0.002637,1,13
merge,0.002637,1,10
unhappy,0.002637,1,9
engine,0.002637,1,8
roof,0.002637,1,24
sharon,0.002637,1,14
goal,0.002626,2,125
effort,0.002606,3,330
fix,0.002567,3,275
despite,0.002556,1,13
bend,0.002556,1,9
freeway,0.002556,1,14
imperfection,0.002556,1,13
meditate,0.002496,6,497
bridge,0.002484,1,11
dust,0.002484,1,14
route,0.002484,1,12
addict,0.002484,1,17
otherwise,0.002484,2,95
ah,0.002461,2,109
deal,0.002439,2,107
artist,0.002418,1,13
requirement,0.002418,1,14
huh,0.002418,1,11
cross-legged,0.002418,1,13
measure,0.002418,2,89
choose,0.002366,3,246
mystery,0.002359,1,18
guarantee,0.002359,1,17
credit,0.002359,1,14
act,0.002331,3,316
busy,0.002314,2,93
assess,0.002304,1,16
trick,0.002304,1,15
comparison,0.002304,1,18
vulnerability,0.002304,1,17
shed,0.002304,1,25
straighten,0.002304,1,16
arrange,0.002304,1,14
isn't,0.002284,4,392
sister,0.002253,1,26
secret,0.002253,1,18
define,0.002237,2,125
respond,0.002218,2,154
vow,0.002205,1,29
shadow,0.002205,1,23
barrier,0.002205,1,24
rise,0.002200,2,132
examine,0.002161,1,28
hurt,0.002128,2,127
phrase,0.002128,2,183
twist,0.002119,1,28
engage,0.002089,3,319
box,0.002080,1,33
magical,0.002080,1,22
outcome,0.002080,1,37
thrill,0.002080,1,27
sure,0.002073,3,252
plan,0.002061,2,163
pursue,0.002043,1,41
therapist,0.002043,1,31
vulnerable,0.002043,1,29
realization,0.002043,1,37
condition,0.002025,4,676
ease,0.002025,4,533
weekend,0.002008,1,24
round,0.002008,1,31
career,0.002008,1,25
excitement,0.002008,1,33
retreat,0.001984,3,389
doctor,0.001974,1,45
freedom,0.001964,4,600
email,0.001942,1,31
contemplate,0.001942,1,34
possibly,0.001942,1,26
certain,0.001928,6,610
slip,0.001912,1,28
aversive,0.001912,1,34
alertness,0.001912,1,25
extreme,0.001912,1,36
list,0.001904,2,269
matter,0.001899,3,286
skilled,0.001882,1,32
achieve,0.001882,1,36
stick,0.001875,2,191
distract,0.001861,2,155
meet,0.001860,4,600
reject,0.001854,1,43
approach,0.001832,2,275
desire,0.001831,3,739
highly,0.001827,1,34
unnecessary,0.001827,1,34
stress,0.001805,2,260
high,0.001805,2,238
determine,0.001802,1,33
tea,0.001802,1,52
fell,0.001777,1,33
happen,0.001772,21,2047
drive,0.001764,2,192
aspiration,0.001752,1,73
addition,0.001752,1,33
recommend,0.001729,1,36
roll,0.001729,1,40
resolve,0.001729,1,51
produce,0.001729,1,46
responsible,0.001729,1,38
pretend,0.001729,1,47
heat,0.001729,1,44
emptiness,0.001729,1,85
read,0.001726,3,421
need,0.001713,15,1551
although,0.001707,1,43
cry,0.001707,1,55
family,0.001699,2,262
spend,0.001688,3,292
attitude,0.001686,2,290
ever,0.001674,2,180
value,0.001674,2,214
statement,0.001643,1,57
fairly,0.001643,1,45
realize,0.001638,3,402
truly,0.001623,1,42
fair,0.001623,1,44
impulse,0.001604,1,65
watch,0.001589,2,243
arise,0.001589,6,1066
right,0.001586,16,2070
none,0.001585,1,49
attain,0.001567,1,67
great,0.001556,6,911
problem,0.001554,2,292
miss,0.001549,1,63
release,0.001543,2,296
consequence,0.001532,1,60
excite,0.001532,1,59
well,0.001523,10,1325
strike,0.001515,1,57
upset,0.001515,1,51
exercise,0.001498,1,60
title,0.001498,1,53
compare,0.001498,1,76
vision,0.001482,1,179
accompany,0.001466,1,124
seek,0.001466,1,80
focus,0.001462,3,597
curiosity,0.001451,1,99
especially,0.001444,2,203
rich,0.001436,1,65
treat,0.001436,1,64
delightful,0.001436,1,62
direction,0.001434,2,241
day,0.001434,9,989
oppose,0.001406,1,78
behavior,0.001392,1,77
afternoon,0.001378,1,67
exactly,0.001372,2,230
mindfulness,0.001369,4,952
slightly,0.001365,1,65
