word,tfidf_score,talk_frequency,global_frequency
wind,0.053053,23,102
air,0.044553,25,167
winds,0.042228,11,53
abdomen,0.024971,6,15
net,0.020288,4,9
element,0.019674,7,63
elements,0.015451,6,120
in-breath,0.015271,6,79
properties,0.015216,3,7
vicissitudes,0.015216,3,6
worldly,0.013792,4,38
dryness,0.013331,3,14
trough,0.013256,2,2
out-breath,0.012876,5,65
chest,0.012521,8,143
breezes,0.011700,2,3
cool,0.010966,5,98
disrepute,0.010790,2,7
motion,0.010344,3,31
noticing,0.010264,8,329
pulling,0.009626,4,65
diaphragm,0.009476,3,31
internal,0.009422,4,88
falling,0.008949,4,72
ties,0.008888,2,9
movement,0.008838,9,356
warmth,0.008479,5,155
moisture,0.008324,2,16
convey,0.008324,2,10
cycle,0.008111,3,48
blow,0.008087,2,12
breeze,0.007873,2,23
stretching,0.007498,2,16
rise,0.007463,3,72
covering,0.007332,2,17
noting,0.007332,2,27
lungs,0.007032,2,25
throat,0.006646,2,29
attuning,0.006646,2,30
inspirationally,0.006628,1,1
pāḷi,0.006628,1,1
kites,0.006628,1,1
kiting,0.006628,1,1
fancifully,0.006628,1,1
blimp,0.006628,1,1
transpiration,0.006628,1,1
windy,0.006628,1,1
gusty,0.006628,1,1
dustiness,0.006628,1,1
invigorating,0.006628,1,1
glossed,0.006628,1,1
flatter,0.006628,1,1
snuggle,0.006628,1,1
untrapped,0.006628,1,1
gutters,0.006628,1,1
gusts,0.006628,1,1
squalls,0.006628,1,1
believing,0.006422,2,32
rising,0.006217,2,27
praise,0.006122,2,43
inconstancy,0.005942,2,74
direct,0.005882,4,199
vibrancy,0.005850,1,3
pulses,0.005850,1,2
percolate,0.005850,1,2
combine,0.005850,1,2
conveyance,0.005850,1,2
humidity,0.005850,1,2
perfume,0.005850,1,2
unmoved,0.005850,1,2
indigenous,0.005850,1,5
assignments,0.005850,1,2
blame,0.005697,2,64
invitation,0.005627,3,124
weather,0.005621,2,55
expanding,0.005547,2,47
exploration,0.005547,2,49
gain,0.005547,2,65
ancient,0.005484,3,138
lightness,0.005407,2,74
casting,0.005395,1,3
dhātu,0.005395,1,3
ballast,0.005395,1,3
conveying,0.005395,1,3
marvel,0.005395,1,3
skin,0.005275,2,61
inhaling,0.005072,1,4
invade,0.005072,1,4
disgusting,0.005072,1,4
stumble,0.005072,1,4
external,0.004975,2,69
pushing,0.004886,3,139
neal,0.004821,1,13
metaphorically,0.004821,1,6
soaring,0.004821,1,6
indirect,0.004821,1,8
consequential,0.004821,1,5
arahant,0.004821,1,6
unruffled,0.004821,1,5
disagreeable,0.004821,1,11
unwanted,0.004821,1,5
gray,0.004821,1,5
radiant,0.004821,1,5
fire,0.004813,2,115
breathed,0.004617,1,9
molecules,0.004617,1,8
conveys,0.004617,1,6
jacket,0.004617,1,14
metaphorical,0.004617,1,6
rāhula,0.004617,1,10
agreeable,0.004617,1,7
sprout,0.004617,1,9
respond,0.004520,2,93
acknowledged,0.004444,1,8
soaking,0.004444,1,7
property,0.004444,1,7
balloon,0.004444,1,13
advised,0.004444,1,8
rosemerry,0.004444,1,16
wakes,0.004444,1,10
luminous,0.004444,1,7
steady,0.004302,2,148
begins,0.004295,4,280
likened,0.004294,1,13
boulder,0.004294,1,36
storm,0.004294,1,13
pouring,0.004294,1,12
life's,0.004162,1,12
differences,0.004162,1,10
bracing,0.004162,1,11
fame,0.004162,1,17
contacts,0.004162,1,10
practitioners,0.004103,2,98
downward,0.004044,1,10
faithful,0.004044,1,11
storms,0.004044,1,13
shows,0.004028,2,123
contracting,0.003937,1,19
stiller,0.003937,1,14
maturity,0.003937,1,14
nostrils,0.003839,1,15
blowing,0.003839,1,21
garden,0.003839,1,15
stillness,0.003751,2,178
deepen,0.003749,1,14
thrown,0.003749,1,15
conditions,0.003708,3,359
periphery,0.003666,1,16
groundedness,0.003666,1,23
indirectly,0.003666,1,15
american,0.003666,1,18
belly,0.003600,3,254
fourth,0.003594,2,153
dawn,0.003588,1,27
mentally,0.003588,1,18
immersed,0.003588,1,34
contract,0.003588,1,16
intellectual,0.003588,1,21
meditated,0.003588,1,16
especially,0.003520,3,202
forefront,0.003516,1,17
dedicate,0.003516,1,20
covered,0.003516,1,23
evocative,0.003516,1,17
shall,0.003516,1,35
overwhelming,0.003516,1,22
sustain,0.003516,1,27
exhaling,0.003448,1,21
birds,0.003448,1,32
moon,0.003448,1,26
moments,0.003443,3,240
total,0.003384,1,28
south,0.003384,1,24
similes,0.003384,1,54
wahtola,0.003384,1,30
trommer,0.003384,1,32
deny,0.003384,1,20
suppose,0.003384,1,26
contact,0.003337,2,209
daily,0.003337,2,152
heaviness,0.003323,1,33
trapped,0.003323,1,25
peacefulness,0.003266,1,22
discourses,0.003266,1,33
status,0.003266,1,33
responses,0.003266,1,33
trust,0.003257,2,192
allowing,0.003248,4,465
slower,0.003211,1,22
answer,0.003205,2,184
abandon,0.003159,1,47
frame,0.003159,1,27
essential,0.003159,1,33
wings,0.003159,1,37
including,0.003130,2,134
rib,0.003109,1,29
sincerity,0.003109,1,43
east,0.003109,1,33
writes,0.003109,1,34
change,0.003100,4,798
transition,0.003061,1,34
nose,0.003061,1,30
contemplation,0.003061,1,41
clothes,0.003061,1,36
stopping,0.003061,1,52
famous,0.003061,1,30
navigate,0.003061,1,33
uncertainty,0.003061,1,36
cage,0.003015,1,31
rooted,0.003015,1,60
fade,0.003015,1,33
nourish,0.003015,1,33
conceptual,0.003015,1,36
flowers,0.003015,1,43
powerful,0.003010,2,146
north,0.002971,1,35
poet,0.002971,1,43
heat,0.002929,1,39
literal,0.002929,1,33
son,0.002929,1,76
sensations,0.002908,4,712
meditations,0.002888,1,36
according,0.002888,1,34
stops,0.002888,1,35
stick,0.002888,1,53
opinions,0.002888,1,57
rain,0.002888,1,61
expansion,0.002849,1,38
territory,0.002849,1,31
remain,0.002849,1,35
talks,0.002809,2,215
inward,0.002774,1,44
outwards,0.002774,1,48
associated,0.002746,2,170
tuning,0.002738,1,48
hot,0.002738,1,58
occurs,0.002704,1,36
tiny,0.002670,1,47
anicca,0.002670,1,58
emotional,0.002664,2,222
move,0.002651,3,289
outside,0.002644,2,195
benefits,0.002638,1,49
west,0.002638,1,54
danger,0.002638,1,64
friend,0.002585,2,310
instead,0.002571,3,439
qualities,0.002566,2,326
main,0.002545,1,59
fullness,0.002545,1,58
led,0.002545,1,58
playing,0.002545,1,68
kinds,0.002532,3,344
softening,0.002491,2,223
talked,0.002491,2,233
dropping,0.002488,1,57
forces,0.002488,1,74
details,0.002433,1,66
becomes,0.002421,4,475
known,0.002382,2,195
releasing,0.002381,1,78
entire,0.002381,1,65
momentum,0.002355,1,83
curiosity,0.002355,1,99
sacred,0.002355,1,91
neither,0.002331,1,77
constant,0.002331,1,70
loss,0.002331,1,111
awakened,0.002331,1,92
personally,0.002331,1,58
touches,0.002307,1,55
faith,0.002307,1,172
relaxation,0.002283,1,62
potential,0.002283,1,77
gather,0.002283,1,76
matter,0.002262,2,224
sweet,0.002260,1,85
afternoon,0.002260,1,65
unknown,0.002260,1,50
translation,0.002237,1,74
wonder,0.002215,1,80
accept,0.002215,1,85
fill,0.002193,1,79
particularly,0.002193,1,86
clean,0.002193,1,101
views,0.002172,1,266
hours,0.002172,1,79
ends,0.002151,1,77
function,0.002151,1,71
inviting,0.002051,1,118
liberation,0.002033,1,113
large,0.002033,1,79
unpleasant,0.001996,1,233
embodied,0.001960,1,119
kindness,0.001949,2,530
gaze,0.001943,1,116
describe,0.001943,1,76
night,0.001943,1,153
grounded,0.001926,1,115
expand,0.001926,1,86
earth,0.001909,1,229
poem,0.001909,1,329
notice,0.001896,3,731
speaking,0.001892,1,130
based,0.001892,1,136
wishing,0.001876,1,113
happen,0.001864,3,526
response,0.001844,1,161
stability,0.001828,1,164
described,0.001797,1,100
evening,0.001767,1,121
condition,0.001767,1,160
awareness,0.001754,3,1240
attitude,0.001738,1,188
buddha,0.001723,4,1594
path,0.001714,2,779
choose,0.001710,1,161
attention,0.001702,5,1243
teaching,0.001701,2,477
power,0.001696,1,190
obvious,0.001696,1,145
teachings,0.001688,2,507
authoritative,0.001682,1,85
changes,0.001668,1,134
release,0.001655,1,166
directly,0.001655,1,113
translated,0.001655,1,136
record,0.001616,1,92
top,0.001603,1,158
resting,0.001603,1,165
greater,0.001603,1,216
system,0.001577,1,231
terms,0.001577,1,196
points,0.001553,1,154
object,0.001517,1,205
general,0.001517,1,165
however,0.001505,1,151
cause,0.001505,1,178
fall,0.001505,1,152
breathing,0.001472,3,1983
beginning,0.001454,2,456
far,0.001448,1,220
area,0.001448,1,170
consider,0.001448,1,158
language,0.001437,1,162
starting,0.001437,1,143
person,0.001416,3,998
benefit,0.001404,1,178
future,0.001394,1,210
clarity,0.001383,1,252
physical,0.001383,1,207
times,0.001374,2,404
brings,0.001373,1,190
experience,0.001372,8,2371
starts,0.001363,1,188
spiritual,0.001363,1,555
changing,0.001363,1,378
makes,0.001351,2,404
couple,0.001312,1,172
bad,0.001312,1,261
step,0.001302,1,231
past,0.001302,1,226
pleasant,0.001302,1,350
healthy,0.001283,1,256
meditating,0.001283,1,213
quite,0.001279,3,682
pleasure,0.001273,1,617
flow,0.001264,1,352
support,0.001264,2,554
breaths,0.001255,1,181
close,0.001253,2,371
feeling,0.001250,7,1841
today,0.001247,4,788
you'll,0.001236,1,216
face,0.001227,1,209
wise,0.001227,1,383
we've,0.001211,2,419
difference,0.001209,1,215
heart,0.001199,4,1415
normal,0.001191,1,176
day,0.001174,3,756
moving,0.001173,1,217
touch,0.001173,1,231
mental,0.001173,1,342
water,0.001165,1,462
interesting,0.001156,1,278
completely,0.001156,1,248
feelings,0.001139,1,294
return,0.001139,1,178
fully,0.001139,1,284
teacher,0.001131,1,329
mindfulness,0.001128,2,928
we'll,0.001118,2,557
course,0.001118,2,650
believe,0.001114,1,278
natural,0.001106,1,318
fact,0.001106,1,225
focus,0.001074,1,342
pain,0.001050,1,489
week,0.001029,2,573
helps,0.001027,1,265
allow,0.001010,2,602
tension,0.001004,1,539
moment,0.001002,5,1566
seems,0.000997,1,266
guided,0.000996,3,774
continue,0.000982,1,255
calm,0.000982,1,588
true,0.000982,1,387
wisdom,0.000960,1,535
small,0.000946,1,341
longer,0.000939,1,290
quiet,0.000939,1,436
together,0.000935,3,1016
life,0.000924,10,2289
example,0.000918,1,339
could,0.000887,3,1418
free,0.000862,2,595
another,0.000862,2,739
ease,0.000851,1,509
used,0.000831,1,322
gently,0.000818,1,393
inside,0.000812,1,424
peaceful,0.000787,1,397
towards,0.000763,1,469
talking,0.000739,1,445
make,0.000724,3,1247
peace,0.000721,1,619
wonderful,0.000721,1,475
morning,0.000710,1,368
happens,0.000710,1,406
hold,0.000710,1,469
stay,0.000710,1,560
different,0.000682,5,1866
goes,0.000676,1,460
body,0.000665,5,3075
try,0.000659,1,443
clear,0.000654,1,504
possible,0.000648,1,509
may,0.000643,4,2140
dharmette,0.000637,1,313
around,0.000601,3,1116
last,0.000600,1,463
safe,0.000539,1,407
good,0.000532,4,1801
sense,0.000508,7,2543
letting,0.000496,1,758
thank,0.000493,3,1084
let,0.000493,3,1453
thoughts,0.000467,1,1183
beings,0.000467,1,1026
next,0.000454,1,607
point,0.000440,1,746
many,0.000415,2,1063
open,0.000409,1,790
still,0.000387,1,740
love,0.000387,1,1462
take,0.000368,3,1254
comes,0.000361,1,769
whole,0.000353,1,1124
practice,0.000350,7,3131
others,0.000340,1,1015
happy,0.000324,1,786
actually,0.000324,1,1065
think,0.000301,2,2108
become,0.000296,1,820
place,0.000288,1,1269
back,0.000287,2,1458
mind,0.000281,6,4193
sitting,0.000280,1,754
say,0.000273,2,2184
away,0.000272,1,1000
without,0.000268,1,944
welcome,0.000238,1,617
might,0.000228,3,2085
sometimes,0.000225,2,1836
much,0.000218,3,1611
end,0.000215,1,874
bit,0.000200,1,1439
feel,0.000187,5,3042
find,0.000175,1,1176
little,0.000172,2,2286
don't,0.000149,4,3298
want,0.000140,1,2082
world,0.000123,1,2281
even,0.000121,3,1704
people,0.000096,1,3076
ai-generated,0.000000,1,369
transcript,0.000000,1,371
auto-generated,0.000000,1,369
subtitles,0.000000,1,369
video,0.000000,1,381
meditation,0.000000,13,3334
insight,0.000000,6,1536
likely,0.000000,1,461
contains,0.000000,1,379
inaccuracies,0.000000,1,369
following,0.000000,1,508
talk,0.000000,2,1479
given,0.000000,1,601
center,0.000000,1,857
redwood,0.000000,1,410
city,0.000000,1,469
california,0.000000,1,425
please,0.000000,1,528
visit,0.000000,1,422
website,0.000000,1,433
www,0.000000,1,384
audiodharma,0.000000,1,384
org,0.000000,1,398
