word,tfidf_score,talk_frequency,global_frequency
space,0.037893,58,712
boundless,0.017990,5,16
element,0.016274,9,183
motion,0.014401,5,33
outwards,0.012050,5,48
foam,0.011417,2,2
perception,0.011369,6,208
simile,0.010826,5,134
vastness,0.010216,3,20
enclose,0.010086,2,3
sky,0.010051,5,86
malleability,0.009307,2,5
mouth,0.009285,4,52
spaciousness,0.009041,5,215
reverberation,0.008754,2,5
potentiality,0.008754,2,5
smallness,0.008325,2,6
perceptual,0.008325,2,8
internal,0.008124,4,89
unimpeded,0.007975,2,7
unbounded,0.007975,2,11
density,0.007679,2,10
spacious,0.007437,4,110
dryness,0.007422,2,15
coolness,0.007196,2,15
despite,0.007196,2,13
lump,0.006994,2,14
fluidity,0.006994,2,19
reveal,0.006964,3,57
vast,0.006855,4,120
attune,0.006679,4,117
metta,0.006679,4,453
friendliness,0.006568,3,177
earth,0.006566,4,235
quality,0.006435,9,625
nostril,0.006347,2,19
echo,0.006347,2,18
air,0.006094,4,170
sensory,0.006091,2,33
ancient,0.006046,4,153
lung,0.005974,2,28
warmth,0.005949,4,155
relaxation,0.005911,3,63
largeness,0.005709,1,1
boundlessly,0.005709,1,1
orifice,0.005709,1,1
timber,0.005709,1,1
creeper,0.005709,1,1
ancientness,0.005709,1,1
inseparability,0.005709,1,1
improbable,0.005709,1,1
reactivity,0.005631,3,146
diaphragm,0.005479,2,32
jhanas,0.005479,2,57
chant,0.005479,2,47
contemplation,0.005233,2,43
nervous,0.005085,2,54
aloud,0.005043,1,2
conveyance,0.005043,1,2
sinew,0.005043,1,2
awe-inspiring,0.005043,1,3
interpenetrate,0.005043,1,2
wetness,0.005043,1,4
flare,0.005043,1,2
star,0.004948,2,47
emptiness,0.004883,2,85
wind,0.004762,3,191
practical,0.004759,2,42
son,0.004759,2,95
navigate,0.004759,2,52
whomever,0.004653,1,3
dhatu,0.004653,1,3
immeasurables,0.004653,1,8
roughness,0.004653,1,4
entitle,0.004653,1,3
india,0.004587,2,79
skin,0.004533,2,62
solid,0.004379,2,69
vertebra,0.004377,1,5
atom,0.004377,1,7
clay,0.004377,1,6
immaterial,0.004377,1,5
invade,0.004377,1,4
explore,0.004289,3,197
fifth,0.004283,2,52
absence,0.004191,2,109
healthy,0.004191,4,293
neal,0.004163,1,13
evident,0.004163,1,5
physic,0.004163,1,5
furniture,0.004163,1,5
disagreeable,0.004163,1,11
paul,0.004163,1,6
external,0.004147,2,73
within,0.004135,7,533
especially,0.004132,4,203
contact,0.004127,3,225
notice,0.004086,10,1217
perceive,0.004062,2,99
cover,0.004020,2,66
agreeable,0.003988,1,7
hardness,0.003988,1,8
marvel,0.003988,1,6
spontaneous,0.003988,1,7
august,0.003988,1,6
inspiration,0.003864,2,126
cathedral,0.003839,1,11
unbind,0.003839,1,12
smoothness,0.003839,1,9
rosemerry,0.003839,1,16
potentially,0.003839,1,8
constantly,0.003826,2,94
empty,0.003790,2,97
consider,0.003765,4,283
cool,0.003718,2,108
closeness,0.003711,1,8
practically,0.003711,1,9
recap,0.003711,1,10
tremble,0.003711,1,10
upcoming,0.003711,1,8
translation,0.003650,2,108
fire,0.003616,2,144
contraction,0.003616,2,91
abdomen,0.003598,1,15
moisture,0.003598,1,16
allude,0.003598,1,10
rahula,0.003598,1,18
beneath,0.003598,1,12
goodwill,0.003528,3,504
surroundings,0.003497,1,10
wordless,0.003497,1,14
occupy,0.003497,1,10
bronze,0.003497,1,14
nonetheless,0.003497,1,15
divisive,0.003497,1,14
brahmaviharas,0.003497,1,29
flow,0.003481,4,570
couple,0.003452,3,175
artist,0.003405,1,13
intuitive,0.003405,1,14
quantum,0.003405,1,15
abundance,0.003405,1,17
flesh,0.003322,1,13
construction,0.003322,1,15
palm,0.003322,1,17
hostile,0.003322,1,16
self-concern,0.003322,1,19
race,0.003322,1,16
cell,0.003245,1,16
anatta,0.003245,1,38
advise,0.003245,1,14
weight,0.003228,2,152
night,0.003175,2,174
periphery,0.003174,1,16
externally,0.003174,1,22
determination,0.003174,1,20
inner,0.003169,4,485
sunlight,0.003107,1,19
skillfully,0.003107,1,19
chaplaincy,0.003107,1,176
application,0.003107,1,18
wherever,0.003072,2,102
cultivate,0.003055,3,462
mental,0.003033,3,352
benefit,0.003011,3,270
water,0.003011,3,493
socket,0.002987,1,19
grass,0.002987,1,42
moon,0.002987,1,27
infinite,0.002987,1,28
data,0.002987,1,48
worldly,0.002987,1,38
whisper,0.002987,1,27
dawn,0.002932,1,30
fortunate,0.002932,1,28
storm,0.002932,1,29
wahtola,0.002932,1,30
trommer,0.002932,1,34
silence,0.002905,2,201
weave,0.002880,1,35
tongue,0.002831,1,27
heaviness,0.002831,1,41
retreat,0.002804,3,401
cozy,0.002739,1,35
convey,0.002739,1,26
humility,0.002739,1,31
harsh,0.002739,1,31
despair,0.002739,1,52
announcement,0.002656,1,33
nose,0.002617,1,31
fixate,0.002617,1,46
spin,0.002617,1,43
relate,0.002611,3,331
opportunity,0.002589,2,173
we'd,0.002579,1,36
inconstancy,0.002579,1,74
heart,0.002565,12,1680
technique,0.002543,1,48
practitioner,0.002532,2,201
powerful,0.002513,2,166
glass,0.002508,1,57
eye,0.002498,6,635
kindness,0.002465,3,545
heat,0.002442,1,44
sound,0.002429,3,490
expansion,0.002410,1,41
roll,0.002410,1,42
corner,0.002410,1,41
softness,0.002410,1,38
screen,0.002380,1,62
inward,0.002380,1,45
system,0.002352,2,299
support,0.002337,6,960
term,0.002335,2,265
lightness,0.002321,1,80
anicca,0.002321,1,58
imagine,0.002307,4,466
tiny,0.002293,1,50
sun,0.002293,1,67
cloud,0.002293,1,83
lift,0.002293,1,57
wide,0.002285,2,259
outside,0.002285,2,199
neck,0.002266,1,55
heavy,0.002266,1,56
hostility,0.002240,1,72
object,0.002236,2,302
invite,0.002204,2,319
fundamental,0.002189,1,52
level,0.002172,2,283
relevant,0.002165,1,52
praise,0.002141,1,75
move,0.002121,5,640
intentional,0.002118,1,58
environment,0.002118,1,61
window,0.002118,1,72
