word,tfidf_score,talk_frequency,global_frequency
river,0.023271,14,371
change,0.021585,55,1471
flow,0.019012,23,578
impermanence,0.014802,8,145
unify,0.014529,8,101
breathe,0.012245,40,2612
samadhi,0.012148,15,1556
inconstancy,0.012055,5,76
current,0.010324,6,142
tahoe,0.009603,2,3
rudder,0.008868,2,8
participate,0.008836,5,128
situate,0.008347,2,5
choiceless,0.008347,2,5
focal,0.008347,2,6
unfortunate,0.008147,3,30
sensation,0.007441,14,907
quiet,0.007346,12,648
vacation,0.007233,3,53
awareness,0.007200,16,1389
knee,0.006550,3,74
boat,0.005836,2,34
shift,0.005804,8,471
unification,0.005657,3,110
fortunate,0.005524,2,29
compel,0.005432,2,25
co-joined,0.005429,1,1
settlement,0.005429,1,1
jhanic-like,0.005429,1,1
ripple,0.005178,2,33
absorb,0.005117,3,134
hill,0.005101,2,36
cognitive,0.004822,2,54
downriver,0.004801,1,2
sandbank,0.004801,1,3
non-thinking,0.004801,1,2
fixate,0.004758,2,56
rhythm,0.004705,3,118
cognitively,0.004434,1,5
stay,0.004433,11,872
lake,0.004176,2,133
midst,0.004176,2,56
randomly,0.004174,1,5
antenna,0.004174,1,7
apparatus,0.004174,1,4
ever-changing,0.004174,1,4
unwelcome,0.003971,1,5
absorptive,0.003971,1,6
organize,0.003884,2,154
constant,0.003772,2,75
eddy,0.003667,1,22
caringly,0.003667,1,8
natural,0.003636,4,354
extend,0.003599,2,77
elevation,0.003546,1,10
surprisingly,0.003546,1,10
chaos,0.003546,1,11
steer,0.003546,1,9
latch,0.003439,1,11
usually,0.003352,4,260
jhanic,0.003344,1,15
state,0.003312,6,872
quantum,0.003257,1,15
surf,0.003178,1,15
raft,0.003178,1,40
gentle,0.003124,3,277
northern,0.003106,1,17
leap,0.003106,1,22
restful,0.003106,1,16
sound,0.003088,4,508
soft,0.003082,3,254
heighten,0.003039,1,22
comparable,0.003039,1,16
literally,0.002989,2,102
evaluate,0.002976,1,18
rather,0.002927,6,578
satisfy,0.002920,2,150
broadcast,0.002918,1,17
texture,0.002918,1,16
move,0.002870,7,671
contribution,0.002863,1,22
psychophysical,0.002863,1,19
forefront,0.002811,1,19
burma,0.002811,1,22
series,0.002802,3,269
enter,0.002783,3,384
deep,0.002772,15,1807
peacefulness,0.002716,1,22
strong,0.002687,4,477
glad,0.002672,1,37
fold,0.002672,1,48
intensity,0.002672,1,28
limit,0.002647,2,207
pain,0.002583,3,518
focus,0.002575,4,624
hike,0.002551,1,51
depress,0.002551,1,27
diaphragm,0.002551,1,34
initially,0.002551,1,28
subtleness,0.002514,1,33
