word,tfidf_score,talk_frequency,global_frequency
squares,0.038250,16,25
circles,0.017879,13,47
sister,0.014034,7,21
sale,0.013374,5,8
affecting,0.012774,6,14
prejudices,0.010699,4,6
baldy,0.009859,3,3
lifts,0.009562,4,8
frowning,0.008702,3,4
expectations,0.007661,6,65
anger,0.007405,10,344
wanting,0.007398,14,391
unsettled,0.007271,4,28
straatman,0.007172,3,49
illusion,0.007117,4,24
view,0.006998,11,365
mount,0.006867,3,10
sticks,0.006610,3,13
briefing,0.006572,2,2
coffer,0.006572,2,2
optical,0.006572,2,2
exceptionalism,0.006572,2,2
happening,0.006507,27,915
item,0.006387,3,13
crucial,0.006191,3,13
plan,0.006167,5,63
toward,0.006160,6,152
judgment,0.006098,5,94
conditioned,0.006098,5,89
incomprehensible,0.005801,2,3
zendo,0.005801,2,3
expectation,0.005650,4,41
reinforcing,0.005577,3,15
conditions,0.005516,9,359
seeing,0.005507,19,800
views,0.005384,5,266
delusion,0.005086,6,211
affected,0.005033,3,24
fault,0.004943,3,34
maria,0.004857,3,75
andrew,0.004781,2,6
believes,0.004781,2,10
angry,0.004732,5,174
irritated,0.004624,3,36
reinforce,0.004578,2,7
bad,0.004554,7,261
walked,0.004553,3,37
delighted,0.004528,4,66
decide,0.004485,3,53
bias,0.004485,3,33
somebody,0.004478,6,318
affection,0.004407,2,8
lifted,0.004407,2,9
someone's,0.004356,3,36
tendency,0.004350,4,77
familiar,0.004341,6,177
wanted,0.004258,7,248
emails,0.004258,2,10
clearly,0.004253,9,386
blame,0.004237,3,64
leaning,0.004237,3,45
preferences,0.004126,3,47
oh,0.004083,16,1322
habits,0.004073,3,54
liked,0.004073,3,46
biases,0.004010,2,14
influenced,0.004010,2,13
ah,0.003958,4,109
he's,0.003911,5,305
article,0.003904,2,15
energy,0.003838,7,405
based,0.003753,4,136
waves,0.003743,3,94
beach,0.003635,2,22
uncomfortable,0.003625,4,194
waiting,0.003619,3,80
round,0.003558,2,24
totally,0.003541,3,92
neither,0.003467,3,77
case,0.003419,4,134
turned,0.003362,3,80
anxiety,0.003362,3,85
looked,0.003328,3,86
occurring,0.003295,2,29
assumptions,0.003295,2,30
tendencies,0.003295,2,28
assembling,0.003286,1,1
grid,0.003286,1,1
preferentially,0.003286,1,1
indented,0.003286,1,1
recesses,0.003286,1,1
desire's,0.003286,1,1
olendzki's,0.003286,1,1
derailed,0.003286,1,1
brutally,0.003286,1,1
righteousness,0.003286,1,1
unraveling,0.003286,1,1
untrue,0.003286,1,1
endpoint,0.003286,1,1
disentangles,0.003286,1,1
programmed,0.003286,1,1
telephone,0.003286,1,1
deficit,0.003286,1,1
leaning-into,0.003286,1,1
jumping-out-of-my-skin,0.003286,1,1
untruthful,0.003286,1,1
unconventional,0.003286,1,1
non-judgmentally,0.003286,1,1
kowit,0.003286,1,1
saffron-robed,0.003286,1,1
jabs,0.003286,1,1
triumphantly,0.003286,1,1
half-lotus,0.003286,1,1
grimly,0.003286,1,1
reining,0.003286,1,1
hyperactive,0.003286,1,1
incorrigible,0.003286,1,1
brat,0.003286,1,1
flinging,0.003286,1,1
shelves,0.003286,1,1
grinning,0.003286,1,1
sensei,0.003286,1,1
shapely,0.003286,1,1
lubricious,0.003286,1,1
zafus,0.003286,1,1
fragmentary,0.003286,1,1
wakeful,0.003286,1,1
weekend-long,0.003286,1,1
ached,0.003286,1,1
scrabbled,0.003286,1,1
pines,0.003286,1,1
soul-wrenching,0.003286,1,1
upending,0.003286,1,1
antlike,0.003286,1,1
fifty-odd,0.003286,1,1
perched,0.003286,1,1
raven-haired,0.003286,1,1
crescent,0.003286,1,1
katas,0.003286,1,1
permutations,0.003286,1,1
wobbling,0.003286,1,1
skillful,0.003262,3,130
page,0.003184,2,26
typically,0.003132,2,38
miss,0.003132,2,32
francisco,0.003083,2,42
wise,0.003042,5,383
jump,0.003035,2,32
theravada,0.003035,2,50
large,0.003023,3,79
anxious,0.002946,2,35
saw,0.002939,4,182
estimate,0.002901,1,2
structures,0.002901,1,2
tested,0.002901,1,2
huts,0.002901,1,2
corrals,0.002901,1,2
arranged,0.002901,1,2
unravel,0.002901,1,2
willfully,0.002901,1,3
jittery,0.002901,1,2
biologically,0.002901,1,2
crashing,0.002901,1,2
establishes,0.002901,1,2
sylvia,0.002901,1,2
boorstein,0.002901,1,2
determinations,0.002901,1,4
expensive,0.002901,1,2
grips,0.002901,1,2
steve,0.002901,1,2
fractured,0.002901,1,2
arched,0.002901,1,3
bouts,0.002901,1,2
bursts,0.002901,1,2
grains,0.002901,1,2
strip,0.002901,1,3
trucks,0.002901,1,2
story,0.002878,6,624
entirely,0.002864,2,36
san,0.002864,2,49
opinions,0.002864,2,57
perfect,0.002839,3,122
notice,0.002820,9,731
watch,0.002814,3,115
soon,0.002790,3,138
meditator,0.002787,2,45
truth,0.002786,4,368
response,0.002742,3,161
interpret,0.002715,2,42
strongly,0.002715,2,41
magazine,0.002675,1,3
angles,0.002675,1,3
rapidly,0.002675,1,3
trend,0.002675,1,3
illusions,0.002675,1,7
lengths,0.002675,1,3
shades,0.002675,1,3
untangling,0.002675,1,3
disengagement,0.002675,1,5
rut,0.002675,1,10
tear,0.002675,1,3
grandson,0.002675,1,3
locks,0.002675,1,3
ascribe,0.002675,1,4
texting,0.002675,1,3
crowds,0.002675,1,3
occupy,0.002675,1,3
propped,0.002675,1,3
purple,0.002675,1,4
aisles,0.002675,1,3
drowsy,0.002675,1,3
stiff,0.002675,1,3
spare,0.002675,1,3
tribe,0.002675,1,4
ants,0.002675,1,4
wielding,0.002675,1,3
got,0.002629,6,534
conditioning,0.002615,2,63
skin,0.002615,2,61
memories,0.002615,2,55
step,0.002583,4,231
subject,0.002554,2,99
none,0.002554,2,49
olendzki,0.002515,1,5
recondition,0.002515,1,4
overnight,0.002515,1,5
optimism,0.002515,1,4
exchanged,0.002515,1,6
humorous,0.002515,1,4
convert,0.002515,1,5
non-judgmental,0.002515,1,8
prose,0.002515,1,7
nods,0.002515,1,4
zafu,0.002515,1,5
supermarket,0.002515,1,4
unburdened,0.002515,1,4
exquisite,0.002515,1,4
able,0.002495,9,604
generous,0.002495,2,77
reacting,0.002439,2,53
perfectly,0.002439,2,61
heard,0.002415,4,297
perception,0.002413,2,147
latest,0.002391,1,6
theories,0.002391,1,7
psychologists,0.002391,1,5
linking,0.002391,1,6
default,0.002391,1,6
feature,0.002391,1,6
counter,0.002391,1,8
tunnel,0.002391,1,6
pressures,0.002391,1,5
coloring,0.002391,1,6
systematically,0.002391,1,7
gorgeous,0.002391,1,5
apparent,0.002391,1,5
attitudes,0.002361,2,77
stress,0.002328,3,224
opposed,0.002311,2,75
requires,0.002311,2,62
feet,0.002310,3,174
interesting,0.002293,4,278
scientific,0.002289,1,8
buildings,0.002289,1,9
africa,0.002289,1,7
staring,0.002289,1,9
exceptional,0.002289,1,6
hurtful,0.002289,1,6
determines,0.002289,1,7
stomach,0.002289,1,7
desperately,0.002289,1,6
prone,0.002289,1,7
cart,0.002289,1,10
screaming,0.002289,1,7
utter,0.002289,1,9
winding,0.002289,1,6
highway,0.002289,1,6
seductive,0.002289,1,7
sword,0.002289,1,14
dreams,0.002289,1,8
actual,0.002287,2,82
driving,0.002287,2,75
apply,0.002264,2,70
news,0.002241,2,73
except,0.002241,2,65
found,0.002226,4,262
predominant,0.002203,1,11
entanglement,0.002203,1,11
market,0.002203,1,8
socially,0.002203,1,7
washed,0.002203,1,8
implications,0.002203,1,11
freeway,0.002203,1,11
crowd,0.002203,1,10
ecstasy,0.002203,1,7
luminous,0.002203,1,7
need,0.002200,12,986
realm,0.002196,2,111
fact,0.002193,4,225
zen,0.002154,2,134
viewing,0.002129,1,13
conceited,0.002129,1,8
noon,0.002129,1,11
argument,0.002129,1,9
arguing,0.002129,1,10
string,0.002129,1,11
clearing,0.002129,1,12
immediately,0.002092,2,76
pause,0.002073,2,154
biography,0.002064,1,13
fortunately,0.002064,1,9
forming,0.002064,1,14
million,0.002064,1,11
