word,tfidf_score,talk_frequency,global_frequency
fear,0.043188,92,539
future,0.015289,23,224
clark,0.015043,14,312
diana,0.014751,15,372
mouse,0.014204,5,8
counterpoint,0.012849,4,4
investment,0.011748,5,10
warm-heartedness,0.011563,6,50
bodily,0.010444,9,110
collection,0.010163,6,53
aversion,0.009995,16,495
droppings,0.009637,3,3
unfamiliar,0.009399,4,11
questioner,0.009377,8,258
bill,0.009008,4,10
handle,0.008469,5,24
cultivate,0.007949,14,471
hallway,0.007870,3,10
confidence,0.007736,8,168
flee,0.006508,3,15
mu,0.006424,2,2
musculus,0.006424,2,2
scuttle,0.006424,2,2
gnaw,0.006424,2,2
circuitry,0.006424,2,2
badger,0.006424,2,2
wolverine,0.006424,2,2
scamper,0.006424,2,2
patter,0.006424,2,2
portfolio,0.006424,2,2
pound,0.006293,3,11
fast,0.006273,6,97
afraid,0.006162,6,117
uncomfortable,0.006047,7,211
quality,0.005683,14,647
tramer,0.005681,2,6
nibble,0.005681,2,4
loving-kindness,0.005659,6,187
invest,0.005642,3,16
increase,0.005372,5,93
assign,0.005283,3,23
fearful,0.005283,3,22
muddle,0.005247,2,4
pleasant,0.005208,8,354
push,0.005199,10,321
critic,0.005179,3,52
diminish,0.005051,4,69
beat,0.004742,3,43
tiger,0.004699,2,11
usual,0.004677,5,113
well-being,0.004585,9,593
won't,0.004564,6,145
lash,0.004504,2,9
negative,0.004420,4,83
constellation,0.004339,2,9
coat,0.004339,2,8
type,0.004319,5,190
nervous,0.004279,3,55
openness,0.004221,5,143
shrink,0.004196,2,10
certainty,0.004196,2,21
threaten,0.004069,2,27
unpleasant,0.003967,4,235
inner,0.003944,9,540
lump,0.003854,2,15
wall,0.003788,3,67
helpful,0.003781,8,597
sticky,0.003761,2,14
scratch,0.003761,2,14
poem,0.003711,4,411
nest,0.003675,2,58
towards,0.003648,10,518
isn't,0.003604,8,419
passage,0.003596,2,34
fuel,0.003590,3,93
rosemary,0.003522,2,36
security,0.003522,2,24
component,0.003522,2,20
usually,0.003470,7,260
grocery,0.003453,2,26
mild,0.003326,2,22
aren't,0.003276,4,143
horrible,0.003269,2,27
fine,0.003227,4,153
orient,0.003227,4,223
anatomical,0.003212,1,1
x-ray,0.003212,1,1
tar-baby,0.003212,1,1
mph,0.003212,1,1
circuitous,0.003212,1,1
jiu-jitsu,0.003212,1,1
anti-aversion,0.003212,1,1
brick,0.003212,1,1
rid,0.003179,4,181
throat,0.003161,2,33
note,0.003109,3,113
unusual,0.003064,2,31
otherwise,0.002976,3,98
incline,0.002932,2,34
tune,0.002901,3,128
mindfulness,0.002880,11,1055
unthreatening,0.002841,1,2
stickier,0.002841,1,2
unsettledness,0.002841,1,2
lace,0.002841,1,2
fee,0.002815,2,43
resource,0.002779,2,48
wholesome,0.002734,4,435
fix,0.002677,4,292
retreat,0.002671,5,433
help,0.002661,15,899
pretend,0.002645,2,52
turn,0.002640,10,703
poorly,0.002623,1,3
likelihood,0.002623,1,3
dictate,0.002623,1,4
bothersome,0.002623,1,3
okay,0.002600,11,1205
bad,0.002564,5,467
store,0.002554,2,56
course,0.002554,10,733
happiness,0.002522,6,869
foot,0.002499,4,252
intentionally,0.002498,2,46
solve,0.002471,2,80
subset,0.002469,1,5
gym,0.002469,1,6
blurry,0.002469,1,4
sunshine,0.002469,1,5
inject,0.002469,1,5
apparatus,0.002469,1,4
apps,0.002469,1,4
investigate,0.002444,2,102
trap,0.002444,2,79
dark,0.002444,2,59
honest,0.002444,2,71
side,0.002431,4,297
worry,0.002420,3,158
daily,0.002402,3,172
imminent,0.002350,1,5
anecdote,0.002350,1,6
diligent,0.002350,1,6
apology,0.002350,1,6
shove,0.002350,1,6
easeful,0.002321,2,73
absolutely,0.002321,2,69
money,0.002321,2,79
unfold,0.002315,3,190
curiosity,0.002298,2,105
disconnect,0.002275,2,100
chance,0.002265,3,164
momentum,0.002253,2,91
logically,0.002252,1,6
bus,0.002252,1,13
badly,0.002252,1,10
doe,0.002245,11,916
meet,0.002189,6,671
distract,0.002185,3,166
repress,0.002169,1,13
ecstasy,0.002169,1,7
prepare,0.002169,2,82
one-on-one,0.002098,1,11
collectedness,0.002098,1,9
suppress,0.002098,1,15
gut,0.002098,1,15
restrict,0.002098,1,11
ensure,0.002098,1,9
often,0.002092,13,1135
ignore,0.002091,2,78
notice,0.002090,9,1251
else,0.002069,7,579
emotion,0.002065,4,397
spacious,0.002054,2,114
skillful,0.002054,2,151
health,0.002036,2,104
terrible,0.002036,2,126
mad,0.002035,1,10
embarrass,0.002035,1,9
near,0.002018,2,116
constrict,0.001978,1,14
latin,0.001978,1,11
everywhere,0.001950,2,101
shouldn't,0.001934,2,100
compassion,0.001930,4,713
rate,0.001927,1,16
avoidance,0.001927,1,15
disrupt,0.001927,1,14
vague,0.001927,1,13
stock,0.001927,1,16
enormously,0.001927,1,17
wait,0.001926,3,233
bring,0.001883,14,1269
hijack,0.001881,1,18
constriction,0.001881,1,16
loneliness,0.001881,1,31
yep,0.001881,1,22
mindful,0.001874,3,286
metta,0.001871,2,461
guess,0.001841,2,125
machine,0.001838,1,20
clench,0.001838,1,19
impactful,0.001838,1,13
excellent,0.001838,1,16
trick,0.001838,1,15
dig,0.001838,1,28
survival,0.001798,1,17
mile,0.001798,1,16
foreground,0.001798,1,27
rejection,0.001798,1,16
experience,0.001792,31,3247
discover,0.001786,3,325
impact,0.001783,2,142
generally,0.001769,2,105
disappointment,0.001761,1,20
advance,0.001761,1,19
night,0.001755,2,180
passion,0.001726,1,37
medical,0.001726,1,42
