word,tfidf_score,talk_frequency,global_frequency
emptiness,0.035966,16,85
river,0.029530,17,330
shifting,0.027637,17,137
changing,0.023975,22,378
solid,0.020124,10,69
unchanging,0.017771,5,13
inconstancy,0.016635,7,74
empty,0.014608,8,90
constantly,0.014315,8,92
solidity,0.014061,5,26
stand,0.013740,9,100
door,0.013006,8,105
impermanence,0.012401,7,144
inherent,0.012358,6,62
direct,0.011762,10,199
fist,0.011031,4,52
nowhere,0.010826,4,26
impermanance,0.010602,2,2
theravadin,0.010602,2,2
striker,0.010602,2,2
grab,0.010105,4,31
essence,0.009946,4,46
ice,0.009446,3,26
flowing,0.009160,6,144
grabbing,0.008796,3,23
aware,0.008057,13,589
change,0.007437,12,798
concepts,0.007086,4,153
flow,0.007077,7,352
dissolve,0.006835,3,40
moving,0.006570,7,217
anicca,0.006407,3,58
stable,0.006328,4,103
permanence,0.006297,2,22
disappearing,0.006297,2,19
tradition,0.006250,6,262
quiet,0.006007,8,436
stillness,0.006001,4,178
ideas,0.005785,8,427
degrees,0.005624,2,23
melt,0.005413,2,22
nothing,0.005404,9,452
samadhi,0.005347,6,1300
everything,0.005332,15,836
insights,0.005315,3,124
existentially,0.005301,1,1
ontologically,0.005301,1,1
sub-theme,0.005301,1,1
thingness,0.005301,1,1
unshifting,0.005301,1,1
ground,0.005295,4,148
construct,0.005224,2,30
freedom,0.005076,8,596
likes,0.004896,2,31
perceptions,0.004896,2,60
stays,0.004823,2,35
permanent,0.004823,2,40
kayak,0.004679,1,2
reappearing,0.004679,1,2
alternating,0.004679,1,2
ruffled,0.004679,1,2
17th,0.004679,1,2
foretaste,0.004679,1,2
holding,0.004677,6,371
awareness,0.004676,10,1240
centered,0.004662,3,143
water,0.004658,5,462
soften,0.004456,5,280
stability,0.004386,3,164
resisting,0.004325,2,46
tentative,0.004315,1,3
analytical,0.004315,1,5
turn,0.004199,5,274
source,0.004102,3,261
hara,0.004057,1,5
synonymous,0.004057,1,4
unmoving,0.004057,1,17
unless,0.003935,2,54
perception,0.003892,2,147
broadcasting,0.003856,1,6
surf,0.003856,1,5
daydreaming,0.003856,1,5
disorientation,0.003856,1,9
solidified,0.003856,1,6
avenue,0.003856,1,5
transformational,0.003856,1,5
am-ness,0.003856,1,7
fisted,0.003856,1,11
constant,0.003728,2,70
gotten,0.003728,2,73
knower,0.003693,1,9
lasts,0.003693,1,7
molecules,0.003693,1,8
fall,0.003611,3,152
blocked,0.003554,1,8
moment-to-moment,0.003554,1,11
open-handed,0.003554,1,10
revelation,0.003554,1,11
breathing,0.003533,9,1983
spacious,0.003441,2,109
begins,0.003435,4,280
receding,0.003434,1,8
disorienting,0.003329,1,10
assert,0.003329,1,14
constructing,0.003329,1,11
frozen,0.003329,1,16
quieter,0.003312,2,95
look,0.003304,10,749
liberation,0.003251,2,113
agent,0.003234,1,13
entering,0.003193,2,123
experientially,0.003149,1,13
loosening,0.003149,1,12
summer,0.003149,1,13
profoundly,0.003149,1,12
jhana,0.003149,1,43
space,0.003099,5,680
blank,0.003070,1,24
soon,0.003000,2,138
dissolving,0.002999,1,21
manner,0.002999,1,15
knot,0.002999,1,23
deeper,0.002979,5,563
deep,0.002973,9,1007
gift,0.002949,2,124
doer,0.002932,1,24
abide,0.002932,1,55
ordinarily,0.002932,1,15
experience,0.002880,21,2371
belly,0.002879,3,254
appearing,0.002870,1,15
gathering,0.002851,2,184
sessions,0.002812,1,21
argue,0.002812,1,19
perceiving,0.002812,1,25
spinning,0.002812,1,25
openness,0.002804,2,135
dynamic,0.002758,1,27
projections,0.002758,1,23
silence,0.002757,2,188
muscle,0.002706,1,24
whoever,0.002706,1,25
develops,0.002706,1,21
organizing,0.002658,1,58
harmonious,0.002658,1,23
smell,0.002658,1,38
loosen,0.002612,1,24
anything,0.002600,9,803
everyone's,0.002568,1,32
relax,0.002527,5,552
essential,0.002526,1,33
including,0.002504,2,134
ultimate,0.002486,1,35
purpose,0.002484,2,224
refer,0.002448,1,28
ordinary,0.002445,2,175
idea,0.002420,8,1145
mountains,0.002412,1,35
seems,0.002392,3,266
resist,0.002376,1,41
everyone,0.002364,4,410
continued,0.002342,1,35
gathered,0.002342,1,46
abiding,0.002342,1,56
area,0.002316,2,170
pieces,0.002310,1,87
nature,0.002287,3,388
freely,0.002218,1,53
preferences,0.002218,1,47
dramatic,0.002218,1,43
wish,0.002202,3,385
looking,0.002198,4,491
associated,0.002196,2,170
contracted,0.002190,1,50
belong,0.002190,1,49
offers,0.002190,1,38
pressure,0.002180,2,253
speaker,0.002162,1,66
foundational,0.002162,1,47
perceive,0.002162,1,55
floating,0.002136,1,50
float,0.002110,1,47
finding,0.002099,2,167
ocean,0.002060,1,75
kindly,0.002060,1,54
wishes,0.002036,1,65
lay,0.002012,1,85
waves,0.002012,1,94
chances,0.002012,1,62
consciousness,0.001990,1,127
dropping,0.001990,1,57
willingness,0.001990,1,70
gives,0.001977,2,218
easeful,0.001967,1,63
reacting,0.001967,1,53
tomorrow,0.001963,2,177
phenomena,0.001946,1,69
cling,0.001946,1,100
attachments,0.001946,1,72
becomes,0.001937,4,475
passing,0.001925,1,86
pulling,0.001925,1,65
attention,0.001905,7,1243
not-self,0.001904,1,162
judging,0.001904,1,61
peaceful,0.001889,3,397
closely,0.001884,1,53
opposed,0.001864,1,75
experiences,0.001849,2,323
apart,0.001845,1,76
place,0.001841,8,1269
sure,0.001822,2,247
unknown,0.001807,1,50
included,0.001807,1,82
important,0.001795,6,800
location,0.001789,1,80
grounding,0.001772,1,96
point,0.001759,5,746
fill,0.001754,1,79
attached,0.001737,1,100
spot,0.001720,1,111
concept,0.001720,1,89
function,0.001720,1,71
becoming,0.001705,2,298
satisfying,0.001704,1,111
attachment,0.001704,1,145
challenging,0.001704,1,81
hold,0.001703,3,469
gets,0.001689,3,444
core,0.001688,1,121
contraction,0.001688,1,88
afraid,0.001688,1,103
someone,0.001675,3,541
encounter,0.001672,1,69
helps,0.001643,2,265
art,0.001641,1,128
reality,0.001626,1,115
vast,0.001626,1,114
makes,0.001621,3,404
enough,0.001617,5,728
rhythm,0.001596,1,106
focusing,0.001596,1,104
safety,0.001582,1,116
continuing,0.001582,1,76
movement,0.001571,2,356
reasons,0.001554,1,86
onto,0.001554,1,95
still,0.001547,5,740
thinking,0.001544,8,1621
english,0.001513,1,107
quickly,0.001513,1,91
longer,0.001502,2,290
theme,0.001500,1,103
living,0.001490,2,345
distracted,0.001487,1,101
settling,0.001479,2,507
operating,0.001462,1,170
begin,0.001453,3,555
wherever,0.001437,1,99
tight,0.001425,1,128
offer,0.001403,2,342
closing,0.001402,1,95
find,0.001400,10,1176
opportunity,0.001379,1,127
weeks,0.001367,1,114
earlier,0.001367,1,110
personal,0.001356,1,156
authoritative,0.001345,1,85
community,0.001345,1,310
call,0.001340,2,366
delight,0.001334,1,193
directly,0.001324,1,113
year,0.001313,1,243
gently,0.001309,2,393
primary,0.001303,1,153
inside,0.001299,2,424
record,0.001292,1,92
