word,tfidf_score,talk_frequency,global_frequency
suffering,0.028724,82,1656
suffer,0.027209,17,133
adjective,0.023743,6,11
stress,0.013011,16,336
pāli,0.012410,9,296
painful,0.012342,7,100
meet,0.011134,13,293
absence,0.009596,5,97
tension,0.009332,12,544
pain,0.009263,12,518
dukkha,0.009214,9,565
stability,0.008070,6,174
uneasiness,0.007914,2,6
k,0.007914,2,6
subtlest,0.007914,2,7
meeting,0.007685,6,179
loosen,0.007644,3,24
noun,0.007524,2,6
mature,0.007276,3,37
responsible,0.006578,3,38
midst,0.006328,3,46
coexist,0.006310,2,14
contribution,0.006143,2,16
emotional,0.006097,6,228
fullness,0.005889,3,59
honest,0.005889,3,66
advantage,0.005720,2,21
met,0.005572,3,69
add,0.005562,4,156
arrows,0.005486,2,56
contribute,0.005344,3,65
transform,0.005280,2,39
worse,0.005184,3,175
demotes,0.005171,1,1
stressfulness,0.005171,1,1
tenseness,0.005171,1,1
occasionally,0.005096,2,26
distract,0.005010,2,33
language,0.004858,5,248
aware,0.004799,8,593
subtle,0.004681,5,363
preposition,0.004564,1,2
rotate,0.004564,1,2
catastrophic,0.004564,1,2
dismaying,0.004564,1,2
effective,0.004506,2,40
global,0.004445,2,71
escape,0.004445,2,48
stressful,0.004386,2,49
weight,0.004353,3,148
freedom,0.004299,7,601
blamed,0.004209,1,5
distressing,0.004209,1,3
provocative,0.004209,1,3
spiraling,0.004209,1,3
english,0.004102,3,119
openness,0.004102,3,135
meant,0.004068,3,127
steadiness,0.004066,2,104
concluding,0.003957,1,5
strain,0.003882,2,67
adding,0.003882,2,71
address,0.003882,2,64
identify,0.003839,2,75
pronounced,0.003762,1,7
suffers,0.003762,1,6
caringly,0.003762,1,6
compassionately,0.003762,1,7
tipiṭaka,0.003762,1,6
afflicted,0.003602,1,23
positioning,0.003602,1,9
sufferings,0.003602,1,7
soften,0.003477,4,280
swaying,0.003467,1,7
flap,0.003467,1,13
shake,0.003467,1,9
valued,0.003467,1,13
partial,0.003467,1,12
excessive,0.003467,1,8
translate,0.003456,2,73
grief,0.003456,2,133
knowing,0.003431,6,630
translation,0.003422,2,77
ancient,0.003389,3,198
affliction,0.003350,1,16
h,0.003350,1,15
challenging,0.003324,2,81
mindfulness,0.003304,8,1006
sacred,0.003231,2,107
happiness,0.003193,5,846
mindful,0.003189,3,257
entering,0.003114,2,123
difficult,0.003111,4,332
loosening,0.003071,1,12
elbows,0.003071,1,17
legged,0.003071,1,13
adds,0.003071,1,14
ability,0.003026,3,230
breathe,0.002997,4,408
contributing,0.002995,1,17
clear,0.002983,6,544
extra,0.002927,2,179
freer,0.002925,1,17
introducing,0.002925,1,16
u,0.002925,1,23
collapsing,0.002925,1,15
appropriately,0.002925,1,13
half,0.002877,2,132
ordinarily,0.002860,1,15
grieve,0.002860,1,21
interpreting,0.002860,1,14
fix,0.002852,2,146
inherent,0.002828,2,108
painfulness,0.002800,1,15
openly,0.002800,1,15
de,0.002800,1,19
fearful,0.002800,1,22
stabilizing,0.002743,1,28
wise,0.002726,3,397
emotionally,0.002690,1,23
strategy,0.002690,1,23
amazing,0.002690,2,122
happier,0.002640,1,23
characteristic,0.002640,1,31
atmosphere,0.002640,1,24
either,0.002608,3,229
find,0.002595,19,1177
blue,0.002593,1,64
collapse,0.002593,1,22
section,0.002593,1,26
addressed,0.002593,1,22
try,0.002571,5,443
receptivity,0.002548,1,24
overwhelmed,0.002548,1,25
peacefulness,0.002548,1,22
stillness,0.002541,2,201
alone,0.002521,2,143
fingers,0.002505,1,23
follows,0.002464,1,28
believing,0.002464,1,33
grand,0.002464,1,34
lean,0.002425,1,29
expands,0.002425,1,36
sake,0.002425,1,45
necessarily,0.002423,2,142
adjusting,0.002388,1,29
appreciated,0.002388,1,27
entangled,0.002388,1,37
essential,0.002388,1,35
taught,0.002385,2,171
strong,0.002368,3,341
automatically,0.002352,1,33
addressing,0.002352,1,32
sustained,0.002352,1,43
human,0.002324,4,441
liturgical,0.002318,1,29
settle,0.002288,4,505
cross,0.002285,1,45
verbal,0.002285,1,45
literal,0.002285,1,37
distinguish,0.002285,1,32
wisely,0.002285,1,31
unease,0.002285,1,41
holding,0.002281,3,373
shoulders,0.002260,2,171
breathing,0.002253,6,1992
phenomenal,0.002253,1,45
mistake,0.002253,1,35
pieces,0.002253,1,87
onward,0.002253,1,112
humanity,0.002253,1,43
vacation,0.002253,1,52
clearly,0.002231,3,386
year,0.002225,2,303
subcontinent,0.002222,1,33
awareness,0.002201,5,1270
statement,0.002193,1,48
aryan,0.002193,1,34
established,0.002164,1,43
radically,0.002164,1,37
event,0.002164,1,43
tied,0.002164,1,41
indo,0.002164,1,36
degree,0.002159,2,208
able,0.002142,5,610
freely,0.002136,1,55
defined,0.002136,1,41
tender,0.002136,1,49
physically,0.002136,1,44
react,0.002109,1,37
buddhists,0.002109,1,75
exercise,0.002109,1,49
theravāda,0.002109,1,67
learn,0.002100,3,404
confused,0.002083,1,44
fairly,0.002083,1,45
clarity,0.002079,2,260
neck,0.002058,1,50
psychology,0.002058,1,52
dissatisfaction,0.002058,1,45
whereas,0.002033,1,46
deepest,0.002033,1,59
native,0.002009,1,42
built,0.001986,1,50
relax,0.001972,4,552
heavy,0.001963,1,57
gravity,0.001941,1,51
holds,0.001941,1,52
elements,0.001941,1,123
fascinating,0.001919,1,52
easeful,0.001919,1,63
gently,0.001916,3,393
identity,0.001898,1,129
free,0.001892,6,626
show,0.001872,2,248
normal,0.001858,2,176
psychological,0.001857,1,73
calling,0.001857,1,57
attitudes,0.001838,1,79
fixed,0.001838,1,91
wrong,0.001831,2,320
peaceful,0.001828,3,399
months,0.001818,1,62
developed,0.001800,1,69
leaving,0.001781,1,66
aliveness,0.001781,1,84
indian,0.001763,1,73
difficulties,0.001745,1,139
picture,0.001745,1,103
series,0.001739,2,255
samadhi,0.001739,2,1428
better,0.001729,4,611
edges,0.001728,1,111
eightfold,0.001728,1,114
present,0.001725,7,1187
necessary,0.001694,1,67
relief,0.001694,1,98
always,0.001681,5,716
includes,0.001678,1,66
beliefs,0.001678,1,149
break,0.001678,1,77
complicated,0.001662,1,79
tense,0.001646,1,110
contraction,0.001646,1,88
separate,0.001646,1,99
afraid,0.001646,1,103
hopefully,0.001646,1,80
resistance,0.001646,1,125
needs,0.001638,2,267
spaciousness,0.001631,1,214
encounter,0.001631,1,70
emphasize,0.001616,1,80
useful,0.001590,2,274
reactivity,0.001586,1,165
trying,0.001577,5,724
arms,0.001571,1,78
shows,0.001571,1,123
zen,0.001557,1,203
held,0.001557,1,98
characteristics,0.001557,1,170
referring,0.001557,1,76
challenges,0.001543,1,104
practitioner,0.001543,1,106
continue,0.001532,2,256
spread,0.001516,1,130
balance,0.001489,1,153
easily,0.001489,1,97
piece,0.001489,1,132
chair,0.001476,1,97
background,0.001476,1,112
relationship,0.001465,2,387
uncomfortable,0.001426,1,194
anymore,0.001426,1,99
begin,0.001417,3,555
pull,0.001414,1,131
considered,0.001414,1,96
consciousness,0.001402,1,187
standing,0.001379,1,115
central,0.001379,1,117
rather,0.001368,3,524
whole,0.001360,5,1128
wouldn,0.001356,1,128
conditioned,0.001345,1,146
posture,0.001344,3,575
thing,0.001339,7,1367
authoritative,0.001312,1,85
forms,0.001312,1,135
place,0.001310,6,1275
call,0.001307,2,367
orientation,0.001302,1,183
appropriate,0.001291,1,163
experience,0.001282,10,2422
speak,0.001281,1,181
fundamental,0.001281,1,112
existence,0.001271,1,134
ease,0.001267,2,526
record,0.001260,1,92
aspect,0.001260,1,117
enter,0.001241,1,190
open,0.001234,4,818
beings,0.001234,4,1092
caring,0.001231,1,210
noble,0.001212,1,310
big,0.001209,2,465
means,0.001205,3,646
without,0.001201,6,970
part,0.001200,10,1403
unsatisfactoriness,0.001183,1,160
however,0.001174,1,152
leading,0.001174,1,215
fall,0.001174,1,152
ready,0.001147,1,176
canon,0.001147,1,178
new,0.001144,2,546
need,0.001141,4,990
make,0.001130,6,1254
may,0.001129,9,2142
hands,0.001113,1,171
experiencing,0.001113,1,172
hold,0.001107,2,469
peace,0.001090,2,636
yet,0.001071,1,237
shift,0.001055,1,217
parts,0.001039,1,211
someone,0.001037,2,580
simple,0.001037,2,581
grow,0.001024,1,226
walk,0.001024,1,258
physical,0.001016,1,223
moment,0.001015,7,1633
head,0.001009,1,220
another,0.001008,3,747
noticing,0.001001,1,329
leave,0.001001,1,193
assume,0.000994,1,151
easier,0.000994,1,195
flow,0.000986,1,354
notice,0.000986,2,731
friend,0.000979,1,335
softening,0.000972,1,223
care,0.000967,3,1250
breaths,0.000964,1,191
dharma,0.000945,2,877
world,0.000936,11,2312
emotions,0.000936,1,281
face,0.000922,1,216
retreat,0.000902,1,317
moments,0.000895,1,240
later,0.000889,1,224
whatever,0.000887,6,1178
feeling,0.000878,7,1865
return,0.000876,1,181
idea,0.000875,3,1149
ago,0.000869,1,265
fear,0.000869,1,448
topic,0.000869,1,231
usually,0.000856,1,231
feelings,0.000850,1,308
places,0.000844,1,241
safe,0.000841,2,408
hope,0.000831,1,238
word,0.000825,10,1397
middle,0.000819,1,242
focus,0.000813,1,348
fronsdal,0.000789,1,271
allow,0.000788,2,603
helpful,0.000778,1,561
guided,0.000777,3,783
allows,0.000772,1,326
seen,0.000755,1,296
full,0.000749,1,270
recognize,0.000732,1,404
work,0.000729,2,850
quiet,0.000727,1,438
settling,0.000722,1,507
wisdom,0.000722,1,575
compassion,0.000722,1,717
calm,0.000716,1,614
body,0.000707,7,3140
room,0.000705,1,390
made,0.000700,1,334
move,0.000689,1,289
joy,0.000674,1,965
ways,0.000660,4,1057
somehow,0.000634,1,307
enough,0.000631,2,728
sometimes,0.000614,7,1843
translated,0.000614,1,318
concentration,0.000609,1,437
appreciate,0.000605,1,409
meaning,0.000600,1,388
nature,0.000600,1,455
meditative,0.000595,1,295
love,0.000590,2,1507
mean,0.000586,1,479
buddhist,0.000583,3,1146
buddha,0.000570,2,2034
deeper,0.000567,1,576
gil,0.000563,1,414
everyone,0.000558,1,442
teachings,0.000558,1,571
anything,0.000557,2,806
happens,0.000554,1,406
stay,0.000554,1,561
gets,0.000549,1,445
morning,0.000540,1,376
saying,0.000540,1,653
done,0.000540,1,416
every,0.000532,1,478
looking,0.000527,1,501
goes,0.000527,1,460
making,0.000527,1,434
makes,0.000523,1,405
live,0.000506,1,641
happy,0.000505,2,791
actually,0.000505,2,1066
dharmette,0.000497,1,318
feel,0.000495,17,3044
deep,0.000493,2,1146
nice,0.000489,1,527
support,0.000485,1,559
close,0.000481,1,378
together,0.000480,2,1022
eyes,0.000476,1,497
taking,0.000476,1,465
practice,0.000468,12,3241
last,0.000460,1,468
almost,0.000444,1,552
sitting,0.000437,2,755
bring,0.000428,1,643
d,0.000413,1,637
certain,0.000409,1,605
give,0.000402,1,594
path,0.000394,1,958
week,0.000387,1,597
let,0.000386,6,1844
right,0.000385,3,2097
self,0.000383,1,1830
okay,0.000372,1,1136
welcome,0.000371,2,617
