word,tfidf_score,talk_frequency,global_frequency
unsatisfactory,0.056744,18,31
unsatisfactoriness,0.021690,9,36
satisfy,0.019010,15,142
stress,0.017023,17,303
friend,0.014499,24,564
journey,0.014461,9,124
notification,0.012412,3,5
club,0.012412,3,6
independence,0.009457,3,11
valuable,0.009396,7,101
satisfactory,0.009142,3,13
window,0.008719,5,72
recognition,0.008458,7,217
lunch,0.007230,3,36
freedom,0.007137,13,667
dear,0.006901,4,127
unsatisfying,0.006834,2,6
invaluable,0.006758,4,71
display,0.006547,2,9
old,0.006418,6,201
undistracted,0.006305,2,18
distraction,0.006304,4,73
task,0.006244,4,77
sacrifice,0.006188,3,50
tuesday,0.006095,2,13
translation,0.006015,4,108
involve,0.005954,10,429
convince,0.005800,3,41
store,0.005595,3,55
distract,0.005429,5,156
discover,0.005356,6,313
well-being,0.005350,7,574
vehicle,0.005332,2,17
age,0.004868,3,80
billboard,0.004682,1,1
facelift,0.004682,1,1
perception,0.004596,3,210
wonderful,0.004512,9,512
level,0.004432,5,288
within,0.004341,9,541
unite,0.004303,2,32
deep,0.004183,25,1732
authority,0.004182,2,38
recognize,0.004174,9,670
one-hour,0.004137,1,2
long-lost,0.004137,1,2
self-preoccupations,0.004137,1,2
appointment,0.004137,1,2
shop,0.004070,2,48
wisdom,0.004066,6,548
suffer,0.004002,11,1724
satisfaction,0.003915,2,40
calculate,0.003819,1,3
self-talk,0.003819,1,5
capacity,0.003742,5,405
function,0.003712,3,125
meet,0.003702,7,631
foundation,0.003654,3,165
buy,0.003645,2,71
sale,0.003592,1,9
sidetrack,0.003592,1,5
never-ending,0.003592,1,4
makeup,0.003592,1,6
guilty,0.003592,1,4
delightfully,0.003592,1,4
activity,0.003587,5,455
preoccupation,0.003541,3,215
delight,0.003521,4,298
depth,0.003488,2,63
important,0.003428,13,839
demonstration,0.003417,1,5
averse,0.003417,1,8
advertisement,0.003417,1,5
slump,0.003417,1,5
unwelcome,0.003417,1,5
price,0.003417,1,8
canonical,0.003417,1,6
sign,0.003379,2,89
distress,0.003345,2,87
dukkha,0.003331,3,410
obsession,0.003274,1,8
inevitable,0.003274,1,8
inner,0.003223,5,489
track,0.003214,2,94
resist,0.003182,2,93
wise,0.003167,4,454
shorthand,0.003152,1,7
policy,0.003152,1,9
compulsivity,0.003152,1,9
book,0.003070,3,260
understand,0.003064,13,1242
parcel,0.003047,1,8
ground,0.003026,3,233
happiness,0.003021,5,860
busyness,0.002955,1,11
add,0.002918,3,292
deepen,0.002901,2,88
attach,0.002901,2,122
steady,0.002875,2,168
half-smile,0.002872,1,12
self-criticism,0.002797,1,21
pile,0.002797,1,19
coast,0.002729,1,27
settle,0.002723,10,1526
beauty,0.002685,2,167
change,0.002682,8,1444
obsess,0.002666,1,16
p,0.002666,1,16
analysis,0.002608,1,25
broad,0.002555,2,125
justice,0.002553,1,20
wellspring,0.002553,1,25
alarm,0.002553,1,21
clear,0.002546,6,581
simplicity,0.002535,2,262
honestly,0.002503,1,17
stay,0.002479,7,831
animate,0.002455,1,22
tall,0.002455,1,22
complexity,0.002455,1,26
attract,0.002455,1,28
vantage,0.002455,1,23
peace,0.002449,5,647
lose,0.002434,4,427
american,0.002410,1,22
fortunate,0.002410,1,28
face,0.002409,3,251
connect,0.002374,5,675
hasn't,0.002367,1,20
shy,0.002367,1,22
blind,0.002367,1,28
unfortunate,0.002367,1,27
poetry,0.002367,1,93
opposite,0.002361,2,129
successful,0.002327,1,31
rumination,0.002289,1,47
inside,0.002262,4,450
bad,0.002245,3,459
email,0.002217,1,33
alertness,0.002217,1,25
depress,0.002217,1,26
inadequate,0.002217,1,32
silly,0.002217,1,31
usually,0.002214,3,249
undermine,0.002184,1,31
absolute,0.002184,1,30
east,0.002184,1,34
breathe,0.002155,8,2506
suspect,0.002152,1,39
automatically,0.002152,1,33
projection,0.002152,1,33
announcement,0.002152,1,34
