word,tfidf_score,talk_frequency,global_frequency
rooted,0.022844,10,60
greet,0.022072,7,22
suffering,0.018711,43,1427
classroom,0.017729,4,5
dukkha-dukkha,0.017729,4,5
respectfully,0.017490,5,10
yielding,0.016349,4,10
dukkha,0.014118,12,401
defined,0.012609,6,40
teacher,0.010311,16,522
viparinama-dukkha,0.010043,2,2
sankhara-dukkha,0.010043,2,2
deepest,0.009992,5,58
change,0.009904,20,932
weight,0.009862,7,150
attachment,0.009613,7,217
formation,0.009191,3,18
calm,0.008795,12,594
kindergarten,0.008175,2,4
stress,0.008045,7,232
door,0.007967,6,146
core,0.007918,5,125
greeted,0.007685,2,5
gravity,0.007625,4,50
prepare,0.007066,3,33
clinging,0.007060,8,428
pushed,0.006853,3,38
respectful,0.006753,3,32
ready,0.006685,6,175
greeting,0.006657,3,42
uncomplicated,0.006507,2,13
rootedness,0.006306,2,11
clarity,0.006288,6,252
pull,0.006169,5,160
pain,0.006132,8,502
meeting,0.006072,5,191
stable,0.005940,4,105
samadhi,0.005820,8,1513
knowing,0.005643,10,621
wise,0.005577,6,383
student,0.005354,3,162
preparation,0.005328,2,29
straightforward,0.005328,2,21
requires,0.005298,3,62
recognition,0.005224,4,212
wholeness,0.005137,3,146
class,0.005035,3,113
undermined,0.005022,1,1
pain-pain,0.005022,1,1
old-age,0.005022,1,1
surface,0.005015,4,151
overwhelmed,0.004948,2,25
sick,0.004865,2,34
greater,0.004857,4,216
organized,0.004638,2,61
navigate,0.004638,2,33
construct,0.004569,2,52
mental,0.004445,5,342
acceptance,0.004438,2,65
monumental,0.004432,1,4
d-u-k-k-h-a,0.004432,1,2
contradicting,0.004432,1,2
physical,0.004192,4,207
stability,0.004155,3,164
type,0.004120,3,176
son's,0.004087,1,3
competent,0.004087,1,3
unwind,0.004087,1,3
deflated,0.004087,1,3
distraught,0.004087,1,4
old,0.003951,3,153
distress,0.003949,2,59
inherent,0.003902,2,62
forcefulness,0.003843,1,4
non-identification,0.003843,1,4
medication,0.003843,1,6
deep,0.003755,12,1007
theravadan,0.003653,1,5
wisdom,0.003637,5,536
known,0.003609,4,195
modern,0.003607,2,75
smallest,0.003498,1,7
centeredness,0.003498,1,6
managing,0.003498,1,6
endure,0.003498,1,6
covetousness,0.003498,1,9
contribute,0.003459,2,65
clear,0.003437,7,507
relief,0.003390,2,95
die,0.003390,2,107
dignified,0.003367,1,8
disaster,0.003367,1,7
protesting,0.003367,1,9
engages,0.003367,1,7
annoyance,0.003367,1,12
animosity,0.003367,1,11
accept,0.003356,2,85
natural,0.003352,4,318
kid,0.003291,2,97
provides,0.003259,2,75
steady,0.003259,2,148
resistance,0.003259,2,120
shook,0.003253,1,8
frightened,0.003253,1,14
oil,0.003253,1,8
field,0.003241,3,246
goodwill,0.003241,3,427
caught,0.003159,4,358
respected,0.003153,1,9
convey,0.003153,1,10
discomfort,0.003138,2,127
changing,0.003097,3,378
pressure,0.003074,3,258
earliest,0.003064,1,14
role,0.003024,2,120
drag,0.002983,1,19
accepted,0.002983,1,11
jealousy,0.002983,1,36
degree,0.002960,3,226
torso,0.002944,2,109
characteristic,0.002918,2,190
clearly,0.002888,4,386
craving,0.002842,2,250
spiritually,0.002840,1,21
america,0.002840,1,18
criticize,0.002840,1,16
paradox,0.002840,1,19
nonverbal,0.002777,1,33
ignoring,0.002777,1,22
currently,0.002777,1,20
richness,0.002777,1,18
mild,0.002777,1,17
frustrated,0.002777,1,16
envy,0.002777,1,42
ancient,0.002770,2,138
standing,0.002746,2,112
front,0.002746,2,114
careful,0.002723,2,120
nicely,0.002719,1,23
observation,0.002719,1,18
thailand,0.002719,1,24
medical,0.002719,1,41
handle,0.002719,1,22
protest,0.002719,1,19
applies,0.002664,1,23
reject,0.002664,1,21
overwhelming,0.002664,1,22
engage,0.002656,2,132
adjustment,0.002612,1,18
burma,0.002612,1,21
fully,0.002589,3,284
stood,0.002564,1,35
neighborhood,0.002518,1,20
well-being,0.002514,3,536
respect,0.002488,2,189
power,0.002488,2,213
fuel,0.002474,1,31
stand,0.002468,2,126
piece,0.002448,2,216
characterized,0.002433,1,26
extended,0.002355,1,28
shifted,0.002355,1,25
manage,0.002355,1,26
evoke,0.002319,1,36
adjusting,0.002319,1,29
emphasizing,0.002319,1,27
entangled,0.002319,1,37
fault,0.002319,1,43
irritation,0.002319,1,38
tightening,0.002319,1,33
useful,0.002317,3,273
cage,0.002284,1,31
verbal,0.002284,1,39
addressing,0.002284,1,32
making,0.002275,4,395
distinguish,0.002251,1,31
develop,0.002246,2,191
rib,0.002219,1,36
image,0.002194,2,206
body's,0.002188,1,30
assumption,0.002188,1,47
effort,0.002161,2,326
added,0.002158,1,47
purpose,0.002145,2,265
attitude,0.002145,2,265
recognize,0.002134,3,404
psychology,0.002129,1,47
town,0.002129,1,51
layer,0.002129,1,59
tension,0.002086,3,596
intense,0.002075,1,47
every,0.002065,4,478
perceive,0.002048,1,55
losing,0.002023,1,47
emotional,0.002018,2,222
grow,0.001988,2,226
