word,tfidf_score,talk_frequency,global_frequency
cling,0.061394,67,535
grasp,0.024528,14,134
bundle,0.022681,6,24
fist,0.017616,6,54
release,0.014960,14,296
resist,0.011457,6,92
construct,0.010729,5,117
clamp,0.009944,2,3
attachment,0.009142,6,226
mental,0.009003,9,344
hold,0.008616,27,1003
insistence,0.008201,2,8
tight,0.007432,5,134
suffer,0.007188,16,1632
freely,0.007093,3,53
brace,0.007082,2,11
harmful,0.006747,3,74
tighten,0.006747,3,58
accumulate,0.006535,2,15
identity,0.006093,3,151
pain,0.006049,7,503
belly,0.005915,6,266
possession,0.005763,2,29
except,0.005672,3,71
open-handedness,0.005632,1,1
open-hearted,0.005632,1,1
multi-billion,0.005632,1,1
belief,0.005530,4,280
non-clinging,0.005470,2,57
primary,0.005443,4,158
interfere,0.005297,2,41
river,0.005256,3,347
stick,0.005195,4,191
flow,0.005147,6,564
address,0.005069,3,123
open-minded,0.004972,1,2
shortage,0.004972,1,2
suffocate,0.004972,1,2
dukkha-dukkha,0.004972,1,5
stressful,0.004791,2,49
issue,0.004768,3,110
physical,0.004707,4,208
shoulder,0.004603,4,207
free-flowing,0.004586,1,3
empty-handed,0.004586,1,3
admonition,0.004586,1,3
short-change,0.004586,1,4
relax,0.004402,12,1230
hand,0.004336,7,474
acutely,0.004313,1,6
insistent,0.004313,1,4
overpower,0.004313,1,4
dollar,0.004313,1,4
bondage,0.004313,1,4
desire,0.004227,5,739
assertive,0.004100,1,5
assertiveness,0.004100,1,6
open-ended,0.004100,1,6
advertisement,0.004100,1,5
imagination,0.004062,2,96
change,0.004052,10,1414
water,0.003943,4,487
serve,0.003937,2,110
harm,0.003927,3,422
beneficial,0.003897,2,92
struggle,0.003897,2,67
painful,0.003857,2,98
increase,0.003781,2,89
defensive,0.003780,1,7
interference,0.003780,1,8
cognition,0.003780,1,9
oneself,0.003693,3,177
industry,0.003653,1,8
attach,0.003570,2,108
byproduct,0.003541,1,9
reside,0.003541,1,13
progression,0.003541,1,11
bucket,0.003541,1,23
yoke,0.003541,1,14
aside,0.003537,2,109
comfort,0.003472,2,114
paraphrase,0.003441,1,17
formation,0.003441,1,18
freedom,0.003401,5,600
deep,0.003326,16,1651
clench,0.003267,1,18
entanglement,0.003267,1,16
guard,0.003267,1,40
adapt,0.003267,1,14
present-moment,0.003191,1,24
soften,0.003122,5,544
rarely,0.003121,1,17
define,0.003099,2,125
tension,0.003071,4,604
decrease,0.003055,1,17
openly,0.003055,1,15
security,0.003055,1,24
perpetuate,0.002994,1,20
inconstant,0.002994,1,34
slowly,0.002973,2,107
manifestation,0.002936,1,23
unsatisfactoriness,0.002936,1,35
request,0.002936,1,26
mine,0.002925,2,229
stop,0.002892,4,457
appearance,0.002882,1,41
pleasantness,0.002781,1,42
wealth,0.002781,1,42
chance,0.002722,2,150
put,0.002697,8,795
sick,0.002691,1,35
buddhism,0.002689,3,515
everything,0.002674,7,881
dukkha,0.002659,2,401
reject,0.002569,1,43
projection,0.002569,1,33
discuss,0.002569,1,34
arrow,0.002532,1,131
respectful,0.002496,1,33
samadhi,0.002481,3,1514
fear,0.002462,3,501
drive,0.002444,2,192
anything,0.002439,8,812
phenomenal,0.002428,1,46
freeze,0.002428,1,50
success,0.002428,1,57
remove,0.002428,1,40
nature,0.002426,3,395
purpose,0.002407,2,266
suppose,0.002407,2,163
imply,0.002396,1,39
expansion,0.002364,1,41
loop,0.002334,1,42
definition,0.002334,1,49
pure,0.002334,1,59
remarkable,0.002334,1,53
dramatic,0.002305,1,45
lightly,0.002305,1,45
midst,0.002305,1,45
renunciation,0.002276,1,69
burden,0.002276,1,46
pressure,0.002267,2,263
softly,0.002249,1,45
jaw,0.002196,1,48
evoke,0.002171,1,68
opinion,0.002171,1,115
let,0.002133,51,2651
welfare,0.002122,1,99
consciousness,0.002122,1,129
buddha,0.002111,6,1777
fuel,0.002098,1,90
concern,0.002091,2,269
massage,0.002075,1,98
