word,tfidf_score,talk_frequency,global_frequency
self-improvement,0.024294,8,9
resistance,0.018937,17,123
earthworm,0.018457,7,10
metta,0.018035,18,456
self-compassion,0.014417,6,15
warm-heartedness,0.014371,7,50
loving-kindness,0.014027,14,186
soil,0.013665,8,48
tick,0.012540,5,10
prayer,0.010248,6,60
obstruction,0.009611,4,10
scroll,0.007910,3,8
phrase,0.007265,8,184
clark,0.007076,6,298
resist,0.007008,6,93
lovable,0.006942,3,24
repulsive,0.006873,2,2
self-help,0.006873,2,2
diana,0.006445,6,353
trickle,0.006074,2,3
poem,0.005961,6,405
improve,0.005870,3,17
rosemary,0.005742,3,35
instead,0.005399,12,463
respect,0.005376,7,234
wahtola,0.005307,3,30
trommer,0.005307,3,34
project,0.005276,5,106
benevolence,0.005274,2,5
wrong,0.005230,9,335
ease,0.005168,12,552
wish,0.005149,16,585
fuel,0.005120,4,91
transform,0.005120,4,83
underground,0.005016,2,6
goodwill,0.004926,7,527
hesitation,0.004338,2,19
conventional,0.004106,2,24
care,0.004073,23,1655
send,0.003974,4,123
p,0.003913,2,16
clench,0.003913,2,19
soon,0.003844,4,144
honor,0.003840,3,82
questioner,0.003840,3,242
chah,0.003828,2,28
tangle,0.003828,2,43
already,0.003715,6,261
air,0.003662,4,171
weren't,0.003573,3,79
underneath,0.003538,3,89
towards,0.003520,9,507
meet,0.003493,9,631
obvious,0.003493,4,152
traditional,0.003475,2,26
implicit,0.003475,2,29
radical,0.003470,3,88
hindrance,0.003437,3,198
underappreciated,0.003437,1,1
recycle,0.003437,1,1
microclimates,0.003437,1,1
weeknight,0.003437,1,1
shazam,0.003437,1,1
invocation,0.003437,1,1
bloodsucker,0.003437,1,1
vilify,0.003437,1,1
vile,0.003437,1,1
vector,0.003437,1,1
perverse,0.003437,1,1
perennial,0.003437,1,1
uncoil,0.003437,1,1
slog,0.003437,1,1
doubter,0.003437,1,1
fertilize,0.003437,1,1
fun,0.003405,3,105
hate,0.003311,3,105
beginner,0.003306,2,41
inadequate,0.003255,2,32
often,0.003187,18,1099
highlight,0.003111,3,107
pas,0.003111,3,95
restlessness,0.003070,2,75
sensation,0.003039,9,887
aerate,0.003037,1,3
ugh,0.003037,1,2
plead,0.003037,1,3
