word,tfidf_score,talk_frequency,global_frequency
unmoving,0.051283,13,17
stillness,0.039252,27,179
imperturbable,0.036059,7,7
state,0.020359,38,818
gaze,0.015204,11,152
upon,0.012352,12,200
great-grandmother,0.010303,2,2
snowstorm,0.009096,2,4
suffer,0.008629,21,1632
dissipate,0.007890,2,7
trouble,0.007727,5,91
window,0.007593,4,72
snow,0.007501,2,25
absolute,0.007267,3,29
refuge,0.007202,4,171
apartment,0.007184,2,8
stress,0.006860,6,260
vary,0.006683,2,9
contingent,0.006478,2,12
product,0.006478,2,11
discomfort,0.006470,4,127
fluidity,0.006295,2,19
profound,0.006273,5,207
address,0.006182,4,123
permanence,0.006129,2,22
non-reactive,0.005977,2,14
kindly,0.005956,3,55
solve,0.005956,3,77
challenge,0.005822,6,299
victim,0.005709,2,23
conclusion,0.005634,3,53
to-do,0.005477,2,18
quiet,0.005263,9,622
unflinchingly,0.005151,1,1
non-moving,0.005151,1,1
windless,0.005151,1,1
non-reactively,0.005151,1,1
three-story,0.005151,1,1
crochet,0.005151,1,1
still,0.005074,17,785
dangerous,0.004922,2,33
aware,0.004864,8,590
place,0.004746,31,1576
activation,0.004566,2,44
peck,0.004548,1,2
lace,0.004548,1,2
inside,0.004423,7,429
equanimous,0.004382,2,75
fix,0.004338,4,275
movement,0.004322,7,450
chair,0.004288,3,105
peacefully,0.004270,2,47
wind,0.004252,3,191
responsibility,0.004217,2,49
springtime,0.004195,1,3
receiver,0.004195,1,3
bearer,0.004195,1,3
readjust,0.004195,1,3
game-changer,0.004195,1,3
degree,0.004057,4,227
harry,0.003945,1,6
intuit,0.003945,1,4
large,0.003824,3,139
receptive,0.003797,2,81
catastrophe,0.003751,1,5
sacredness,0.003751,1,6
changeable,0.003751,1,5
eternal,0.003751,1,6
subconsciously,0.003751,1,5
untroubled,0.003751,1,7
move,0.003742,10,632
learn,0.003729,11,759
imagination,0.003716,2,96
accompany,0.003716,2,124
dukkha,0.003648,3,401
awareness,0.003594,8,1247
lightning,0.003592,1,7
mind-heart,0.003592,1,7
space,0.003536,6,704
tension,0.003511,5,604
cathedral,0.003458,1,11
cope,0.003458,1,7
sens,0.003425,2,139
spacious,0.003359,2,109
anxiety,0.003359,2,92
foremost,0.003239,1,10
byproduct,0.003239,1,9
calm,0.003232,5,801
highlight,0.003176,2,102
affect,0.003176,2,99
belong,0.003176,2,103
she'd,0.003147,1,18
adventure,0.003147,1,11
deepen,0.003147,2,88
vast,0.003119,2,117
winter,0.003064,1,14
vastness,0.003064,1,20
samadhi,0.003025,4,1514
blanket,0.002989,1,13
quietly,0.002984,2,94
problem,0.002954,3,292
particular,0.002947,5,433
present-moment,0.002919,1,24
available,0.002911,3,214
existential,0.002855,1,27
non-reactivity,0.002855,1,20
currently,0.002855,1,20
define,0.002835,2,125
appreciation,0.002811,2,207
air,0.002764,2,168
room,0.002747,4,414
mild,0.002738,1,20
solidity,0.002738,1,26
permeate,0.002738,1,24
forefront,0.002686,1,18
avoid,0.002654,2,170
storm,0.002636,1,29
meditate,0.002636,5,497
authoritative,0.002632,2,85
change,0.002594,7,1414
unpleasantness,0.002589,1,26
fluid,0.002544,1,28
mark,0.002544,1,29
table,0.002544,1,31
anything,0.002510,9,812
cozy,0.002461,1,35
solution,0.002461,1,29
peaceful,0.002432,4,402
inadequate,0.002422,1,32
grand,0.002422,1,37
necessarily,0.002413,2,144
list,0.002413,2,269
well-wishing,0.002385,1,46
automatically,0.002350,1,33
subtleness,0.002350,1,33
ordinary,0.002340,2,188
old,0.002322,2,200
design,0.002316,1,31
authority,0.002316,1,35
grip,0.002316,1,50
unnecessary,0.002316,1,34
shut,0.002283,1,39
tap,0.002251,1,32
meditator,0.002163,1,46
navigate,0.002163,1,51
impermanent,0.002163,1,58
characterize,0.002163,1,39
white,0.002163,1,59
freely,0.002163,1,53
temple,0.002135,1,70
within,0.002126,4,524
mindful,0.002121,2,257
lightly,0.002108,1,45
wide,0.002089,2,254
sun,0.002082,1,66
boundary,0.002082,1,62
knee,0.002082,1,72
pressure,0.002074,2,263
chase,0.002033,1,62
appreciate,0.002024,4,568
rain,0.002009,1,83
whenever,0.001985,1,43
attain,0.001985,1,67
relationship,0.001969,3,488
truth,0.001955,2,487
rather,0.001941,4,511
direct,0.001884,2,270
final,0.001858,1,66
distress,0.001838,1,86
dissolve,0.001800,1,83
lens,0.001800,1,70
finish,0.001800,1,64
radical,0.001764,1,83
free,0.001751,6,730
resist,0.001747,1,92
constantly,0.001747,1,92
interpret,0.001747,1,79
empty,0.001712,1,95
particularly,0.001712,1,86
bird,0.001712,1,112
rock,0.001712,1,83
fall,0.001701,2,279
youtube,0.001696,1,78
location,0.001696,1,87
fit,0.001696,1,83
influence,0.001680,1,86
reactivity,0.001680,1,146
home,0.001676,2,253
view,0.001664,2,652
without,0.001662,8,957
attach,0.001633,1,108
certain,0.001629,4,610
core,0.001617,1,128
topic,0.001616,2,261
difficult,0.001616,2,325
position,0.001603,1,86
range,0.001603,1,93
world,0.001594,17,2334
huge,0.001588,1,99
comfort,0.001588,1,114
shouldn't,0.001574,1,93
unpleasant,0.001559,1,233
steady,0.001559,1,168
adjust,0.001545,1,92
role,0.001545,1,122
preoccupy,0.001545,1,119
hope,0.001535,2,254
everywhere,0.001532,1,99
stable,0.001518,1,108
concentrate,0.001518,1,118
usual,0.001505,1,108
perspective,0.001492,1,191
assume,0.001491,2,230
identify,0.001466,1,138
issue,0.001454,1,110
broad,0.001454,1,118
wander,0.001417,1,137
catch,0.001415,2,427
simplicity,0.001405,1,257
realize,0.001384,2,402
edge,0.001371,1,173
mind,0.001362,44,4488
wouldn't,0.001360,1,128
small,0.001343,2,387
delusion,0.001316,1,215
preoccupation,0.001316,1,205
silence,0.001316,1,195
experience,0.001313,14,3049
mindfulness,0.001301,3,952
beyond,0.001295,1,185
directly,0.001285,1,114
appear,0.001285,1,133
ease,0.001283,2,533
unfold,0.001275,1,168
young,0.001275,1,162
alone,0.001255,1,143
chance,0.001245,1,150
settle,0.001234,4,1501
community,0.001216,1,355
occur,0.001207,1,137
different,0.001205,11,1883
whatever,0.001202,8,1184
safe,0.001199,3,420
opportunity,0.001170,1,170
live,0.001155,4,1127
deep,0.001141,6,1651
image,0.001135,1,207
wonderful,0.001133,2,485
nothing,0.001124,2,464
record,0.001109,1,118
figure,0.001101,1,218
suppose,0.001101,1,163
peace,0.001098,2,632
understand,0.001077,4,1194
physical,0.001076,1,208
person,0.001069,3,1064
expand,0.001068,1,183
carry,0.001068,1,199
pali,0.001053,1,218
others,0.001039,4,1054
outside,0.001037,1,195
emotional,0.001029,1,225
watch,0.001007,1,243
relax,0.001007,3,1230
quite,0.001007,3,686
continue,0.001004,2,417
side,0.000999,1,275
fill,0.000999,1,223
comfortable,0.000992,1,211
dharma,0.000987,2,838
build,0.000970,1,234
soft,0.000963,1,246
clear,0.000962,2,560
concern,0.000956,1,269
tomorrow,0.000949,1,180
nice,0.000946,2,546
middle,0.000942,1,212
certainly,0.000942,1,204
belly,0.000902,1,266
breathe,0.000895,3,2454
area,0.000889,1,264
series,0.000889,1,248
able,0.000883,2,610
almost,0.000875,2,558
try,0.000864,5,1260
real,0.000857,1,227
bite,0.000835,6,1484
become,0.000834,10,1735
point,0.000831,4,1111
believe,0.000820,1,322
develop,0.000814,1,354
activity,0.000808,1,439
though,0.000802,1,233
energy,0.000796,1,441
fronsdal,0.000779,1,270
relate,0.000779,1,328
open,0.000772,4,1195
nature,0.000740,1,395
together,0.000732,3,1021
inner,0.000723,1,456
isn't,0.000723,1,392
support,0.000720,2,928
welcome,0.000714,4,692
sometimes,0.000709,8,1848
everything,0.000699,2,881
minute,0.000687,1,343
always,0.000685,2,717
instead,0.000671,1,440
shift,0.000671,1,461
body,0.000667,8,3238
beautiful,0.000661,1,541
strong,0.000661,1,439
stop,0.000661,1,457
great,0.000657,2,911
begin,0.000657,4,1414
teacher,0.000656,1,536
show,0.000646,1,525
look,0.000635,4,1416
may,0.000628,5,2171
freedom,0.000622,1,600
focus,0.000617,1,597
guide,0.000606,3,876
day,0.000606,3,989
towards,0.000594,1,480
hold,0.000584,2,1003
heart,0.000579,3,1666
form,0.000567,1,443
question,0.000567,1,835
interest,0.000567,1,504
people,0.000565,8,3207
gil,0.000553,1,411
back,0.000548,5,1479
little,0.000545,8,2311
every,0.000527,1,489
imagine,0.000523,1,456
introduction,0.000519,1,275
leave,0.000519,1,469
recognize,0.000514,1,653
sit,0.000512,7,1473
seem,0.000502,1,478
big,0.000498,1,645
present,0.000476,2,1195
touch,0.000473,1,493
buddhist,0.000461,1,815
today,0.000458,2,831
hear,0.000457,1,844
bring,0.000452,2,1164
away,0.000427,2,1003
posture,0.000426,1,594
would,0.000418,3,1958
lot,0.000417,4,1504
turn,0.000415,1,674
course,0.000411,1,672
life,0.000406,7,2727
find,0.000404,5,1649
idea,0.000398,2,1586
might,0.000363,6,2112
next,0.000353,1,610
another,0.000339,1,747
many,0.000323,2,1071
enough,0.000315,1,733
moment,0.000313,3,1823
start,0.000312,2,1491
week,0.000308,1,710
part,0.000297,3,1601
word,0.000290,2,1319
sense,0.000265,5,2910
attention,0.000260,1,1261
practice,0.000248,8,3716
happy,0.000238,1,840
love,0.000235,1,1737
close,0.000232,1,651
call,0.000220,1,1020
happen,0.000214,2,2047
well,0.000193,1,1325
let,0.000191,5,2651
thing,0.000186,6,4774
allow,0.000176,1,1508
want,0.000174,3,2968
mean,0.000173,1,1429
long,0.000170,1,932
around,0.000156,1,1126
need,0.000145,1,1551
right,0.000126,1,2070
end,0.000112,1,1089
much,0.000111,2,1630
thank,0.000110,1,1167
think,0.000094,8,5868
make,0.000086,2,2377
