word,tfidf_score,talk_frequency,global_frequency
unconscious,0.064452,13,47
acting-out,0.028725,3,3
disruptiveness,0.028725,3,3
forgive,0.028028,5,19
storehouse,0.025403,3,4
freud,0.023460,3,6
variable,0.023460,3,5
non-shame,0.019150,2,2
conscious,0.016955,5,70
tectonic,0.016936,2,3
shame,0.015958,4,46
dimly,0.015640,2,4
self-knowledge,0.014721,2,5
self,0.014677,10,1148
dime,0.014008,2,9
silver,0.013426,2,11
self-story,0.013426,2,10
performance,0.012933,2,9
moralistic,0.012933,2,8
leak,0.012506,2,14
wake,0.012297,5,138
force,0.012055,6,222
plate,0.011794,2,13
phenomenon,0.011627,4,107
render,0.011211,2,14
distort,0.010955,2,27
monkey,0.010498,2,69
defilement,0.010292,2,29
shall,0.010292,2,35
news,0.009882,3,77
behavior,0.009609,3,85
dennett,0.009575,1,1
copernicus,0.009575,1,1
heliocentrism,0.009575,1,1
darwin,0.009575,1,1
primate,0.009575,1,1
haircut,0.009575,1,1
grandiosely,0.009575,1,1
yogacara,0.009575,1,1
alayavijnana,0.009575,1,1
overdisclosure,0.009575,1,1
self-curation,0.009575,1,1
pejoratively,0.009575,1,1
wo,0.009575,1,1
soll,0.009575,1,1
ich,0.009575,1,1
werden,0.009575,1,1
brent,0.009575,1,1
require,0.009003,4,160
bore,0.008741,2,40
discovery,0.008620,2,58
unitary,0.008468,1,2
amenable,0.008468,1,2
inspection,0.008468,1,3
hindsight,0.008468,1,2
humiliation,0.008468,1,2
self-control,0.008468,1,2
leakiness,0.008468,1,2
rupture,0.008468,1,3
propositional,0.008468,1,5
eas,0.008468,1,2
discharge,0.008468,1,3
dyad,0.008468,1,2
funny,0.008284,2,46
residue,0.007820,1,3
headquarter,0.007820,1,6
self-love,0.007820,1,20
galaxy,0.007820,1,6
receptacle,0.007820,1,5
equation,0.007820,1,4
kleshas,0.007820,1,3
primitive,0.007820,1,3
unconsciousness,0.007820,1,4
disruptive,0.007820,1,3
subterranean,0.007820,1,3
asana,0.007360,1,4
significantly,0.007360,1,6
dan,0.007360,1,6
retrospect,0.007360,1,4
adaptive,0.007360,1,6
debris,0.007360,1,4
exposure,0.007360,1,7
consciousness,0.007209,2,139
apology,0.007004,1,6
willful,0.007004,1,6
propel,0.007004,1,10
mismatch,0.007004,1,5
shatter,0.007004,1,5
enrich,0.007004,1,6
matthew,0.006782,2,97
counsel,0.006713,1,11
congeal,0.006713,1,6
famously,0.006713,1,6
akin,0.006713,1,8
actor,0.006713,1,8
sponsor,0.006713,1,7
repair,0.006467,1,18
fatigue,0.006253,1,22
facet,0.006253,1,12
erode,0.006253,1,9
incidental,0.006253,1,16
e,0.006253,1,14
minister,0.006253,1,25
differentiate,0.006065,1,9
expose,0.006065,1,14
remorse,0.006065,1,15
compulsive,0.005897,1,12
metaphorically,0.005897,1,14
motif,0.005897,1,12
property,0.005897,1,16
explain,0.005863,2,97
avoidance,0.005745,1,15
forgiveness,0.005745,1,28
govern,0.005745,1,15
crack,0.005745,1,14
integration,0.005745,1,18
newspaper,0.005745,1,17
sticky,0.005606,1,14
neglect,0.005606,1,18
dignify,0.005606,1,13
self-view,0.005606,1,15
mahayana,0.005606,1,18
role,0.005531,2,145
naive,0.005359,1,23
literally,0.005272,2,102
visualize,0.005249,1,22
b,0.005146,1,23
yoga,0.005049,1,30
karmic,0.005049,1,32
couldn't,0.004994,2,116
precisely,0.004958,1,22
possession,0.004958,1,29
okay,0.004931,7,1205
gap,0.004871,1,29
impossible,0.004790,1,28
pleasantness,0.004790,1,42
specie,0.004790,1,28
planet,0.004790,1,26
creature,0.004790,1,27
possibly,0.004637,1,26
identification,0.004637,1,34
bad,0.004586,3,467
deliberate,0.004566,1,41
pain,0.004555,3,518
crazy,0.004498,1,30
samsara,0.004433,1,42
humble,0.004433,1,26
scholar,0.004433,1,39
accessible,0.004370,1,35
unskillful,0.004370,1,63
colleague,0.004370,1,36
evolve,0.004310,1,34
melt,0.004252,1,42
narrative,0.004252,1,47
serious,0.004252,1,37
famous,0.004252,1,34
promise,0.004196,1,46
karma,0.004196,1,75
zone,0.004196,1,38
hide,0.004142,1,54
break,0.004133,2,206
progress,0.004089,1,45
investigation,0.004089,1,65
access,0.003990,1,48
burden,0.003942,1,46
add,0.003935,2,300
deny,0.003896,1,46
sun,0.003851,1,68
universe,0.003851,1,69
soothe,0.003851,1,55
wall,0.003764,1,67
praise,0.003643,1,75
investigate,0.003643,1,102
gravity,0.003567,1,54
war,0.003530,1,77
seed,0.003425,1,92
prefer,0.003391,1,61
dissolve,0.003391,1,84
gain,0.003358,1,105
worth,0.003326,1,91
differently,0.003326,1,59
unknown,0.003326,1,51
refuge,0.003326,1,175
leaf,0.003294,1,67
slightly,0.003294,1,65
growth,0.003233,1,78
potential,0.003203,1,87
fantasy,0.003203,1,93
order,0.003185,2,252
notion,0.003174,1,103
describe,0.003142,2,289
somewhat,0.003116,1,77
awake,0.003116,1,92
consideration,0.003116,1,69
