word,tfidf_score,talk_frequency,global_frequency
arrow,0.056197,23,131
unease,0.028205,8,19
add,0.026852,24,288
library,0.022132,5,9
alone,0.021180,16,143
suffer,0.018643,43,1632
ease,0.011507,17,533
toothpaste,0.010870,2,2
politician,0.010253,3,18
edifice,0.009597,2,3
leave,0.009302,17,469
cat,0.008343,3,38
uneasiness,0.008324,2,6
cup,0.007918,3,50
anything,0.007063,24,812
spot,0.006890,4,116
sad,0.006845,3,54
radically,0.006845,3,37
tension,0.006669,9,604
art,0.006581,4,139
shoot,0.006160,2,37
knock,0.006024,2,21
ground,0.005896,5,218
discourage,0.005778,2,20
familiarity,0.005778,2,19
mild,0.005778,2,20
emotionally,0.005667,2,23
generation,0.005562,2,28
interpret,0.005529,3,79
precious,0.005463,2,25
hyphen,0.005435,1,1
dis,0.005435,1,1
heirloom,0.005435,1,1
rapid-fire,0.005435,1,1
eleventh,0.005435,1,1
loudly,0.005435,1,1
emotional,0.005430,5,225
injure,0.005369,2,26
bad,0.005229,6,452
build,0.005119,5,234
source,0.005053,4,340
culture,0.004981,3,135
stop,0.004884,7,457
stress,0.004825,4,260
elect,0.004799,1,3
accumulation,0.004799,1,3
hundredth,0.004799,1,2
learn,0.004649,13,759
immediate,0.004624,2,45
future,0.004475,4,217
definitive,0.004426,1,3
dis-ease,0.004426,1,3
disrespectful,0.004426,1,3
careless,0.004426,1,3
tube,0.004426,1,3
lid,0.004426,1,3
30th,0.004426,1,3
sling,0.004426,1,4
breathe,0.004409,14,2454
statement,0.004394,2,57
pressure,0.004377,4,263
interpretation,0.004289,2,55
collapse,0.004239,2,53
undesirable,0.004162,1,4
unconditionally,0.004162,1,4
earthquake,0.004162,1,4
teacup,0.004162,1,4
made-up,0.004162,1,4
problem,0.004156,4,292
construct,0.004142,2,117
conclusion,0.003963,2,53
shatter,0.003957,1,5
inflict,0.003957,1,5
sanctuary,0.003957,1,6
distress,0.003879,2,86
dukkha,0.003849,3,401
floor,0.003839,2,75
physicality,0.003790,1,8
radical,0.003723,2,83
painful,0.003723,2,98
opportunity,0.003703,3,170
anger,0.003647,3,350
fall,0.003590,4,279
break,0.003565,3,188
alternate,0.003526,1,10
terrible,0.003478,2,120
story,0.003447,6,988
fix,0.003433,3,275
homecoming,0.003418,1,12
marvelous,0.003418,1,9
pain,0.003336,4,503
freedom,0.003282,5,600
writer,0.003233,1,22
ugly,0.003233,1,15
alternative,0.003232,2,108
past,0.003210,3,227
discover,0.003163,3,294
accumulate,0.003153,1,15
judge,0.003148,2,113
unnecessarily,0.003012,1,16
disappointment,0.003012,1,18
scenario,0.003012,1,16
tall,0.003012,1,14
yell,0.003012,1,18
