word,tfidf_score,talk_frequency,global_frequency
original,0.030694,25,50
rut,0.023389,12,14
wheel,0.017848,17,62
henry,0.016740,7,7
shukman,0.016740,7,7
zen,0.009250,12,139
egg-shaped,0.007174,3,3
tidal,0.007174,3,3
kelly,0.006337,3,4
advaita,0.006337,3,4
vedanta,0.006337,3,4
stir,0.006254,5,31
consciousness,0.006207,7,139
gratitude,0.006140,7,99
approach,0.005956,11,276
realization,0.005927,5,40
fundamentally,0.005564,4,20
participant,0.005435,4,39
sound,0.005413,16,490
print,0.005230,3,8
cruise,0.005230,3,7
discover,0.005031,11,310
awaken,0.004924,11,419
upper,0.004911,4,21
nature,0.004840,14,397
sudden,0.004800,5,64
dharmettes,0.004783,2,2
reckon,0.004783,2,2
shakyamuni,0.004783,2,2
pluralism,0.004783,2,2
approximately,0.004783,2,2
body-wide,0.004783,2,2
unlock,0.004783,2,2
loch,0.004783,2,2
underpassing,0.004783,2,2
hazard,0.004783,2,2
hearer,0.004783,2,2
self,0.004761,13,1140
throat,0.004741,4,31
jaw,0.004689,5,48
loose,0.004663,4,27
forgiveness,0.004520,3,25
discovery,0.004319,4,56
soundscape,0.004278,3,18
self-criticism,0.004278,3,21
limp,0.004225,2,4
redeem,0.004225,2,3
overturn,0.004225,2,3
construction,0.004173,3,15
temple,0.003985,4,70
civil,0.003898,2,5
sling,0.003898,2,4
wellness,0.003898,2,4
vertical,0.003898,2,5
psychotherapeutic,0.003898,2,4
multiple,0.003826,3,25
poison,0.003826,3,46
bubble,0.003826,3,22
label,0.003708,4,84
train,0.003706,7,306
workshop,0.003667,2,8
intrinsic,0.003667,2,6
yogic,0.003667,2,5
spirituality,0.003556,3,41
field,0.003545,7,255
bellow,0.003487,2,6
basically,0.003436,4,94
actually,0.003400,29,1093
inherently,0.003387,3,34
buddhism,0.003368,9,528
developmental,0.003340,2,12
okay-ness,0.003340,2,10
koan,0.003340,2,10
psychotherapy,0.003340,2,11
history,0.003332,4,65
dependent,0.003298,4,92
tenderness,0.003287,3,57
low,0.003266,5,139
gradual,0.003150,3,62
priest,0.003108,2,35
facet,0.003108,2,12
single,0.003083,4,87
softness,0.003027,3,38
prompt,0.003014,2,11
beneath,0.003014,2,12
faint,0.003014,2,10
tradition,0.003001,7,339
balance,0.002968,5,232
compassion,0.002930,8,676
radio,0.002929,2,19
effortless,0.002929,2,35
poetic,0.002929,2,12
glimpse,0.002929,2,17
tiny,0.002880,3,50
resilience,0.002852,2,15
model,0.002781,3,75
soft,0.002725,6,246
immersion,0.002718,2,25
chinese,0.002718,2,14
medium,0.002660,3,82
absolutely,0.002604,3,67
ear,0.002604,3,68
subtle,0.002554,6,377
psychological,0.002550,3,73
fourth,0.002550,4,158
lead,0.002491,7,538
helpful,0.002491,7,577
separate,0.002469,4,144
cultural,0.002456,2,31
precisely,0.002456,2,22
track,0.002449,3,94
path,0.002442,8,820
term,0.002441,5,265
hey,0.002412,2,29
abby,0.002391,1,1
long-distance,0.002391,1,1
silo-based,0.002391,1,1
shinto,0.002391,1,1
well-designed,0.002391,1,1
pluralistic,0.002391,1,1
systems-based,0.002391,1,1
oppositional,0.002391,1,1
politic,0.002391,1,1
1640s,0.002391,1,1
