word,tfidf_score,talk_frequency,global_frequency
sariputta,0.040804,16,33
noble,0.031037,31,264
footprint,0.028017,10,14
truth,0.024076,35,487
elephant,0.020402,8,51
wholesome,0.017598,22,349
unpack,0.011380,8,56
quality,0.010398,23,620
ying,0.010201,4,9
chen,0.010201,4,9
tease,0.009911,5,26
sutta,0.009844,10,307
simile,0.009729,7,123
teach,0.009483,53,1389
unpleasant,0.008819,8,233
penetrate,0.008586,5,33
dukkha,0.008578,10,401
wheel,0.007976,5,62
emerge,0.007562,5,63
reactivity,0.007128,6,146
illustrate,0.006701,3,16
immediacy,0.006523,3,13
pleasant,0.006475,9,350
transmigrate,0.006463,2,3
philip,0.006463,2,3
moffitt,0.006463,2,3
ladder,0.006463,2,3
apart,0.006371,5,76
immediate,0.006210,4,45
felt-sense,0.005960,2,5
evoke,0.005758,4,65
association,0.005624,4,60
twelve,0.005327,2,6
aliveness,0.005044,4,84
real,0.004887,8,225
skip,0.004744,2,16
launch,0.004598,2,17
teeth,0.004598,2,16
ongoing,0.004596,3,40
element,0.004575,4,183
midst,0.004480,3,45
drop,0.004349,6,268
harmony,0.004267,3,111
sucitto,0.004241,2,20
raw,0.004241,2,14
sincere,0.004241,2,26
clarify,0.004142,2,20
ascetic,0.003964,2,22
student,0.003903,3,163
disciple,0.003884,2,20
cessation,0.003884,2,46
buddha,0.003879,17,1769
fortunate,0.003809,2,27
flip,0.003809,2,23
vibration,0.003738,2,25
enobling,0.003661,1,1
tangibly,0.003661,1,1
40-plus-year,0.003661,1,1
creed,0.003661,1,1
ironic,0.003661,1,1
detail-oriented,0.003661,1,1
real-world,0.003661,1,1
higher-level,0.003661,1,1
game-changing,0.003661,1,1
tinkle,0.003661,1,1
skillful,0.003634,3,130
experiential,0.003608,2,24
fit,0.003599,3,83
contemplate,0.003547,2,33
origin,0.003490,2,31
dance,0.003490,2,44
automatic,0.003434,2,41
detail,0.003431,3,104
level,0.003414,5,282
grasp,0.003400,3,134
companion,0.003382,2,53
merit,0.003382,2,46
reflect,0.003326,4,199
criticize,0.003282,2,36
arrow,0.003282,2,131
dedication,0.003282,2,35
relate,0.003279,6,328
everywhere,0.003278,3,98
wisely,0.003236,2,31
electron,0.003231,1,2
kondanna,0.003231,1,2
beneficiary,0.003231,1,2
parinibbana,0.003231,1,2
document,0.003231,1,2
surface-level,0.003231,1,2
vibe,0.003231,1,2
chief,0.003231,1,2
lengthy,0.003231,1,2
granular,0.003231,1,2
elemental,0.003231,1,2
vibratory,0.003231,1,2
knee-jerk,0.003231,1,3
empowerment,0.003231,1,2
moderate,0.003231,1,2
unique,0.003191,2,42
dharma,0.003168,9,827
aspiration,0.003147,2,73
read,0.003111,6,419
manifest,0.003105,2,43
include,0.003092,7,377
yet,0.003056,4,235
capacity,0.003054,5,372
sound,0.003019,6,489
sacca,0.002980,1,3
all-encompassing,0.002980,1,4
breadcrumb,0.002980,1,3
drill,0.002980,1,3
penetration,0.002980,1,5
didn't,0.002973,7,505
statement,0.002950,2,57
liberate,0.002914,2,56
difficulty,0.002904,3,211
gautama,0.002802,1,5
intellect,0.002802,1,7
elaboration,0.002802,1,4
decade,0.002780,2,48
pain,0.002773,5,503
comment,0.002720,3,190
unfold,0.002699,3,168
well-known,0.002663,1,5
endeavor,0.002663,1,5
confess,0.002663,1,9
kusala,0.002663,1,8
