word,tfidf_score,talk_frequency,global_frequency
flood,0.112852,25,103
symbolic,0.032059,6,16
endless,0.026716,5,13
flooding,0.026046,4,7
halting,0.020778,3,15
flooded,0.020778,3,5
crossing,0.019253,4,56
forces,0.019163,6,74
stepping,0.018537,6,78
loss,0.017954,6,111
flow,0.017851,11,352
similes,0.017377,4,54
deity,0.016539,3,12
crossed,0.013821,3,20
reactive,0.013712,4,62
sutta,0.011440,5,307
overwhelm,0.011411,2,9
symbol,0.011026,2,13
exploration,0.010683,3,49
straining,0.009803,3,59
cause,0.009661,5,178
sir,0.009028,2,36
overwhelming,0.009028,2,22
blaming,0.009028,2,35
poetry,0.008533,2,93
moment-by-moment,0.008509,1,1
johnson,0.008509,1,1
canon,0.008110,2,53
unpleasant,0.007687,3,233
normal,0.007645,5,176
literal,0.007520,2,33
water-related,0.007510,1,2
whyte,0.007510,1,4
layered,0.007510,1,2
resorts,0.007510,1,2
ogha,0.007510,1,2
equated,0.007510,1,2
tender,0.007031,2,48
short,0.006981,3,114
birth,0.006942,2,58
standstill,0.006926,1,4
devastating,0.006926,1,3
allergic,0.006926,1,4
adjective,0.006926,1,10
express,0.006856,2,56
rich,0.006691,2,48
power,0.006531,3,190
cells,0.006512,1,4
robert,0.006512,1,6
symbols,0.006512,1,4
psyche,0.006512,1,4
glorious,0.006512,1,5
mistaken,0.006512,1,6
resorting,0.006512,1,4
capacities,0.006461,2,56
dear,0.006316,2,124
refused,0.006190,1,5
multi-dimensional,0.006190,1,5
opposites,0.006190,1,10
reactivities,0.006190,1,5
noun,0.006190,1,6
captures,0.005927,1,6
struggled,0.005927,1,10
representing,0.005927,1,7
tended,0.005927,1,6
aliveness,0.005862,2,84
respond,0.005803,2,93
david,0.005705,1,14
sank,0.005705,1,13
destructive,0.005705,1,7
verb,0.005705,1,9
additional,0.005705,1,7
curious,0.005577,2,93
morning's,0.005513,1,8
stir,0.005513,1,12
author,0.005513,1,11
differentiate,0.005513,1,8
speech,0.005470,2,170
pause,0.005367,2,154
effect,0.005367,2,119
convey,0.005343,1,10
responded,0.005343,1,11
heartbreak,0.005343,1,22
forceful,0.005343,1,9
channels,0.005343,1,12
reflections,0.005317,2,94
conversation,0.005268,2,124
pali,0.005208,3,216
mystery,0.005191,1,14
fruitful,0.005191,1,12
causes,0.005171,2,92
contain,0.005054,1,13
cross,0.005054,1,27
words,0.004993,6,474
friend,0.004979,3,310
swept,0.004929,1,19
poem,0.004901,2,329
rational,0.004813,1,19
resonate,0.004813,1,14
samyutta,0.004813,1,18
replied,0.004813,1,20
collapsing,0.004813,1,15
force,0.004775,2,116
swimming,0.004706,1,19
answered,0.004706,1,17
handle,0.004607,1,22
evocative,0.004514,1,17
interpreted,0.004514,1,19
water,0.004486,3,462
channel,0.004427,1,19
ups,0.004427,1,22
downs,0.004427,1,22
bigger,0.004426,2,149
relate,0.004426,2,132
resentment,0.004344,1,31
opening,0.004323,3,279
unpleasantness,0.004266,1,26
broader,0.004266,1,24
stayed,0.004193,1,23
identification,0.004193,1,30
examples,0.004193,1,28
pushing,0.004182,2,139
perspectives,0.004122,1,46
nourishment,0.004055,1,42
dangerous,0.004055,1,33
layers,0.004055,1,42
greed,0.004051,2,238
stress,0.004019,2,224
united,0.003991,1,29
ignorance,0.003991,1,46
dukkha,0.003987,2,401
selfing,0.003930,1,100
buddha,0.003872,7,1594
elsewhere,0.003871,1,27
possibilities,0.003871,1,27
powerful,0.003865,2,146
meaning,0.003835,2,223
unpack,0.003815,1,35
gradually,0.003815,1,42
hearts,0.003805,2,185
everyone,0.003794,4,410
humanity,0.003760,1,42
regular,0.003760,1,31
amount,0.003718,2,161
language,0.003690,2,162
asked,0.003662,2,194
lines,0.003657,1,45
choices,0.003657,1,51
minds,0.003634,2,203
immediate,0.003608,1,45
simile,0.003561,1,69
images,0.003515,1,53
depth,0.003515,1,40
speaker,0.003471,1,66
observe,0.003471,1,60
softly,0.003428,1,44
pointed,0.003346,1,52
harmony,0.003306,1,111
week,0.003304,5,573
flows,0.003268,1,61
available,0.003198,2,213
ask,0.003198,2,285
sensual,0.003158,1,104
details,0.003123,1,66
begin,0.003109,4,555
psychological,0.003090,1,69
nikaya,0.003056,1,69
recently,0.003056,1,55
human,0.003056,3,420
meditative,0.003024,1,76
mental,0.003013,2,342
often,0.002984,7,1059
experiences,0.002969,2,323
engaging,0.002961,1,74
i'd,0.002961,3,426
moments,0.002947,2,240
comfort,0.002931,1,82
unknown,0.002901,1,50
painful,0.002901,1,98
difficulties,0.002872,1,139
grief,0.002872,1,132
bring,0.002846,4,641
session,0.002844,1,71
realm,0.002844,1,111
reactivity,0.002816,1,141
views,0.002788,1,266
river,0.002788,1,330
resistance,0.002788,1,119
wrote,0.002761,1,70
explore,0.002761,1,101
wanting,0.002736,2,391
using,0.002716,2,270
reflection,0.002709,1,118
discomfort,0.002709,1,124
perspective,0.002709,1,145
immediately,0.002709,1,76
encounter,0.002683,1,69
engaged,0.002658,1,105
specific,0.002658,1,87
came,0.002637,2,323
touching,0.002610,1,85
suttas,0.002610,1,171
actions,0.002539,1,145
reflect,0.002517,1,112
describe,0.002494,1,76
night,0.002494,1,153
may,0.002478,12,2140
lying,0.002472,1,89
expand,0.002472,1,86
easily,0.002451,1,97
lived,0.002429,1,115
based,0.002429,1,136
loved,0.002408,1,110
invitation,0.002408,1,124
fix,0.002367,1,145
invite,0.002347,1,144
knew,0.002347,1,105
activities,0.002307,1,130
learn,0.002304,2,403
forms,0.002269,1,128
pointing,0.002269,1,154
job,0.002269,1,157
openness,0.002250,1,135
slowly,0.002250,1,106
hatred,0.002250,1,194
push,0.002250,1,132
question,0.002235,2,590
receive,0.002213,1,141
cannot,0.002213,1,129
delusion,0.002195,1,211
choose,0.002195,1,161
authoritative,0.002159,1,85
respect,0.002159,1,181
contact,0.002142,1,209
meeting,0.002125,1,178
lead,0.002125,1,198
aspect,0.002108,1,114
aspects,0.002091,1,154
tend,0.002091,1,129
record,0.002074,1,92
answer,0.002058,1,184
start,0.002009,4,869
aware,0.001990,2,589
friends,0.001917,1,214
sensing,0.001917,1,324
connect,0.001917,1,181
anger,0.001917,1,344
deeper,0.001912,2,563
name,0.001888,1,188
happened,0.001845,1,196
teachers,0.001845,1,193
aversion,0.001831,1,438
experiencing,0.001831,1,172
morning,0.001822,2,368
ones,0.001817,1,188
set,0.001803,1,194
life,0.001779,15,2289
yet,0.001776,1,235
physical,0.001776,1,207
within,0.001764,2,516
times,0.001764,2,404
others,0.001748,4,1015
emotional,0.001710,1,222
couple,0.001685,1,172
desire,0.001685,1,521
step,0.001672,1,231
pleasant,0.001672,1,350
noticing,0.001647,1,329
share,0.001611,1,244
quality,0.001587,1,294
taking,0.001581,2,456
wanted,0.001575,1,248
emotions,0.001575,1,275
open,0.001574,3,790
heard,0.001564,1,297
middle,0.001540,1,212
wrong,0.001507,1,315
seeing,0.001501,2,800
posture,0.001475,2,575
suffering,0.001475,2,1420
fear,0.001441,1,441
able,0.001436,2,604
we'll,0.001436,2,557
called,0.001423,2,540
