word,tfidf_score,talk_frequency,global_frequency
warm-heartedness,0.028116,13,50
difficulty,0.024949,26,212
dairy,0.018178,5,5
compassion,0.015393,28,675
fix,0.013777,18,275
aisle,0.012675,5,15
meet,0.012062,29,600
bench,0.011792,5,15
hesitation,0.011430,5,19
tissue,0.010907,3,3
us-versus-them,0.009630,3,4
lonely,0.009144,4,26
jeep,0.008883,3,5
library,0.008883,3,9
medium,0.008219,6,78
cry,0.007632,5,55
driver,0.007582,4,27
diana,0.006849,6,333
nurse,0.006488,3,23
woman,0.006487,5,170
trepidation,0.006420,2,3
curse,0.006420,2,4
sensitively,0.006420,2,3
suffer,0.006380,22,1632
metta,0.006318,6,453
invisible,0.006180,3,17
karuna,0.006044,3,36
response,0.005951,6,194
equation,0.005922,2,4
tricky,0.005917,3,20
individual,0.005853,6,105
somebody,0.005692,7,343
elegant,0.005568,2,13
susan,0.005568,2,15
listen,0.005442,9,385
dukkha,0.005149,6,401
radiate,0.005083,4,109
diamond,0.005070,2,14
yearn,0.005070,2,10
clark,0.005031,4,281
respect,0.004954,6,221
normalize,0.004881,2,11
rosemerry,0.004881,2,16
beside,0.004881,2,9
agitate,0.004566,4,103
belong,0.004483,4,103
voice,0.004363,4,111
instead,0.004264,9,440
poem,0.004212,4,393
blame,0.004204,3,106
problem,0.004170,6,292
fullness,0.004156,3,59
underestimate,0.004120,2,17
care,0.004086,21,1588
absolutely,0.004019,3,64
express,0.004001,4,144
grocery,0.003945,2,25
cultivate,0.003875,6,448
helpful,0.003848,7,562
lean,0.003735,3,80
box,0.003721,2,33
wahtola,0.003721,2,30
trommer,0.003721,2,34
kindness,0.003682,7,538
grief,0.003662,3,133
implicit,0.003654,2,29
awful,0.003654,2,36
bottled-up,0.003636,1,1
infantilize,0.003636,1,1
cold-hearted,0.003636,1,1
sensationalism,0.003636,1,1
sensationalized,0.003636,1,1
yikes,0.003636,1,1
intake,0.003636,1,1
takeout,0.003636,1,1
brigade,0.003636,1,1
suzie,0.003636,1,1
receptivity,0.003591,2,24
appropriate,0.003542,4,170
speed,0.003531,2,27
story,0.003458,9,988
partly,0.003457,3,83
though,0.003397,6,233
smile,0.003332,3,144
boy,0.003317,2,43
project,0.003302,3,106
connect,0.003267,9,658
tear,0.003222,2,36
narrative,0.003222,2,46
tea,0.003222,2,52
bombard,0.003210,1,2
othered,0.003210,1,2
indignant,0.003210,1,2
three-year-old,0.003210,1,2
temper,0.003210,1,3
open-heartedness,0.003210,1,2
complex,0.003135,2,40
mostly,0.003105,3,100
inward,0.003053,2,44
white,0.003053,2,59
humanity,0.003053,2,50
natural,0.003023,5,335
tender,0.003014,2,49
front,0.003001,3,114
completeness,0.002961,1,4
tantrum,0.002961,1,3
amaro,0.002961,1,4
uk,0.002961,1,3
manager,0.002961,1,3
rumor,0.002961,1,3
wipe,0.002961,1,5
sun,0.002939,2,66
truly,0.002904,2,42
someone,0.002880,8,601
wear,0.002869,2,67
hurt,0.002855,3,127
opposite,0.002832,3,117
solve,0.002803,2,77
partner,0.002803,2,60
job,0.002787,3,194
benevolence,0.002784,1,5
horrific,0.002784,1,5
life-changing,0.002784,1,4
customer,0.002784,1,5
barista,0.002784,1,6
burbea,0.002784,1,5
composite,0.002784,1,4
exclaim,0.002784,1,6
sunshine,0.002784,1,5
activate,0.002771,2,86
person,0.002767,11,1064
intentional,0.002740,2,54
ear,0.002709,2,65
perfectly,0.002680,2,62
okay,0.002666,10,1128
child,0.002656,3,210
alone,0.002656,3,143
premise,0.002647,1,6
purposeful,0.002647,1,7
othering,0.002647,1,5
ordinariness,0.002647,1,6
negativity,0.002647,1,8
valid,0.002647,1,5
jump,0.002622,2,60
curiosity,0.002595,2,99
cut,0.002595,2,58
differently,0.002568,2,54
assault,0.002535,1,7
bos,0.002535,1,6
myriad,0.002535,1,6
murder,0.002535,1,9
oppose,0.002516,2,78
man,0.002465,2,137
big,0.002459,7,645
ago,0.002454,4,265
there'd,0.002440,1,8
disaster,0.002440,1,7
cart,0.002440,1,17
one-on-one,0.002440,1,8
approval,0.002440,1,11
empty,0.002417,2,95
tonight,0.002371,2,103
retreat,0.002366,4,389
misunderstand,0.002358,1,8
unease,0.002358,1,19
portion,0.002358,1,9
embark,0.002358,1,9
bear,0.002349,3,231
touch,0.002337,7,493
tragedy,0.002286,1,12
gross,0.002286,1,12
abbot,0.002286,1,21
mentor,0.002286,1,9
spouse,0.002286,1,9
toward,0.002283,2,152
yes,0.002265,4,380
range,0.002262,2,93
hear,0.002259,7,844
seat,0.002241,2,117
convert,0.002221,1,14
generalization,0.002221,1,16
fabricate,0.002221,1,16
kitten,0.002221,1,16
puppy,0.002221,1,16
role,0.002182,2,122
tune,0.002182,2,124
vague,0.002163,1,13
division,0.002163,1,17
northern,0.002163,1,15
subtly,0.002109,1,12
palm,0.002109,1,17
flesh,0.002109,1,13
senior,0.002109,1,17
alienate,0.002109,1,13
impact,0.002088,2,127
perfect,0.002088,2,123
act,0.002085,3,316
lessen,0.002060,1,14
container,0.002060,1,18
injustice,0.002060,1,18
participant,0.002060,1,39
vulnerability,0.002060,1,17
read,0.002058,4,421
clean,0.002035,2,147
course,0.002030,7,672
uncomfortable,0.002001,2,195
type,0.001984,2,178
giant,0.001972,1,26
self-preoccupation,0.001972,1,23
importantly,0.001972,1,16
exception,0.001972,1,15
enable,0.001972,1,18
resonance,0.001972,1,22
manufacture,0.001972,1,17
manipulate,0.001972,1,17
worthwhile,0.001933,1,17
to-do,0.001933,1,18
shall,0.001933,1,35
completely,0.001923,3,248
wouldn't,0.001919,2,128
openness,0.001903,2,138
obvious,0.001873,2,145
phase,0.001860,1,25
business,0.001860,1,21
everybody,0.001828,2,196
vulnerable,0.001827,1,29
show,0.001825,4,525
real,0.001814,3,227
rid,0.001814,2,172
ease,0.001811,4,533
fine,0.001799,2,150
amaze,0.001799,2,137
unusual,0.001796,1,27
rob,0.001796,1,36
injure,0.001796,1,26
career,0.001796,1,25
describe,0.001775,3,273
cup,0.001766,1,50
engineer,0.001766,1,32
chance,0.001757,2,150
dharma,0.001742,5,838
season,0.001737,1,34
email,0.001737,1,31
sorry,0.001710,1,29
extreme,0.001710,1,36
adult,0.001684,1,29
wish,0.001670,5,577
elsewhere,0.001658,1,27
arise,0.001658,7,1066
opportunity,0.001651,2,170
emphasize,0.001651,2,159
others,0.001650,9,1054
heart,0.001635,12,1666
previous,0.001634,1,36
obviously,0.001634,1,32
authority,0.001634,1,35
sweetness,0.001611,1,90
gosh,0.001589,1,38
move,0.001585,6,632
step,0.001578,3,394
ground,0.001578,2,218
remove,0.001567,1,40
addition,0.001567,1,33
dynamic,0.001567,1,46
everyone,0.001562,4,446
exact,0.001546,1,38
baby,0.001526,1,65
diminish,0.001507,1,57
next,0.001494,6,610
midst,0.001488,1,45
store,0.001488,1,52
universe,0.001470,1,67
bias,0.001470,1,50
create,0.001464,4,526
recognize,0.001452,4,653
quick,0.001452,1,42
lose,0.001443,3,413
learn,0.001435,6,759
small,0.001421,3,387
connection,0.001421,2,210
collapse,0.001418,1,53
unpack,0.001418,1,56
trap,0.001418,1,74
probably,0.001411,3,343
model,0.001401,1,75
overwhelm,0.001401,1,57
whose,0.001401,1,43
fantastic,0.001401,1,53
teacher,0.001390,3,536
remember,0.001390,3,388
questioner,0.001385,1,228
relevant,0.001385,1,51
rush,0.001370,1,58
monastery,0.001355,1,109
compassionate,0.001340,1,71
disconnect,0.001340,1,86
honor,0.001340,1,82
money,0.001340,1,75
love,0.001326,8,1737
thousand,0.001325,1,68
monastic,0.001325,1,107
vision,0.001325,1,179
recently,0.001311,1,55
ajahn,0.001311,1,108
difference,0.001311,2,226
subtle,0.001301,2,372
reaction,0.001297,1,92
treat,0.001284,1,64
internal,0.001284,1,89
often,0.001283,7,1064
age,0.001271,1,77
idea,0.001263,9,1586
news,0.001245,1,74
sure,0.001236,2,252
country,0.001233,1,94
order,0.001227,2,236
version,0.001209,1,96
notion,0.001209,1,96
versus,0.001209,1,87
happen,0.001207,16,2047
curious,0.001197,1,93
translation,0.001185,1,105
anxiety,0.001185,1,92
forward,0.001183,2,223
tell,0.001181,3,560
goal,0.001174,1,125
terrible,0.001163,1,120
single,0.001163,1,87
kid,0.001163,1,104
health,0.001163,1,96
develop,0.001149,2,354
naturally,0.001142,1,83
discomfort,0.001142,1,127
fire,0.001142,1,144
difficult,0.001141,2,325
society,0.001131,1,132
acknowledge,0.001131,1,93
energy,0.001124,2,441
represent,0.001121,1,99
comfort,0.001121,1,114
highlight,0.001121,1,102
meaningful,0.001121,1,91
repeat,0.001121,1,81
allow,0.001116,9,1508
imagine,0.001107,3,456
surprise,0.001101,1,88
discussion,0.001101,1,90
start,0.001100,10,1491
reason,0.001091,2,270
hope,0.001083,2,254
possible,0.001080,3,510
onto,0.001072,1,95
sometimes,0.001063,17,1848
fear,0.001060,2,501
guess,0.001053,1,117
send,0.001053,1,120
loving-kindness,0.001053,1,185
busy,0.001035,1,93
suggest,0.001035,1,87
hang,0.001035,1,98
hold,0.001030,5,1003
circle,0.001026,1,152
sound,0.001014,2,489
refer,0.001009,1,104
nourish,0.001009,1,119
spend,0.001006,2,292
noble,0.001000,1,264
lovely,0.001000,1,117
catch,0.000999,2,427
join,0.000992,1,113
satisfy,0.000992,1,136
example,0.000991,2,367
warm,0.000984,1,120
bite,0.000983,10,1484
buddhist,0.000976,3,815
wherever,0.000976,1,101
eventually,0.000976,1,103
tree,0.000967,1,196
limit,0.000967,1,175
supportive,0.000967,1,131
always,0.000967,4,717
encounter,0.000960,1,112
open,0.000954,7,1195
phrase,0.000952,1,183
recognition,0.000944,1,213
mine,0.000944,1,229
expression,0.000936,1,124
warmth,0.000936,1,155
beautiful,0.000933,2,541
stop,0.000933,2,457
authoritative,0.000929,1,85
short,0.000921,1,130
year,0.000918,3,821
actually,0.000906,5,1070
condition,0.000906,2,676
finally,0.000900,1,149
balance,0.000900,1,231
young,0.000900,1,162
might,0.000897,21,2112
case,0.000892,1,167
inside,0.000892,2,429
would,0.000884,9,1958
turn,0.000878,3,674
contact,0.000872,1,224
include,0.000872,2,384
use,0.000867,6,1166
stuff,0.000865,1,183
