word,tfidf_score,talk_frequency,global_frequency
flood,0.045518,13,120
cross,0.043555,14,106
hurry,0.041368,14,81
halt,0.040981,7,17
tarry,0.035126,6,21
untarrying,0.025379,4,5
unhurrying,0.023417,4,6
stabilize,0.019459,6,66
freeze,0.018667,6,50
unhurried,0.016520,3,8
flow,0.015290,14,570
wave,0.014564,7,162
untarried,0.014366,2,2
deity,0.012850,3,26
current,0.011686,5,117
manifestation,0.011271,3,23
steadiness,0.011266,4,105
choppy,0.011013,2,5
steady,0.010962,5,168
shore,0.010867,3,101
complacency,0.010473,2,7
stability,0.009892,5,169
stream,0.009528,4,109
step,0.009145,9,414
effortless,0.008797,2,35
outcome,0.007376,2,37
ambition,0.007376,2,32
energetic,0.007245,2,29
overstimulation,0.007183,1,1
under-efforting,0.007183,1,1
panicky,0.007183,1,1
non-hurrying,0.007183,1,1
result-driven,0.007183,1,1
proportion,0.007183,1,1
one-liner,0.007183,1,1
tip,0.006783,2,34
swim,0.006680,2,40
companion,0.006395,2,58
nowness,0.006345,1,2
non-well-being,0.006345,1,2
overexert,0.006345,1,2
furiously,0.006345,1,2
appointment,0.006345,1,2
lethargy,0.006345,1,3
spacey,0.006345,1,4
non-tarrying,0.006345,1,2
sync,0.006345,1,2
water,0.006302,5,493
uplift,0.006061,2,84
strain,0.006034,3,134
manifest,0.005984,2,45
Chen Ying ,0.005854,1,3
cryptic,0.005854,1,3
quit,0.005854,1,5
fixation,0.005854,1,5
ego,0.005838,2,81
demand,0.005767,2,45
juicy,0.005507,1,4
simile,0.005444,2,134
rush,0.005444,2,58
ocean,0.005385,2,87
sati,0.005326,2,94
complacent,0.005237,1,6
conquer,0.005237,1,9
lens,0.005054,2,70
orientation,0.005029,3,200
ying,0.005016,1,9
chen,0.005016,1,9
situational,0.005016,1,8
grandiose,0.005016,1,7
sunny,0.004830,1,7
vigilance,0.004830,1,7
eddy,0.004830,1,22
walk,0.004757,5,549
participation,0.004668,1,9
overdo,0.004668,1,9
effort,0.004597,3,333
capacity,0.004594,4,402
symbolic,0.004526,1,16
hind,0.004399,1,19
buddha,0.004358,10,1874
stroke,0.004283,1,19
alive,0.004273,3,205
hint,0.004178,1,14
subjective,0.004178,1,74
learn,0.004130,9,777
big,0.004098,6,659
overly,0.004081,1,19
mile,0.004081,1,15
wednesday,0.003992,1,21
stimulate,0.003992,1,21
metaphor,0.003990,2,151
available,0.003976,3,222
embody,0.003957,2,143
toe,0.003830,1,19
garden,0.003830,1,22
per,0.003757,1,20
immerse,0.003688,1,45
