word,tfidf_score,talk_frequency,global_frequency
flood,0.043662,12,103
halting,0.027914,5,15
effects,0.027277,9,42
attuned,0.025456,10,65
hurrying,0.020995,4,24
attuning,0.020634,6,30
cross,0.020369,5,27
swept,0.019863,5,19
crossing,0.019398,5,56
struggled,0.019111,4,10
sank,0.018395,4,13
tarrying,0.016748,3,18
unhurried,0.015746,3,8
burns,0.015746,3,8
effect,0.015141,7,119
humiliated,0.013717,2,2
efforts,0.012868,4,32
characterizing,0.011166,2,4
crossed,0.011140,3,20
losing,0.011052,4,47
straining,0.010536,4,59
floods,0.010497,2,5
sati,0.010297,4,89
counts,0.009555,2,10
spoke,0.009503,3,37
flow,0.009156,7,352
choices,0.008843,3,51
naturally,0.008652,4,81
leap,0.008614,2,12
learning,0.007848,6,209
answered,0.007587,2,17
register,0.007277,2,21
dignity,0.007136,2,26
tried,0.007088,3,67
discern,0.007003,2,24
energetic,0.006878,2,29
halt,0.006859,1,1
halted,0.006859,1,1
bubbled,0.006859,1,1
huffs,0.006859,1,1
puffs,0.006859,1,1
observant,0.006859,1,1
phillip,0.006859,1,1
learned,0.006795,4,128
curious,0.006742,3,93
steady,0.006677,3,148
available,0.006444,5,213
various,0.006310,3,91
crisp,0.006054,1,2
sluggishness,0.006054,1,2
vibratory,0.006054,1,2
froze,0.006054,1,2
transmigrated,0.006054,1,3
burnt,0.006054,1,2
non-tarrying,0.006054,1,2
moffitt,0.006054,1,3
experiences,0.005982,5,323
unfolds,0.005977,2,32
Chen Ying ,0.005583,1,3
cryptic,0.005583,1,3
standstill,0.005583,1,4
humbleness,0.005583,1,3
unhurrying,0.005583,1,6
sutta,0.005533,3,307
got,0.005487,6,534
steadiness,0.005393,2,104
began,0.005330,2,76
clarified,0.005249,1,5
wakefulness,0.005249,1,5
line,0.005222,3,161
arriving,0.005207,2,60
meeting,0.005138,3,178
stepping,0.004981,2,78
yesterday,0.004936,3,150
judging,0.004927,2,61
ying,0.004778,1,9
chen,0.004778,1,9
nuanced,0.004778,1,9
strained,0.004778,1,6
jumps,0.004778,1,7
endlessly,0.004778,1,6
aliveness,0.004725,2,84
leaving,0.004725,2,66
unpacked,0.004599,1,9
insights,0.004584,2,124
wholesome,0.004496,3,349
buddha,0.004459,10,1594
woke,0.004444,1,8
deity,0.004444,1,12
bubble,0.004444,1,12
fades,0.004444,1,10
wholeheartedly,0.004444,1,9
pacific,0.004307,1,11
deva,0.004307,1,28
savoring,0.004307,1,9
pile,0.004307,1,15
diminished,0.004307,1,11
clarity,0.004295,3,252
specific,0.004286,2,87
tends,0.004286,2,83
oh,0.004261,8,1322
valuing,0.004184,1,13
clarify,0.004184,1,13
movements,0.004131,2,92
intuitive,0.004074,1,14
wandered,0.004074,1,13
sinking,0.004074,1,14
failed,0.004074,1,17
sequence,0.004074,1,24
step,0.004043,3,231
valuable,0.004021,2,93
remember,0.004004,4,306
didn't,0.003978,5,505
prevent,0.003973,1,18
inner,0.003915,4,447
messages,0.003880,1,15
deepen,0.003880,1,14
glow,0.003880,1,22
failure,0.003880,1,22
collapsing,0.003880,1,15
tries,0.003880,1,14
offered,0.003816,2,103
fix,0.003816,2,145
burn,0.003794,1,17
activities,0.003720,2,130
learn,0.003714,4,403
conclusions,0.003713,1,18
strategy,0.003713,1,21
rage,0.003713,1,23
gathering,0.003688,2,184
satisfied,0.003639,1,17
to-do,0.003639,1,18
hundred,0.003639,1,20
realized,0.003627,2,125
attitude,0.003597,2,188
dimensions,0.003568,1,24
jumping,0.003568,1,20
moment,0.003525,17,1566
habitual,0.003502,1,26
value,0.003453,2,145
tendencies,0.003439,1,28
momentary,0.003439,1,25
joys,0.003379,1,27
comparing,0.003379,1,28
defining,0.003323,1,24
temple,0.003269,1,55
layers,0.003269,1,42
grand,0.003269,1,34
humility,0.003269,1,31
boy,0.003269,1,37
continuity,0.003217,1,65
lean,0.003217,1,29
fixing,0.003168,1,32
perceptions,0.003168,1,60
selfing,0.003168,1,100
knows,0.003164,2,148
begin,0.003132,5,555
phenomenon,0.003120,1,35
decide,0.003120,1,53
brightness,0.003075,1,62
unpack,0.003075,1,35
contrast,0.003031,1,34
mistake,0.002989,1,35
meditations,0.002989,1,36
clearly,0.002959,3,386
established,0.002948,1,40
foot,0.002948,1,47
immediate,0.002908,1,45
hurry,0.002870,1,52
simile,0.002870,1,69
ongoing,0.002870,1,40
quick,0.002870,1,36
softly,0.002763,1,44
identified,0.002763,1,41
ego,0.002763,1,78
friend,0.002675,2,310
centering,0.002665,1,62
define,0.002665,1,50
lost,0.002636,2,242
reach,0.002634,1,52
notice,0.002616,4,731
attentive,0.002574,1,49
flavor,0.002574,1,57
strain,0.002574,1,66
forces,0.002574,1,74
judgment,0.002546,1,94
unfolding,0.002518,1,59
unfold,0.002518,1,72
experience,0.002484,14,2371
capacity,0.002465,2,316
fixed,0.002464,1,90
truths,0.002464,1,119
fast,0.002464,1,62
sensitivity,0.002438,1,90
choice,0.002438,1,96
momentum,0.002438,1,83
touch,0.002429,2,231
guide,0.002412,1,55
interesting,0.002393,2,278
gather,0.002363,1,76
actually,0.002346,7,1065
respond,0.002339,1,93
turned,0.002339,1,80
difficulties,0.002315,1,139
opens,0.002315,1,74
current,0.002292,1,113
judgments,0.002270,1,83
special,0.002270,1,81
views,0.002247,1,266
spacious,0.002226,1,109
explore,0.002226,1,101
becoming,0.002206,2,298
wanting,0.002206,2,391
chat,0.002184,1,90
reflection,0.002184,1,118
heart,0.002171,7,1415
range,0.002163,1,89
encounter,0.002163,1,69
reflections,0.002143,1,94
unwholesome,0.002143,1,176
full,0.002141,2,255
times,0.002133,3,404
inviting,0.002123,1,118
sharing,0.002103,1,135
shifting,0.002103,1,137
unpleasant,0.002065,1,233
challenges,0.002065,1,103
entering,0.002065,1,123
ah,0.002065,1,109
stable,0.002047,1,103
present,0.002036,6,1142
continue,0.002032,2,255
movement,0.002032,2,356
reasons,0.002010,1,86
quietly,0.001993,1,92
grounded,0.001993,1,115
expand,0.001993,1,86
flowing,0.001975,1,144
became,0.001975,1,129
away,0.001971,7,1000
lived,0.001958,1,115
watching,0.001958,1,109
rather,0.001945,3,505
instructions,0.001908,1,143
stability,0.001892,1,164
anymore,0.001892,1,99
we've,0.001879,3,419
standing,0.001876,1,112
noble,0.001876,1,263
pull,0.001876,1,131
room,0.001871,2,388
described,0.001860,1,100
approach,0.001844,1,179
become,0.001836,6,820
may,0.001831,11,2140
push,0.001814,1,132
willing,0.001814,1,148
practicing,0.001801,2,332
cultivating,0.001799,1,187
silence,0.001784,1,188
buddha's,0.001784,1,155
bigger,0.001784,1,149
noticed,0.001769,1,123
warmth,0.001755,1,155
coming,0.001728,4,697
orientation,0.001727,1,179
changes,0.001727,1,134
aspect,0.001699,1,114
trying,0.001673,4,722
answer,0.001659,1,184
