word,tfidf_score,talk_frequency,global_frequency
tournament,0.028912,4,4
unquenchability,0.023534,4,6
golf,0.023534,4,7
espn,0.021684,3,3
scotty,0.021684,3,3
scheffler,0.021684,3,3
worth,0.020770,8,77
win,0.020443,5,47
satiate,0.019139,3,4
fulfilling,0.018155,4,14
phase,0.015992,4,21
dreams,0.015105,3,8
sports,0.014539,3,10
talent,0.014456,2,2
quenchability,0.014456,2,2
answer,0.013872,8,185
unafraid,0.011767,2,4
noise,0.011503,3,25
headline,0.011063,2,5
player,0.010516,2,11
accomplishment,0.010516,2,9
rilke,0.010516,2,8
badly,0.010070,2,10
wanting,0.009298,8,393
doubts,0.009077,2,16
winning,0.009077,2,15
thich,0.008820,2,15
nhat,0.008820,2,15
hanh,0.008820,2,15
dukkha,0.008586,6,565
dissolves,0.008373,2,13
poignancy,0.008373,2,17
answered,0.007996,2,17
click,0.007827,2,34
brensilver,0.007789,3,91
matthew,0.007706,3,94
drives,0.007521,2,23
silence,0.007520,4,188
tilt,0.007228,1,1
partition,0.007228,1,1
completes,0.007228,1,1
reabsorbed,0.007228,1,1
unwinding,0.007228,1,1
necessitates,0.007228,1,1
precariousness,0.007228,1,1
textures,0.007228,1,1
constrain,0.007228,1,1
unconstrained,0.007228,1,1
golfer,0.007228,1,1
generational,0.007228,1,1
slam,0.007228,1,1
unquestioned,0.007228,1,1
championship,0.007228,1,1
tournaments,0.007228,1,1
golfers,0.007228,1,1
malfunctioning,0.007228,1,1
glitching,0.007228,1,1
striated,0.007228,1,1
hauntingly,0.007228,1,1
unquenchable,0.007228,1,1
marketing,0.007228,1,1
forthcoming,0.007228,1,1
doubling,0.007228,1,1
quenched,0.007228,1,1
evidencing,0.007228,1,1
questions,0.007049,5,239
inspire,0.007003,2,27
meanings,0.006781,2,29
nervous,0.006480,2,53
eased,0.006380,1,2
nagging,0.006380,1,4
biles,0.006380,1,2
brink,0.006380,1,2
sucks,0.006380,1,2
ungovernable,0.006380,1,2
prestige,0.006380,1,6
dim,0.006380,1,2
pounds,0.006380,1,2
encoded,0.006380,1,2
confirms,0.006380,1,6
lyrically,0.006380,1,2
answers,0.006299,2,33
training,0.006190,3,189
stuck,0.006137,3,122
media,0.006130,2,60
unwind,0.005883,1,3
vivid,0.005883,1,5
simone,0.005883,1,4
sponsored,0.005883,1,4
novelty,0.005883,1,4
derived,0.005883,1,5
bohemian,0.005883,1,3
austrian,0.005883,1,3
question,0.005695,6,593
cannot,0.005548,3,132
alleviated,0.005531,1,4
paragraph,0.005531,1,4
wrestle,0.005531,1,4
matrix,0.005531,1,8
publicly,0.005531,1,6
assured,0.005531,1,4
extensively,0.005531,1,4
rainer,0.005531,1,5
address,0.005426,2,64
suffering,0.005386,11,1656
poet,0.005365,2,82
love,0.005363,13,1507
reflecting,0.005306,2,65
money,0.005306,2,75
efforting,0.005258,1,7
basketball,0.005258,1,9
legends,0.005258,1,5
press,0.005258,1,13
conference,0.005258,1,6
poets,0.005258,1,5
major,0.005084,2,57
compassion,0.005043,5,717
potent,0.005035,1,8
undefended,0.005035,1,6
desperately,0.005035,1,6
numerous,0.005035,1,6
players,0.005035,1,7
checked,0.005035,1,6
wins,0.005035,1,10
tuesday,0.005035,1,9
inevitable,0.005035,1,8
live,0.004948,7,641
sound,0.004886,3,245
empathic,0.004846,1,9
pour,0.004846,1,9
excellence,0.004846,1,11
reports,0.004846,1,10
trajectory,0.004846,1,8
vietnamese,0.004846,1,7
thiền,0.004846,1,7
acute,0.004846,1,8
fades,0.004683,1,10
nectar,0.004683,1,11
attempting,0.004683,1,8
awesome,0.004683,1,8
hug,0.004683,1,12
sport,0.004683,1,9
generation,0.004683,1,15
rendered,0.004683,1,9
laws,0.004683,1,10
foreign,0.004683,1,8
