word,tfidf_score,talk_frequency,global_frequency
flood,0.037587,11,120
directional,0.030884,5,6
cross,0.026639,9,109
wise,0.020094,17,454
gradual,0.018476,6,62
orientation,0.017699,11,226
disorient,0.016295,4,19
step-by-step,0.014662,3,9
intention,0.014628,10,269
hurry,0.014433,5,81
shore,0.013897,4,104
non-grasping,0.012354,2,3
train,0.012314,8,315
unfold,0.012147,7,172
step,0.010587,11,432
disorientation,0.010203,2,9
slip,0.009781,3,29
drop,0.009737,7,275
align,0.009690,4,83
flow,0.009570,9,572
wheel,0.009238,3,62
wholesome,0.009101,6,390
daily,0.008880,5,154
depict,0.008576,2,15
basis,0.008257,3,59
sequence,0.008148,2,26
simile,0.007982,3,134
clarify,0.007786,2,21
join,0.007755,4,113
sati,0.007728,3,105
meditative,0.007568,3,76
journey,0.007197,3,124
underdo,0.006990,1,1
onwardly,0.006990,1,1
pujas,0.006990,1,1
lori,0.006990,1,1
flavor,0.006861,3,81
arrive,0.006682,4,158
current,0.006674,3,137
reflect,0.006484,4,202
colleague,0.006425,2,35
stabilize,0.006333,2,66
los,0.006177,1,4
untarrying,0.006177,1,5
motive,0.006177,1,2
practitioner,0.006112,4,207
aspiration,0.005997,2,75
perspective,0.005962,3,196
fix,0.005851,4,286
Chen Ying ,0.005701,1,3
responsiveness,0.005701,1,3
pervasiveness,0.005701,1,3
unhurrying,0.005701,1,6
magically,0.005701,1,3
respond,0.005676,3,158
view,0.005393,5,729
alto,0.005363,1,5
unhurried,0.005363,1,8
rush,0.005321,2,58
sanctuary,0.005101,1,6
monastic,0.004943,2,111
reflection,0.004936,3,214
ying,0.004887,1,9
chen,0.004887,1,9
centeredness,0.004887,1,6
defeat,0.004887,1,14
direction,0.004795,4,258
expansiveness,0.004706,1,10
totality,0.004706,1,7
bell,0.004661,2,110
possibility,0.004652,3,170
confuse,0.004617,2,71
overdo,0.004550,1,9
david,0.004550,1,16
daylong,0.004412,1,12
path,0.004380,5,912
force,0.004357,3,220
deepen,0.004331,2,88
incorporate,0.004288,1,11
dominate,0.004288,1,11
brahmaviharas,0.004288,1,29
mindful,0.004173,3,275
alignment,0.004074,1,32
cloth,0.004074,1,41
heighten,0.003980,1,21
attunement,0.003980,1,15
intuitively,0.003980,1,14
container,0.003980,1,18
effect,0.003846,2,165
savor,0.003812,1,21
fulfillment,0.003812,1,23
allen,0.003812,1,35
bubble,0.003736,1,22
embed,0.003665,1,27
relational,0.003665,1,33
livelihood,0.003665,1,46
kim,0.003665,1,52
local,0.003665,1,25
sutta,0.003636,2,324
sublime,0.003598,1,26
momentary,0.003535,1,25
