word,tfidf_score,talk_frequency,global_frequency
source,0.036392,30,340
shallow,0.034154,11,23
mode,0.030503,13,51
manasikara,0.027649,6,8
construct,0.021877,11,117
operate,0.019997,17,256
contemplation,0.016667,7,43
profound,0.016526,13,207
yoni,0.015988,4,13
v,0.013128,4,17
smartphones,0.012752,3,5
list,0.012225,10,269
audience,0.011905,5,137
system,0.011819,11,295
womb,0.011326,4,36
ayoniso,0.010439,2,2
ft,0.010439,2,2
mental,0.010198,11,344
engineer,0.010139,4,32
yoniso,0.009216,2,4
picnic,0.009216,2,3
member,0.008592,5,171
tai,0.008501,2,8
chi,0.008501,2,8
neck,0.008238,4,55
computer,0.008163,3,24
grow,0.008070,13,485
ruminate,0.008012,3,24
smartphone,0.007994,2,5
mindfulness,0.007471,17,952
indecisiveness,0.007279,2,7
mentality,0.007007,2,10
recite,0.007007,2,11
produce,0.006661,3,46
screen,0.006574,3,59
within,0.006462,12,524
distinguish,0.006408,3,50
surface,0.006406,5,160
tension,0.006404,9,604
primary,0.006306,5,158
sloth,0.006056,2,29
deep,0.005972,31,1651
representation,0.005785,2,27
ancient,0.005696,4,141
careful,0.005649,4,122
modern,0.005647,3,75
mine,0.005421,4,229
fantasize,0.005341,2,25
kara,0.005219,1,1
manasi,0.005219,1,1
aquatic,0.005219,1,1
stark,0.005219,1,1
not-source-of-life,0.005219,1,1
urban,0.005219,1,1
hardware,0.005219,1,1
built-in,0.005219,1,1
think-ativity,0.005219,1,1
body-fullness,0.005219,1,1
morton,0.005219,1,1
result,0.005057,3,98
distinction,0.005009,3,96
discernment,0.004987,2,70
vitality,0.004762,2,43
cognitive,0.004693,2,52
modality,0.004608,1,2
contrast,0.004500,2,39
tranquility,0.004440,2,64
refer,0.004345,3,104
truncate,0.004251,1,4
careless,0.004251,1,3
buddha,0.004240,13,1777
degree,0.004110,4,227
activity,0.004094,5,439
whereas,0.004071,2,47
fantastic,0.004023,2,53
constructive,0.003997,1,4
mammal,0.003997,1,4
imaginative,0.003997,1,5
qigong,0.003997,1,4
build,0.003933,4,234
sensual,0.003889,2,104
war,0.003889,2,74
attentive,0.003889,2,50
unfold,0.003874,3,168
concentration,0.003814,3,223
