word,tfidf_score,talk_frequency,global_frequency
arrow,0.055151,32,131
grape,0.028165,9,14
doctor,0.027938,15,45
juice,0.024142,10,19
source,0.020132,22,308
joanna,0.019223,5,5
macy,0.019223,5,5
press,0.018356,9,27
vineyard,0.015379,4,4
shoot,0.015223,7,37
gravel,0.013573,4,5
despair,0.012826,7,52
dance,0.009161,5,44
audience,0.008745,5,137
deathless,0.008034,3,10
hostility,0.007744,5,69
elm,0.007689,2,2
dissertation,0.006787,2,3
ambrosia,0.006787,2,4
aikido,0.006787,2,3
unborn,0.006259,2,4
respond,0.006255,6,154
arm,0.006203,6,120
relevance,0.005884,2,7
excite,0.005772,4,59
inside,0.005653,12,425
poisonous,0.005594,2,6
bad,0.005482,9,452
ecosystem,0.005156,2,8
member,0.005089,4,170
mine,0.005000,5,228
nectar,0.004982,2,11
purpose,0.004926,6,265
tension,0.004792,9,596
profound,0.004761,5,195
check,0.004761,5,162
elder,0.004567,2,17
bodhisattva,0.004567,2,21
operate,0.004365,5,250
wellspring,0.004349,2,21
strike,0.004281,3,57
doer,0.004253,2,24
metaphor,0.004241,4,146
careful,0.004170,4,120
magic,0.004163,2,27
jhana,0.004143,3,275
die,0.004101,4,202
poison,0.004079,2,46
village,0.004079,2,35
wrong,0.004054,6,318
system,0.004043,5,289
theory,0.004000,2,59
unison,0.003845,1,1
chernobyl,0.003845,1,1
elixir,0.003845,1,1
clan,0.003845,1,1
nonreactive,0.003845,1,1
overeager,0.003845,1,1
self-tension,0.003845,1,1
self-pressure,0.003845,1,1
self-agitation,0.003845,1,1
inquisitiveness,0.003845,1,1
reoccurring,0.003845,1,1
inappropriately,0.003845,1,1
ibuprofen,0.003845,1,1
kid,0.003707,3,101
terrible,0.003672,3,120
afraid,0.003672,3,103
surrender,0.003607,2,79
prevent,0.003551,2,38
fronsdal,0.003547,6,266
contribute,0.003537,3,98
huge,0.003537,3,99
dedication,0.003447,2,35
wood,0.003398,2,51
prominence,0.003393,1,3
explosion,0.003393,1,2
empowerment,0.003393,1,2
tectonic,0.003393,1,3
archer,0.003393,1,2
flail,0.003393,1,2
seasonal,0.003393,1,2
egotistical,0.003393,1,2
disarm,0.003393,1,2
inconsistent,0.003393,1,2
picnic,0.003393,1,3
emerge,0.003177,2,63
aware,0.003146,7,589
russia,0.003129,1,3
disruption,0.003129,1,3
civilization,0.003129,1,5
dagger,0.003129,1,7
squeeze,0.003129,1,3
competent,0.003129,1,3
acquisitive,0.003129,1,3
self-concerned,0.003129,1,3
coincidence,0.003129,1,3
garbage,0.003129,1,3
washington,0.003129,1,3
reactive,0.003098,2,62
buddhism,0.003091,5,507
discover,0.002999,4,291
activate,0.002988,2,83
dharma,0.002957,8,827
yes,0.002956,5,380
beforehand,0.002942,1,4
radiation,0.002942,1,19
hara,0.002942,1,5
harvest,0.002942,1,5
d,0.002942,1,8
flow,0.002913,5,559
upset,0.002854,2,51
war,0.002854,2,74
certainly,0.002826,4,202
dedicate,0.002823,2,55
receptive,0.002823,2,81
gentleman,0.002797,1,5
c,0.002797,1,6
within,0.002789,7,516
benefit,0.002784,4,242
place,0.002738,24,1554
care,0.002724,13,1482
fascinate,0.002704,2,62
belly,0.002703,4,260
settleness,0.002678,1,11
international,0.002678,1,9
inevitable,0.002678,1,8
tour,0.002678,1,11
apart,0.002676,2,76
significant,0.002622,2,69
