word,tfidf_score,talk_frequency,global_frequency
self,0.058587,68,1143
selfing,0.049837,19,100
locus,0.033597,10,27
doer,0.024535,8,25
activate,0.021646,10,86
flag,0.019660,5,13
activity,0.015508,18,455
location,0.011250,6,87
philosophical,0.010996,4,38
thinker,0.010981,3,13
not-self,0.010253,5,162
activation,0.010047,4,44
tension,0.009995,13,610
operate,0.008994,7,257
sidetrack,0.008630,2,5
fix,0.008238,7,286
inherently,0.007990,3,34
head,0.006895,7,273
dense,0.006555,2,22
banner,0.006555,2,16
swirl,0.006404,2,15
army,0.006404,2,42
front,0.006239,4,116
energize,0.006134,2,25
openness,0.005945,4,140
brain,0.005790,3,110
mess,0.005687,2,26
solver,0.005624,1,1
greeter,0.005624,1,1
densing,0.005624,1,1
explore,0.005585,4,199
energy,0.005355,6,443
occasion,0.005326,2,28
recede,0.005169,2,31
attack,0.005169,2,37
culture,0.005135,3,138
tense,0.005135,3,127
address,0.005047,3,125
feeler,0.004969,1,3
fingernail,0.004969,1,3
quadrant,0.004969,1,2
stationary,0.004969,1,2
justification,0.004969,1,2
hit,0.004825,2,67
rather,0.004701,9,550
somewhere,0.004604,3,104
holder,0.004587,1,4
receiver,0.004587,1,3
steward,0.004587,1,3
slippery,0.004587,1,3
wispy,0.004587,1,3
spear,0.004587,1,10
pressure,0.004541,4,266
knee,0.004534,2,73
edge,0.004494,3,176
sensor,0.004315,1,5
cortex,0.004315,1,4
pinpoint,0.004315,1,4
coalesce,0.004104,1,6
cerebral,0.004104,1,6
kernel,0.004104,1,6
kaleidoscope,0.004104,1,6
porous,0.004104,1,5
shield,0.004104,1,5
dissolve,0.003977,2,83
anywhere,0.003977,2,65
associate,0.003940,4,236
fascinate,0.003937,2,65
well-developed,0.003932,1,6
congeal,0.003932,1,6
sensation,0.003868,7,887
participate,0.003786,2,119
shift,0.003681,5,466
spacious,0.003680,2,110
provide,0.003608,3,214
contraction,0.003580,2,91
spaciousness,0.003580,2,215
bend,0.003549,1,9
reside,0.003549,1,13
inch,0.003549,1,10
violent,0.003549,1,15
shoulder,0.003455,3,211
contract,0.003454,2,101
rootedness,0.003450,1,12
verb,0.003450,1,16
action,0.003381,3,348
answer,0.003333,3,254
adjust,0.003307,2,97
experientially,0.003278,1,14
restful,0.003278,1,15
torso,0.003224,2,125
ideally,0.003202,1,13
creation,0.003202,1,17
x,0.003202,1,26
so-called,0.003202,1,13
battle,0.003202,1,38
depend,0.003171,2,112
assert,0.003132,1,23
headache,0.003132,1,15
direct,0.003105,3,273
stability,0.003094,2,171
victim,0.003067,1,24
fearful,0.003067,1,22
healthy,0.003061,3,298
question,0.003011,5,863
toe,0.003006,1,19
ourself,0.003006,1,21
openly,0.003006,1,16
solidify,0.003006,1,25
blade,0.002949,1,21
passive,0.002949,1,19
breathe,0.002913,9,2506
upper,0.002895,1,21
area,0.002893,3,273
unfortunate,0.002844,1,27
fine,0.002836,2,150
beyond,0.002836,2,187
vulnerable,0.002795,1,30
someplace,0.002749,1,27
kitchen,0.002749,1,55
belief,0.002688,2,290
pull,0.002678,3,329
experiential,0.002663,1,28
unhealthy,0.002663,1,35
overall,0.002623,1,27
topic,0.002622,3,270
place,0.002599,16,1613
yesterday,0.002589,2,166
surround,0.002584,1,35
fixate,0.002584,1,46
spectrum,0.002547,1,45
arrow,0.002547,1,131
hour,0.002532,2,200
apparently,0.002477,1,43
lock,0.002444,1,71
stress,0.002405,2,303
softness,0.002381,1,38
exact,0.002381,1,39
western,0.002381,1,64
hop,0.002381,1,38
nothing,0.002354,4,485
exploration,0.002351,1,50
hurry,0.002322,1,81
stressful,0.002322,1,53
within,0.002317,4,541
universal,0.002294,1,56
peacefully,0.002294,1,49
burden,0.002294,1,46
carry,0.002271,2,213
deny,0.002267,1,46
philosophy,0.002267,1,52
birth,0.002267,1,60
neck,0.002240,1,55
reactive,0.002240,1,64
straight,0.002214,1,51
greet,0.002214,1,71
basis,0.002214,1,59
statement,0.002189,1,62
collapse,0.002165,1,55
solid,0.002165,1,69
release,0.002160,2,299
relax,0.002152,6,1265
involve,0.002145,3,429
friendliness,0.002141,1,178
inherent,0.002141,1,65
gravity,0.002117,1,52
strike,0.002117,1,57
kindly,0.002095,1,62
distance,0.002051,1,62
analogy,0.002051,1,60
change,0.002013,5,1444
distress,0.002009,1,87
identity,0.001968,1,162
aware,0.001934,3,634
space,0.001934,3,715
draw,0.001930,1,95
throw,0.001930,1,98
idea,0.001918,9,1650
slightly,0.001911,1,65
news,0.001911,1,77
country,0.001911,1,97
wrong,0.001902,2,335
engage,0.001889,2,332
curious,0.001857,1,94
oppose,0.001857,1,87
except,0.001857,1,74
particularly,0.001857,1,93
consider,0.001849,2,288
soften,0.001849,3,555
flavor,0.001840,1,81
capacity,0.001798,2,405
factor,0.001790,1,125
partly,0.001774,1,86
buddhism,0.001748,2,543
specific,0.001727,1,93
project,0.001727,1,106
pas,0.001697,1,95
phenomenon,0.001697,1,105
represent,0.001697,1,107
desire,0.001675,2,769
rhythm,0.001668,1,111
contribute,0.001668,1,105
onto,0.001668,1,96
pause,0.001654,1,198
characteristic,0.001640,1,192
wave,0.001640,1,162
react,0.001626,1,100
background,0.001612,1,115
circle,0.001599,1,153
sense,0.001576,26,2996
angry,0.001573,1,181
suggest,0.001573,1,91
identify,0.001560,1,149
metaphor,0.001560,1,153
low,0.001522,1,141
encourage,0.001510,1,124
couldn't,0.001510,1,109
gaze,0.001486,1,159
doe,0.001478,4,882
tight,0.001474,1,140
door,0.001474,1,155
conversation,0.001451,1,196
almost,0.001442,3,566
land,0.001418,1,167
preoccupation,0.001418,1,215
directly,0.001396,1,117
allow,0.001386,7,1537
appropriate,0.001364,1,175
inside,0.001359,2,450
focus,0.001349,2,608
grow,0.001329,2,511
orientation,0.001294,1,226
peaceful,0.001290,2,418
general,0.001285,1,170
lie,0.001275,1,174
context,0.001275,1,194
necessarily,0.001266,1,153
ready,0.001248,1,183
powerful,0.001238,1,167
ask,0.001223,2,699
familiar,0.001220,1,183
bear,0.001168,1,240
care,0.001159,4,1655
ever,0.001152,1,187
state,0.001150,2,850
meditate,0.001132,2,518
always,0.001130,3,744
foot,0.001119,1,235
upon,0.001119,1,207
value,0.001119,1,229
someone,0.001114,2,640
degree,0.001095,1,235
soft,0.001065,1,248
delight,0.001057,1,298
concern,0.001042,1,281
especially,0.001020,1,206
tomorrow,0.001006,1,191
experience,0.001006,10,3143
situation,0.000999,1,331
