word,tfidf_score,talk_frequency,global_frequency
sidewalk,0.048308,14,19
chapter,0.043407,15,31
hole,0.034546,14,37
street,0.021364,12,84
bypassing,0.019825,6,70
warm-heartedness,0.016903,6,50
fault,0.015334,7,43
clark,0.014705,9,281
diana,0.013337,9,331
avoid,0.012855,9,122
walk,0.012759,14,278
questioner,0.010804,6,228
spiritual,0.010726,11,555
autobiography,0.010352,3,7
yeah,0.009711,12,767
pretend,0.009687,4,21
portia,0.009487,2,2
operationalize,0.009487,2,2
tara,0.009487,2,2
avoidance,0.008935,3,13
kitten,0.008681,3,16
hiding,0.008452,3,19
nelson,0.008373,2,4
absolutely,0.006964,4,64
helpless,0.006901,2,6
poem,0.006830,5,393
fall,0.006724,7,195
oh,0.006631,18,1322
uncomfortable,0.006541,5,194
confusion,0.006379,3,55
chill,0.006361,2,8
concentrated,0.006278,4,85
uncomplicated,0.006146,2,13
stick,0.005804,3,66
honor,0.005733,3,56
disconnection,0.005495,2,20
forever,0.005465,3,68
relaxing,0.005459,7,364
imaginary,0.005366,2,18
disconnect,0.005247,2,25
phrase,0.005188,4,175
distract,0.004935,2,29
strategy,0.004757,2,31
legitimizes,0.004743,1,1
brach's,0.004743,1,1
brach,0.004743,1,1
aww,0.004743,1,1
mini,0.004743,1,1
uneasy,0.004743,1,1
anxiety,0.004663,3,91
tonight,0.004618,3,99
later,0.004230,5,215
aloofness,0.004187,1,2
fallout,0.004187,1,2
kerfuffle,0.004187,1,2
dogmatism,0.004187,1,4
fundamentalism,0.004187,1,4
censored,0.004187,1,2
clinging,0.004168,5,428
avoiding,0.004134,2,40
jump,0.004134,2,39
view,0.004046,5,631
recognize,0.004031,6,404
equanimous,0.004023,2,75
sad,0.004023,2,52
cushion,0.003992,3,115
solve,0.003919,2,59
sudden,0.003870,2,62
chogyam,0.003861,1,3
trungpa,0.003861,1,8
coined,0.003861,1,3
metabolize,0.003861,1,5
grandkids,0.003861,1,3
rejected,0.003861,1,3
lazy,0.003861,1,3
intellectualization,0.003861,1,3
lead,0.003756,4,363
difficult,0.003729,5,323
shield,0.003630,1,4
coldness,0.003630,1,4
warm-hearted,0.003630,1,4
problem,0.003592,4,292
comment,0.003582,3,182
finally,0.003525,3,148
perfectly,0.003521,2,61
coworker,0.003451,1,5
clever,0.003451,1,9
facilitate,0.003451,1,8
holding,0.003436,5,377
wish,0.003433,6,450
turn,0.003407,6,457
neither,0.003336,2,77
isn't,0.003334,5,390
yard,0.003304,1,12
finance,0.003304,1,6
mitta,0.003304,1,13
superior,0.003304,1,9
deep,0.003252,11,1007
deal,0.003235,2,72
gross,0.003180,1,10
kalyana,0.003180,1,15
lovable,0.003180,1,24
fool,0.003180,1,28
group,0.003157,3,244
resistance,0.003079,2,120
preventing,0.003073,1,12
arguing,0.003073,1,10
dig,0.003073,1,20
effort,0.003062,3,326
emotion,0.003051,4,379
using,0.003028,4,270
immediately,0.003020,2,76
dread,0.002978,1,18
defense,0.002978,1,10
requirement,0.002978,1,12
coach,0.002978,1,15
habit,0.002964,2,113
discomfort,0.002964,2,127
suttas,0.002909,2,171
generalization,0.002894,1,16
pace,0.002894,1,14
promoting,0.002894,1,12
puppy,0.002894,1,16
classical,0.002894,1,10
radio,0.002894,1,19
helpful,0.002853,4,561
loneliness,0.002817,1,28
metta,0.002756,2,445
passage,0.002747,1,32
blowing,0.002747,1,21
behind,0.002734,3,184
angry,0.002732,2,174
mechanism,0.002683,1,15
sophisticated,0.002683,1,16
realize,0.002634,3,221
existential,0.002624,1,27
tricky,0.002624,1,19
playful,0.002624,1,20
pop,0.002624,1,21
heard,0.002615,3,297
invitation,0.002594,2,132
short,0.002572,2,115
reading,0.002572,2,108
fix,0.002572,2,149
trigger,0.002568,1,17
integrated,0.002568,1,39
intellectual,0.002568,1,21
could,0.002539,12,1418
evocative,0.002516,1,17
tightly,0.002516,1,29
difficulty,0.002509,2,211
saying,0.002478,5,651
fist,0.002468,1,54
explanation,0.002468,1,22
believe,0.002392,3,278
bound,0.002378,1,21
real,0.002374,3,225
here's,0.002369,2,160
fine,0.002350,2,148
respect,0.002350,2,189
uncommon,0.002337,1,24
retreat,0.002305,3,386
finished,0.002298,1,24
email,0.002298,1,30
concentration,0.002294,2,223
sent,0.002260,1,31
figure,0.002258,2,177
supposed,0.002240,2,137
collapse,0.002225,1,27
compassion,0.002188,3,634
use,0.002185,5,568
recommend,0.002158,1,28
equanimity,0.002154,2,458
anger,0.002138,2,345
you've,0.002124,3,345
imc,0.002121,2,158
practitioner,0.002105,2,195
ready,0.002105,2,175
hall,0.002096,1,46
moral,0.002096,1,72
heat,0.002096,1,39
acceptance,0.002096,1,65
happening,0.002087,6,915
question,0.002081,4,825
praise,0.002067,1,48
agree,0.002067,1,33
common,0.002041,2,164
mindfulness,0.002019,5,928
resource,0.002011,1,48
baby,0.002011,1,64
sadness,0.001985,1,59
getting,0.001965,5,537
realizing,0.001960,1,43
religious,0.001960,1,71
commitment,0.001960,1,56
option,0.001960,1,46
disconnected,0.001935,1,57
sort,0.001921,2,269
emotional,0.001907,2,222
harmful,0.001888,1,74
whereas,0.001865,1,46
send,0.001865,1,48
briefly,0.001865,1,51
connection,0.001864,2,207
balanced,0.001843,1,73
upset,0.001843,1,46
acknowledge,0.001843,1,60
relationship,0.001826,3,484
beautiful,0.001826,3,538
lost,0.001823,2,242
slight,0.001822,1,49
work,0.001812,6,977
allow,0.001807,5,602
decade,0.001801,1,48
settledness,0.001780,1,75
compassionate,0.001780,1,66
they'll,0.001760,1,53
psychological,0.001722,1,69
message,0.001722,1,65
bringing,0.001692,2,229
differently,0.001668,1,54
big,0.001664,3,461
underneath,0.001651,1,86
driving,0.001651,1,75
i'd,0.001651,3,426
long,0.001639,5,589
apply,0.001634,1,70
radical,0.001634,1,82
sure,0.001631,2,247
i'll,0.001624,6,831
setting,0.001617,1,74
grief,0.001601,1,132
mountain,0.001601,1,107
order,0.001595,2,232
fire,0.001585,1,135
social,0.001570,1,112
support,0.001558,4,720
kid,0.001554,1,97
read,0.001525,2,311
settle,0.001524,3,570
meditate,0.001514,2,261
terrible,0.001510,1,120
spot,0.001510,1,115
certain,0.001501,4,604
picture,0.001496,1,117
you'd,0.001496,1,77
naturally,0.001496,1,81
imagining,0.001496,1,76
matter,0.001492,2,278
element,0.001482,1,183
yes,0.001459,2,380
huge,0.001455,1,99
shouldn't,0.001455,1,92
build,0.001428,1,89
show,0.001416,2,371
embodied,0.001403,1,119
actually,0.001391,6,1065
