word,tfidf_score,talk_frequency,global_frequency
socrates,0.047386,47,50
stephen,0.033729,42,56
greek,0.032694,42,50
ethic,0.030907,61,140
batchelor,0.026545,28,36
flourish,0.017904,23,31
book,0.011075,40,248
virtue,0.009875,19,106
ethical,0.009629,25,195
philosopher,0.008710,14,34
euripides,0.007428,6,6
precept,0.007098,12,93
india,0.006506,13,77
athens,0.006190,5,5
arendt,0.006190,5,5
framework,0.005733,10,47
sutra,0.005179,6,14
audience,0.005083,9,137
plato,0.005041,5,8
central,0.005019,11,73
buddhist,0.004987,45,815
playwright,0.004952,4,4
heidegger,0.004952,4,4
waldorf,0.004952,4,4
buddhism,0.004730,24,515
society,0.004622,12,132
harm,0.004604,16,422
non-harming,0.004560,9,70
soldier,0.004507,5,12
lay,0.004465,13,141
question,0.004357,32,835
upbringing,0.004316,5,11
secular,0.004310,6,76
rob,0.004280,7,36
century,0.004208,7,36
bc,0.004033,4,6
men,0.004013,7,61
conversation,0.003953,12,177
lead,0.003931,21,527
follower,0.003892,5,26
comic,0.003714,3,3
alexander,0.003714,3,3
war,0.003690,8,74
writer,0.003682,5,22
philosophical,0.003668,6,37
member,0.003668,9,171
passage,0.003591,5,32
gil,0.003590,27,411
write,0.003550,15,238
host,0.003508,5,25
community,0.003507,12,355
case,0.003343,11,167
morality,0.003324,4,15
guideline,0.003324,4,15
particularly,0.003292,8,86
violence,0.003292,6,62
moral,0.003292,6,72
victorian,0.003279,3,4
frankly,0.003279,3,4
betsy,0.003279,3,4
thinker,0.003212,4,13
fronsdal,0.003182,17,270
engage,0.003180,15,319
figure,0.003175,12,218
monastic,0.003159,7,107
school,0.003125,7,95
evidence,0.003111,5,49
philosophy,0.003079,6,49
dialogue,0.003026,4,18
vivid,0.003025,3,5
read,0.002978,17,421
canon,0.002957,5,53
buddha,0.002939,38,1777
tradition,0.002922,13,330
mahayana,0.002873,4,18
famous,0.002866,5,30
honest,0.002863,6,65
contemporary,0.002806,4,27
justice,0.002744,4,19
suzuki,0.002744,4,25
rational,0.002744,4,20
covid,0.002704,3,8
date,0.002704,3,9
sri,0.002704,3,13
respond,0.002702,8,154
contemplative,0.002686,4,40
monk,0.002671,7,212
basically,0.002651,6,94
christian,0.002632,4,33
blind,0.002632,4,25
broadly,0.002590,3,10
ad,0.002590,3,9
theory,0.002582,4,59
eightfold,0.002566,5,83
religious,0.002566,5,71
intuition,0.002534,4,22
found,0.002493,3,14
england,0.002493,3,10
account,0.002489,4,28
embodiment,0.002489,4,27
hellenistic,0.002476,2,2
skeptic,0.002476,2,2
rhys,0.002476,2,2
legalistic,0.002476,2,2
abhidhamma,0.002476,2,2
slumber,0.002476,2,2
appamada,0.002476,2,2
cody,0.002476,2,2
afghanistan,0.002476,2,2
pakistan,0.002476,2,2
democritus,0.002476,2,2
animism,0.002476,2,2
darlene,0.002476,2,2
dunker,0.002476,2,2
diogenes,0.002476,2,2
laertius,0.002476,2,2
tragedian,0.002476,2,2
fleshly,0.002476,2,2
early,0.002452,13,287
spirituality,0.002446,4,41
zen,0.002399,6,136
pali,0.002277,9,218
chapter,0.002269,3,31
principle,0.002232,5,122
inform,0.002226,4,35
live,0.002220,32,1127
parallel,0.002209,3,13
tragic,0.002209,3,14
unpredictable,0.002186,2,5
arguably,0.002186,2,3
greece,0.002186,2,3
renunciant,0.002186,2,3
clear-cut,0.002186,2,3
abortion,0.002186,2,3
shantideva,0.002186,2,3
intermingle,0.002186,2,3
quite,0.002177,27,686
sensibility,0.002155,3,18
mystery,0.002155,3,18
integrate,0.002135,4,62
interaction,0.002135,4,39
crisis,0.002105,3,31
issue,0.002096,6,110
probably,0.002082,13,343
although,0.002079,4,43
study,0.002078,7,175
seem,0.002050,17,478
noble,0.002044,6,264
term,0.002039,8,262
reference,0.002027,6,143
half,0.002018,5,97
copy,0.002016,2,4
hypothetical,0.002016,2,4
theater,0.002016,2,5
socratic,0.002016,2,5
succinct,0.002016,2,4
dilemma,0.002016,2,4
alien,0.002016,2,6
bogged,0.002016,2,7
enable,0.002015,3,18
kill,0.001954,4,121
likewise,0.001936,3,29
path,0.001922,12,796
agree,0.001909,4,54
traditional,0.001900,3,25
roshi,0.001900,3,29
scholarly,0.001896,2,6
unlikely,0.001896,2,5
terribly,0.001896,2,6
korea,0.001896,2,10
chip,0.001896,2,7
educate,0.001896,2,5
least,0.001879,8,202
political,0.001866,3,34
human,0.001839,15,541
raise,0.001825,4,58
engagement,0.001805,4,53
nietzsche,0.001803,2,6
probe,0.001803,2,8
lanka,0.001803,2,9
fuzzy,0.001803,2,6
whereby,0.001803,2,6
agnes,0.001803,2,6
callard,0.001803,2,8
primary,0.001795,6,158
totally,0.001786,4,92
situation,0.001785,8,316
thread,0.001774,3,53
woman,0.001767,4,170
difficult,0.001748,9,325
actual,0.001731,4,82
situational,0.001726,2,8
impress,0.001726,2,9
tibetan,0.001694,3,48
primarily,0.001694,3,29
embrace,0.001694,3,59
ancient,0.001689,5,141
set,0.001685,9,310
wonder,0.001661,5,139
speak,0.001648,9,422
hi,0.001646,3,36
curious,0.001630,4,93
rule,0.001623,3,57
judgment,0.001620,5,178
translate,0.001620,7,243
david,0.001606,2,16
amongst,0.001606,2,10
actually,0.001604,26,1070
fact,0.001600,8,235
record,0.001599,6,118
suffer,0.001580,16,1632
frame,0.001580,3,43
well,0.001577,34,1325
cause,0.001565,8,374
asia,0.001557,2,12
clue,0.001557,2,10
doctrine,0.001557,2,18
china,0.001557,2,23
picture,0.001555,4,118
understand,0.001553,24,1194
yet,0.001552,6,237
value,0.001529,6,214
attempt,0.001520,3,37
character,0.001520,3,48
dimension,0.001520,3,56
example,0.001519,9,367
uncertain,0.001513,2,14
gaza,0.001513,2,11
fruitful,0.001513,2,12
puzzle,0.001513,2,71
far,0.001487,8,355
sort,0.001484,6,276
west,0.001483,3,54
skill,0.001483,3,67
answer,0.001473,6,245
drama,0.001473,2,15
would,0.001472,44,1958
recent,0.001437,2,13
ancestor,0.001437,2,19
distant,0.001437,2,19
he'll,0.001437,2,19
hint,0.001437,2,14
raw,0.001437,2,14
unfortunately,0.001437,2,16
perspective,0.001434,4,191
model,0.001431,3,75
main,0.001431,3,59
meet,0.001416,10,600
describe,0.001410,7,273
delight,0.001409,6,291
comparable,0.001403,2,15
aspire,0.001403,2,17
virtuous,0.001403,2,28
overlap,0.001403,2,17
battle,0.001403,2,38
concrete,0.001403,2,16
overly,0.001403,2,19
paradox,0.001403,2,19
old,0.001395,5,200
train,0.001384,5,299
strike,0.001384,3,57
reify,0.001372,2,22
secret,0.001372,2,18
absolutely,0.001369,3,64
compare,0.001369,3,76
ask,0.001362,10,667
somehow,0.001356,9,311
encourage,0.001351,4,120
though,0.001349,7,233
vow,0.001343,2,29
indian,0.001343,2,24
modern,0.001339,3,75
recently,0.001339,3,55
wake,0.001318,4,121
preserve,0.001316,2,22
board,0.001316,2,25
inquiry,0.001316,2,26
fight,0.001312,3,103
active,0.001312,3,63
helpful,0.001310,7,562
wouldn't,0.001307,4,128
didn't,0.001305,9,507
age,0.001298,3,77
refuge,0.001298,3,171
sensitivity,0.001298,3,95
fortunate,0.001291,2,27
whatsoever,0.001291,2,19
relation,0.001291,2,32
embed,0.001291,2,27
education,0.001291,2,75
struggle,0.001285,3,67
ever,0.001274,5,180
duty,0.001267,2,36
precisely,0.001267,2,22
outcome,0.001267,2,37
dead,0.001267,2,28
spiritual,0.001265,5,557
wisdom,0.001263,7,537
country,0.001259,3,94
clearly,0.001254,7,387
bookshop,0.001238,1,1
audiobook,0.001238,1,1
synthesis,0.001238,1,1
wide-ranging,0.001238,1,1
memoir,0.001238,1,1
stoicism,0.001238,1,1
epicureanism,0.001238,1,1
stoic,0.001238,1,1
epicurean,0.001238,1,1
scholarship,0.001238,1,1
gombrich,0.001238,1,1
heinz,0.001238,1,1
bechert,0.001238,1,1
persuasively,0.001238,1,1
bce,0.001238,1,1
21st-century,0.001238,1,1
proficient,0.001238,1,1
epistemology,0.001238,1,1
ontology,0.001238,1,1
optimally,0.001238,1,1
sole,0.001238,1,1
primacy,0.001238,1,1
sophrosyne,0.001238,1,1
moderation,0.001238,1,1
clear-thinking,0.001238,1,1
organically,0.001238,1,1
dikaiosyne,0.001238,1,1
samana,0.001238,1,1
sarvastivada,0.001238,1,1
tidily,0.001238,1,1
underpin,0.001238,1,1
eudaimonia,0.001238,1,1
incoherent,0.001238,1,1
democratic,0.001238,1,1
gadfly,0.001238,1,1
dialogical,0.001238,1,1
xenophon,0.001238,1,1
thucydides,0.001238,1,1
mouthpiece,0.001238,1,1
counter-image,0.001238,1,1
jeta,0.001238,1,1
enumerate,0.001238,1,1
gahapati,0.001238,1,1
township,0.001238,1,1
paucity,0.001238,1,1
simplistically,0.001238,1,1
rohingyas,0.001238,1,1
tamil,0.001238,1,1
brian,0.001238,1,1
islamic,0.001238,1,1
lankans,0.001238,1,1
vipula,0.001238,1,1
unruly,0.001238,1,1
prod,0.001238,1,1
legalism,0.001238,1,1
over-negated,0.001238,1,1
victorian-type,0.001238,1,1
mel,0.001238,1,1
weitsman,0.001238,1,1
herodotus,0.001238,1,1
historian,0.001238,1,1
persia,0.001238,1,1
indus,0.001238,1,1
gandhara,0.001238,1,1
settler,0.001238,1,1
persian,0.001238,1,1
northwest,0.001238,1,1
milinda,0.001238,1,1
menander,0.001238,1,1
nagasena,0.001238,1,1
pyrrho,0.001238,1,1
heleno-buddhist,0.001238,1,1
maharashtra,0.001238,1,1
karli,0.001238,1,1
meager,0.001238,1,1
operationalizing,0.001238,1,1
hardcore,0.001238,1,1
pantheon,0.001238,1,1
schematic,0.001238,1,1
shaman,0.001238,1,1
mexico,0.001238,1,1
orphic,0.001238,1,1
eleusinian,0.001238,1,1
bacchae,0.001238,1,1
shamanic,0.001238,1,1
confucianism,0.001238,1,1
adequately,0.001238,1,1
lamrim,0.001238,1,1
reassess,0.001238,1,1
comprehensive,0.001238,1,1
meno,0.001238,1,1
scrupulously,0.001238,1,1
bodhicaryavatara,0.001238,1,1
collage,0.001238,1,1
20th-century,0.001238,1,1
look-in,0.001238,1,1
3rd-century,0.001238,1,1
citation,0.001238,1,1
aristophanes,0.001238,1,1
tackle,0.001238,1,1
nitty-gritty,0.001238,1,1
long-ago,0.001238,1,1
emblematic,0.001238,1,1
college-age,0.001238,1,1
weirdly,0.001238,1,1
somewhat,0.001235,3,68
young,0.001225,4,162
perform,0.001223,2,28
necessary,0.001223,3,67
play,0.001210,5,271
appropriate,0.001206,4,170
kid,0.001188,3,104
inhabit,0.001183,2,31
jhanas,0.001183,2,57
develop,0.001174,6,354
i'd,0.001169,8,426
core,0.001166,3,128
weak,0.001164,2,36
sorry,0.001164,2,29
dive,0.001164,2,29
self,0.001157,6,1128
detail,0.001155,3,105
source,0.001151,4,340
concern,0.001149,5,269
incredibly,0.001147,2,33
culture,0.001135,3,135
argue,0.001129,2,32
page,0.001129,2,31
spectrum,0.001129,2,43
reject,0.001129,2,43
conceptual,0.001129,2,36
base,0.001125,4,212
