word,tfidf_score,talk_frequency,global_frequency
self,0.034637,44,1140
global,0.017543,8,74
over-concern,0.015383,3,3
not-self,0.013037,7,162
tower,0.011582,5,44
within,0.010611,20,533
tension,0.010521,15,608
preoccupation,0.010436,8,207
rumination,0.010171,4,46
camera,0.010000,3,11
anxious,0.009266,4,35
refuge,0.009028,5,171
broad,0.008625,6,121
alternative,0.007434,5,119
profound,0.007356,6,215
generative,0.007163,2,10
stability,0.007070,5,169
boy,0.006949,3,44
photograph,0.006897,2,9
anxiety,0.006680,4,93
magnet,0.006667,2,16
feed,0.006494,3,49
latch,0.006463,2,11
control,0.005858,5,279
consume,0.005829,2,16
ground,0.005560,5,221
solidity,0.005471,2,26
gum,0.005128,1,1
earth-like,0.005128,1,1
over-preoccupied,0.005128,1,1
gloomy,0.005128,1,1
turtle,0.005128,1,1
intuition,0.005086,2,25
spot,0.004917,3,116
soft,0.004878,5,246
deep,0.004772,26,1709
intelligence,0.004771,2,120
concern,0.004739,5,278
source,0.004686,4,355
shift,0.004665,7,465
tense,0.004658,3,127
culture,0.004658,3,138
fee,0.004568,2,41
residency,0.004529,1,2
tension-free,0.004529,1,2
appropriateness,0.004529,1,2
selfies,0.004529,1,2
over-preoccupation,0.004529,1,2
confusion,0.004505,2,58
valuable,0.004423,3,97
presence,0.004319,4,216
son,0.004274,2,95
manifest,0.004221,2,47
clothe,0.004221,2,50
over-identify,0.004180,1,3
inordinate,0.004180,1,3
negate,0.004180,1,4
place,0.004140,28,1599
edge,0.004105,3,175
fair,0.004071,2,45
conceit,0.004071,2,70
who'd,0.003931,1,5
shell,0.003931,1,4
rush,0.003889,2,58
motivation,0.003847,2,75
settledness,0.003847,2,76
medium,0.003805,2,82
multifaceted,0.003739,1,6
porous,0.003739,1,5
fierce,0.003739,1,6
perfectionism,0.003739,1,6
overemphasis,0.003739,1,7
negative,0.003611,2,79
overemphasize,0.003582,1,8
approve,0.003582,1,7
narrow,0.003504,2,87
operate,0.003488,3,257
ecosystem,0.003449,1,8
foible,0.003449,1,18
ahead,0.003437,2,77
location,0.003404,2,87
stress,0.003336,3,294
parcel,0.003333,1,8
thinker,0.003333,1,13
overdo,0.003333,1,9
glue,0.003333,1,9
president,0.003333,1,14
home,0.003287,4,259
social,0.003278,2,124
experiencer,0.003232,1,11
conceited,0.003232,1,10
follower,0.003232,1,26
pose,0.003232,1,9
darken,0.003232,1,10
contentment,0.003219,2,294
picture,0.003219,2,120
core,0.003190,2,130
complicate,0.003190,2,88
calm,0.003187,5,810
bridge,0.003141,1,11
involvement,0.003141,1,13
amazingly,0.003141,1,10
strength,0.003133,2,99
society,0.003133,2,136
awareness,0.003101,7,1263
desire,0.003082,4,743
cross-legged,0.003059,1,13
locus,0.003059,1,27
preoccupy,0.003052,2,121
gentle,0.003034,3,267
aversion,0.003012,3,484
torso,0.002999,2,118
self-concern,0.002984,1,19
nearby,0.002984,1,12
hint,0.002984,1,14
odd,0.002984,1,15
comfortable,0.002948,3,215
suffuse,0.002914,1,31
swirl,0.002914,1,15
doer,0.002791,1,25
nourish,0.002782,2,127
perpetuate,0.002735,1,20
thailand,0.002735,1,25
prioritize,0.002683,1,32
psychologist,0.002683,1,17
complexity,0.002683,1,26
mine,0.002651,2,232
depression,0.002587,1,28
precious,0.002587,1,25
ease,0.002550,4,551
create,0.002549,5,538
wife,0.002543,1,39
inside,0.002493,4,441
