word,tfidf_score,talk_frequency,global_frequency
opinion,0.025066,17,115
mine,0.024966,25,228
self,0.017380,29,1124
emerge,0.016631,8,36
yielding,0.015627,5,10
annoyance,0.015446,6,12
emergence,0.013966,5,11
not-self,0.013792,10,162
annoyed,0.013373,5,11
generalization,0.011713,5,16
seat,0.011107,9,105
emerging,0.010699,4,11
pass,0.010394,5,23
magnet,0.009950,4,16
qualify,0.009376,3,5
knee,0.009281,6,72
yield,0.008815,3,6
convention,0.008024,3,15
soul,0.007990,4,40
sleep,0.007734,5,55
philosophical,0.007567,4,37
catholic,0.007463,3,14
stress,0.007030,8,232
alternative,0.006875,6,107
direct,0.006815,8,199
craving,0.006520,6,250
thursday,0.006516,3,18
quagmire,0.006251,2,4
qualifies,0.006251,2,4
locked,0.005992,3,38
concept,0.005846,6,242
volunteer,0.005675,3,37
basketball,0.005586,2,9
hall,0.005090,3,46
glass,0.005090,3,56
worker,0.004975,2,16
no-self,0.004975,2,9
stressful,0.004885,3,49
sat,0.004843,4,70
caught,0.004830,8,358
aid,0.004822,2,15
player,0.004822,2,18
arose,0.004699,3,49
regarding,0.004685,2,13
concerned,0.004667,4,95
statement,0.004640,3,57
disappearing,0.004561,2,19
overlay,0.004448,2,29
exists,0.004323,3,51
existential,0.004247,2,27
cheek,0.004247,2,22
door,0.004061,4,146
wouldn't,0.004028,4,128
deal,0.003928,3,72
heal,0.003921,2,33
liberal,0.003840,1,1
insightworldaid,0.003840,1,1
rahm,0.003840,1,1
coordinator,0.003840,1,1
broach,0.003840,1,1
dissipating,0.003840,1,1
nuisance,0.003840,1,1
birkenstocks,0.003840,1,1
not-soul,0.003840,1,1
phenomenologist,0.003840,1,1
stats,0.003840,1,1
inhibited,0.003840,1,1
insomniac,0.003840,1,1
not-sleeping,0.003840,1,1
cured,0.003840,1,1
house,0.003775,3,114
wonderful,0.003761,9,475
belief,0.003744,4,280
reasonable,0.003660,2,29
favor,0.003660,2,25
problem,0.003634,5,292
taught,0.003627,4,162
announcement,0.003602,2,31
