word,tfidf_score,talk_frequency,global_frequency
extra,0.054811,34,181
simplicity,0.027385,18,262
mine,0.024846,17,232
baggage,0.021383,6,16
opinion,0.021211,10,120
add,0.019948,17,289
not-self,0.018485,9,162
hike,0.018414,7,51
self,0.018230,21,1140
suitcase,0.017342,4,8
top,0.014987,11,180
backpack,0.013827,3,6
two-hour,0.011309,2,2
blower,0.011309,2,2
crave,0.010825,7,277
swim,0.010522,4,40
innocent,0.009936,4,44
layer,0.009427,4,62
conceit,0.008979,4,70
selfishness,0.008671,2,5
emphasize,0.007636,6,169
pristine,0.007606,2,8
doctrine,0.006927,2,19
self-concern,0.006580,2,19
concrete,0.006287,2,17
self-preoccupation,0.006033,2,24
simple,0.005843,11,721
soul,0.005809,2,41
radical,0.005797,3,85
tack,0.005654,1,1
thru-hikes,0.005654,1,1
ounce,0.005654,1,1
boot,0.005654,1,1
mire,0.005654,1,1
self-consumed,0.005654,1,1
opinionatedness,0.005654,1,1
self-study,0.005654,1,1
bell,0.005630,3,110
oppose,0.005577,3,87
selfish,0.005427,2,30
disturb,0.005427,2,30
reduce,0.005109,2,34
goal-oriented,0.004995,1,6
hugely,0.004995,1,2
autonomous,0.004995,1,2
50-60,0.004995,1,2
luggage,0.004995,1,3
quicksand,0.004995,1,2
hall,0.004968,2,47
judge,0.004961,3,113
carry,0.004626,4,206
posit,0.004609,1,3
raincoat,0.004609,1,3
low,0.004602,3,140
virtual,0.004335,1,5
gear,0.004335,1,4
excessively,0.004335,1,4
idea,0.004296,20,1638
strong,0.004218,6,454
concept,0.004216,3,259
accountable,0.004123,1,10
self-referencing,0.004123,1,5
possessiveness,0.004123,1,7
suffer,0.004029,9,1695
umbrella,0.003950,1,7
leaf,0.003903,2,65
abstraction,0.003803,1,22
pound,0.003676,1,11
i-am-ness,0.003676,1,11
stickiness,0.003676,1,14
nothing,0.003594,6,479
inch,0.003564,1,10
contingent,0.003564,1,12
core,0.003518,2,130
complicate,0.003518,2,88
understand,0.003476,12,1224
term,0.003469,3,265
thigh,0.003464,1,10
shoulder,0.003444,3,211
past,0.003395,3,227
pile,0.003373,1,19
pack,0.003373,1,14
