word,tfidf_score,talk_frequency,global_frequency
dukkha,0.052339,70,415
pause,0.031952,35,201
tangle,0.026320,15,43
sigh,0.024176,11,16
disentangle,0.017582,8,15
ode,0.012540,4,4
strategize,0.012540,4,4
efficient,0.010989,5,12
diana,0.009598,10,372
clark,0.009438,9,312
story-making,0.008967,5,18
discomfort,0.008712,9,135
questioner,0.008008,7,258
untangle,0.007943,4,15
sweetheart,0.007943,4,19
cord,0.007681,3,6
knot,0.007591,5,43
noble,0.007414,9,283
x,0.007019,4,27
blah,0.006352,3,22
cat,0.006272,4,42
headphone,0.006270,2,2
perception,0.006178,6,212
optional,0.006142,3,15
surrender,0.005806,4,81
unavoidable,0.005545,2,3
moonlight,0.005545,2,3
island,0.005506,3,32
truth,0.005266,9,536
soap,0.005121,2,7
afraid,0.005012,5,117
instead,0.004923,12,478
lofty,0.004820,2,5
small,0.004721,12,417
awful,0.004704,3,37
signal,0.004704,3,23
honor,0.004623,4,84
nobel,0.004586,2,6
ball,0.004555,3,39
bodily,0.004530,4,110
thread,0.004418,3,55
momentum,0.004398,4,91
notice,0.004306,19,1251
dismiss,0.004293,3,40
uncomfortable,0.004215,5,211
prize,0.004095,2,11
edge,0.004088,5,182
wordless,0.003861,2,14
pay,0.003786,6,235
shouldn't,0.003775,4,100
disrupt,0.003762,2,14
tiny,0.003739,3,53
solve,0.003617,3,80
respect,0.003479,5,241
rosemary,0.003437,2,36
doorway,0.003437,2,17
dismissive,0.003370,2,21
cessation,0.003306,2,48
fix,0.003266,5,292
okay,0.003229,14,1205
wahtola,0.003190,2,31
trommer,0.003190,2,35
dish,0.003136,2,27
denseness,0.003135,1,1
pessimism,0.003135,1,1
refusal,0.003135,1,1
plaster,0.003135,1,1
peer-reviewed,0.003135,1,1
denigrate,0.003135,1,1
terribleness,0.003135,1,1
30-second,0.003135,1,1
intensification,0.003135,1,1
re-feel,0.003135,1,1
chastise,0.003135,1,1
beautifulness,0.003135,1,1
sound,0.003120,7,508
agenda,0.003085,2,24
analyze,0.003085,2,33
top,0.003057,4,183
aversion,0.003048,5,495
protest,0.002990,2,34
contraction,0.002981,3,93
contentment,0.002981,3,295
story,0.002978,9,1137
pull,0.002963,6,338
peace,0.002934,9,664
absolute,0.002903,2,31
speed,0.002903,2,31
smooth,0.002903,2,37
colleague,0.002862,2,36
root,0.002807,3,151
true,0.002787,6,423
song,0.002784,2,51
gotta,0.002772,1,2
tinker,0.002772,1,2
tactic,0.002772,1,2
commentator,0.002772,1,2
efficiency,0.002772,1,2
prestigious,0.002772,1,2
10-second,0.002772,1,2
acceptance,0.002748,2,68
reality,0.002739,3,126
poem,0.002716,3,411
hop,0.002678,2,38
often,0.002669,17,1135
immediate,0.002645,2,48
wrong,0.002642,5,346
tightness,0.002630,3,119
crave,0.002610,3,285
suffer,0.002582,11,1751
sorrow,0.002581,2,52
mildly,0.002560,1,3
amplify,0.002560,1,3
luckily,0.002560,1,3
slice,0.002560,1,3
impede,0.002560,1,4
sentence,0.002551,2,48
intense,0.002493,2,53
accept,0.002490,3,151
unpack,0.002438,2,59
obvious,0.002434,3,152
jaw,0.002411,2,51
deceptively,0.002410,1,4
worldwide,0.002410,1,4
sensitize,0.002410,1,4
prisoner,0.002410,1,5
rid,0.002327,3,181
war,0.002311,2,77
avoid,0.002310,3,186
insistence,0.002293,1,8
prolong,0.002293,1,5
heartbeat,0.002293,1,7
maximize,0.002293,1,6
breakthrough,0.002293,1,7
blossom,0.002293,1,5
lifespan,0.002293,1,12
fear,0.002291,5,539
absolutely,0.002265,2,69
subtle,0.002262,4,384
power,0.002260,3,227
already,0.002232,4,272
disconnect,0.002220,2,100
recently,0.002199,2,63
tweak,0.002198,1,6
insert,0.002198,1,7
self-preoccupied,0.002198,1,6
brand,0.002198,1,8
idealistic,0.002198,1,7
drown,0.002198,1,9
actual,0.002178,2,87
slightly,0.002157,2,65
visible,0.002117,1,21
highway,0.002117,1,7
god,0.002097,2,205
possibility,0.002073,3,176
tug,0.002047,1,9
journal,0.002047,1,8
storytelling,0.002047,1,39
smoothly,0.002047,1,10
change,0.002039,9,1471
push,0.002029,4,321
realize,0.002023,5,433
single,0.002023,2,90
big,0.002019,7,692
terrible,0.001987,2,126
remain,0.001987,2,91
sum,0.001986,1,11
mad,0.001986,1,10
ridiculous,0.001986,1,11
future,0.001946,3,224
add,0.001933,3,300
synonym,0.001931,1,13
undo,0.001931,1,11
poke,0.001931,1,15
z,0.001931,1,18
cling,0.001922,4,643
explain,0.001920,2,97
believe,0.001883,4,355
nope,0.001881,1,16
meanwhile,0.001881,1,13
y,0.001881,1,22
hug,0.001881,1,15
uncomfortableness,0.001881,1,19
voice,0.001872,2,116
experience,0.001862,33,3247
highlight,0.001856,2,113
dy,0.001835,1,15
foot,0.001829,3,252
turn,0.001804,7,703
guess,0.001796,2,125
impactful,0.001793,1,13
injustice,0.001793,1,18
clench,0.001793,1,19
lessen,0.001793,1,14
traffic,0.001793,1,14
poignancy,0.001793,1,19
kindness,0.001783,4,566
