word,tfidf_score,talk_frequency,global_frequency
sitter,0.037511,7,7
activity,0.022113,21,308
conceit,0.017711,8,56
engaged,0.015067,9,105
jacket,0.014931,4,14
interferes,0.013887,4,14
cold,0.010929,5,52
somemone,0.010718,2,2
selfie,0.010718,2,2
playing,0.010289,5,68
accent,0.009460,2,5
extra,0.009099,6,179
tiring,0.008892,3,25
activities,0.008718,6,130
upright,0.008428,4,63
intentionality,0.008208,3,30
photographs,0.008202,2,5
self-referential,0.008202,2,7
profession,0.007797,2,8
top,0.007775,6,158
layers,0.007661,3,42
stress,0.007593,6,224
accurate,0.007540,3,29
postures,0.007466,2,9
engaging,0.007460,4,74
unnecessary,0.007207,3,34
magnet,0.007186,2,12
zen,0.007024,4,134
innocent,0.007005,3,44
sport,0.006944,2,9
involvement,0.006539,2,13
increased,0.006539,2,14
senior,0.006366,2,16
watched,0.006366,2,13
concern,0.006103,3,63
tracking,0.005803,2,29
self-preoccupation,0.005803,2,23
attentional,0.005686,2,47
arm,0.005576,2,38
ball,0.005576,2,30
growth,0.005538,3,67
preoccupation,0.005538,3,97
shoppers,0.005359,1,1
gauging,0.005359,1,1
awareing,0.005359,1,1
limber,0.005359,1,1
listeners,0.005359,1,1
attenders,0.005359,1,1
appreciators,0.005359,1,1
unresponsive,0.005359,1,1
accents,0.005359,1,1
astounded,0.005359,1,1
nationality,0.005359,1,1
this-ness,0.005359,1,1
plumber,0.005359,1,1
sew,0.005359,1,1
reworded,0.005359,1,1
social,0.005320,3,112
selfing,0.004950,2,100
concerned,0.004885,3,95
subtleness,0.004876,2,33
responding,0.004876,2,37
gathered,0.004736,2,46
shopper,0.004730,1,3
selfies,0.004730,1,2
posing,0.004730,1,2
glamorous,0.004730,1,2
instagram,0.004730,1,3
advent,0.004730,1,2
putting,0.004648,4,168
music,0.004606,2,61
meditator,0.004545,2,45
media,0.004545,2,60
focused,0.004511,3,134
add,0.004396,3,154
exercise,0.004372,2,49
athlete,0.004362,1,3
elbow,0.004362,1,14
familiarizing,0.004362,1,3
inappropriate,0.004362,1,3
smartphones,0.004362,1,5
inordinate,0.004362,1,3
self-concerned,0.004362,1,3
