word,tfidf_score,talk_frequency,global_frequency
self,0.036760,42,1111
subject,0.025950,12,99
soul,0.021094,7,37
bird,0.018801,9,76
opinion,0.016178,6,58
simplicity,0.012176,8,255
developed,0.011075,5,51
essential,0.010610,4,33
essence,0.010442,4,46
knows,0.010270,8,148
vast,0.010241,6,114
overlay,0.010187,3,27
feeler,0.009825,2,3
overlaying,0.009825,2,3
sensor,0.009825,2,3
pronoun,0.009825,2,3
added,0.009569,4,47
stronger,0.009300,5,82
add,0.009132,6,154
object,0.008916,7,205
coalescing,0.008519,2,5
top,0.008076,6,158
layers,0.007958,3,42
extra,0.007876,5,179
insist,0.007754,2,8
capital,0.007754,2,8
heartfelt,0.007464,2,11
space,0.007158,11,680
stressful,0.007081,3,49
ridiculous,0.006990,2,11
experiencer,0.006990,2,11
ability,0.006762,6,219
subjective,0.006448,2,74
consciousness,0.006267,3,127
beach,0.006157,2,22
doer,0.006157,2,24
sky,0.006063,3,79
category,0.005791,2,24
mine,0.005790,4,228
true,0.005772,7,387
radical,0.005752,3,82
landscape,0.005683,2,23
orientation,0.005604,4,179
finger,0.005581,2,22
flying,0.005581,2,26
subjectification,0.005566,1,1
pasts,0.005566,1,1
dharmete,0.005566,1,1
believing,0.005393,2,32
stress,0.005257,4,224
western,0.005221,2,44
aware,0.005206,8,589
conceptual,0.005064,2,36
simplest,0.004990,2,43
panoramic,0.004913,1,10
prioritizes,0.004913,1,2
attā,0.004913,1,2
ātman,0.004913,1,2
speculate,0.004913,1,2
particulars,0.004913,1,2
holding,0.004911,6,371
kindness,0.004911,6,530
opinions,0.004850,2,57
innocent,0.004850,2,44
wants,0.004790,4,216
dissolve,0.004784,2,40
philosophy,0.004720,2,43
disappear,0.004659,2,48
preferences,0.004659,2,47
across,0.004605,3,148
mountain,0.004599,2,72
wasted,0.004530,1,3
monitor,0.004530,1,3
recourse,0.004530,1,3
quagmire,0.004530,1,4
india,0.004484,2,77
awareness,0.004418,9,1240
knowing,0.004378,7,621
view,0.004310,4,365
assume,0.004278,4,151
sees,0.004275,2,54
serve,0.004275,2,77
cliff,0.004259,1,6
subjectively,0.004259,1,4
objectively,0.004259,1,4
imposing,0.004259,1,4
fine,0.004136,3,148
notion,0.004132,2,72
phenomena,0.004086,2,69
appear,0.004086,2,55
refuge,0.004086,2,159
objectification,0.004049,1,10
attribute,0.004049,1,8
initiative,0.004049,1,8
radiant,0.004049,1,5
am-ness,0.004049,1,7
not-self,0.003998,2,162
modern,0.003998,2,75
who's,0.003912,3,167
sideways,0.003877,1,6
knower,0.003877,1,9
latch,0.003877,1,8
futures,0.003877,1,7
psychotherapy,0.003877,1,11
selectivity,0.003877,1,10
persists,0.003877,1,8
assertion,0.003877,1,7
sound,0.003792,3,243
meaning,0.003762,3,223
die,0.003757,2,107
believe,0.003743,4,278
insisting,0.003732,1,14
flies,0.003732,1,7
interference,0.003732,1,8
disliking,0.003732,1,7
shorthand,0.003732,1,7
triggering,0.003732,1,9
pristine,0.003732,1,8
realm,0.003720,2,111
spot,0.003612,2,111
vista,0.003606,1,9
grabbed,0.003606,1,10
uncomplicated,0.003606,1,13
perfections,0.003606,1,11
pāramīs,0.003606,1,9
narrows,0.003606,1,9
stresses,0.003606,1,8
chaos,0.003606,1,11
doctrine,0.003606,1,12
i-am-ness,0.003606,1,11
attachment,0.003578,2,145
alternative,0.003510,2,100
assert,0.003495,1,14
baggage,0.003495,1,16
assess,0.003495,1,11
tasks,0.003495,1,10
positions,0.003495,1,10
generalized,0.003495,1,10
idea,0.003494,11,1145
coast,0.003396,1,16
protest,0.003396,1,11
allows,0.003323,4,325
resilience,0.003306,1,15
immediacy,0.003306,1,13
onto,0.003263,2,95
love,0.003249,10,1462
cry,0.003224,1,12
reveals,0.003224,1,17
dissolving,0.003148,1,21
sentences,0.003148,1,17
appropriately,0.003148,1,13
layer,0.003148,1,17
scope,0.003148,1,17
assumption,0.003148,1,17
need,0.003105,10,986
tiring,0.003079,1,25
liking,0.003079,1,23
therapist,0.003079,1,22
strengths,0.003079,1,18
determined,0.003079,1,15
wilderness,0.003079,1,30
ancient,0.003070,2,138
stability,0.003070,2,164
preparation,0.003013,1,27
self-preoccupation,0.003013,1,23
tight,0.002993,2,128
degrees,0.002953,1,23
represented,0.002953,1,23
argue,0.002953,1,19
someone,0.002932,5,541
without,0.002928,13,944
impulses,0.002896,1,27
suffering,0.002894,6,1420
recognizes,0.002842,1,21
studied,0.002842,1,23
hungry,0.002791,1,51
open,0.002745,8,790
uncommon,0.002742,1,24
grasp,0.002742,1,30
philosophical,0.002742,1,37
food,0.002735,2,182
attempt,0.002696,1,22
resolve,0.002696,1,38
interpretations,0.002696,1,28
interpretation,0.002696,1,27
essentially,0.002696,1,26
needs,0.002665,3,265
grab,0.002653,1,31
frame,0.002653,1,27
outer,0.002653,1,38
turn,0.002645,3,274
peaceful,0.002644,4,397
wall,0.002611,1,37
crazy,0.002611,1,29
continuity,0.002611,1,65
reaction,0.002611,1,45
effort,0.002608,2,294
general,0.002548,2,165
mountains,0.002532,1,35
nothing,0.002522,4,452
sensing,0.002508,2,324
excited,0.002495,1,38
plenty,0.002495,1,33
seen,0.002455,3,294
addition,0.002425,1,32
phenomenal,0.002425,1,45
common,0.002395,2,164
buddhists,0.002392,1,69
abstract,0.002392,1,41
inner,0.002383,3,447
peacefully,0.002360,1,45
expressed,0.002360,1,44
relatively,0.002360,1,37
cultivated,0.002360,1,43
lake,0.002329,1,114
quick,0.002329,1,36
grew,0.002329,1,52
integrity,0.002299,1,54
conceit,0.002299,1,56
pure,0.002299,1,59
observe,0.002270,1,60
lightly,0.002270,1,45
suggest,0.002215,1,42
float,0.002215,1,47
certain,0.002202,5,604
teaches,0.002188,1,55
limit,0.002188,1,63
possible,0.002177,4,509
buddha,0.002171,6,1594
ocean,0.002163,1,75
fears,0.002163,1,48
continues,0.002163,1,50
operate,0.002163,1,51
honest,0.002137,1,65
concern,0.002113,1,63
plan,0.002089,1,63
adding,0.002089,1,71
patience,0.002089,1,329
identity,0.002089,1,122
orient,0.002089,1,71
setting,0.002066,1,60
fascinating,0.002066,1,52
needed,0.002061,2,227
passing,0.002021,1,86
known,0.002000,2,195
directions,0.001999,1,52
gotten,0.001957,1,73
closer,0.001937,1,72
series,0.001913,2,247
topic,0.001885,2,229
found,0.001885,2,262
create,0.001871,2,238
real,0.001857,2,225
senses,0.001842,1,139
clean,0.001842,1,101
relaxing,0.001830,2,364
worked,0.001824,1,81
minute,0.001824,1,80
views,0.001824,1,266
looks,0.001806,1,78
complicated,0.001806,1,78
provides,0.001806,1,75
hold,0.001788,3,469
core,0.001772,1,121
contraction,0.001772,1,88
saying,0.001759,3,650
inspiring,0.001755,1,87
simple,0.001745,3,574
ethical,0.001739,1,192
pass,0.001707,1,88
goes,0.001702,3,460
strong,0.001699,2,340
concerned,0.001691,1,95
causes,0.001691,1,92
preoccupied,0.001691,1,115
tension,0.001687,2,539
movements,0.001676,1,92
form,0.001674,2,277
everywhere,0.001661,1,98
safety,0.001661,1,116
try,0.001660,3,443
continue,0.001649,2,255
high,0.001631,1,109
torso,0.001631,1,109
gaze,0.001631,1,116
reference,0.001631,1,127
they've,0.001617,1,95
hear,0.001601,2,379
english,0.001589,1,107
loved,0.001575,1,110
beings,0.001570,4,1026
buddhist,0.001552,3,738
sensation,0.001535,1,151
generosity,0.001535,1,206
ideas,0.001518,2,427
anything,0.001517,5,803
desires,0.001509,1,202
wherever,0.001509,1,99
point,0.001478,4,746
haven't,0.001472,1,98
practicing,0.001462,2,332
wait,0.001436,1,120
source,0.001436,1,261
teaching,0.001429,2,477
warmth,0.001424,1,155
mindfulness,0.001421,3,928
image,0.001412,1,153
gave,0.001412,1,129
pushing,0.001368,1,139
inside,0.001364,2,424
drop,0.001357,1,163
alone,0.001357,1,141
freedom,0.001332,2,596
figure,0.001325,1,169
taught,0.001314,1,162
chest,0.001314,1,143
follow,0.001304,1,128
necessarily,0.001304,1,142
purpose,0.001304,1,224
didn't,0.001291,2,505
ordinary,0.001284,1,175
allow,0.001272,3,602
particular,0.001271,2,429
equanimity,0.001264,1,458
develop,0.001244,1,191
direct,0.001235,1,199
ready,0.001235,1,175
oneself,0.001225,1,175
sensations,0.001221,2,712
goodwill,0.001198,1,427
truth,0.001179,1,368
done,0.001163,2,416
looking,0.001154,2,491
mindful,0.001153,1,255
brings,0.001153,1,190
pressure,0.001144,1,253
changing,0.001144,1,378
upon,0.001127,1,196
guided,0.001116,4,774
desire,0.001102,1,521
close,0.001052,2,371
happen,0.001043,2,526
care,0.001041,3,1221
you'll,0.001038,1,216
stories,0.001038,1,361
gives,0.001038,1,218
emotions,0.001030,1,275
realize,0.001030,1,221
tomorrow,0.001030,1,177
use,0.001026,2,568
subtle,0.001015,1,350
around,0.001010,6,1116
belly,0.001008,1,254
arising,0.001008,1,284
word,0.001007,3,819
body,0.001005,9,3075
already,0.001000,1,255
later,0.000993,1,215
left,0.000993,1,209
especially,0.000985,1,202
wrong,0.000985,1,315
tell,0.000978,1,270
great,0.000973,2,666
experiences,0.000971,1,323
hand,0.000950,1,296
course,0.000939,2,650
home,0.000936,1,245
